Point;Valeur
-2.780859815890916 4.433549016477244;12.480048841538
-3.82013381035678 3.3942749075144496;12.174523560840
-4.534001248844632 2.5822229134105124;12.758797975913
-4.0939080328378425 2.565255943977586;11.660867613608
-3.25922148485719 2.707440759626342;10.88216558891
-2.4958670712140987 3.167704451151086;10.63475104301
-2.2907229587331988 2.4528508569321077;9.72982833678
-1.797621841573748 2.095776532075422;7.433754687197
-2.3749352840379983 1.4078503475828703;8.721040644607
-2.0119130240129595 1.1482021040034445;6.086319646879
-1.712619397164994 0.43748158376943613;6.581062077737
-1.6573473814348934 0.30659705973274526;6.321649781719
-1.5892428301921193 0.06663018225399014;5.713214922898
-1.519172828599391 -0.08139943977875641;5.648471817670
-1.2710285062530036 0.08147456631283717;4.567092852475
-0.5946094639006787 -0.16020327608698565;3.522953791129
-0.4974775173188051 0.13054201839557789;3.2682774955827
-0.24840114910436728 -0.12079343133383935;2.0399231919295
0.31836947162541773 0.2643162188129591;3.078725989308
-0.01192239535420303 -0.08525508681874211;0.42942715033514
0.06395305868559861 0.4214642774804413;2.8683631711354
-0.0640966509961318 0.12452518573656551;0.8522346362762
0.23741439394500854 -0.3528181716906619;3.1157571818952
-0.04371111097712935 -0.09496605840599842;0.5648030480993
0.18593441502229646 0.30142861506795404;2.6575283222439
-0.11448483574279372 0.0016232871019252748;0.638008252545
0.35819857405353556 -0.005099463506923885;2.5025699895522
0.030713173815015038 0.0037935420799254348;0.11283334354613
-0.22023791814447796 -0.027573294116309734;1.5404837645928
0.20936895225950547 0.04686391541452978;1.4852218972915
-0.1886538369033749 -0.0818146205977853;1.4263210189380
0.17323169474528993 0.13935193690439612;1.6002415951931
-0.1317695265755564 -0.1759016441957318;1.575011428541
0.11220206698855276 0.18266643748918238;1.5185749149932
-0.10223461818672847 -0.17338537981386076;1.398487667068
0.10249123726785961 0.16995291713154803;1.3736991474446
-0.10208357855112057 -0.1566883005687213;1.2718015596142
0.10746118127651563 0.15192967960621706;1.2653521536824
-0.10906239886664243 -0.13984895875956693;1.1873728986453
0.11363337509459953 0.13419446694725295;1.1746393568672
-0.11428588774506296 -0.1252931332811032;1.118326464320
0.11577847625428686 0.11993823052381;1.0924199196249
-0.1150689538168892 -0.11422399675561606;1.0513151878494
0.1141319633369241 0.11004747125692413;1.019136190105
-0.11251085243806486 -0.10656977712835189;0.987277078637
0.11035763399856224 0.10360128817790021;0.955378772282
-0.10826759994788512 -0.10145155185090635;0.9290396542980
0.10569249150053014 0.0993456301872809;0.900049360727
-0.10346882950482056 -0.09790961063317905;0.8774628708623
0.10088107577130376 0.09629904152086127;0.8517225556651
-0.098751067963948 -0.09520348943711224;0.832055946841
0.09634891271632132 0.09382495026173623;0.8091969116870
-0.09444128280275171 -0.09286101733301996;0.7919528773222
0.09231091449723183 0.09156510576129473;0.7715420094724
-0.09067823179185658 -0.09063229431229045;0.7563647535643
0.08883988455131342 0.08935366816420187;0.7380493300855
-0.08748327110746568 -0.08841794663719812;0.724665303589
0.08591765553171915 0.0871417118749302;0.7081669079754
-0.08480790038705013 -0.08620493571701593;0.6963531441489
0.08347491417947323 0.08494138826972067;0.6814414766934
-0.082568663993909 -0.08402119698456254;0.6710061151128
0.08142088022649907 0.08278999252894784;0.6574822919806
-0.08067196093898946 -0.08190800888378172;0.6482555422003
0.07966355265503508 0.08072934260800138;0.6359450799445
