Point;Valeur
-3.6740561629050292 -4.270417803865393;12.956267514935
-3.7506807315283655 -4.105283891367452;12.121753625754
-4.0688857733561425 -3.977823493008219;11.19079492383
-4.099914619432791 -3.9666329838826546;11.348090302224
-3.805267266642534 -4.012507312258202;11.617422433478
-3.599085193497269 -3.9448769493130937;12.253620975847
-3.326498244060585 -3.9351706249043525;11.811719750228
-2.819793656537601 -4.038450543116772;10.743135971105
-2.3019369358918005 -3.9481706778176884;10.870833081303
-2.0770800823314812 -4.048663084823716;9.701940807206
-2.0749609569913936 -3.8028871280220997;10.042115677497
-1.953440308778159 -3.6460798743871523;10.384658265809
-1.9255366301966814 -3.4647348044509947;10.341299595332
-1.975550223176063 -3.06219265217751;8.17021379080
-1.934872587575442 -2.9351619232516044;8.0495228319
-2.0365402974340823 -3.036027259729774;8.143416964824
-1.8326685688720865 -2.8100691706413894;8.732710212710
-1.7010090588553033 -2.6174518356025978;9.262702024523
-1.5812701909206064 -2.3664430119512567;8.882513912710
-1.4164525451566008 -1.9693318941010458;7.466620358929
-1.1077179919510922 -1.658421141295321;6.508544994150
-0.9152701768772851 -1.2307892242082847;4.984318005485
-0.9342587357466816 -0.9558952618774257;3.605917804853
-0.9301419647737915 -0.9167277006101027;3.6663634208876
-1.0049681628555802 -1.0493142414234624;3.779414346706
-0.84551132637854 -0.7777104720491319;4.271077747495
-0.7084273118142689 -0.5170471101118851;4.516676773263
-0.5326029901017296 -0.1616368275937397;3.4344641455485
-0.15688483511110085 -0.03221940528071779;1.0152290000678
-0.26807472159120666 -0.14875432347878897;2.2951514922160
-0.14099624819438505 -0.03684764225657154;0.8941306301031
0.15854619589551677 -0.20504782598828597;1.9296286016629
0.23847015379230574 -0.175211496537783;2.237692905874
-0.0053296556445383 0.06697362848873392;0.30588186396249
0.06790697942409848 -0.043318296759088104;0.3930898511846
-0.2119837373472808 0.2178881219897027;2.315679063049
-0.3088388732479693 0.29853989712150764;3.178703468509
-0.23006413094939637 0.20457891831474803;2.345019824245
0.2083313904357137 -0.17819774770409516;2.0634437330641
0.476345038797928 -0.3865429357383209;3.962435587686
0.665731986242732 -0.4968339223928558;4.463848204312
0.8314516921696811 -0.5755867000360747;4.564502420245
0.9019732918762693 -0.7173069852537812;4.367913643823
0.9527214582131714 -1.0486590834405178;3.751242830580
0.9312077664572923 -1.0067706097866767;3.6492785550443
1.0441688630530415 -0.9525262775969054;3.733159916377
0.7746694654594851 -1.0239300336732344;4.2682230439677
0.5629319463450113 -0.8900039719759557;4.559010955144
0.2587714066271138 -0.7872490518709565;3.83759232466
-0.01196600815765586 -0.7993350345133133;2.9385996519477
0.02126141068748233 -0.8806972396060282;2.6942615245927
-0.08586491774652805 -0.9593200401917338;2.7739744704140
0.15527399017941362 -0.8469136728432912;3.249430540315
0.18608777183610709 -0.7645325927806996;3.5519275300799
0.015621434965208236 -0.7223398009074474;3.15238194893
0.03937175165679274 -0.7393634963917534;3.136077109464
-0.048119759501847104 -0.8864703785842478;2.7257061069675
0.16498015757979512 -0.8661604105338958;3.2626692072604
0.1361527422773391 -0.8678570746351993;3.10982407912
-0.12711386055730317 -0.9882275578836917;3.013185449406
-0.1283383301192792 -0.8622521954106057;3.083421445849
0.07028202558397811 -0.8730067018827689;2.820168493964
-0.060217815965187826 -0.9285571255403924;2.687311530055
0.15997392668921986 -0.9044571753201722;3.179540447238
0.12648410600338064 -0.8867844792535756;3.0249960858725
-0.12290694362490223 -0.994826210224908;3.00345748587
-0.09694889369752616 -0.8573100813428537;2.956569015018
0.056299359883781264 -0.8719091860030452;2.782294867931
-0.11837771075575373 -0.9550426606063593;2.9278271667004
0.04156133585889196 -0.8606203073766702;2.7798859545357
-0.0667632285334285 -0.8865466206016845;2.776668264564
0.14482815223660542 -0.9628985632218203;3.080384630414
0.06728587383625492 -0.8671960943391139;2.8258451159512
-0.0065598858115724495 -0.9586671192604745;2.5821312454265
0.11415240685115108 -0.8181288325900801;3.1295500271077
0.01192984544030469 -0.7356965205654482;3.1206426732924
0.031551303287069565 -0.7153682632732952;3.1788419488885
-0.02908435775280839 -0.7817556206738233;3.007553569819
0.0906198663695441 -0.9897307390709508;2.831273048491
-0.08142028904027683 -0.8074493991812117;3.0416754868671
-0.03666170354167066 -0.6546319136505299;3.2621071122971
0.0002916581236363236 -0.4291820872884091;2.846196772068
-0.037846149262280956 0.16553180472753448;1.0989728781923
0.02512473412035625 0.6461318790342238;3.256641214665
-0.1278077722718542 0.8246452259599719;3.1705773734842
0.05544412536380455 0.8973060702093922;2.7204990727997
-0.12437528290736236 0.9145079948214891;2.97417457604
