Point;Valeur
0.28113383473333275 -1.8663193927176893;6.136628828415
0.08493592157005372 -1.9120779393930096;5.107038296933
-0.27027180002151785 -2.0314587885476976;6.218092555475
-0.3810990709915424 -2.009332383522531;6.600006349425
-0.36019636339395283 -1.887294073311608;6.414478820459
-0.20906575405366729 -1.7748589890828075;5.95737752533
0.10935534717255019 -1.7409804486931593;5.659948381118
0.2768072148835054 -1.8099301637045146;6.175665664922
0.268523663812969 -1.9221366120365924;6.051703620895
0.04527989661759224 -2.0294129815183894;5.0675495996415
-0.2699493715351449 -1.9692709185070363;6.084752981018
-0.34231747517973066 -1.8601192316654802;6.366143959620
-0.2715724940175621 -1.7751705413949859;6.192701719831
-0.051179276576920396 -1.7380239207019128;5.530558719969
0.22694943630276437 -1.8196145970655269;5.958481019654
0.2942229691970121 -1.9677644747034713;6.200610229993
0.15362734347714907 -2.053657251421253;5.640893555030
-0.22892776353657518 -1.9435267968224015;5.846289086998
-0.3428133822561179 -1.8281795995935148;6.38292535756
-0.32081163785871414 -1.742885926405405;6.363384332798
-0.18362843148881774 -1.6763005228935455;5.982448319005
0.08052477129562491 -1.6373758707709467;5.7379290532399
0.24888567932272967 -1.61973709088951;6.158858385904
0.29554006103028174 -1.5712021295920744;6.212220777569
0.24732125642264885 -1.460741476933322;5.877831274110
0.09881572120557222 -1.2357530650724202;4.364026538826
-0.17620351447111862 -0.7022303823484202;3.5859782345705
-0.27356560205398905 -0.23378828669433582;2.7332982656271
-0.14061234278254625 0.4192218082766921;3.0434919833608
0.11703676175124439 0.8625266696967434;3.029859133928
0.15780835496737267 1.381774475235475;5.379498870980
0.0787905588145506 1.6829488741516434;5.692873029312
-0.08370385362605154 2.028361033023349;5.188876216364
-0.05711538411808004 2.197508982912561;6.184480237328
0.061787225927536396 2.0184168946912;5.076476383605
0.03349532757814197 1.7140152969989473;5.56641001413
-0.03739426628642652 1.5268018769757148;5.610011052202
-0.06956786276168668 1.2730957561488279;4.554791846427
-0.008188983163549421 0.7291106715713634;3.1346113260744
0.061781383229893974 0.31695533514810503;2.3159782332060
0.036636778545564616 -0.3522228413304893;2.4892400760018
-0.037602190185512196 -0.7295076723765428;3.156373215004
-0.052165710124036806 -1.1818820369102228;3.823800588938
0.02702929368632668 -1.2523195756400713;4.340112380319
0.061081258564486644 -0.9882438518863199;2.7139451715778
-0.04978170853306207 -0.6582113441174643;3.2756135370128
-0.09322207789583638 -0.3766627875743634;2.7249918061718
-0.02425219279115265 0.10629892593120632;0.5970253432218
0.11903508602161983 0.23193609036538299;1.9154115762857
0.05460909928115151 0.032337936899276276;0.2838029124398
-0.23482700480481214 -0.29201825523883856;2.8301076745414
-0.3056463699191058 -0.3814333937081339;3.470645282385
-0.22320798098412725 -0.3195855771539839;2.9111006119428
0.04256893521195565 -0.053674302775539695;0.3148904308396
0.12029080492485 0.4127069519695186;2.958814496522
0.07103246096649372 0.6706766211498676;3.3015439261709
-0.061432425710069336 0.9512313235986828;2.680767692438
-0.045324245458717244 1.2133301523402555;4.062518544779
0.04434924097454372 1.1098986709216838;3.2479228731318
0.03354649364224066 0.6954536650434906;3.2153810621513
-0.022187891513584468 0.37261487618174305;2.5884027902027
-0.04530055520453388 -0.16492599555004772;1.1115812055169
0.04643933803265758 -0.3040035498061002;2.202701342695
0.06002320016181134 -0.13753998722046937;0.9359896604103
-0.08888035306526024 0.3638216159282376;2.6490781321709
-0.11990476132042784 0.6050490445023842;3.418812368998
-0.034696432166119506 0.8022987342245206;2.9507830750089
0.10772082851798359 1.1280686452717232;3.5913015414281
0.04991452483519648 1.1195753644341118;3.3309356329946
-0.10865946959115136 0.7851689416137615;3.1945150307664
-0.09852363360581246 0.5826253870280805;3.348208752522
0.008585467754563939 0.34575508637340086;2.431547378101
0.09705412914186498 -0.1382165609405102;1.1092297325395
-0.05542666271404176 -0.27319849760835613;2.0035118919608
-0.10458648170467436 -0.07797535281606433;0.7743271587530
0.14337200940125702 0.329892034816747;2.637824264361
0.21259032508050657 0.4742230505877335;3.449572761650
0.1375810556944106 0.48871427789413674;3.2638448141976
-0.053302162324159685 0.3821205026858356;2.6715864798831
-0.16602480742774936 0.06073506114180366;1.1663302999464
0.08783626289342247 -0.38947795191788814;2.7738350803755
0.2247869827970275 -0.6051927267501104;3.7342258709081
0.2139438500087949 -0.7633377290826475;3.672724012307
0.015722725439866858 -0.9659543502281799;2.5913949949087
-0.20941594387996132 -1.1267186519858137;4.101305278101
-0.18558713248116138 -1.0137904235513577;3.4271611131282
0.11204716593152081 -0.7772389038256323;3.2264258919139
0.2328379849149082 -0.662004255529003;3.7962507702760
0.19690704451826768 -0.5426497447819281;3.5588913655609
0.02836843940478667 -0.3487400420827093;2.460729376477
-0.17005443451260363 0.09055637201342498;1.317285471705
-0.013469979348638278 0.30163820708806854;2.151032843556
0.15561145448057723 0.19595154698500378;1.8515875913643
0.059779830082657 -0.20251525319484331;1.4623553939106
-0.15879316392271184 -0.21630009023409352;2.006291716247
-0.1233066066595935 0.0655214408964575;0.8490024192336
0.23783533625452338 0.14748832333007938;2.0916427085786
0.28135552594916846 0.005503034491708914;2.0040389067149
-0.001280345033932484 -0.13771524413027428;0.8240064377362
-0.26369791966124995 0.09110587365765319;2.033668134719
-0.19524995615971721 0.15742489738885554;1.857343569559
0.16674235562707937 -0.03668315121337237;1.1066332929034
0.1369281787880229 -0.126978235322093;1.2750917720066
-0.1872388756701102 0.06605895626437625;1.3571939600600
-0.13216191609255898 0.09994728900504413;1.081586365449
0.23227191385742976 -0.11322139928590913;1.89205591932
0.2538283207439158 -0.12108829083661099;2.07889125525
-0.03130718544587652 0.05907395644282987;0.3044169125412
-0.1711931157656471 -0.011988244827542571;1.109913476725
0.07399082284726224 -0.048642130406529704;0.4484208499145
0.044633267200474835 0.08977600451227813;0.5328443249732
-0.13282623278107555 -0.07357681592518803;0.9545793036011
0.032370503883172336 -0.03256424107320008;0.18523474613317
0.025398469385820688 0.16905845661630192;1.1061290868640
-0.0455302426638136 -0.015371704872051611;0.19633879435123
0.10938097769475481 -0.11384819690073195;1.0131809519839
-0.018735258731812213 0.07708255182300858;0.38388655834065
-0.06857079898952187 -0.0288193028958445;0.35183210171200
0.14784774567952816 -0.01630977902107826;0.9163642247805
-0.016927938886549476 0.04025787209899047;0.1735983638352
-0.08473060736794691 -0.11388331083959895;0.8719705523528
0.08265730359557225 0.04370918299840136;0.48339896548653
-0.04111929799811087 0.040124698082044094;0.2485049254975
0.02436262433249886 -0.14116952416963774;0.8714288417161
0.017413767648393273 0.05089483577563758;0.2275170656940
