Point;Valeur
-1.7299497128175787 -5.478009287204744;-1.7732443387797
-1.7292906793419358 -5.474757608559562;-1.774001872256
-1.7286330553299976 -5.471520596669199;-1.7747527376665
-1.7279768409707572 -5.46829810618016;-1.7754970290317
-1.7273220363935158 -5.465089994449501;-1.7762348383228
-1.726668641668526 -5.461896121471464;-1.7769662555198
-1.7260166568092459 -5.458716349809245;-1.7776913686707
-1.7253660817724679 -5.45555054452632;-1.7784102639480
-1.7247169164615381 -5.452398573122601;-1.7791230257034
-1.7240691607260026 -5.449260305471235;-1.7798297365202
-1.723422814363281 -5.446135613757364;-1.7805304772640
-1.722777877119762 -5.443024372419626;-1.7812253271316
-1.7221343486931526 -5.439926458094293;-1.7819143636975
-1.7214922287313525 -5.436841749558347;-1.7825976629600
-1.7208515168358338 -5.433770127677647;-1.783275299384
-1.720212212561287 -5.430711475355345;-1.783947345946
-1.7195743154170704 -5.427665677480891;-1.784613874171
-1.7189378248686902 -5.424632620882897;-1.7852749541741
-1.7183027403381554 -5.421612194281484;-1.7859306546980
-1.7176690612049115 -5.418604288243401;-1.7865810431508
-1.7170367868069023 -5.415608795137048;-1.7872261856405
-1.7164059164426957 -5.412625609091683;-1.7878661470094
-1.7157764493709358 -5.409654625955016;-1.7885009908674
-1.715148384810987 -5.406695743252257;-1.7891307796245
-1.714521721944898 -5.403748860147774;-1.7897555745215
-1.7138964599181103 -5.400813877408639;-1.7903754356600
-1.7132725978395866 -5.3978906973662895;-1.790990422031
-1.7126501347826482 -5.394979223881234;-1.7916005915457
-1.7120290697864557 -5.392079362309541;-1.7922060010579
-1.711409401856557 -5.389191019468227;-1.7928067063948
-1.7107911299648546 -5.3863141036028965;-1.7934027623807
-1.7101742530516015 -5.383448524357318;-1.793994222861
-1.7095587700251123 -5.380594192740422;-1.7945811407299
-1.708944679762696 -5.377751021098903;-1.7951635679469
-1.708331981111558 -5.374918923086535;-1.7957415555659
-1.7077206728891223 -5.372097813635873;-1.7963151537539
-1.7071107538839323 -5.3692876089316535;-1.7968844118127
-1.7065022228566171 -5.366488226384723;-1.797449378199
-1.7058950785392477 -5.3636995846036335;-1.79801010054
-1.705289319637204 -5.360921603371948;-1.7985666256806
-1.7046849448299481 -5.358154203622612;-1.7991189996426
-1.7040819527694782 -5.355397307413643;-1.7996672677046
-1.7034803420838704 -5.352650837905628;-1.8002114743878
-1.702880111375573 -5.34991471933912;-1.8007516634799
-1.702281259223015 -5.347188877011423;-1.8012878780520
-1.7016837841811547 -5.34447323725705;-1.8018201604741
-1.7010876847807064 -5.34176772742419;-1.8023485524317
-1.7004929595305227 -5.339072275856932;-1.8028730949405
-1.6998996069163073 -5.336386811873565;-1.8033938283614
