Point;Valeur
-9.501105289271436 -1.3618058378987357;150.48807288270
-9.483853950364008 -1.3445544989479101;149.804672690
-9.471496164762938 -1.3321858099440973;149.3129608603
-9.461280517002285 -1.321955683986055;148.90515127120
-9.45232596381559 -1.3129848188410707;148.54669930511
-9.444220998500143 -1.3048623841404576;148.2214640492
-9.436734928013735 -1.2973580187408182;147.92039458328
-9.429723386142319 -1.2903275438617037;147.63782580354
-9.423089083332679 -1.2836737863494192;147.36993928202
-9.416762856081995 -1.2773276601722416;147.1140200106
-9.410693506703574 -1.2712380220258779;146.86805785889
-9.404841916304186 -1.2653657928530988;146.63051662912
-9.399177422761223 -1.2596803407576787;146.40019195597
-9.393675482967467 -1.25415714626032;146.17611958549
-9.38831610376028 -1.248776235150353;145.95751381040
-9.3830827538729 -1.2435210917093231;145.7437247773
-9.377961588319543 -1.2383778839663593;145.53420805268
-9.372940882247166 -1.2333348981582086;145.32850240651
-9.368010609098553 -1.2283821173319005;145.12621325983
-9.363162120593486 -1.2235109016457808;144.92700012634
-9.358387900055902 -1.2187137419366512;144.73056693266
-9.353681369566479 -1.213984067053096;144.53665445051
-9.349036737268603 -1.20931609130076;144.34503430461
-9.344448875078182 -1.2047046922596694;144.15550417370
-9.339913219720328 -1.2001453119069412;143.96788390688
-9.335425691887444 -1.1956338758414673;143.78201235116
-9.330982629626554 -1.1911667267248662;143.59774473730
-9.32658073301406 -1.1867405690004198;143.4149505087
-9.322217017871138 -1.1823524226430486;143.2335115049
-9.317888776777895 -1.177999584202729;143.0533204320
-9.31359354603099 -1.1736795937858577;142.87427956550
-9.309329077474972 -1.16939020690564;142.69629964481
-9.305093314357157 -1.1651293703533507;142.5192989261
-9.300884370526427 -1.1608952014109664;142.34320236588
-9.296700512428668 -1.156685969857101;142.1679409138
-9.292540143450712 -1.1525000823213067;141.99345089917
-9.288401790252873 -1.1483360686232786;141.8196734935
-9.284284090785402 -1.144192569797468;141.6465542413
-9.280185783748234 -1.140068327556602;141.47404264522
-9.27610569928065 -1.1359621749875692;141.30209180148
-9.272042750715737 -1.1318730283088245;141.13065807583
-9.267995927250643 -1.1277998795445225;140.95970081593
-9.263964287413387 -1.123741789994068;140.7891820948
-9.259946953222407 -1.1196978843939047;140.61906648172
-9.255943104951307 -1.1156673456840889;140.44932083637
-9.251951976422575 -1.1116494103044576;140.27991412436
-9.247972850769015 -1.1076433639567862;140.11081725062
-9.244005056605214 -1.1036485377775331;139.94200290909
-9.240047964561255 -1.0996643048734605;139.77344544658
-9.236100984141016 -1.095690077179214;139.60512073935
-9.232163560863457 -1.091725302600966;139.43700608084
-9.228235173661332 -1.0877694624147294;139.26908007943
-9.224315332506485 -1.083822068892621;139.10132256514
-9.22040357623872 -1.0798826631326186;138.93371450429
-9.216499470579311 -1.0759508130715716;138.76623792142
-9.212602606307135 -1.0720261116623053;138.59887582758
-9.208712597583244 -1.0681081751989256;138.43161215445
-9.204829080410946 -1.0641966417761415;138.26443169374
-9.200951711214358 -1.060291169869298;138.09732004134
-9.197080165528872 -1.0563914370241823;137.93026354566
-9.193214136789624 -1.0524971386463955;137.76324926009
-9.189353335211043 -1.048607986881101;137.5962648987
-9.185497486748995 -1.0447237095753923;137.42929879579
-9.18164633213872 -1.0408440493160396;137.2623398672
-9.177799625999686 -1.0369687625354784;137.09537757586
-9.173957136005457 -1.0330976186813685;136.92840189855
-9.170118642109792 -1.0292303994434004;136.76140329560
-9.166283935826884 -1.02536689803328;136.5943726824
-9.162452819558768 -1.0215069185132049;136.4273014029
-9.158625105968826 -1.0176502751692147;136.26018120485
-9.154800617395953 -1.013796791925911;136.09300421664
-9.150979185307273 -1.0099463017991477;135.92576292572
-9.147160649784452 -1.006098646383765;135.75845015824
-9.143344859045031 -1.002253675374293;135.5910590601
-9.139531668992241 -0.9984112461153212;135.42358307936
-9.135720942792673 -0.9945712231799764;135.25601594901
-9.131912550480433 -0.9907334779745502;135.08835167179
-9.128106368585543 -0.9868978883666958;134.92058450524
-9.124302279783548 -0.9830643383365187;134.75270894778
-9.120500172567686 -0.9792327176481829;134.5847197257
-9.116699940939078 -0.9754029215410499;134.4166117811
-9.112901484114731 -0.9715748504387124;134.24838025983
-9.109104706254598 -0.967748409675374;134.08002050089
-9.10530951620159 -0.9639235092374225;133.91152802617
-9.101515827238506 -0.9601000635201291;133.74289853062
-9.097723556857181 -0.956277991098072;133.5741278730
-9.093932626541905 -0.9524572145082592;133.4052120675
-9.090142961563824 -0.9486376600456875;133.23614727530
-9.086354490787103 -0.9448192575699463;133.06692979664
-9.082567146486298 -0.9410019403226396;132.8975560639
-9.078780864172579 -0.9371856447545714;132.72802263476
-9.07499558242961 -0.9333703103626682;132.5583261848
-9.071211242759556 -0.92955587953528;132.3884635022
-9.067427789435623 -0.9257422974061195;132.2184314815
-9.063645169363108 -0.9219295117158838;132.0482271179
-9.059863331947902 -0.9181174726811328;131.8778475020
-9.056082228972262 -0.9143061328701574;131.70728981503
-9.05230181447583 -0.9104954470854049;131.53655132356
-9.048522044644258 -0.9066853722520248;131.36562937556
-9.04474287770306 -0.9028758673121591;131.1945213957
-9.040964273816135 -0.8990668931247806;131.0232248816
-9.037186194991328 -0.8952584123705527;130.85173739955
-9.03340860498852 -0.8914503894617485;130.68005658102
-9.029631469234804 -0.8876427904567588;130.50818011927
-9.025854754741381 -0.8838355829788006;130.33610576588
-9.022078430027502 -0.8800287361388611;130.16383132759
-9.018302465045778 -0.8762222204625915;129.99135466332
-9.014526831112473 -0.8724160078207479;129.818673681
-9.010751500841183 -0.8686100713631747;129.6457863362
-9.00697644807927 -0.86480438545611;129.47269062701
-9.003201647848245 -0.8609989256227714;129.2993845937
-8.999427076286695 -0.8571936684865367;129.12586631578
-8.995652710595344 -0.8533885917173312;128.9521339094
-8.991878528986618 -0.84958367398033;128.77818552555
-8.988104510634384 -0.8457788948874664;128.60401934788
-8.984330635628533 -0.8419742349512005;128.42963359080
-8.980556884929616 -0.8381696755405358;128.25502649759
-8.976783240327208 -0.8343651988392728;128.08019633864
-8.973009684399443 -0.8305607878062254;127.90514140977
-8.969236200474986 -0.826756426137456;127.72986003059
-8.965462772596524 -0.8229520982302285;127.55435054297
-8.961689385486412 -0.8191477891488942;127.37861130958
-8.95791602451343 -0.815343484592255;127.20264071245
-8.954142675661751 -0.8115391708625809;127.02643715167
-8.950369325500782 -0.8077348348361812;126.84999904405
-8.946595961157056 -0.8039304639352708;126.67332482194
-8.942822570287001 -0.8001260461012981;126.49641293201
-8.939049141051175 -0.796321569769508;126.31926183418
-8.935275662089985 -0.7925170238447385;126.14187000047
-8.931502122499651 -0.788712397678303;125.96423591404
-8.927728511810637 -0.7849076810461336;125.78635806816
-8.92395481996634 -0.7811028641278654;125.60823496525
-8.920181037302683 -0.7772979374868403;125.42986511604
-8.916407154528901 -0.7734928920512947;125.25124703863
-8.912633162709351 -0.7696877190961822;125.07237925768
-8.90885905324591 -0.7658824102260507;124.89326030361
-8.90508481786152 -0.7620769573585753;124.71388871186
-8.901310448583953 -0.7582713527090853;124.5342630220
-8.897535937731025 -0.7544655887755255;124.35438177753
-8.89376127789623 -0.7506596583244444;124.17424352424
-8.889986461934791 -0.7468535543773571;123.99384681052
-8.88621148295039 -0.7430472701979902;123.81319018622
-8.882436334283332 -0.739240799279942;123.63227220216
-8.87866100949814 -0.7354341353350209;123.4510914095
-8.874885502372186 -0.7316272722820995;123.26964635943
-8.87110980688487 -0.7278202042364736;123.087935602
-8.867333917207624 -0.7240129254997645;122.9059576864
-8.86355782769375 -0.720205430550312;122.72371115989
-8.859781532869333 -0.7163977140338466;122.54119456740
-8.85600502742374 -0.7125897707547794;122.35840645124
-8.852228306201729 -0.7087815956678419;122.1753453504
-8.848451364194945 -0.7049731838701075;121.99200980062
-8.844674196534328 -0.7011645305933271;121.80839833300
-8.840896798482195 -0.6973556311966388;121.6245094745
-8.837119165425557 -0.6935464811597235;121.44034174721
-8.83334129286948 -0.6897370760761179;121.25589366775
-8.829563176430497 -0.6859274116469317;121.07116374719
-8.825784811830136 -0.6821174836748101;120.88615049054
-8.822006194889468 -0.6783072880581681;120.70085239636
-8.818227321523231 -0.6744968207856844;120.51526795648
-8.814448187734593 -0.6706860779310786;120.3293956556
-8.810668789609966 -0.6668750556481093;120.14323397099
-8.806889123314162 -0.6630637501657833;119.95678137209
-8.80310918508522 -0.6592521577837028;119.7700363202
-8.799328971230963 -0.6554402748678553;119.58299726850
-8.795548478123726 -0.6516280978462915;119.39566266094
-8.791767702196713 -0.6478156232052059;119.20803093278
-8.787986639940085 -0.6440028474850658;119.02010050982
-8.784205287896953 -0.6401897672770211;118.83186980825
-8.780423642660137 -0.6363763792193379;118.6433372343
-8.776641700868478 -0.6325626799941579;118.45450118406
-8.772859459203671 -0.6287486663241936;118.26536004302
-8.769076914387282 -0.6249343349697246;118.07591218596
-8.765294063177363 -0.6211196827256412;117.8861559765
-8.761510902365723 -0.6173047064186644;117.69608976728
-8.757727428775084 -0.6134894029045529;117.50571189882
-8.753943639256788 -0.6096737690656874;117.31502070014
-8.750159530687949 -0.6058578018084552;117.12401448801
-8.746375099969038 -0.602041498060931;116.93269156682
-8.742590344021593 -0.5982248547705853;116.74105022832
-8.738805259785718 -0.5944078689020199;116.5490887513
-8.735019844218199 -0.5905905374350315;116.35680540139
-8.731234094290524 -0.5867728573624328;116.16419843078
-8.727448006986542 -0.5829548256881979;115.97126607795
-8.723661579300922 -0.5791364394255087;115.77800656743
-8.719874808236838 -0.5753176955950662;115.58441810953
-8.716087690804525 -0.5714985912232234;115.39049890006
-8.712300224019513 -0.5676791233403822;115.19624712013
-8.708512404901043 -0.563859288979458;115.00166093584
-8.704724230470033 -0.5600390851740811;114.80673849801
-8.700935697747907 -0.556218508957377;114.61147794197
-8.697146803755171 -0.5523975573603147;114.41587738726
-8.6933575455098 -0.5485762274103427;114.21993493739
-8.689567920025867 -0.5447545161301236;114.02364867953
-8.685777924312196 -0.5409324205360648;113.82701668431
-8.681987555371029 -0.5371099376371675;113.63003700551
-8.678196810196647 -0.533287064433668;113.43270767978
-8.674405685774303 -0.5294637979159333;113.23502672640
-8.670614179079065 -0.5256401350632555;113.03699214700
-8.666822287074433 -0.5218160728426579;112.83860192526
-8.663030006711304 -0.517991608207842;112.63985402665
-8.659237334927086 -0.5141667380981163;112.44074639814
-8.65544426864387 -0.5103414594372625;112.24127696794
-8.651650804768341 -0.5065157691325526;112.04144364516
-8.647856940190163 -0.5026896640737591;111.84124431958
-8.64406267178109 -0.4988631411321021;111.64067686132
-8.64026799639407 -0.49503619715930947;111.4397391205
-8.636472910861906 -0.4912088289866834;111.23842892712
-8.632677411996795 -0.48738103342412603;111.03674409045
-8.62888149658913 -0.4835528072592548;110.83468239901
-8.6250851614064 -0.4797241472564773;110.63224162010
-8.621288403192755 -0.47589505015606276;110.42941949953
-8.617491218667592 -0.472065512673327;110.22621376129
-8.61369360452521 -0.46823553149771846;110.02262210722
-8.609895557433411 -0.4644051032919727;109.81864221670
-8.606097074032792 -0.46057422469125286;109.61427174627
-8.602298150936246 -0.4567428923023115;109.40950832934
-8.598498784727393 -0.4529111027025612;109.20434957580
-8.594698971960394 -0.44907885243942147;108.9987930717
-8.590898709158873 -0.44524613802932983;108.7928363788
-8.587097992814819 -0.44141295595698893;108.58647703461
-8.583296819388414 -0.43757930267453415;108.37971255120
-8.579495185306431 -0.43374517460067225;108.17254041568
-8.57569308696158 -0.429910568119884;107.96495808934
-8.571890520712461 -0.4260754795816429;107.75696300741
-8.56808748288161 -0.42223990529955074;107.54855257864
-8.564283969755243 -0.41840384155050714;107.33972418490
-8.560479977582347 -0.4145672845739013;107.13047518076
-8.556675502574187 -0.41073023057082636;106.92080289310
-8.552870540902655 -0.406892675703139;106.71070462068
-8.54906508870023 -0.4030546160927397;106.50017763367
-8.545259142058647 -0.399216047820643;106.2892191733
-8.541452697028188 -0.3953769669262259;106.07782645132
-8.53764574961706 -0.39153736940624967;105.86599664960
-8.533838295789968 -0.3876972512141202;105.65372691965
-8.530030331467763 -0.38385660825893597;105.44101438218
-8.526221852526213 -0.380015436404677;105.22785612655
