Point;Valeur
6.687484955852511 1.3624657410024792;-1.6111243638026
8.624484955852617 3.2994657410025856;-1.3198628050592
9.291491303910153 5.286624065893072;-1.2586964949443
7.690207152205786 6.8224132616889355;-1.483530401208
6.2289237767448515 8.653305467830178;-1.130617185385
3.9096270921585523 9.950135634095368;-1.4104801427842
1.9321065384222513 11.52812445337402;-1.4858831023161
0.10021359551809095 12.641503870534144;-0.9031194447773
-0.7495082953666872 14.789071696039882;-1.2930143177959
-1.618337802680551 16.530272015768176;-1.2582939165549
-2.3927228854221365 18.195997926963692;-1.1244278434890
-2.992414536951446 19.447340954940465;-0.9187260633636
-3.0577635301202357 20.708038177273767;-0.8791004223326
-2.3864727768524485 21.77250430535074;-0.9065227273590
-1.713938914665916 22.14965051342805;-0.902001407095
-1.0981256586143766 23.099903192516297;-1.0313266978528
-0.5793238893008771 23.976928557673514;-0.9580176768113
-0.21356502371490688 24.68018574725984;-0.7914973418638
-0.13677725938323967 25.08979917882422;-0.5927049203034
-0.3598414956843389 24.123320900440525;-0.905440831810
-0.7219101767858098 23.177689021737645;-1.0025370658331
-1.1235947269241997 22.33428154598341;-0.9593999774736
-1.5150563493023654 21.790559962910258;-0.9350953442281
-1.869516849842392 20.88960738245351;-1.111928642061
-2.1633299734320883 20.000216805385296;-1.1292250025929
-2.373872848201239 19.212446168113956;-1.0339961777460
-2.4884228015188126 18.713289237613296;-0.9411278102912
-2.5060758435172183 17.69859054242817;-1.1728487764787
-2.4116822222326717 16.712873989339496;-1.2149334555208
-2.2320745564891142 15.857621375419589;-1.0681559365554
-2.0116070331015035 15.648118073086206;-0.9957679034757
-1.779016128705273 14.394359729257534;-1.3805178602492
-1.5465319416151944 13.214530269639715;-1.371168608555
-1.3361204182786552 12.242889765439193;-1.3234626450971
-1.1648986008788422 11.097792128446317;-1.5303057382689
-1.051497521318274 10.026297841643594;-1.4883838219204
-1.0031649957804987 9.171949259111457;-1.4054205053650
-1.0164440505749504 8.047624638431108;-1.67087999610
-1.0931759395975786 6.982386218433492;-1.663229253821
-1.2143439314214084 6.115879896194037;-1.4999506038551
-1.3545399882075544 4.808239674395639;-1.8735489619540
-1.4974448731457852 3.586375954432332;-1.7884423278952
-1.620188550406923 2.6847075748813998;-1.836550289059
-1.7043756440054636 1.6291729332438678;-2.0412125276203
-1.7303657697325858 0.6456447039746481;-1.9715009838856
-1.693228583312885 -0.09567714643882008;-1.6488778298925
-1.611230923363657 -1.5846514527142506;-2.049576416032
-1.500820982524484 -2.8992678687990603;-1.7207632795125
-1.392685770225495 -3.6773129973981624;-1.8142188216161
-1.303525342434027 -4.504828798169701;-1.8862660017491
-1.2466571797778052 -5.240438782898422;-1.8188525153177
-1.2273746006215478 -5.818862613558606;-1.6719829812308
-1.2426425375559746 -6.140473507958381;-1.4765730621001
-1.2837522047733718 -5.893456295697543;-1.643312101038
-1.345731362591068 -5.453049693128938;-1.7823695948471
-1.4197033589100592 -4.951325077019219;-1.8620449008840
-1.4943156510901074 -4.450198248680392;-1.8897842477214
-1.5583581258449648 -3.9961025598482416;-1.8680944089694
-1.6031196372114538 -3.6396180812228804;-1.802429435997
-1.6240612371850565 -3.454715494349739;-1.7336868428242
-1.6210479504700355 -3.5230500533730207;-1.7634583197478
-1.5967353823447914 -3.7703597461110925;-1.8334792495863
-1.556472221630025 -4.087554535073464;-1.8766411325940
-1.507831451428042 -4.411017229892048;-1.889790242305
-1.4590186584610654 -4.703024342497351;-1.881913203662
-1.4173470148971452 -4.93931204695545;-1.8632315505243
-1.3881752609758293 -5.104108079073313;-1.8436282329578
-1.3743902201756795 -5.188919887367949;-1.83133008370
-1.3763696711143327 -5.193166595805892;-1.8307295305010
-1.3922755872075279 -5.124551885171531;-1.8409451129829
-1.4185330864832317 -4.997484017336542;-1.8571008379923
-1.4504321354011223 -4.830106420214386;-1.873314947672
-1.482831522284998 -4.641708937245399;-1.8849776643404
-1.5109063429168685 -4.451274356725292;-1.889672266926
