Point;Valeur
8.886072205873596 1.0595001337120067;-1.528637609986
8.806908264264038 1.0720725274972975;-1.552203204955
8.692332459555454 1.0994882406585755;-1.5824623694199
8.563464822040299 1.1358032702155416;-1.6117145942293
8.432890284349893 1.1765560661469323;-1.6369997548910
8.307816086910893 1.2185113929568234;-1.6576050760200
8.192131060821202 1.2594247734976909;-1.673763650402
8.087692078905263 1.2978296649873846;-1.6860657531576
7.99511925068253 1.33285272703006;-1.6951947514502
7.914287189710167 1.3640594518977303;-1.7018081789582
7.844629610711668 1.391329204656624;-1.7064868528088
7.785329554228256 1.4147567458252805;-1.7097175246705
7.735439627265115 1.434576469131585;-1.7118925031111
7.693959365387253 1.451105475131404;-1.7133177294399
7.65988608208114 1.4647018753021348;-1.7142246625305
7.632248915662776 1.475735159959351;-1.7147833233645
7.610131727690045 1.4845659448087556;-1.7151149550576
7.592688120306169 1.4915328734022324;-1.7153034218038
7.5791505137224044 1.4969448700266232;-1.7154049101149
7.568834544067249 1.5010773001732234;-1.7154558000373
7.5611397236021185 1.5041709034896684;-1.715478780670
7.555547165276309 1.5064326203037783;-1.7154874113370
7.551615101102581 1.5080376427144422;-1.7154893914856
7.548972861582589 1.5091321907630146;-1.7154888146643
7.547313908609999 1.5098366489836113;-1.7154876611970
7.546388424510399 1.5102488046145062;-1.7154867456739
7.545995861064296 1.5104470104600007;-1.7154862907272
7.545977753684833 1.5104931577900913;-1.715486255649
PointOptimal;ValeurOptimale
[7.54597775 1.51049316];-1.715486255649772
Temps;Nb iteration
0.003987789154052734;27
