Point;Valeur
-0.1826011412188695 0.17799547701187723;0.2522464837079
-0.18225472225922312 0.17765770814020843;0.2517782673713
-0.1819082596597364 0.1773198966942125;0.25130993308432
-0.18156175349602716 0.1769820427476127;0.25084148103659
-0.18121520384376322 0.17664414637418308;0.25037291141797
-0.18086861077866234 0.17630620764774596;0.24990422441851
-0.18052197437649364 0.17596822664217185;0.2494354202284
-0.1801752947130748 0.17563020343138133;0.24896649903838
-0.17982857186427417 0.17529213808934357;0.24849746103888
-0.17948180590601004 0.1749540306900763;0.2480283064209
-0.1791349969142508 0.17461588130764544;0.24755903537556
-0.17878814496501427 0.1742776900161661;0.2470896480941
-0.17844125013436862 0.17393945688980164;0.2466201447683
-0.17809431249843075 0.1736011820027642;0.24615052558971
-0.17774733213336819 0.17326286542931368;0.245680790750
-0.17740030911539706 0.1729245072437587;0.24521094044232
-0.1770532435207833 0.17258610752045592;0.24474097485811
-0.17670613542584268 0.17224766633381022;0.24427089419025
-0.17635898490693966 0.17190918375827458;0.24380069863157
-0.17601179204048797 0.17157065986834993;0.24333038837507
-0.17566455690295063 0.17123209473858542;0.24285996361397
-0.17531727957083976 0.17089348844357746;0.24238942454170
-0.17496996012071647 0.1705548410579708;0.2419187713518
-0.17462259862919075 0.17021615265645765;0.24144800423839
-0.1742751951729214 0.16987742331377792;0.24097712339526
-0.17392774982861609 0.16953865310471902;0.2405061290167
-0.17358026267303106 0.16919984210411596;0.24003502129733
-0.1732327337829714 0.16886099038685118;0.23956380043167
-0.17288516323529038 0.16852209802785448;0.23909246661466
-0.17253755110689006 0.16818316510210282;0.23862102004138
-0.17218989747472085 0.16784419168462036;0.2381494609071
-0.17184220241578144 0.16750517785047858;0.23767778940741
-0.17149446600711865 0.16716612367479572;0.2372060057379
-0.17114668832582763 0.1668270292327372;0.23673411009458
-0.17079886944905168 0.16648789459951552;0.23626210267349
-0.17045100945398167 0.16614871985038976;0.23578998367099
-0.17010310841785709 0.16580950506066552;0.23531775328358
-0.16975516641796484 0.1654702503056956;0.23484541170801
-0.16940718353163975 0.1651309556608791;0.2343729591412
-0.16905915983626407 0.16479162120166194;0.2339003957803
-0.16871109540926824 0.16445224700353595;0.23342772182263
-0.1683629903281297 0.16411283314203987;0.23295493746575
-0.16801484467037384 0.16377337969275838;0.23248204290740
-0.16766665851357315 0.16343388673132278;0.23200903834553
-0.1673184319353475 0.16309435433341019;0.23153592397828
-0.1669701650133641 0.16275478257474404;0.23106270000402
-0.16662185782533712 0.1624151715310936;0.23058936662128
-0.16627351044902813 0.16207552127827407;0.23011592402884
-0.16592512296224518 0.16173583189214655;0.22964237242563
-0.16557669544284404 0.16139610344861782;0.22916871201083
-0.16522822796872683 0.16105633602364047;0.22869494298378
-0.16487972061784245 0.16071652969321287;0.22822106554404
-0.16453117346818644 0.16037668453337878;0.22774707989138
-0.16418258659780122 0.1600368006202276;0.2272729862257
-0.16383396008477571 0.15969687802989357;0.22679878474727
-0.1634852940072452 0.15935691683855674;0.2263244756563
-0.16313658844339118 0.15901691712244223;0.22585005915351
-0.16278784347144176 0.1586768789578207;0.22537553543951
-0.16243905916967114 0.1583368024210071;0.22490090471529
-0.16209023561639985 0.1579966875883621;0.22442616718201
-0.16174137288999396 0.15765653453629103;0.2239513230410
-0.16139247106886603 0.15731634334124409;0.22347637249383
-0.1610435302314744 0.15697611407971634;0.22300131574221
-0.16069455045632325 0.1566358468282474;0.22252615298807
-0.1603455318219622 0.15629554166342158;0.22205088443356
-0.15999647440698717 0.15595519866186755;0.22157551028100
-0.1596473782900391 0.15561481790025872;0.2211000307329
-0.15929824354980468 0.1552743994553126;0.2206244459920
-0.1589490702650159 0.1549339434037914;0.22014875626119
-0.15859985851445002 0.15459344982250134;0.2196729617435
-0.1582506083769297 0.1542529187882926;0.21919706264250
-0.1579013199313231 0.15391235037805961;0.2187210591614
-0.1575519932565429 0.15357174466874088;0.21824495150401
-0.15720262843154723 0.1532311017373187;0.2177687398741
-0.15685322553533912 0.15289042166081906;0.217292424476
-0.15650378464696577 0.15254970451631217;0.21681600551375
-0.15615430584551987 0.1522089503809113;0.2163394831918
-0.15580478921013882 0.1518681593317738;0.21586285771500
-0.15545523482000442 0.15152733144610026;0.21538612928802
-0.15510564275434302 0.1511864668011347;0.2149092981159
-0.15475601309242537 0.1508455654741645;0.21443236440400
-0.15440634591356664 0.15050462754252042;0.21395532835761
-0.15405664129712626 0.15016365308357627;0.21347819018239
-0.1537068993225078 0.14982264217474914;0.2130009500841
-0.1533571200691591 0.14948159489349902;0.21252360826880
-0.15300730361657172 0.14914051131732906;0.21204616494260
-0.1526574500442816 0.148799391523785;0.21156862031189
-0.1523075594318683 0.14845823559045532;0.21109097458324
-0.1519576318589552 0.1481170435949714;0.2106132279633
-0.1516076674052094 0.14777581561500724;0.2101353806592
-0.15125766615034145 0.14743455172827927;0.20965743287794
-0.1509076281741056 0.1470932520125464;0.20917938482680
-0.15055755355629943 0.14675191654561026;0.20870123671331
-0.15020744237676406 0.14641054540531417;0.20822298874515
-0.14985729471538378 0.14606913866954388;0.2077446411301
-0.1495071106520862 0.14572769641622774;0.20726619407649
-0.14915689026684162 0.14538621872333546;0.2067876477922
-0.1488066336396637 0.14504470566887923;0.2063090024860
-0.14845634085060938 0.1447031573309127;0.20583025836626
-0.1481060119797779 0.1443615737875315;0.2053514156418
-0.14775564710731157 0.1440199551168731;0.20487247452175
-0.14740524631339497 0.14367830139711663;0.20439343521514
-0.14705480967825588 0.14333661270648257;0.20391429793136
-0.14670433728216425 0.1429948891232329;0.2034350628799
-0.14635382920543225 0.1426531307256714;0.20295573027061
-0.14600328552841502 0.14231133759214218;0.20247630031326
-0.14565270633150937 0.1419695098010317;0.20199677321798
-0.14530209169515484 0.14162764743076683;0.2015171491950
-0.14495144169983235 0.1412857505598159;0.20103742845485
-0.14460075642606537 0.14094381926668792;0.2005576112080
-0.1442500359544192 0.1406018536299327;0.20007769766551
-0.1438992803655009 0.1402598537281411;0.19959768803816
-0.14354848973995912 0.13991781963994468;0.19911758253718
-0.14319766415848448 0.1395757514440158;0.19863738137394
-0.1428468037018089 0.1392336492190669;0.1981570847599
-0.14249590845070587 0.13889151304385108;0.19767669290693
-0.14214497848599056 0.138549342997162;0.1971962060267
-0.14179401388851887 0.13820713915783342;0.19671562433153
-0.1414430147391883 0.13786490160473944;0.19623494803348
-0.14109198111893745 0.1375226304167943;0.19575417734502
-0.14074091310874612 0.13718032567295194;0.19527331247878
-0.14038981078963464 0.1368379874522068;0.1947923536475
-0.14003867424266456 0.13649561583359288;0.19431130106419
-0.13968750354893822 0.13615321089618374;0.1938301549419
-0.1393362987895985 0.1358107727190929;0.19334891549410
-0.13898506004582906 0.13546830138147356;0.19286758293413
-0.13863378739885368 0.13512579696251836;0.1923861574756
-0.13828248092993708 0.13478325954145948;0.19190463933263
-0.1379311407203841 0.13444068919756808;0.1914230287189
-0.13757976685153978 0.13409808601015502;0.19094132584888
-0.13722835940478958 0.13375545005857004;0.19045953093674
-0.13687691846155867 0.13341278142220198;0.1899776441970
-0.1365254441033127 0.13307008018047897;0.18949566584459
-0.13617393641155645 0.132727346412868;0.1890135960941
-0.13582239546783514 0.1323845801988748;0.18853143516089
-0.13547082135373364 0.13204178161804364;0.18804918325996
-0.13511921415087638 0.13169895074995766;0.18756684060679
-0.1347675739409272 0.13135608767423873;0.18708440741694
-0.13441590080558963 0.13101319247054688;0.1866018839061
-0.13406419482660648 0.13067026521858072;0.1861192702903
-0.1337124560857594 0.1303273059980773;0.18563656678566
-0.13336068466487006 0.12998431488881154;0.18515377360827
-0.1330088806457985 0.12964129197059657;0.18467089097463
-0.1326570441104442 0.1292982373232839;0.18418791910134
-0.13230517514074555 0.12895515102676258;0.183704858205
-0.1319532738186793 0.12861203316095962;0.18322170850305
-0.13160134022626152 0.1282688838058401;0.1827384702120
-0.13124937444554644 0.12792570304140666;0.1822551435495
-0.13089737655862713 0.12758249094769947;0.18177172873282
-0.13054534664763512 0.127239247604796;0.18128822597959
-0.13019328479473996 0.12689597309281145;0.18080463550760
-0.12984119108214992 0.12655266749189853;0.18032095753478
-0.12948906559211143 0.12620933088224656;0.1798371922792
-0.12913690840690867 0.12586596334408276;0.1793533399592
-0.12878471960886426 0.1255225649576707;0.17886940079328
-0.12843249928033815 0.12517913580331141;0.17838537499989
-0.1280802475037286 0.12483567596134273;0.17790126279786
-0.12772796436147146 0.12449218551213925;0.17741706440612
-0.1273756499360401 0.12414866453611234;0.17693278004377
-0.12702330430994554 0.12380511311370973;0.1764484099300
-0.12667092756573625 0.12346153132541607;0.17596395428444
-0.12631851978599837 0.12311791925175208;0.17547941332647
-0.1259660810533544 0.12277427697327542;0.1749947872759
-0.1256136114504648 0.12243060457057925;0.17451007635265
-0.12526111106002724 0.1220869021242931;0.17402528077680
-0.12490857996477558 0.12174316971508328;0.17354040076856
-0.12455601824748111 0.12139940742365107;0.17305543654835
-0.12420342599095202 0.12105561533073411;0.17257038833671
-0.12385080327803302 0.12071179351710598;0.17208525635436
-0.12349815019160532 0.12036794206357579;0.17160004082218
-0.12314546681458674 0.12002406105098817;0.17111474196120
-0.12279275322993163 0.11968015056022357;0.17062935999262
-0.12244000952063055 0.11933621067219782;0.17014389513779
-0.12208723576971056 0.11899224146786186;0.16965834761823
-0.12173443206023438 0.11864824302820215;0.1691727176555
-0.12138159847530122 0.11830421543424;0.1686870054717
-0.12102873509804585 0.11796015876703236;0.16820121128860
-0.12067584201163922 0.1176160731076705;0.1677153353283
-0.12032291929928798 0.1172719585372809;0.16722937781331
-0.11996996704423415 0.11692781513702488;0.16674333896589
-0.11961698532975598 0.11658364298809848;0.1662572190087
-0.11926397423916668 0.11623944217173185;0.16577101816459
-0.11891093385581472 0.11589521276919054;0.165284736656
-0.11855786426308451 0.11555095486177369;0.16479837470718
-0.11820476554439516 0.11520666853081526;0.16431193254023
-0.11785163778320074 0.11486235385768337;0.16382541037889
-0.11749848106299071 0.11451801092378025;0.16333880844671
-0.11714529546728925 0.1141736398105423;0.16285212696739
-0.11679208107965519 0.11382924059943961;0.16236536616475
-0.11643883798368251 0.11348481337197602;0.1618785262627
-0.1160855662629996 0.11314035820968965;0.161391607485
-0.11573226600126924 0.1127958751941519;0.16090461005767
-0.11537893728218865 0.11245136440696821;0.16041753420324
-0.1150255801894896 0.11210682592977672;0.15993038014699
-0.11467219480693802 0.11176225984424962;0.15944314811366
-0.1143187812183338 0.11141766623209223;0.15895583832814
-0.113965339507511 0.11107304517504293;0.15846845101550
-0.11361186975833767 0.11072839675487339;0.1579809864009
-0.11325837205471545 0.11038372105338831;0.1574934447097
-0.1129048464805801 0.11003901815242514;0.15700582616748
-0.11255129311990086 0.10969428813385423;0.15651813099976
-0.11219771205668053 0.1093495310795784;0.15603035943237
-0.1118441033749552 0.1090047470715339;0.15554251169125
-0.1114904671587946 0.10865993619168879;0.15505458800249
-0.11113680349230129 0.10831509852204357;0.15456658859230
-0.11078311245961145 0.10797023414463167;0.15407851368708
-0.11042939414489414 0.10762534314151825;0.15359036351332
-0.11007564863235145 0.10728042559480072;0.15310213829771
-0.10972187600621808 0.10693548158660851;0.15261383826705
-0.1093680763507619 0.10659051119910326;0.15212546364829
-0.10901424975028312 0.10624551451447825;0.1516370146685
-0.1086603962891147 0.10590049161495854;0.15114849155501
-0.10830651605162206 0.10555544258280097;0.15065989453512
-0.10795260912220256 0.10521036750029417;0.15017122383638
-0.10759867558528685 0.10486526644975741;0.1496824796864
-0.1072447155253364 0.10452013951354247;0.1491936623131
-0.10689072902684599 0.1041749867740315;0.14870477194444
-0.1065367161743416 0.1038298083136383;0.14821580880840
-0.10618267705238116 0.1034846042148079;0.14772677313326
-0.10582861174555463 0.10313937456001585;0.14723766514739
-0.10547452033848365 0.10279411943176892;0.1467484850793
-0.10512040291582131 0.10244883891260442;0.1462592331576
-0.10476625956225197 0.10210353308509076;0.1457699096112
-0.10441209036249174 0.10175820203182659;0.14528051466903
-0.10405789540128771 0.10141284583544122;0.14479104856001
-0.1037036747634183 0.10106746457859436;0.14430151151342
-0.10334942853369289 0.10072205834397585;0.14381190375860
-0.10299515679695195 0.1003766272143059;0.14332222552503
-0.10264085963806649 0.10003117127233499;0.14283247704231
-0.10228653714193872 0.09968569060084329;0.14234265854022
-0.10193218939350127 0.09934018528264107;0.14185277024862
-0.10157781647771755 0.09899465540056834;0.14136281239754
-0.10122341847958097 0.09864910103749464;0.14087278521713
-0.10086899548411546 0.09830352227631989;0.14038268893768
-0.10051454757637562 0.09795791919997249;0.13989252378963
-0.10016007484144576 0.09761229189141066;0.1394022900035
-0.09980557736444043 0.09726664043362204;0.1389119878100
-0.09945105523050388 0.09692096490962357;0.13842161744000
-0.09909650852481061 0.09657526540246089;0.13793117912438
-0.09874193733256442 0.09622954199520894;0.13744067309425
-0.0983873417389988 0.09588379477097195;0.13695009958083
-0.0980327218293772 0.09553802381288215;0.1364594588154
-0.09767807768899195 0.09519222920410081;0.1359687510296
-0.09732340940316495 0.09484641102781818;0.13547797645497
-0.09696871705724763 0.09450056936725215;0.1349871353231
-0.09661400073661977 0.09415470430565015;0.13449622786612
-0.09625926052669082 0.09380881592628709;0.13400525431581
-0.09590449651289881 0.0934629043124662;0.13351421490436
-0.09554970878071095 0.09311696954751889;0.13302310986403
-0.09519489741562259 0.0927710117148047;0.13253193942720
-0.0948400625031581 0.09242503089771098;0.1320407038263
-0.09448520412887015 0.09207902717965266;0.13154940329417
-0.09413032237833974 0.09173300064407244;0.1310580380633
-0.09377541733717643 0.09138695137444078;0.13056660836683
-0.09342048909101741 0.0910408794542556;0.13007511443757
-0.09306553772552834 0.09069478496704217;0.12958355650873
-0.09271056332640301 0.09034866799635283;0.12909193481357
-0.09235556597936259 0.09000252862576738;0.12860024958546
-0.09200054577015612 0.08965636693889242;0.1281085010579
-0.09164550278456055 0.08931018301936161;0.12761668946454
-0.09129043710838014 0.08896397695083552;0.12712481503911
-0.09093534882744639 0.08861774881700138;0.12663287801549
-0.09058023802761866 0.08827149870157319;0.126140878627
-0.09022510479478257 0.08792522668829147;0.1256488171097
-0.08986994921485189 0.08757893286092311;0.1251566936960
-0.0895147713737669 0.08723261730326134;0.12466450862082
-0.0891595713574948 0.08688628009912545;0.12417226211858
-0.08880434925202953 0.08653992133236114;0.12367995442393
-0.0884491051433915 0.08619354108684014;0.12318758577158
-0.08809383911762812 0.08584713944645979;0.12269515639635
-0.08773855126081286 0.08550071649514343;0.12220266653321
-0.08738324165904571 0.0851542723168401;0.12171011641723
-0.08702791039845299 0.08480780699552429;0.1212175062835
-0.08667255756518684 0.08446132061519616;0.12072483636758
-0.08631718324542553 0.08411481325988115;0.1202321069046
-0.08596178752537338 0.08376828501363001;0.11973931813029
-0.0856063704912603 0.08342173596051847;0.11924647028019
-0.08525093222934194 0.08307516618464751;0.11875356359011
-0.08489547282589956 0.08272857577014284;0.1182605982959
-0.08453999236723982 0.08238196480115526;0.11776757463361
-0.0841844909396947 0.08203533336186028;0.11727449283930
-0.08382896862962137 0.08168868153645771;0.11678135314921
-0.08347342552340234 0.08134200940917219;0.11628815579966
-0.08311786170744487 0.08099531706425257;0.11579490102711
-0.08276227726818121 0.08064860458597214;0.1153015890681
-0.08240667229206852 0.0803018720586282;0.11480822015934
-0.08205104686558826 0.0799551195665421;0.11431479453757
-0.08169540107524677 0.07960834719405936;0.1138213124396
-0.08133973500757484 0.07926155502554917;0.11332777410270
-0.08098404874912726 0.07891474314540457;0.11283417976371
-0.08062834238648325 0.07856791163804207;0.11234052965994
-0.08027261600624624 0.07822106058790168;0.11184682402872
-0.0799168696950434 0.07787419007944703;0.11135306310748
-0.07956110353952589 0.07752730019716476;0.11085924713376
-0.07920531762636862 0.07718039102556486;0.11036537634523
-0.07884951204227009 0.07683346264918024;0.10987145097962
-0.07849368687395224 0.0764865151525669;0.1093774712748
-0.07813784220816054 0.07613954862030355;0.10888343746876
-0.07778197813166365 0.07579256313699169;0.10838934979955
-0.07742609473125339 0.07544555878725544;0.10789520850535
-0.07707019209374469 0.07509853565574132;0.10740101382446
-0.0767142703059753 0.07475149382711813;0.10690676599525
-0.07635832945480596 0.07440443338607708;0.10641246525623
-0.07600236962711987 0.07405735441733145;0.10591811184597
-0.07564639090982286 0.07371025700561666;0.1054237060031
-0.07529039338984339 0.0733631412356897;0.10492924796665
-0.0749343771541319 0.07301600719232976;0.10443473797529
-0.07457834228966138 0.07266885496033741;0.10394017626810
-0.07422228888342677 0.07232168462453481;0.10344556308417
-0.07386621702244478 0.07197449626976568;0.10295089866271
-0.07351012679375411 0.07162728998089492;0.10245618324302
-0.07315401828441527 0.07128006584280878;0.10196141706449
-0.07279789158151033 0.07093282394041422;0.10146660036664
-0.07244174677214267 0.07058556435863955;0.10097173338905
-0.07208558394343711 0.07023828718243355;0.10047681637142
-0.07172940318253958 0.06989099249676603;0.09998184955353
-0.07137320457661735 0.0695436803866272;0.09948683317529
-0.07101698821285839 0.06919635093702767;0.09899176747667
-0.07066075417847176 0.06884900423299851;0.09849665269776
-0.07030450256068692 0.06850164035959101;0.0980014890787
-0.06994823344675408 0.06815425940187649;0.09750627685985
-0.06959194692394405 0.06780686144494597;0.0970110162814
-0.06923564307954763 0.06745944657391081;0.09651570758409
-0.06887932200087603 0.06711201487390182;0.0960203510082
-0.06852298377526042 0.06676456643006914;0.09552494679453
-0.06816662849005212 0.06641710132758277;0.09502949518375
-0.06781025623262185 0.06606961965163186;0.09453399641670
-0.06745386709036034 0.06572212148742469;0.09403845073431
-0.06709746115067775 0.06537460692018866;0.09354285837759
-0.06674103850100356 0.06502707603517016;0.09304721958764
-0.06638459922878645 0.06467952891763418;0.09255153460566
-0.06602814342149457 0.06433196565286436;0.09205580367291
-0.06567167116661461 0.06398438632616325;0.09156002703078
-0.06531518255165233 0.06363679102285141;0.09106420492072
-0.06495867766413231 0.0632891798282678;0.09056833758427
-0.06460215659159736 0.06294155282776956;0.09007242526307
-0.06424561942160897 0.06259391010673158;0.08957646819884
-0.06388906624174681 0.06224625175054689;0.08908046663338
-0.06353249713960893 0.06189857784462598;0.08858442080859
-0.063175912202811 0.06155088847439717;0.08808833096644
-0.0628193115189869 0.06120318372530588;0.08759219734900
-0.062462695175787813 0.06085546368281512;0.08709602019841
-0.06210606326088293 0.06050772843240465;0.08659979975689
-0.06174941586195849 0.06015997805957163;0.08610353626677
-0.06139275306671803 0.059812212649829874;0.08560722997044
-0.06103607496288241 0.05946443228870993;0.08511088111037
-0.0606793816381893 0.05911663706175885;0.08461448992913
-0.06032267318039322 0.05876882705454013;0.0841180566693
-0.05996594967726529 0.05842100235263345;0.08362158157377
-0.05960921121659306 0.05807316304163464;0.08312506488517
-0.059252457886180526 0.05772530920715549;0.08262850684643
-0.05889568977384772 0.057377440934823554;0.08213190770053
-0.058538906967430915 0.05702955831028192;0.08163526769048
-0.05818210955478191 0.05668166141918922;0.08113858705942
-0.05782529762376834 0.05633375034721949;0.08064186605053
-0.057468471262273446 0.05598582518006162;0.08014510490709
-0.057111630558195736 0.05563788600341969;0.07964830387243
-0.056754775599448776 0.055289932903012706;0.07915146318998
-0.05639790647396119 0.054941965964574166;0.07865458310324
-0.05604102326967651 0.05459398527385194;0.07815766385578
-0.055684126074552795 0.054245990916608325;0.07766070569124
-0.05532721497656272 0.05389798297861971;0.07716370885334
-0.054970290063692986 0.05354996154567643;0.07666667358588
-0.05461335142394473 0.05320192670358262;0.07616960013271
-0.05425639914533276 0.05285387853815589;0.07567248873778
-0.053899433315885606 0.05250581713522744;0.07517533964508
-0.05354245402364549 0.05215774258064158;0.0746781530987
-0.05318546135666774 0.05180965496025555;0.07418092934278
