Point;Valeur
-2.5382495177011153 4.490259158261541;-0.9023402119994
-2.5237495193128314 4.475759158776384;-0.9106786105102
-2.5137261644927476 4.465722715124979;-0.9162382870459
-2.505659420988716 4.457639007524568;-0.9205898826685
-2.498752793813118 4.450713638352544;-0.9242280005899
-2.4926357845107834 4.444576901402323;-0.9273822963623
-2.487100877783142 4.439021661040206;-0.9301812311521
-2.482018122566212 4.433918175842534;-0.9327051609523
-2.477299800550921 4.429178854766787;-0.9350082717106
-2.472883411276072 4.42474128005811;-0.9371291343243
-2.4687225636327885 4.420559117192176;-0.9390963512791
-2.4647817026879184 4.41659685153901;-0.9409318237965
-2.4610328665174426 4.4128265508263755;-0.9426527602000
-2.4574535930044474 4.409225775342263;-0.9442729715372
-2.454025514558617 4.4057761748078565;-0.9458037410110
-2.4507333832013702 4.4024625148771825;-0.9472544268894
-2.447564375170945 4.399271982701351;-0.9486328923753
-2.4445075829503033 4.396193679624175;-0.9499458194920
-2.441553636457673 4.393218242849751;-0.9511989430629
-2.438694415401104 4.390337558143619;-0.9523972283142
-2.43592282733885 4.387544538150565;-0.9535450078558
-2.433232633984851 4.38483294889397;-0.9546460888451
-2.430618313529619 4.382197272244898;-0.9557038378986
-2.4280749502499583 4.379632595646704;-0.9567212491491
-2.425598145074302 4.3771345227703;-0.9577009993626
-2.423183942437404 4.374699100440249;-0.9586454930004
-2.420828769938584 4.37232275835005;-0.9595568993801
-2.4185293881661947 4.370002258932658;-0.9604371835646
-2.4162828486702033 4.367734655370464;-0.9612881322255
-2.4140864585211643 4.365517256185192;-0.9621113754464
-2.4119377502365538 4.3633475951895955;-0.9629084052166
-2.409834456112985 4.361223405840615;-0.963680591210
-2.4077744861996835 4.3591425992307515;-0.9644291943251
-2.4057559093014325 4.357103245105841;-0.9651553783471
-2.4037769365165316 4.3551035554155355;-0.9658602200657
-2.4018359069079347 4.353141869995152;-0.9665447180674
-2.3999312749792816 4.351216644050877;-0.9672098004222
-2.398061599685309 4.349326437178003;-0.9678563314254
-2.3962255347527974 4.34746990368866;-0.9684851175334
-2.3944218201262255 4.345645784063247;-0.9690969126082
-2.392649274381956 4.343852897369729;-0.9696924225663
-2.3909067879803967 4.3420901345203;-0.9702723095126
-2.389193317245689 4.340356452254808;-0.970837195427
-2.387507878979063 4.338650867757579;-0.9713876654658
-2.3858495456263524 4.336972453827952;-0.971924270912
-2.384217440931489 4.3353203345362985;-0.9724475318425
-2.3826107360173916 4.333693681307355;-0.9729579395200
-2.3810286458440877 4.332091709380399;-0.9734559585612
-2.3794704260006703 4.330513674602906;-0.973942028896
-2.3779353697930756 4.3289588705201965;-0.974416567548
-2.3764228055953964 4.327426625728051;-0.9748799702543
-2.3749320944358976 4.325916301460084;-0.9753326129326
-2.373462627792795 4.3244272893848175;-0.9757748530351
-2.372013825578169 4.322959009590372;-0.9762070307742
-2.370585134290257 4.32151090873812;-0.9766294702506
-2.3691760253179046 4.3200824583676365;-0.9770424804876
-2.3677859933814838 4.318673153338649;-0.9774463563813
-2.3664145550975615 4.317282510396208;-0.9778413795754
-2.3650612476551185 4.315910066847819;-0.9782278192680
-2.3637256275933516 4.31455537934157;-0.978605932956
-2.362407269671246 4.3132180227363985;-0.9789759671232
-2.3611057658208616 4.3118975890558024;-0.9793381578776
-2.35982072417683 4.310593686517859;-0.979692731542
-2.3585517681754355 4.30930593863463;-0.9800399052021
-2.357298535717176 4.308033983375139;-0.9803798872159
-2.3560606783874745 4.306777472386432;-0.9807128776871
-2.3548378607306493 4.305536070267861;-0.9810390689068
-2.3536297595728084 4.304309453894306;-0.9813586457650
-2.352436063389681 4.303097311784254;-0.9816717861343
-2.3512564717157067 4.3018993435091195;-0.9819786612287
-2.350090694591304 4.300715259140754;-0.9822794359397
-2.348938452045171 4.299544778733984;-0.9825742691501
-2.347799473609044 4.298387631841541;-0.9828633140285
-2.3466734978623984 4.2972435570590175;-0.9831467183055
-2.3455602720049904 4.2961123015974945;-0.9834246245330
-2.3444595514549826 4.294993620881877;-0.9836971703278
-2.3433710994709718 4.293887278173072;-0.9839644886007
-2.342294686796132 4.292793044212266;-0.9842267077723
-2.3412300913229065 4.291710696885816;-0.9844839519758
-2.340177097776937 4.290640020909144;-0.9847363412487
-2.339135497418614 4.289580807528568;-0.9849839917134
-2.3381050877614333 4.288532854239654;-0.9852270157480
-2.3370856723056583 4.287495964521082;-0.9854655221468
-2.3360770602865912 4.28646994758293;-0.9856996162734
-2.3350790664362044 4.285454618128494;-0.985929400204
-2.3340915107576374 4.284449796128701;-0.9861549728656
-2.333114218311193 4.283455306608363;-0.9863764301624
-2.332147019011637 4.282470979443539;-0.9865938651011
-2.3311897474359164 4.281496649169196;-0.9868073679059
-2.330242242640382 4.28053215479665;-0.9870170261290
-2.329304347987416 4.279577339640126;-0.9872229247554
-2.3283759109804136 4.278632051151993;-0.987425146302
-2.327456783107091 4.277696140765908;-0.9876237709155
-2.3265468196901327 4.276769463747668;-0.987818876455
-2.325645879745175 4.275851879053221;-0.9880105385886
-2.324753825845441 4.274943249193373;-0.9881988308635
-2.3238705239927686 4.274043440104796;-0.9883838247926
-2.322995843494595 4.273152321027153;-0.9885655899250
-2.3221296568466117 4.272269764385715;-0.9887441939171
-2.321271839620732 4.271395645679473;-0.9889197026003
-2.3204222703581774 4.2705298433741605;-0.9890921800457
-2.3195808304672436 4.269672238800141;-0.9892616886255
-2.318747404125659 4.268822716054769;-0.9894282890719
-2.3179218781871134 4.267981161909005;-0.9895920405335
-2.317104142091945 4.267147465718077;-0.9897530006291
-2.3162940877815914 4.266321519336014;-0.9899112254990
-2.315491609616687 4.265503217033787;-0.9900667698547
-2.3146966042986423 4.26469245542086;-0.9902196870261
-2.313908970794434 4.263889133370099;-0.990370029006
-2.313128610264512 4.263093151945684;-0.9905178464959
-2.3123554259937644 4.2623044143340465;-0.9906631889435
-2.311589323325102 4.261522825777582;-0.9908061045866
-2.310830209595864 4.2607482935110355;-0.9909466404892
-2.310077994076696 4.2599807267004;-0.9910848425791
-2.3093325879128357 4.259220036384266;-0.9912207556830
-2.308593904067714 4.258466135417444;-0.9913544235603
-2.3078618572687595 4.257718938416807;-0.9914858889360
-2.3071363639552964 4.256978361709129;-0.9916151935317
-2.306417342228343 4.25624432328105;-0.9917423780964
-2.3057047118024188 4.255516742730835;-0.9918674824345
-2.304998393959124 4.254795541221959;-0.9919905454348
-2.304298311502398 4.254080641438467;-0.9921116050967
-2.3036043887155433 4.25337196754192;-0.9922306985562
-2.3029165513196723 4.252669445129976;-0.9923478621111
-2.3022347264337983 4.25197300119643;-0.9924631312445
-2.3015588425362514 4.251282564092729;-0.9925765406488
-2.3008888294275924 4.250598063490822;-0.9926881242470
-2.3002246181947608 4.249919430347368;-0.9927979152152
-2.299566141176472 4.249246596869186;-0.9929059460028
-2.298913331929873 4.248579496479908;-0.9930122483526
-2.29826612519836 4.247918063787806;-0.9931168533203
-2.2976244568804036 4.247262234554719;-0.9932197912934
-2.296988263999616 4.246611945665988;-0.993321092008
-2.2963574846756347 4.245967135101543;-0.9934207845704
-2.2957320580961103 4.245327741907776;-0.993518897466
-2.2951119244895772 4.24469370617053;-0.9936154585841
-2.294497025099262 4.244064968988856;-0.993710495228
-2.293887302157735 4.243441472449727;-0.9938040341343
-2.2932826988623445 4.242823159603496;-0.9938961014828
-2.2926831593515535 4.242209974440191;-0.9939867229154
-2.292088628681879 4.241601861866587;-0.9940759235475
-2.2914990528057344 4.240998767683982;-0.9941637279816
-2.290914378549867 4.240400638566686;-0.994250160320
-2.290334553594538 4.239807422041203;-0.9943352441808
-2.289759526453243 4.239219066466029;-0.9944190027023
-2.289189246453248 4.238635521012134;-0.9945014585628
-2.288623663716524 4.238056735643983;-0.9945826339877
-2.2880627291414486 4.237482661101174;-0.994662550761
-2.287506394384896 4.236913248880642;-0.9947412302395
-2.2869546118450095 4.2363484512193805;-0.9948186933555
-2.2864073346443803 4.235788221077697;-0.994894960635
-2.285864516613801 4.235232512122951;-0.994970052203
-2.2853261122764987 4.234681278713798;-0.9950439877950
-2.2847920768327494 4.234134475884866;-0.9951167867635
-2.2842623661450823 4.233592059331927;-0.9951884680904
-2.2837369367237557 4.233053985397424;-0.9952590503931
-2.2832157457127806 4.232520211056525;-0.9953285519342
-2.2826987508762824 4.231990693903455;-0.9953969906292
-2.2821859105852367 4.231465392138324;-0.9954643840547
-2.28167718380466 4.230944264554237;-0.9955307494558
-2.2811725300810286 4.230427270524867;-0.9955961037539
-2.2806719095302292 4.22991436999227;-0.9956604635540
-2.2801752828256485 4.229405523455096;-0.9957238451515
-2.2796826111867237 4.228900691957158;-0.9957862645395
-2.279193856367776 4.228399837076234;-0.9958477374153
-2.278708980647141 4.227902920913208;-0.9959082791867
-2.2782279468165743 4.22740990608157;-0.9959679049791
-2.277750718170968 4.2269207556970905;-0.9960266296406
-2.2772772584983265 4.226435433367828;-0.9960844677491
-2.2768075320700594 4.22595390318442;-0.9961414336173
-2.276341503631438 4.225476129710596;-0.9961975412991
-2.2758791383923795 4.225002077973953;-0.9962528045944
-2.2754204020184186 4.22453171345698;-0.9963072370552
-2.2749652606220065 4.224065002088295;-0.996360851990
-2.2745136807539 4.223601910234119;-0.9964136624716
-2.2740656293948667 4.223142404689998;-0.9964656813368
-2.2736210739475786 4.2226864526726775;-0.9965169211966
-2.273179982228705 4.2222340218122385;-0.9965673944384
-2.272742322461229 4.221785080144399;-0.9966171132308
-2.2723080632668666 4.221339596103019;-0.996666089528
-2.2718771736588286 4.220897538512809;-0.9967143350767
-2.271449623034635 4.220458876582164;-0.996761861414
-2.2710253811691397 4.220023579896262;-0.9968086798816
-2.2706044182077507 4.21959161841025;-0.9968548016183
-2.2701867046598023 4.21916296244263;-0.9969002375732
-2.2697722113920884 4.218737582668817;-0.9969449985052
-2.269360909622493 4.218315450114853;-0.9969890949880
-2.2689527709139354 4.217896536151218;-0.9970325374132
-2.268547767168207 4.21748081248688;-0.9970753359946
-2.2681458706202524 4.21706825116339;-0.9971175007710
-2.2677470538323488 4.216658824549182;-0.997159041610
-2.267351289688476 4.216252505333995;-0.9971999682123
-2.266958551388924 4.215849266523401;-0.9972402901125
-2.266568812444877 4.215449081433489;-0.9972800166849
-2.2661820466732654 4.215051923685639;-0.9973191571452
-2.265798228191589 4.214657767201459;-0.9973577205540
-2.265417331412967 4.214266586197805;-0.9973957158197
-2.2650393310412773 4.213878355181912;-0.9974331517014
-2.2646642020663803 4.213493048946645;-0.9974700368117
-2.2642919197594544 4.213110642565879;-0.9975063796197
-2.2639224596684233 4.212731111389948;-0.9975421884535
-2.263555797613576 4.2123544310411924;-0.997577471502
-2.2631919096831523 4.211980577409642;-0.9976122368221
-2.2628307722290932 4.211609526648767;-0.9976464923321
-2.262472361862886 4.211241255171322;-0.9976802458232
-2.2621166554514973 4.2108757396452745;-0.9977135049578
-2.2617636301133492 4.210512956989848;-0.9977462772721
-2.261413263214478 4.210152884371621;-0.9977785701791
-2.26106553236467 4.209795499200744;-0.9978103909704
-2.2607204154137044 4.209440779127193;-0.9978417468187
-2.260377890447778 4.209088702037123;-0.9978726447797
-2.260037935785848 4.208739246049327;-0.9979030917947
-2.259700529976122 4.2083923895117135;-0.9979330946923
-2.259365651792716 4.208048110997893;-0.9979626601903
-2.2590332802321753 4.207706389303832;-0.9979917948983
-2.258703394510261 4.207367203444577;-0.9980205053190
-2.258375974058694 4.207030532651029;-0.9980487978507
-2.2580509985219894 4.206696356366804;-0.9980766787886
-2.2577284477543578 4.206364654245155;-0.9981041543272
-2.257408301816718 4.206035406145932;-0.9981312305616
-2.2570905409736524 4.2057085921326305;-0.9981579134895
-2.2567751456905563 4.205384192469479;-0.9981842090130
-2.2564620966307416 4.205062187618625;-0.9982101229403
-2.2561513746526476 4.2047425582373235;-0.9982356609869
-2.2558429608071093 4.204425285175189;-0.9982608287780
-2.2555368363346378 4.204110349471546;-0.998285631849
-2.255232982662817 4.203797732352793;-0.9983100756490
-2.2549313814036704 4.203487415229818;-0.9983341655395
-2.2546320143511966 4.2031793796954675;-0.9983579067982
-2.2543348634788076 4.202873607522081;-0.998381304619
-2.2540399109368976 4.202570080659051;-0.9984043641172
-2.253747139050489 4.202268781230447;-0.9984270903229
-2.253456530316831 4.201969691532659;-0.9984494881906
-2.2531680674031356 4.201672794032117;-0.9984715625966
-2.25288173314428 4.201378071363037;-0.9984933183408
-2.2525975105406184 4.20108550632519;-0.9985147601483
-2.252315382755782 4.2007950818817426;-0.998535892670
-2.252035333114517 4.200506781157151;-0.998556720486
-2.2517573451006165 4.200220587435031;-0.9985772481047
-2.251481402354842 4.199936484156129;-0.9985974799624
-2.2512074886729128 4.199654454916288;-0.9986174204291
-2.250935588003507 4.199374483464476;-0.9986370738063
-2.2506656844462944 4.199096553700849;-0.9986564443292
-2.2503977622500275 4.19882064967483;-0.998675536167
-2.2501318058106645 4.198546755583243;-0.9986943534265
-2.249867799669499 4.198274855768461;-0.9987129001
-2.2496057285113706 4.198004934716586;-0.9987311803139
-2.2493455771628432 4.197736977055707;-0.9987491978414
-2.249087330590465 4.197470967554117;-0.9987669565897
-2.248830973899044 4.197206891118601;-0.9987844603588
-2.2485764923299536 4.196944732792758;-0.9988017128902
-2.248323871259466 4.196684477755339;-0.9988187178682
-2.248073096197092 4.196426111318613;-0.9988354789210
-2.2478241527839935 4.19616961892677;-0.9988519996215
-2.2475770267913924 4.195914986154328;-0.998868283488
-2.2473317041190004 4.195662198704606;-0.9988843339854
-2.2470881707935058 4.195411242408192;-0.9989001545259
-2.2468464129670696 4.195162103221437;-0.9989157484699
-2.2466064169158155 4.194914767224992;-0.9989311191268
-2.2463681690384147 4.194669220622341;-0.9989462697559
-2.2461316558546143 4.194425449738393;-0.9989612035672
-2.245896864003836 4.194183441018091;-0.9989759237220
-2.2456637802438277 4.19394318102499;-0.9989904333341
-2.2454323914492496 4.193704656439935;-0.999004735470
-2.24520268461035 4.19346785405972;-0.9990188331508
-2.244974646831649 4.193232760795765;-0.999032729350
-2.2447482653306237 4.192999363672817;-0.9990464270002
-2.244523527436451 4.1927676498277044;-0.9990599289856
-2.2443004205887394 4.192537606508049;-0.9990732381496
-2.244078932336257 4.1923092210710635;-0.9990863572925
-2.243859050335756 4.192082480982318;-0.999099289172
-2.243640762350769 4.191857373814538;-0.9991120365062
-2.2434240562503933 4.191633887246459;-0.9991246019702
-2.2432089200081435 4.191412009061633;-0.9991369882007
-2.242995341700815 4.191191727147308;-0.9991491977944
-2.242783309507353 4.190973029493288;-0.9991612333095
-2.2425728117076997 4.190755904190848;-0.9991730972660
-2.2423638366817413 4.1905403394316325;-0.9991847921462
-2.242156372908231 4.190326323506572;-0.9991963203957
-2.241950408963694 4.190113844804836;-0.999207684423
-2.241745933521414 4.189902891812786;-0.9992188866026
-2.2415429353503655 4.189693453112965;-0.9992299292715
-2.241341403314242 4.189485517383045;-0.9992408147332
-2.24114132637039 4.189279073394891;-0.9992515452569
-2.240942693568888 4.189074110013511;-0.9992621230782
-2.240745494051532 4.188870616196144;-0.9992725503996
-2.2405497170508912 4.1886685809912665;-0.9992828293907
-2.2403553518893555 4.1884679935376745;-0.9992929621895
-2.2401623879782173 4.188268843063549;-0.9993029509020
-2.239970814816733 4.188071118885525;-0.9993127976034
-2.23978062199124 4.187874810407839;-0.9993225043381
-2.23959179917423 4.1876799071213835;-0.999332073120
-2.239404336123504 4.1874863986028545;-0.9993415059349
-2.2392182226812825 4.187294274513899;-0.9993508047371
-2.239033448773357 4.187103524600249;-0.9993599714535
-2.23885000440825 4.18691413869087;-0.9993690079825
-2.2386678796763757 4.186726106697161;-0.9993779161944
-2.238487064749212 4.186539418612121;-0.9993866979322
-2.2383075498785088 4.186354064509534;-0.9993953550117
-2.23812932539548 4.186170034543183;-0.9994038892222
