Point;Valeur
-2.2193576923741425;7.731971642958
-3.504846586191963;2.235483730821
-4.655592450126158;0.1186165604101
-5.2274752263783295;0.05174497861587
-5.327923244740966;0.10753365444144
-5.212831905859513;0.045297420151792
-5.073424648974791;0.005391179077071
-4.989555355164455;0.00010909060574066
-4.964286490557298;0.0012754547567139
-4.971702603006838;0.0008007426765886
-4.987432944571122;0.00015793088215249
-4.998896190756529;1.21839484597197e
-5.003543104153937;1.2553587045643218e
-5.0036009042289;1.296651126571169e
PointOptimal;ValeurOptimale
[-5.0036009];1.296651126571169e-05
Temps;Nb iteration
0.0009982585906982422;13
