Point;Valeur
-3.4015948942068244;2.554898882225
-3.7163964037338832;1.647638192347
-3.9953067767601107;1.0094084728241
-4.22676117500047;0.5978982804866
-4.411225120365609;0.34665585888849
-4.5546060295286885;0.19837578893219
-4.664379474190543;0.11264113734461
-4.747673468939341;0.06366867827710
-4.8105466643608015;0.03589256638481
-4.8578631582297005;0.020202881788435
-4.893410939528294;0.011361227812241
-4.9200909684726994;0.006385453319631
-4.940104214721493;0.0035875050941290
-4.955111802665173;0.0020149502599703
-4.966363704312154;0.0011314003876002
-4.974798925607361;0.0006350941505433
-4.981122196449926;0.0003563714668751
-4.985862135479076;0.00019987921321200
-4.989415138620368;0.00011203929042602
-4.99207840011778;6.275174469398737e
-4.994074716677256;3.5108982454792145e
-4.995571102279058;1.9615135022564396e
-4.996692750800643;1.0937897266645232e
-4.997533506028981;6.0835925090722616e
-4.998163711390011;3.3719558591760297e
-4.998636094602853;1.8602379323668141e
-4.998990178951516;1.0197385499615824e
-4.999255589974205;5.541462865037081e
-4.999454534114652;2.975330320783393e
-4.999603656668638;1.570880363150077e
-4.999715434455067;8.097754936317435e
-4.999799219724676;4.0312718959135595e
PointOptimal;ValeurOptimale
[-4.99979922];4.0312718959135595e-08
Temps;Nb iteration
0.000997304916381836;31
