Point;Valeur
-1.6335283778816279 -2.227379016367647;8.41716273239
-2.475527431756065 -1.3853790433043862;8.908796164392
-1.6823176910631765 -1.0346470628164424;6.266491998367
-2.279489736717052 -0.6756805255695841;7.700961232374
-1.5768623086842384 -0.9261216529414888;6.271658557498
-1.5064445699816122 -0.9787227576797375;6.209389108026
-1.2326278147822387 -0.8467005547010806;5.125812207873
-0.5865644109224911 -1.2060915963210372;5.426591821773
-0.6062701803983188 -0.6785155194339292;4.589699735982
-0.5440333814753433 -0.6400559981215452;4.509006387687
-0.4161805108753633 -0.5400179047642074;4.156695793642
-0.19636165111863957 -0.33651583937017837;2.8795254103399
0.16989096502724782 0.13296195315120352;1.5392685023629
-0.3404600078916021 -0.3438684190662576;3.462622205648
-0.10401717467896307 -0.07982801094357511;0.7800436198117
0.3016382103943086 0.2851596610379028;3.0943675520155
0.053156250680441386 0.005795506779402049;0.2256212390288
-0.2515883598677147 -0.03530456629449796;1.803558776771
0.13335127267227675 0.06506706400173946;0.9228707252814
-0.21288888606023076 -0.19033410472333961;2.161898334710
0.052356102578945574 0.14924250732022842;1.00304416191
-0.08077219565072782 -0.26724082327113896;2.025975364086
0.047889025331269985 0.07331314304200076;0.44150739941409
-0.11488886026849415 -0.19188074181613685;1.6010247148702
0.09031500994342478 0.12250401455013432;0.961189239454
-0.12170864587168825 -0.15733306850281292;1.384639247910
0.10140863746449866 0.11378217967543847;0.964453513882
-0.11981231554348373 -0.12644772099964527;1.1603444187503
0.10762663613795556 0.10651208415547689;0.9559220321610
-0.11230603992240601 -0.1070599085190638;0.9889689418994
0.10598276901354758 0.09881024233850988;0.8986926784764
-0.10440617156164514 -0.09642791309653814;0.8745855948805
0.10015533659402692 0.09257534675281559;0.8253104229519
-0.09705629893549134 -0.090406306113403;0.7935214603283
0.09338952729311362 0.08805209641954706;0.7575667029569
-0.09031988095460985 -0.08641180359085379;0.7297308394667
0.08707982635164932 0.08459160675552918;0.7002176192538
-0.08441696255233638 -0.08322482618765875;0.6769991465465
0.08166384071924856 0.08158807683202743;0.6520251929329
-0.07948571684136632 -0.08031107979797936;0.6325964318369
0.07722450737145883 0.07872668041059463;0.6111983503763
-0.07550939185574976 -0.07747250341172243;0.5948406095255
0.07368701264803978 0.07591024151826117;0.5763543542471
-0.07236614357605523 -0.07467758912923719;0.5625240660564
0.0708996214581997 0.0731516587952323;0.5464416895354
-0.06988590704278397 -0.07196547187420196;0.5347056542809
0.06868522650978709 0.07050429527827654;0.5206144647378
-0.06789239703905148 -0.06939475589326435;0.5106136218696
0.06687542386476572 0.06802639732324559;0.49817143751391
-0.06622944679015375 -0.06701926806086272;0.4896074953306
0.06532988912567361 0.06576504190800206;0.4785332769213
-0.06477413811822699 -0.06487766204296025;0.4711629456172
0.0639441217496283 0.06374969374684472;0.4612303124751
-0.06344000052006732 -0.0629897634100712;0.4548590750485
0.0626489903744594 0.0619906404919507;0.44588814947029
-0.062173732564252696 -0.0613566276318922;0.4403618504821
0.06140545053463098 0.06048038990786404;0.43220966323038
-0.06094861198764813 -0.059963028169391586;0.42740528498884
0.0601972773402544 0.059197051723962946;0.4199565579653
-0.05975702050246201 -0.058781512648675094;0.4157740275555
0.05902376310582923 0.058108865206944846;0.4089337835215
-0.05860354944311312 -0.0577771896125734;0.4052898539065
0.05789339376283281 0.057179050179817364;0.39897831005279
-0.057499313280740524 -0.05691246610401661;0.39580258400152
0.05681882769512593 0.056370275452192864;0.38995198426579
-0.05645757582183157 -0.05615112531398919;0.3871845417256
0.05581314252149243 0.05564824732304449;0.3817372354463
-0.05549057631917412 -0.055461366141291935;0.3793271613793
0.05488720533192372 0.05498416244998616;0.3742342689507
-0.05460740585356401 -0.054817665551396486;0.3721385184824
0.05404802596260057 0.054355994588132645;0.3673587560505
-0.05381280518695995 -0.054201528040276004;0.3655410530548
0.05329797261614218 0.05374875810322735;0.3610395485397
-0.05310676505382371 -0.05360132524869084;0.35946924877064
0.052634725357438086 0.05315399188397327;0.35521636790081
-0.05248479400875894 -0.05301149179055596;0.3538673577173
0.05205181881446122 0.052568734768615955;0.3498376379543
-0.0519386913463408 -0.05243134021022541;0.34868737620070
0.05153959951226565 0.051994236348825995;0.3448586581307
-0.05145764206267828 -0.05186371368089762;0.34388743393128
0.051086411142078014 0.05143459309955821;0.3402402258922
-0.051029448585055356 -0.05131363753367951;0.33943064361564
0.05067982949902984 0.0508954436524046;0.3359476964807
-0.05064173250209435 -0.05078707920006599;0.3352843456504
0.050307796451119324 0.0503828122369335;0.3319503767838
-0.05028297488819464 -0.050289888391778684;0.3314196182509
0.04995954356018335 0.049902157912319584;0.3282211142410
-0.0499433089832266 -0.04982696316521111;0.32781091535561
0.04962624295435762 0.04945766484612661;0.324735957539
-0.04961502591109461 -0.04940166752537287;0.32443572996281
0.0493013678859795 0.04905178992467327;0.321473812449
-0.04929279552382029 -0.04901550762147806;0.3212742344561
0.048980781965696815 0.04868506530545319;0.31841607041564
-0.048973635183386044 -0.04866805466334731;0.3183088983089
