Point;Valeur
3.87853555355197 -4.7813393551621965;12.762240232863
4.366035553551997 -5.268839355162223;14.443611903210
4.368618573739712 -5.311107937290601;14.565198263006
4.125750110506871 -5.11910278166841;12.77475676282
3.6135922616101643 -4.665369057511556;13.50508968819
3.203826231182804 -4.310276637038845;12.401369685716
2.6634993127084554 -3.8211361669729413;11.409534387051
2.324351501745832 -3.4965183489282956;11.189177902903
1.9136794936258463 -3.1498746084629117;8.782966969285
1.7212549126607177 -2.6206744783811478;9.245594873644
1.6140144368701104 -2.164493112228204;8.18033918183
1.561485160300718 -1.635487927455403;7.7395070567
1.4671375689148352 -1.168778308771178;6.595788368933
1.2688048001146102 -0.6493188138570284;5.667838707220
0.9065784457393719 -0.23728873487338115;3.6226594080725
0.6160774978866278 0.2832206875674557;3.926038438719
0.3196201011500601 0.6098188228655419;4.0236332249742
-0.05379560027657215 0.8451670605135742;2.8519798452087
-0.25367586259256925 1.1442461025392223;4.427606964471
-0.2087713495639995 1.199157274593863;4.5511109416756
0.0017242322250816122 1.0558861600179275;2.8559774490158
0.17685738334641168 0.7912003917804007;3.466041012840
0.14882718494611138 0.6191460147424881;3.5077490151748
0.018837778922794646 0.4584875487712142;2.961453781076
-0.10908848848060865 0.2294368866397658;1.8534279921401
-0.06537292752177448 -0.13687916444786785;0.951189743783
0.10073921703457389 -0.24444522620931208;1.9294264806239
0.11351789500272183 -0.16872460886401414;1.4216931768419
-0.038172973852129866 0.047631098363728364;0.2694317116585
-0.054852233252726354 0.13274018801391407;0.8802671626722
0.0301630791637873 0.04913670144235069;0.24958249195115
0.015407647286219508 -0.11488752236553296;0.6495116097681
-0.028246741327088154 -0.10618232382086505;0.603824599433
-0.007312039267747726 0.03201380102358288;0.12135029562482
0.03873860107413259 0.07041812373609327;0.3917111325086
-0.013338041263151912 0.0016361776833258013;0.042809945917824
0.03823263462201207 -0.06442795075429501;0.3556564331744
-0.00787702399630516 -0.025699351543778177;0.09515834224020
-0.014149708427363912 0.07433079629724637;0.35968205611530
0.013251887509590547 0.05359778796216649;0.2354112784173
0.0003713457232950197 -0.051127583986386074;0.2127439188494
-0.011770220527916049 -0.05323296312686833;0.2315050656453
0.009905425797233393 0.02966484916215706;0.11431016871100
-0.009142709157234623 0.034335109177788016;0.13378503487288
0.006207974617142788 -0.030605278786795816;0.11409427743610
-0.004234444409735309 -0.019383444227345014;0.06656698746808
0.008316829354742544 0.046769217352217715;0.1933658977715
-0.005421958372067982 0.02559904992604627;0.09214452600413
0.005489396809183875 -0.052675655145439065;0.22279551306553
-0.0004430459872021477 -0.038852297819881955;0.14960135671099
-0.004201286600561868 0.04218767821138245;0.16707961602723
0.0054941517907066 0.039479981475842876;0.1545083221757
-0.00409799009194175 -0.03092364832416808;0.11393656151827
0.0028804134712083875 -0.028702095989687853;0.10359667048985
-0.002704741947922926 0.03288098112352231;0.12204198706260
0.0021200076779779317 0.022534111909571795;0.0776015271400
-0.003834292066934382 -0.040823813984088846;0.16013310961587
0.0030630749975538406 -0.027652845809465476;0.09917434906500
-0.003593472426026081 0.0406106917304814;0.1589744849886
0.0019779281665681684 0.032692229763251486;0.12094966564758
-0.0006237520911817297 -0.03380198379704814;0.1257722632601
-0.0007999759986524731 -0.029805437822896515;0.10783254893959
0.0019319365526313762 0.030610403244297087;0.11160842937210
-0.0032224087498774227 0.02442634602751775;0.08577120569612
0.00624173352790069 -0.03334717318349896;0.12632485703982
-0.007955015034291812 -0.02450689164418248;0.09046409219337
0.013355882901075932 0.03339908201583699;0.13586254668615
-0.013980219287448203 0.02723469695019856;0.1113759286787
0.014821171915798612 -0.0274719932308164;0.11405652843929
-0.015179308684101011 -0.02477197014335833;0.10451814879002
0.01705729310229887 0.023573912471388292;0.10471783062046
-0.02014347389642118 0.020785386161252008;0.10405363903469
0.023659944381610978 -0.020164971214411173;0.11349746997172
-0.022803952457608103 -0.019351452538247885;0.10827086819006
0.019072033592768076 0.01620840349654022;0.08740504023036
-0.02122267232307624 0.013407130475726465;0.0877085884636
0.02737564852855606 -0.016164152440123692;0.11664419136070
-0.021489021076549025 -0.013414352297133348;0.08866267160414
0.017902050516233264 0.015715517613791814;0.082430970044
-0.018311454874162556 0.007575464663866329;0.0664761605021
0.03092112932457575 -0.017454963812397202;0.13370674707117
-0.01720433976341099 -0.010797265394757123;0.06840527095618
0.013748674400655827 0.0198987981406808;0.08392514483659
-0.010458761781504875 0.005082648770753968;0.036487143861020
0.03513090033657862 -0.02582188981149753;0.17329343318484
-0.01284106767152722 -0.01576889148394998;0.06850059039912
-0.0020650286532276213 0.02900940373916012;0.10462500441791
0.01340510258113568 0.01500588671822143;0.06766432831438
-0.027474602363712245 -0.031487357432168295;0.164162713870
0.005614376693355159 -0.02624002828431575;0.09496197540941
0.01532186460085991 0.027054391104644707;0.11350784852731
-0.021573576255493644 0.02655657636294885;0.12770527385718
0.006355548930833999 -0.015861386429578524;0.05608816429272
0.001710155469229144 -0.011436957683085863;0.036265355877169
-0.012848173424400162 0.03183646673568759;0.1282139465319
0.009719678907772776 0.01883992927937155;0.07188972323444
-0.007814478061428234 -0.03264764869054586;0.1246918118162
-0.0013034709400175691 -0.02513508858116261;0.08796876746334
0.008402135585390633 0.028503042096153286;0.10740107648988
-0.008490996237462963 0.026073422853585364;0.09746580148708
0.003612707141320509 -0.02190425176270282;0.07586309482674
0.0006405424742717113 -0.01812847014378389;0.06004540307552
-0.004782272372713666 0.02748886494859871;0.09951862939670
0.005253447045140686 0.018834441550585182;0.06545589518993
-0.007228623684414208 -0.029902919439833406;0.11202843790565
0.002975760468820478 -0.02339078328982224;0.08143031335393
0.001173847942043495 0.026611397352527134;0.09412536320532
-0.004255606627310414 0.022532200870909347;0.07879979362462
