Point;Valeur
4.155137668441689 4.4603833494895095;13.457193257854
4.073079227471903 4.378324909406406;13.04179627623
4.000027229340629 4.2752669300630215;12.456308111930
3.9688599731003906 4.148703247745481;11.640302621551
3.9866484796147064 4.012993796619167;11.022429168771
3.97960176980129 3.9711749591594385;11.002254779677
3.9861280792604052 3.987538487559019;10.99903227487
3.9799369213314817 3.9811799137132744;10.998610958319
3.986066045535003 3.983719027186305;10.998509983237
3.979939899754378 3.9827670771994876;10.998521663616
3.9860980108976944 3.9830755059930767;10.99850479509
3.9798969099563166 3.9830325764220293;10.998526880241
3.9861459080757307 3.982966556601832;10.99851296250
3.9798470915283604 3.9830779464138804;10.998535305406
3.986195585713239 3.982947288707759;10.998521261469
3.9797972957728702 3.9830864631732186;10.998543831437
3.9862441296328712 3.9829430665090944;10.998529393345
3.9797492423320406 3.983088781403312;10.99855216863
3.986290438417226 3.9829414003360673;10.998537248790
3.9797038778513296 3.983090021292649;10.998560147981
3.9863336486929355 3.982940213794607;10.998544678335
3.979662062530923 3.9830910260278167;10.998567598355
3.9863729274832322 3.982939175687134;10.998551517587
3.9796246106047484 3.9830919219674326;10.998574349208
3.9864075268715298 3.9829382468675054;10.998557610040
3.9795921943153245 3.9830927164951504;10.998580251878
3.9864369013016088 3.98293743466165;10.998562832549
3.9795652196971028 3.98309340032718;10.998585205800
3.9864608229805913 3.9829367491941436;10.998567119666
3.979543730005657 3.983093966803592;10.99858917981
3.9864794454035892 3.9829361940294135;10.998570478302
3.979527382005568 3.983094416461884;10.998592219297
3.986493281167918 3.982935763923892;10.998572985722
3.9795155133023656 3.983094757685627;10.998594434809
3.9865030962181605 3.9829354455687374;10.99857477075
3.97950727794786 3.9830950051332;10.998595976473
3.986509760423138 3.982935220280538;10.998575985755
3.9795017989408352 3.9830951768700946;10.998597004143
3.986514108236436 3.9829350674811623;10.998576779757
3.979498288228511 3.9830952912886435;10.998597663473
3.9865168470478314 3.9829349677851256;10.998577280467
3.9794961106826072 3.9830953647737615;10.998598072761
3.9865185214930183 3.98293490492004;10.998577586802
3.9794947964791 3.9830954104824525;10.998598319902
3.9865195200978207 3.9829348664269983;10.998577769574
3.9794940209533016 3.9830954381502304;10.998598465788
3.986520103730147 3.982934843429912;10.998577876424
3.979493571531558 3.983095454524881;10.998598550345
3.986520439356723 3.9829348299654286;10.998577937879
3.979493314815028 3.9830954640384357;10.998598598650
3.9865206299140787 3.9829348222103604;10.998577972775
3.9794931698271494 3.98309546948388;10.99859862593
3.9865207370302476 3.982934817801657;10.998577992392
3.97949308865938 3.983095472565152;10.998598641209
3.9865207967770995 3.9829348153205757;10.99857800333
3.9794930435273472 3.9830954742914892;10.99859864970
3.9865208299050705 3.9829348139367773;10.998578009402
3.9794930185643564 3.9830954752521825;10.99859865440
3.9865208481883716 3.982934813168214;10.998578012751
3.979493004814084 3.9830954757845616;10.998598656988
3.986520858242696 3.982934812743985;10.998578014592
3.9794929972618345 3.9830954760769695;10.9985986584
3.986520863759555 3.9829348125118105;10.99857801560
3.9794929931232548 3.983095476237561;10.998598659188
3.9865208667787604 3.9829348123844124;10.998578016156
3.9794929908593386 3.9830954763251514;10.998598659614
3.986520868428755 3.9829348123143635;10.99857801645
3.9794929896234477 3.9830954763734097;10.998598659847
3.9865208693296776 3.9829348122765307;10.998578016623
3.979492988947961 3.9830954763984616;10.998598659974
3.9865208698213297 3.9829348122566897;10.998578016713
3.9794929885804162 3.9830954764130966;10.99859866004
3.986520870088779 3.982934812244896;10.998578016762
3.9794929883802777 3.983095476420638;10.998598660080
3.9865208702356574 3.9829348122392454;10.998578016789
3.979492988269684 3.9830954764244013;10.998598660101
3.986520870315821 3.982934812235487;10.998578016803
3.979492988210587 3.983095476427216;10.99859866011
3.9865208703585333 3.982934812233145;10.998578016811
3.979492988177822 3.9830954764290865;10.998598660119
3.9865208703825212 3.982934812232678;10.998578016816
3.9794929881602696 3.9830954764290865;10.998598660122
3.9865208703953927 3.982934812232678;10.998578016818
3.979492988151494 3.9830954764300133;10.998598660124
3.9865208704018285 3.9829348122317545;10.998578016819
3.979492988146229 3.9830954764295528;10.998598660125
3.986520870405339 3.9829348122322132;10.9985780168
3.979492988142719 3.9830954764286384;10.99859866012
3.986520870408264 3.9829348122322132;10.998578016820
3.9794929881409637 3.983095476429545;10.99859866012
3.986520870408264 3.9829348122313104;10.998578016820
3.979492988140379 3.983095476429545;10.998598660126
3.9865208704094344 3.982934812232205;10.99857801682
3.979492988140379 3.9830954764291002;10.99859866012
3.9865208704094344 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
3.9865208704100197 3.982934812231762;10.998578016821
3.979492988139794 3.983095476429541;10.998598660126
