Point;Valeur
-7.5645074993347725 -2.385497431227106;172.0044458745
-7.520307499346248 -2.3412974312273676;170.51959684789
-7.489009341104948 -2.3099080573401367;169.45830224066
-7.463431113685137 -2.2842094516574223;168.5850729603
-7.441263549826903 -2.261907152191961;167.82401358989
-7.421423772464742 -2.2419240503337003;167.1395002933
-7.403302329499625 -2.2236535299443774;166.51147336582
-7.386516337016612 -2.206714309414591;165.92732667637
-7.370806755059402 -2.1908483426246;165.378530043
-7.355988705540473 -2.1758714107670447;164.85899482006
-7.341924790296138 -2.161646575813467;164.3641958034
-7.328509605031167 -2.148068767651138;163.89066145600
-7.315660195496848 -2.1350552826381657;163.435659671
-7.303309887383874 -2.122539639421303;162.99699459127
-7.291404138184561 -2.1104674473763803;162.57286998391
-7.2798976560035715 -2.098793536421762;162.16179434764
-7.268752342340203 -2.087479907348156;161.76251314393
-7.2579357880222855 -2.0764942330576175;161.37395925042
-7.247420150723026 -2.065808739908133;160.9952159825
-7.237181302047456 -2.0553993576129534;160.6254889946
-7.227198169065612 -2.045245062880174;160.26408458664
-7.217452218711222 -2.035327365420482;159.9103927174
-7.207927048914016 -2.025629900313944;159.5638735344
-7.198608060635418 -2.016138101017032;159.22404656856
-7.1894821920708125 -2.0068389343312325;158.89048197737
-7.180537701190229 -1.9977206835614;158.56279338122
-7.171763986303255 -1.9887727695719453;158.240631951
-7.163151436810353 -1.9799856019455369;157.9236814943
-7.154691308162995 -1.9713504542788662;157.6116543308
-7.146375616410277 -1.962859358997745;157.3042878238
-7.138197048687509 -1.9545050180819745;157.00134142886
-7.130148886816779 -1.9462807268556976;156.70259417781
-7.122224941733348 -1.9381803085778984;156.40784251899
-7.114419496922633 -1.9301980580208833;156.11689845413
-7.106727259408315 -1.9223286925715721;155.82958792396
-7.099143317079225 -1.9145673096645301;155.54574940294
-7.091663101394329 -1.906909349573116;155.26523267094
-7.084282354653069 -1.8993505627568679;154.98789773539
-7.076997101170097 -1.8918869811008356;154.713613882
-7.069803621795222 -1.884514892495078;154.44225883601
-7.062698431319843 -1.877230818291659;154.1737180176
-7.055678258378767 -1.8700314932511548;153.90788388110
-7.048740027520631 -1.8629138476507687;153.6446553235
-7.041880843160522 -1.855874991275063;153.38393715734
-7.035097975189173 -1.8489121990542317;153.1256396359
-7.028388846025361 -1.8420228981459204;152.86967802776
-7.021751018947381 -1.8352046562880517;152.61597223216
-7.015182187540889 -1.8284551712725667;152.36444643198
-7.008680166145713 -1.821772261410949;152.1150287791
-7.00224288118441 -1.8151538568804342;151.8676511094
-6.995868363274771 -1.8085979918526296;151.62224868255
-6.9895547400410365 -1.8021027973199228;151.3787599458
-6.983300229550794 -1.7956664945460943;151.1371263181
-6.97710313431363 -1.7892873890753778;150.8972919924
-6.970961835778707 -1.7829638652431041;150.65920375493
-6.964874789287142 -1.7766943811375708;150.42281081847
-6.958840519432408 -1.7704774639688008;150.188064670
-6.952857615787272 -1.7643117058042117;149.95491893185
-6.946924728964024 -1.7581957596369089;149.72332922798
-6.941040566975962 -1.7521283357545971;149.49325306847
-6.935203891875462 -1.7461081983828475;149.2646497368
-6.929413516636946 -1.7401341625760478;149.03748018806
-6.923668302271747 -1.7342050913357483;148.8117069534
-6.91796715514669 -1.728319892935152;148.58729405248
-6.912309024492082 -1.7224775184326868;148.36420691125
-6.906692900083983 -1.716676959358383;148.14241228578
-6.90111781008648 -1.7109172455586348;147.92187819124
-6.8955828190361075 -1.7051974431860129;147.70257383571
-6.890087025962372 -1.699516652823017;147.4844695583
-6.884629562630879 -1.693874007728384;147.26753677170
-6.879209591900318 -1.6882686721965459;147.0517479074
-6.873826306181538 -1.6826998400214792;146.83707636623
-6.868478925997527 -1.6771667330569489;146.6234964696
-6.863166698629414 -1.6716685998658636;146.41098341645
-6.857888896845777 -1.6662047144518468;146.19951324015
-6.8526448177069215 -1.6607743750673882;145.9890627701
-6.8474337814448765 -1.6553769030927354;145.77960959488
-6.842255130402595 -1.6500116419803081;145.57113202667
-6.837108228041573 -1.6446779562607279;145.36360906938
-6.831992457999152 -1.6393752306051632;145.15702038739
-6.826907223204703 -1.6341028689407868;144.95134627652
-6.82185194504201 -1.6288602936153864;144.74656763649
-6.816826062557674 -1.6236469446082478;144.54266594497
-6.81182903171605 -1.6184622787837797;144.3396232330
-6.806860324688215 -1.613305769185165;144.1374220618
-6.8019194291853315 -1.6081769043657799;143.93604550080
-6.797005847821335 -1.6030751877553548;143.73547710645
-6.792119097512908 -1.5980001370592198;143.53570090293
-6.787258708906919 -1.5929512836884925;143.33670136311
-6.782424225839618 -1.587928172218828;143.1384633907
-6.777615204821375 -1.582930359876636;142.94097230384
-6.772831214547676 -1.5779574160506433;142.7442138180
-6.768071835432804 -1.5730089218271859;142.5481740320
-6.763336659168228 -1.568084469548588;142.35283941231
-6.75862528830091 -1.5631836623921291;142.15819677991
-6.753937335831181 -1.5583061139695082;141.9642332969
-6.749272424831279 -1.5534514479448096;141.77093645396
-6.744630188078973 -1.5486192976704742;141.57829405825
-6.740010267711689 -1.5438093058397215;141.38629422217
-6.735412314892147 -1.5390211241551712;141.19492535232
-6.730835989492929 -1.5342544130122375;141.00417613916
-6.726280959792807 -1.5295088411966262;140.81403554701
-6.721746902186832 -1.5247840855951615;140.62449280458
-6.717233500910255 -1.5200798309196661;140.43553739586
-6.712740447772634 -1.5153957694422358;140.24715905142
-6.70826744190527 -1.510731600742289;140.05934774011
-6.7038141895184005 -1.5060870314643378;139.8720936610
-6.699380403668166 -1.501461775085806;139.68538723604
-6.694965804033878 -1.4968555516947057;139.4992191022
-6.690570116705068 -1.4922680877764116;139.31358010506
-6.686193073976296 -1.4876991160092852;139.12846129165
-6.6818344141503365 -1.4831483750684578;138.9438539042
-6.677493881349847 -1.478615609437539;138.7597493740
-6.673171225337349 -1.4741005692281053;138.57613931526
-6.668866201339356 -1.4696030100058912;138.39301551949
-6.6645785698816935 -1.4651226926241867;138.21036995011
-6.660308096626519 -1.4606593830633725;138.02819473704
-6.65605455221938 -1.4562128522770192;137.84648217171
-6.651817712140425 -1.4517828760435227;137.66522470216
-6.647597356561778 -1.4473692348234903;137.48441492835
-6.643393270210052 -1.4429717136226472;137.3040455976
-6.639205242233538 -1.4385901018594984;137.12410960048
-6.635033066074804 -1.4342241932381699;136.94459996613
-6.630876539348245 -1.4298737856258887;136.76550985875
-6.626735463721619 -1.4255386809347652;136.5868325734
-6.622609644801894 -1.4212186850079114;136.4085615324
-6.6184988920249515 -1.4169136075097397;136.2306902816
-6.614403018550663 -1.412623261819896;136.0532124871
-6.610321841159081 -1.408347464931288;135.87612193151
-6.606255180152871 -1.4040860373514155;135.6994125111
-6.602202859261033 -1.3998388030070863;135.52307823247
-6.598164705547122 -1.39560558915263;135.34711320957
-6.594140549320863 -1.391386226281046;135.17151166074
-6.590130224051847 -1.3871805480383126;134.99626790594
-6.586133566286149 -1.3829883911404734;134.82137636398
-6.582150415566669 -1.378809595293508;134.64683154989
-6.578180614355206 -1.3746440031159084;134.4726280723
-6.574224007957581 -1.3704914600637232;134.2987606313
-6.5702804444509795 -1.366351814358126;134.12522401558
-6.566349774613446 -1.362224916915282;133.95201310026
-6.562431851856564 -1.3581106212785148;133.779122844
-6.558526532159403 -1.3540087835525882;133.60654829115
-6.554633674004574 -1.349919262340082;133.43428456060
-6.550753138315866 -1.34584191867978;133.26232685285
-6.546884788399844 -1.341776615987053;133.09067044350
-6.54302848988751 -1.3377232199959161;132.91931068225
-6.539184110677332 -1.3336815987031208;132.7482429910
-6.535351520881783 -1.3296516223137522;132.57746286231
-6.531530592774653 -1.325633163188574;132.40696585716
-6.527721200739084 -1.3216260957928772;132.23674760375
-6.523923221218046 -1.3176302966471019;132.06680379562
-6.520136532666739 -1.3136456442785187;131.89713019015
-6.516361015505764 -1.3096720191748104;131.7277226069
-6.512596552075249 -1.3057093037386367;131.5585769263
-6.508843026591406 -1.30175738224373;131.389689088
-6.505100325103711 -1.2978161407922337;131.22105508992
-6.501368335452905 -1.293885467273267;131.05267098576
-6.49764694723106 -1.2899652513225877;130.8845328850
-6.493936051741943 -1.2860553842835425;130.7166369509
-6.4902355419644 -1.282155759169088;130.54897939939
-6.4865453125132255 -1.2782662706247305;130.38155649767
-6.4828652596048855 -1.2743868148926962;130.2143645633
-6.479195281021703 -1.2705172897770585;130.04739996291
-6.475535276078288 -1.2666575946097085;129.8806591110
-6.4718851455872395 -1.2628076302172793;129.71413846900
-6.4682447918297035 -1.2589672988892995;129.54783454405
-6.464614118520581 -1.2551365043465574;129.38174388808
-6.460993030781221 -1.2513151517110337;129.2158630967
-6.457381435107968 -1.2475031474760723;129.05018880841
-6.453779239343571 -1.2437003994777227;128.8847177033
-6.450186352649164 -1.2399068168665002;128.71944650244
-6.446602685477188 -1.2361223100802878;128.55437196681
-6.443028149544827 -1.2323467908176087;128.38949089646
-6.439462657807335 -1.2285801720117715;128.22480012963
-6.4359061244332585 -1.2248223678055363;128.0602965419
-6.4323584647801075 -1.2210732935266633;127.89597704541
-6.42881959536985 -1.2173328656638167;127.73183858798
-6.425289433865835 -1.2136010018432566;127.56787815241
-6.421767899049309 -1.2098776208060382;127.40409275569
-6.418254910798008 -1.2061626423858796;127.24047944823
-6.414750390064406 -1.2024559874873795;127.07703531315
-6.411254258854117 -1.1987575780650959;126.9137574656
-6.40776644020532 -1.1950673371027163;126.75064305205
-6.404286858169182 -1.191385188593187;126.5876892495
-6.400815437789603 -1.1877110575189453;126.42489326522
-6.397352105084132 -1.18404486983288;126.26225233542
-6.393896787026115 -1.180386552439644;126.09976372529
-6.390449411525075 -1.176736033177467;125.93742472802
-6.387009907409855 -1.1730932408002333;125.77523266429
-6.3835782044109335 -1.1694581049602777;125.61318488171
-6.38015423314401 -1.1658305561913824;125.45127875419
-6.3767379250920895 -1.1622105258921436;125.28951168142
-6.373329212590728 -1.1585979463098397;125.12788108831
-6.369928028811271 -1.1549927505246478;124.9663844244
-6.366534307745895 -1.1513948724342074;124.80501916354
-6.363147984192146 -1.1478042467384744;124.64378280300
-6.359768993738501 -1.1442208089250319;124.4826728633
-6.356397272749788 -1.1406444952546946;124.3216868877
-6.353032758352849 -1.1370752427473345;124.16082244149
-6.349675388423456 -1.133512989168199;124.00007711165
-6.346325101571864 -1.1299576730144307;123.83944850645
-6.342981837130623 -1.1264092335018732;123.6789342549
-6.339645535140728 -1.1228676105521893;123.5185320064
-6.336316136339835 -1.119332744780347;123.35823943026
-6.332993582149804 -1.1158045774821785;123.19805421512
-6.32967781466372 -1.112283050622392;123.03797406881
-6.326368776635452 -1.1087681068228386;122.877996717
-6.323066411466918 -1.1052596893508468;122.71811990674
-6.319770663197788 -1.101757742108011;122.55834139821
