Point;Valeur
-7.884744237333726 2.2452187048668657;127.4388431655
-7.894904042701631 2.2317546634047667;126.84611019354
-7.905219995030111 2.214967590595378;126.11783748798
-7.91568932436297 2.194987580616157;125.2568685075
-7.926310120644128 2.171934253311224;124.26526724218
-7.937081315122171 2.1459171222093314;123.14432813147
-7.94800267176351 2.117035889489129;121.89457073001
-7.959074789040297 2.0853806664674046;120.51571835134
-7.970299112807807 2.051032116022511;119.00665910748
-7.981677961396656 2.0140615108401736;117.36538678856
-7.99321456455022 1.9745306982813857;115.58891778944
-8.004913118482309 1.9324919587466731;113.67317864533
-8.016778860180844 1.8879877392559594;111.6128564703
-8.02881816523298 1.8410502370041817;109.40120137213
-8.041038675042195 1.7917007980178365;107.0297652173
-8.053449461571027 1.7399490823783441;104.4880540895
-8.066061241031479 1.6857919276428168;101.76306097286
-8.078886652843405 1.6292118125539443;98.83862810498
-8.091940627679124 1.5701747779211357;95.69456056128
-8.105240880243947 1.508627590210745;92.30536549453
-8.118808581773141 1.4444938168138246;88.63840844559
-8.132669300106237 1.3776682836469383;84.65112477793
-8.146854353856593 1.3080090319058573;80.28662432506
-8.161402838003664 1.2353252222291768;75.46639849596
-8.176364802856844 1.1593580790180817;70.07740171412
-8.19180656615764 1.0797489629071209;63.947106229543
-8.207820378516248 0.9959811708603591;56.789218874975
-8.224544297684597 0.9072601127981966;48.0624029325
-8.242211730073953 0.8122143639418199;36.46943955095
-8.261328499032945 0.7078265787923326;15.93313146761
-8.284756683169675 0.5768561433359819;33.11032237158
-8.30460462702779 0.4670226563375165;47.201901105866
-8.321780531810646 0.3728392996455176;56.5571228861
-8.336695504028445 0.29183231253186825;63.51250745716
-8.349612431088248 0.22242666252631527;68.91741932443
-8.360724347149054 0.16347085224326466;73.19741924884
-8.370183641398572 0.11405970025710824;76.60220036825
-8.378115892429223 0.07345035625265404;79.29281707896
-8.384627438363335 0.041016324448532177;81.37974806319
-8.389809939401921 0.016219744766067124;82.94193402949
-8.393743320710175 -0.001406488769886003;84.03723597621
-8.39649776314605 -0.012270823862661182;84.70857133625
-8.39813509191883 -0.01673148580966758;84.98767368950
-8.398709758227586 -0.01510243836318208;84.89744163642
-8.398269526250177 -0.007657552661660447;84.45338243517
-8.396855929707176 0.00536662500836774;83.6644187553
-8.394504530966296 0.023769305639503878;82.53318999733
-8.391244991946834 0.04738503300043682;81.05588593015
-8.387100943859943 0.07608447982871143;79.22156709908
-8.382089616535081 0.10977670154938136;77.01082579091
-8.376221150310112 0.14841331293036367;74.39348529461
-8.369497451151043 0.19199542994836563;71.3247509417
-8.361910335978235 0.24058490648551684;67.73864741097
-8.353438488482945 0.2943227656728476;63.53627198571
-8.344042248298207 0.353460731650416;58.56309480919
-8.333654028055172 0.4184191891944108;52.559855730344
-8.322158593714141 0.48990640018868714;45.03642261530
-8.309344360896526 0.5692128325700467;34.83632707276
-8.294734104495209 0.6592339337801918;16.985318587613
-8.275907864470117 0.7746064652057161;29.96719173829
-8.260711733228305 0.8679819922386653;43.09736605393
-8.248133099195863 0.9454574869933634;51.509313235993
