Point;Valeur
4.446377240722255 1.8508387113306224;-1.875360175788
4.140783202317229 1.536063543259459;-1.880814569464
4.577504265187673 1.4544931014959324;-1.8873696155511
4.3063060934550705 1.4767861137255427;-1.8885787097299
4.522104019469165 1.4669025337050334;-1.8888545838665
4.335068854590843 1.4734760557687079;-1.8891906462604
4.49751279423672 1.4681473888073135;-1.8893076980026
4.3522514196154125 1.4727285651266595;-1.8894670735817
4.48183476115529 1.4686748211616665;-1.8895333911997
4.364337553343099 1.4722949417093427;-1.8896229053974
4.470547789180772 1.4690283623170688;-1.8896652932649
4.373501864716205 1.4719857780962446;-1.889720043098
4.4619074840756205 1.4692922223319063;-1.8897488729175
4.380748139320706 1.4717494359809264;-1.8897841042664
4.455049884429036 1.4694989498198785;-1.8898044242099
4.386628092602613 1.4715618062630613;-1.8898278570104
4.44947986525596 1.4696656485018438;-1.8898424957092
4.391481119767485 1.471409282749614;-1.8898584375647
4.4448846105717985 1.4698026035249134;-1.8898691330634
4.3955332780914125 1.4712833269469525;-1.8898801526578
4.441052090164751 1.4699165581206377;-1.8898880412965
4.398944306330872 1.4711781710935983;-1.8898957452019
4.437830773674914 1.4700122203586634;-1.889901602048
4.401832300984906 1.4710896988276816;-1.889907031213
4.435107852553963 1.4700930368397018;-1.8899114005176
4.4042876860887485 1.4710148465940491;-1.8899152476520
4.43279662635387 1.4701616254123948;-1.8899185193199
4.406381610455787 1.4709512590209;-1.889921254915
4.430828776157092 1.4702200322776457;-1.8899237121753
4.408171252937816 1.470897077665977;-1.8899256608723
4.429149403894382 1.4702698917082015;-1.8899275114505
4.409703324811825 1.4708508081898655;-1.8899289000027
4.427713718600846 1.470312532831579;-1.8899302972709
4.411016468127613 1.4708112292736772;-1.8899312855626
4.4264847375850715 1.470349049999716;-1.889932343295
4.412142958133994 1.4707773307113874;-1.8899330448777
4.425431644188478 1.470380354881605;-1.889933847758
4.4131099523256285 1.4707482703726547;-1.8899343437235
4.424528573818694 1.4704072115785125;-1.8899349549387
4.413940426515457 1.470723339615062;-1.8899353034291
4.423753699993307 1.4704302652089254;-1.8899357702171
4.414653902384658 1.4707019403800814;-1.8899360130401
4.423088524021825 1.470450062609988;-1.8899363707719
4.415267017787627 1.4706835650582013;-1.8899365380420
4.422517318315019 1.4704670695095394;-1.8899368132402
4.415793986039197 1.4706677812362667;-1.8899369266690
4.422026675098467 1.4704816820299933;-1.889937139250
4.416246970989511 1.4706542202707849;-1.8899372144906
4.4216051441810595 1.4704942399573826;-1.8899373794353
4.416636396464878 1.4706425673168353;-1.889937427761
4.4212429316168596 1.470505033594842;-1.889937556351
4.416971202271249 1.4706325521813828;-1.8899375858716
4.4209316503866045 1.4705143115566264;-1.8899376866245
4.417259062674677 1.470623944157344;-1.8899377031532
4.420664112508967 1.470522287209477;-1.88993778250
4.417506567738018 1.4706165446675166;-1.8899377902016
4.420434152901298 1.4705291439674415;-1.88993785304
4.417719379197329 1.4706101838893006;-1.8899378548537
4.42023648102418 1.4705350387702238;-1.8899379048917
4.417902362832029 1.4706047156015627;-1.8899379029082
4.420066555038489 1.4705401068627242;-1.8899379429736
4.418059700330668 1.4706000145694207;-1.8899379386567
4.419920474883132 1.4705444642943102;-1.889937970915
4.418194986399084 1.4705959726793802;-1.8899379652765
4.41979489055862 1.4705482108561132;-1.889937991391
4.418311312092148 1.4705924979860063;-1.8899379851210
4.4196869231048 1.470551432013461;-1.8899380063742
4.418411334577177 1.4705895102286701;-1.8899379999333
4.419594099771723 1.4705542015726387;-1.8899380173187
4.418497338654915 1.4705869416302941;-1.8899380110056
4.419514294881578 1.470556582866116;-1.8899380252964
4.418571289102856 1.470584733187071;-1.889938019295
4.419445681684673 1.470558630285613;-1.8899380310969
4.418634874783924 1.4705828344236893;-1.8899380255148
4.419386690184792 1.4705603908409342;-1.8899380353015
4.4186895481239405 1.4705812017185547;-1.8899380301896
4.41933597081289 1.470561904469157;-1.8899380383381
4.418736558121499 1.4705797979559503;-1.8899380337120
4.419292363229488 1.4705632060057199;-1.8899380405214
4.4187769789704685 1.4705785909414375;-1.8899380363733
4.419254870050807 1.470564325094242;-1.8899380420824
4.418811734397274 1.4705775533245589;-1.8899380383898
4.4192226331498015 1.470565287088327;-1.8899380431909
4.418841618392507 1.4705766611688322;-1.88993803992
4.419194915891991 1.4705661143913884;-1.889938043971
4.418867313573092 1.470575893990401;-1.8899380410925
4.419171084566954 1.470566825709439;-1.8899380445145
4.418889406824386 1.4705752343457792;-1.8899380419885
4.419150594415468 1.4705674372620865;-1.8899380448871
4.4189084034174435 1.4705746672134714;-1.8899380426776
4.419132977222766 1.4705679632592015;-1.8899380451377
4.418924736942649 1.4705741796074852;-1.8899380432102
4.419117829323843 1.4705684152954202;-1.889938045301
4.418938781139583 1.4705737604098528;-1.889938043623
4.419104805297002 1.4705688041408713;-1.8899380454044
4.418950856677547 1.4705733997522505;-1.889938043946
4.419093606999492 1.4705691384013517;-1.88993804546
4.4189612394406526 1.4705730898405063;-1.8899380441999
4.419083978497541 1.470569425742204;-1.8899380454954
4.418970166834398 1.4705728232927016;-1.889938044399
4.419075699986488 1.4705696728883173;-1.8899380455065
4.418977842567131 1.4705725941311574;-1.8899380445583
PointOptimal;ValeurOptimale
[4.41897784 1.47057259];-1.8899380445583809
Temps;Nb iteration
0.015961170196533203;101
