Point;Valeur
-1.0147776699895439 -0.6200582334525473;0.9280790600857
-0.9938563662356269 -0.6110299100455335;0.9194444596253
-0.941439917907403 -0.5825056141969385;0.8943956055324
-0.8542651903904728 -0.5323400478911983;0.8449950873564
-0.7264777114370197 -0.45672298071401995;0.7566130463227
-0.5499090584022915 -0.35027546411317007;0.6067705793771
-0.31502523329828935 -0.20647576934261258;0.3678171420425
-0.013546741702872178 -0.018679212528371764;0.02307233636300
0.3337061528887971 0.24032770278517732;0.39974498458306
0.5972481694653713 0.4387309296010072;0.6750804043950
0.7943695098065955 0.5881717807023981;0.8351565768446
0.9420696889801825 0.700896348627066;0.9223819890542
1.0547889262488208 0.7874948163651981;0.9677980705154
1.144160961517203 0.8565760677344787;0.9900025518276
1.2195456562590494 0.9151088955429147;0.9989378402128
1.288749365392492 0.968934247791288;0.9991363067660
1.358729143057521 1.0232797211953424;0.9915413743384
1.436236585710134 1.0832364706258446;0.974088442348
1.528405080983868 1.154198054836704;0.9412589603358
1.6432747425220697 1.242254969574342;0.8827131348306
1.7901880357224733 1.3544928943131542;0.7812878542953
1.9798458374523578 1.4990344195542642;0.6117488776093
2.223538640897225 1.6844555999549145;0.34482842928897
2.5306816525717437 1.9179159139996556;-0.03373574209138
2.9037010434743498 2.20127816015871;-0.4813406716050
3.3308597728723437 2.525663547211002;-0.8616699434820
3.7819655467701856 2.868190699316376;-0.9994164094209
4.21466125095165 3.196741938721207;-0.8378505766075
4.5903683825580766 3.4820561132296355;-0.4982430758310
4.8864707216123655 3.7069743726490754;-0.1491726817272
5.096424546114905 3.8665283341352104;0.11372253719888
5.2228875501898635 3.962730236520018;0.26949078235826
5.2711224010122555 3.999569358415626;0.32740659088404
5.245257503860394 3.9801749899128365;0.29669463296637
5.147114633735653 3.905926536603046;0.17722417650476
4.976987136856654 3.7770436687431133;-0.03526155626687
4.736230036732584 3.5945516735814076;-0.33100990682338
4.4315883399604505 3.363566459151421;-0.659146544999
4.079981651704935 3.096926746024115;-0.9171855290200
3.7101459505791508 2.816441897180099;-0.9985245728926
3.3574122506199098 2.548930823036393;-0.8790033764818
3.053555594463963 2.318517752553232;-0.6384090904938
2.8193043737481456 2.140945196633046;-0.38801906410056
2.663862058085021 2.0232087970273116;-0.20208224300196
2.588888739345571 1.9665781003514327;-0.10930743305253
2.5926854076948502 1.9697722164961844;-0.11423179832563
2.672448284648131 2.030670807415483;-0.2131858121753
2.8242546911955846 2.1463024216505606;-0.39462881233450
3.0411234421895834 2.311369756376649;-0.6273970665421
3.3100403581703928 2.5159880197408975;-0.850070217102
3.6098787457454034 2.744103195750869;-0.9842123449778
3.9127747171671334 2.9745366541565916;-0.9795353097714
4.189652228412648 3.185185156955724;-0.8522337556961
4.416771753731476 3.358000101835566;-0.6704750225049
4.579122410395663 3.481567580233186;-0.5062430538440
4.669747747834024 3.5505968168199935;-0.40492959979281
4.687180528540042 3.5639704603774547;-0.38474387695956
4.633319059850326 3.523130218277735;-0.44620878880033
4.512810672295171 3.4316082579913774;-0.5760165030857
4.333922343032015 3.2956893923175716;-0.7436500921429
4.110097246260577 3.1255949726426953;-0.8999417156504
3.8607162829677772 2.9360624005117875;-0.990502751078
3.6095324128020656 2.745154994969165;-0.9842761605740
3.3806623264798183 2.571214102905662;-0.8938060758323
3.1941382309132957 2.42947623321148;-0.7652922017051
3.0634262710006213 2.3301853664239633;-0.649820325709
2.9954851981895247 2.278636954141692;-0.582714472416
2.992143546904987 2.2762247158581155;-0.5793612621701
3.051322336148051 2.321370035200753;-0.6383689888449
3.1673605412866106 2.409768953318178;-0.7434749000096
3.330536540815025 2.5340275708814923;-0.8640966880240
3.526533368670624 2.683254755075467;-0.96074997841
3.7369060169740584 2.843417369584458;-0.9998605474238
3.9411910840800006 2.9989453533207393;-0.971325883540
4.12012161312646 3.135178033988861;-0.8938481211968
4.258461291025753 3.2405210493958783;-0.8027981245872
4.346310231518105 3.3074403411734465;-0.7321952850839
4.3789409552661605 3.332337665162601;-0.7036313909814
4.356030473633521 3.314966466866785;-0.7237675515630
4.281094036839543 3.2580011433441394;-0.785421605552
4.161394357663728 3.166968105300339;-0.8692879124254
4.008040932732359 3.050321505811815;-0.9478544749883
3.8356544773346615 2.9191880179490965;-0.9941987515174
3.661064716460608 2.7863759385683653;-0.9937795010612
3.5011077441547487 2.6646989389515965;-0.9515453351181
3.3702863148508446 2.565195367480317;-0.8884053865273
3.279181892631431 2.4959195594940295;-0.8301675992360
3.2339408053686154 2.4615505406026115;-0.797169773599
3.2364972188458165 2.4635614870040334;-0.7991290564811
3.2849790713973954 2.5005284406477064;-0.8342728436404
3.373965807397841 2.5683262413378403;-0.8906095944797
3.4946461331934633 2.6602483944904205;-0.9491061420033
3.6352082914468213 2.767303989430027;-0.9896896448741
3.7818111945702855 2.878956864745534;-0.999177707255
3.9201764434063096 2.9843375210388774;-0.9770868606982
4.037404220639073 3.073625561427827;-0.935246804462
4.123430005830251 3.139158772850063;-0.8915753985356
4.171777853572956 3.1760067241916428;-0.8624159573459
4.179684867554938 3.182065656503207;-0.8573307615779
4.147911030833847 3.157913813824251;-0.8771874017325
4.080495006181283 3.10662561970259;-0.9146658340025
3.98449670035364 3.033575762213919;-0.9566611937631
3.869566273007671 2.9461111348852493;-0.9886124587954
3.747137181710294 2.8529365260003883;-0.9999960964881
3.6292039266189193 2.7631840919560635;-0.9886217726260
3.5269087500692873 2.6853373347002107;-0.9611815841365
3.44930965641676 2.6262930796122275;-0.929754314728
3.402604121057655 2.590770356978115;-0.906561865780
3.3898356733963686 2.5810869035161157;-0.8996820227032
3.410924096419872 2.597182048479434;-0.9109451097024
3.462845866167041 2.6367539931221353;-0.9359163798594
3.5399059240669746 2.6954666450893234;-0.9655972107282
3.6341689704752325 2.767277941243797;-0.9895685938290
3.7361559488235487 2.8449701330250976;-0.9998662272075
3.835822198000412 2.9208945919633886;-0.9940725357658
3.9236761248866685 2.987823659782936;-0.9760330212954
3.991796164063298 3.0397250827250764;-0.9538417749639
4.03454457953285 3.072305618897861;-0.9363308539212
4.048920774355474 3.0832801429467662;-0.9298276131367
4.034626236534931 3.072421160804251;-0.936283456528
3.9939464812327183 3.0414689596159614;-0.9530070848569
3.9315014636221153 2.9939415883320035;-0.9738234405626
3.8538422446148446 2.934827748205479;-0.9913385118117
3.768846677006928 2.870126621646952;-0.9996902075058
3.6849180058271847 2.806237599645385;-0.996754629772
3.6100847800235623 2.7492748350656817;-0.9847902726398
3.5511652687365944 2.7044308969094537;-0.9692387953109
3.5131416078042554 2.675500122927502;-0.9563778367709
3.4988037362092226 2.6646074150224957;-0.9509628710818
3.5086368496200837 2.6721224775499004;-0.9547179120084
3.5408923518256668 2.6967137989043257;-0.9659966263000
3.5918038011334077 2.7355130620563988;-0.9805572271652
3.65594853653905 2.7843905134174576;-0.9931784145717
3.7267691620612142 2.8383520950781143;-0.9996126462748
3.797237966769906 2.892045457323083;-0.9981547304443
3.860590197746605 2.940318431302562;-0.9901591154639
3.9110118323627914 2.97874286638646;-0.9793043846257
3.9441763833527363 3.004023501187983;-0.9700154010965
3.957576904265913 3.014250860983885;-0.9657806871833
3.9506564735356275 3.0090006717774362;-0.9679971727081
3.9247691472906436 2.989304151009528;-0.9756470561041
3.882998275911237 2.9575096560896514;-0.9858123087675
3.8298407060732447 2.9170421790073977;-0.9948186372753
3.770760173253336 2.872063202064611;-0.9996194824033
3.711633403010124 2.827048825257203;-0.9989086218198
3.6581475089673203 2.786330787399743;-0.9935152325089
3.6152319059956577 2.7536637647274604;-0.9859412917770
3.586602750589227 2.7318783672336195;-0.9792934282387
3.57446559523637 2.7226546339176103;-0.9760936224320
3.5793838075441475 2.7264217822416676;-0.9774214026342
3.6002973110205567 2.7423724537362064;-0.982640299129
3.634673440782621 2.768577592721359;-0.9897391517545
3.6787781731956124 2.80219301969611;-0.9961373474897
3.728056020852188 2.839748784883215;-0.999662942540
3.777592874576374 2.8775017147616975;-0.9993405507600
3.8226141369431046 2.911814852563741;-0.9956855576126
3.858955547362405 2.9395161079280823;-0.9904075552942
3.8834477224445005 2.9581911891307366;-0.9856826853853
3.8941764098153753 2.9663818670250497;-0.9833170806884
3.890606418434669 2.9636803980133717;-0.9841215695568
3.873575254259405 2.9507246953157873;-0.9876941722589
3.8451686371182254 2.929103520979448;-0.9926469116474
3.8084900524388003 2.9011809547228213;-0.9971703653892
3.7673393508443835 2.869851574229528;-0.9997232686244
3.725825675098109 2.8382456024225156;-0.9995896297407
3.6879540609004438 2.8094139935403795;-0.9970946028449
3.657234106604937 2.786030323605536;-0.9934115065362
3.6363562651337835 2.7701441871945525;-0.9900634803800
3.6269671823866982 2.7630100404064795;-0.9883364839133
3.6295573756408515 2.7650016191159263;-0.9888287719229
3.643460365180841 2.775611259805088;-0.991284228171
3.666955120751306 2.7935279261898995;-0.9947434980959
3.6974604822292703 2.816785305257802;-0.9979387328382
3.731805971304907 2.8429681037937504;-0.999778865067
3.766555552339057 2.8694586888482716;-0.9997431653899
3.79835160986705 2.893699136673855;-0.9980383116329
3.8242409175636287 2.913439568973152;-0.9954715364772
3.841946740875887 2.9269454577042637;-0.9931080060107
3.8500610933268917 2.9331441041040316;-0.9918594891561
3.8481441829512537 2.931700413646165;-0.9921622053468
3.8367292894550533 2.9230206244428985;-0.9938520224091
3.817238546858072 2.908188158163054;-0.9962654091543
3.791819696934314 2.888839260172468;-0.9985149092430
3.7631185872237363 2.86698968307247;-0.9998300883611
3.7340083974808853 2.844828399364319;-0.999835269550
3.707302923001509 2.824499163091153;-0.9986631247113
3.68548460388086 2.8078933012267346;-0.9968706226112
3.670475973980176 2.7964755808864807;-0.9952027313039
3.6634760531881154 2.7911595515918677;-0.9943043652913
3.664873599629192 2.792241443093016;-0.9944911700627
3.6742402024740026 2.799394891463338;-0.9956574636269
3.6903994923578716 2.8117236589052332;-0.9973438173214
3.7115637750416743 2.8278657249631456;-0.9989290597330
3.735524738481487 2.846138579519015;-0.9998695732289
3.7598798672350857 2.8647117255185086;-0.9998951979836
3.7822717110303175 2.881788979916541;-0.9990911138152
3.80061507044976 2.8957815728392644;-0.9978419023733
3.813288884747972 2.90545435632505;-0.9966682572309
3.8192749450425665 2.9100315007869626;-0.9960253587531
3.8182328296955625 2.909253598965567;-0.9961403410059
3.810507652812875 2.903383578475801;-0.9969450629648
3.7970731901605292 2.893163375449652;-0.9981214054399
3.779417773298898 2.879726999456473;-0.9992349568610
3.7593846768460293 2.864478922460444;-0.9999027999312
3.7389828357203254 2.848949857942762;-0.9999315944143
3.7201870143210156 2.834644499755214;-0.9993764141084
3.7047478686607853 2.822896795752083;-0.998503367954
3.6940308765180188 2.8147472147143815;-0.9976765629432
3.688899020146309 2.8108533486998337;-0.9972169896371
3.689648475644823 2.8114409031263943;-0.9972875295307
3.6960007223709237 2.816297676693544;-0.9978441943211
3.7071492825424857 2.8248091686092867;-0.9986665172167
3.721854869158644 2.83603107341771;-0.9994505836861
3.7385788256749475 2.848790955804213;-0.9999266220880
3.755641337840711 2.861808804320131;-0.999956316299
3.771388415738248 2.8738242709653226;-0.9995750316840
3.784350785670765 2.883717748982296;-0.9989668148095
3.793379072566513 2.890613386421296;-0.9983860813704
3.7977428545834115 2.893954571879365;-0.9980588806455
3.797185610501868 2.8935458110849415;-0.9981016745119
3.7919323552452684 2.8895585513467443;-0.9984861400492
3.7826512280958378 2.8825019165494257;-0.9990595589494
3.770374238800698 2.8731623183398485;-0.9996095127244
3.7563857995520067 2.862518517581896;-0.9999462384521
3.7420905046342465 2.8516408698344775;-0.9999711666792
3.7288735474402723 2.841584958011053;-0.99970716097
3.7179677433540417 2.8332902567496667;-0.9992817617710
3.710340082527563 2.8274936774056525;-0.9988728749059
3.7066081905158037 2.824665902658111;-0.998639682405
3.7069935239804557 2.82497571410885;-0.9986653324681
3.7113142037331577 2.8282845253948627;-0.9989316177534
3.7190165825155987 2.834170433851694;-0.9993326552767
3.7292412101879897 2.8419784862345225;-0.9997198686416
3.7409158943314056 2.8508915945658058;-0.9999596596163
3.752866185249716 2.8600147325673153;-0.999981684401
3.7639320833410723 2.8684638760764902;-0.9998005044351
3.773079360348999 2.8754508407666393;-0.9995043715577
3.779494760714059 2.880355836794793;-0.9992175583007
3.782656399432356 2.8827811221837636;-0.9990520278049
3.7823735449707905 2.8825813254295642;-0.9990670333689
3.7787932157313757 2.879868476907291;-0.9992509466622
3.77237423899148 2.874992242955264;-0.9995304255759
3.763832376746642 2.8684981089988946;-0.9998016722241
3.754062665775368 2.861068196167917;-0.9999707957970
3.744047104625565 2.8534509091173614;-0.9999877955536
3.734757057494962 2.846386555913175;-0.9998620331950
3.7270600431214813 2.840536308283918;-0.9996547166762
3.7216398473909273 2.8364213148599084;-0.9994527529326
3.7189372325108043 2.8343775106217066;-0.9993349329177
3.7191161728124236 2.8345298804220858;-0.9993434629707
3.722057864183354 2.8367878896864274;-0.9994709468981
3.7273820387336585 2.8408617259065743;-0.9996665264038
3.73449259462917 2.846297072618203;-0.999857603360
3.7426423843529477 2.852524486108053;-0.9999780922859
3.751010338258431 2.8589181748716888;-0.9999923494852
3.7587830872319032 2.8648582095324615;-0.9999062349962
3.765233020316447 2.869790016968183;-0.9997620920167
3.7697853193679625 2.8732754742264195;-0.9996206047872
3.772067875292567 2.875030956088787;-0.9995371485610
3.7719399132118374 2.8749491555416307;-0.9995417416860
3.769497380999118 2.8731031938051603;-0.9996297332768
3.7650554392788775 2.8697332771383595;-0.9997659074021
3.759110530185784 2.8652177881648053;-0.9998995695182
3.7522863398120276 2.860032100189617;-0.9999843103237
3.7452693692589474 2.854699470168287;-0.9999948428558
