Point;Valeur
-3.622600467102386 -2.4688223466466908;-0.9465212841752
-3.6895423328334545 -2.516817731951219;-0.9698523828996
-3.773840547087688 -2.5760468720557745;-0.989770666387
-3.8485698642157677 -2.628297945786724;-0.9986495012953
-3.9005840435425365 -2.6647103379288404;-0.9999337418106
-3.927717071658334 -2.683887867614458;-0.9989996182438
-3.93449768326637 -2.688985570188248;-0.9985847836284
-3.9281803248503633 -2.685005705179977;-0.998953796673
-3.9158903634981113 -2.67685132437675;-0.9995195667966
-3.9030388125169524 -2.6682455260219258;-0.9998793655345
-3.89281808961473 -2.661388662465372;-0.9999947972708
-3.886429019179653 -2.657114926751925;-0.9999900518341
-3.883669491529345 -2.655295886420301;-0.9999698510263
-3.883590884995115 -2.6552901279129766;-0.999969319592
PointOptimal;ValeurOptimale
[-3.88359088 -2.65529013];-0.999969319592341
Temps;Nb iteration
0.000997781753540039;13
