Point;Valeur
1.7427223879097973 -1.0912090552746156;0.8845025548068
1.7452928212943972 -1.0928182609640709;0.8830836740349
1.7478780201714565 -1.0944367117425726;0.881648450882
1.750478045382227 -1.0960644457056936;0.8801967239805
1.753092957564818 -1.0977015008218673;0.8787283310313
1.755722817143861 -1.0993479149259076;0.8772431088206
1.758367684319968 -1.1010037257123904;0.8757408932307
1.7610276190589997 -1.1026689707289437;0.8742215192538
1.763702681081219 -1.1043436873694632;0.8726848210058
1.7663929298501642 -1.1060279128671777;0.8711306317414
1.7690984245614985 -1.107721684287584;0.8695587838692
1.771819224131558 -1.1094250385213822;0.8679691089674
1.774555387185813 -1.1111380122771575;0.8663614378009
1.7773069720470756 -1.1128606420740423;0.8647356003378
1.7800740367235854 -1.1145929642342607;0.8630914257683
1.78285663889693 -1.1163350148755442;0.8614287425222
1.7856548359096895 -1.1180868299034248;0.8597473782891
1.7884686847530318 -1.119848445003448;0.8580471600380
1.7912982420540475 -1.1216198956332497;0.8563279140381
1.7941435640629269 -1.1234012170145382;0.8545894658803
1.7970047066399766 -1.1251924441249037;0.8528316404994
1.7998817252423784 -1.1269936116896349;0.8510542621970
1.8027746749108744 -1.1288047541732757;0.8492571546654
1.8056836102561782 -1.1306259057712473;0.8474401410121
1.808608585445293 -1.1324571004011157;0.8456030437851
1.8115496541875473 -1.134298371694004;0.8437456849988
1.8145068697205522 -1.1361497529856956;0.8418678861615
1.8174802847958764 -1.1380112773077133;0.8399694683025
1.8204699516646565 -1.1398829773782782;0.8380502520013
1.8234759220628327 -1.1417648855931295;0.8361100574166
1.8264982471964697 -1.1436570340162595;0.8341487043171
1.8295369777266752 -1.1455594543705385;0.8321660121121
1.8325921637544376 -1.1474721780281751;0.8301617998842
1.8356638548052548 -1.1493952360010826;0.8281358864219
1.8387520998136484 -1.1513286589311937;0.8260880902535
1.8418569471073303 -1.1532724770806324;0.8240182296820
1.8449784443914274 -1.1552267203217044;0.821926122820
1.848116638732339 -1.157191418126859;0.8198115876304
1.8512715765414844 -1.159166599558536;0.8176744419558
1.8544433035589014 -1.1611522932588676;0.8155145035651
1.8576318648366903 -1.1631485274392284;0.8133315901892
1.8608373047221711 -1.1651553298698807;0.8111255195620
1.8640596668409832 -1.1671727278692434;0.8088961094622
1.8672989940799674 -1.1692007482932039;0.8066431777553
1.8705553285699041 -1.1712394175243368;0.8043665424372
1.8738287116680932 -1.1732887614609866;0.8020660216787
1.877119183940695 -1.175348805506196;0.7997414338710
1.8804267851450072 -1.177419574556695;0.7973925976718
1.8837515542115455 -1.1795010929915195;0.7950193320530
1.887093529226011 -1.181593384660819;0.7926214563493
1.8904527474109516 -1.1836964728744404;0.7901987903072
1.89382924510747 -1.1858103803903526;0.7877511541360
1.8972230577566835 -1.1879351294030926;0.7852783685593
1.900634219881048 -1.1900707415320904;0.7827802548672
1.9040627650655304 -1.1922172378098184;0.7802566349706
1.90750872593868 -1.1943746386700216;0.77770733145
1.9109721341535628 -1.1965429639356957;0.7751321676374
1.9144530203684422 -1.1987222328071359;0.7725309676215
1.917951414227577 -1.200912463849705;0.7699035563570
1.9214673443416934 -1.203113674981783;0.7672497596973
1.9250008382683848 -1.205325883462375;0.7645694044603
1.9285519224924397 -1.2075491058789092;0.7618623184886
1.9321206224060046 -1.2097833581347448;0.7591283307116
1.9357069622887375 -1.212028655436709;0.756367271208
1.9393109652876968 -1.2142850122826205;0.7535789712730
1.9429326533973363 -1.2165524424486602;0.7507632634766
1.946572047439228 -1.2188309589767132;0.747919981736
1.9502291670418046 -1.2211205741617266;0.7450489613812
1.95390403062006 -1.2234212995388845;0.7421500392194
1.9575966553549822 -1.2257331458708864;0.7392230536088
1.9613070571731894 -1.228056123135059;0.7362678445255
1.965035250726261 -1.2303902405105238;0.7332842536358
1.9687812493702213 -1.2327355063652523;0.7302721243674
1.9725450651448075 -1.235091928243162;0.7272313019827
1.9763267087527505 -1.2374595128510917;0.7241616336521
1.9801261895390856 -1.2398382660459117;0.7210629685291
1.9839435154703475 -1.2422281928214485;0.7179351578255
1.9877786931138517 -1.2446292972954731;0.7147780548880
1.9916317276168103 -1.2470415826967118;0.7115915152753
1.9955026226855774 -1.2494650513518346;0.7083753968363
1.9993913805648083 -1.2518997046723646;0.7051295597891
2.003298002016776 -1.2543455431417172;0.7018538668006
2.0072224863005106 -1.256802566302218;0.6985481830667
2.0111648311510493 -1.2592707727420553;0.6952123763941
2.0151250327587853 -1.261750160082341;0.691846317281
2.019103085748828 -1.264240724964265;0.6884498790032
2.0230989831603843 -1.2667424630360125;0.6850229376909
2.027112716426222 -1.269255368940091;0.6815653724190
2.031144275352183 -1.271779436300457;0.6780770652881
2.0351936480969393 -1.2743146577097066;0.6745579015106
2.0392608211514553 -1.2768610247164678;0.6710077694962
2.0433457793191225 -1.2794185278127;0.667426560937
2.047448505695501 -1.2819871564211736;0.6638141708971
2.0515689816484404 -1.2845668988829926;0.6601704978941
2.0557071867982453 -1.2871577424451606;0.6564954439916
2.0598630989981377 -1.2897596732483056;0.6527889148843
2.064036694314618 -1.2923726763144483;0.6490508199864
2.068227947008219 -1.2949967355349645;0.6452810725198
2.072436829514348 -1.297631833658513;0.6414795896025
2.076663312424341 -1.3002779522792358;0.6376462923370
2.0809073644667384 -1.302935071824945;0.6337811058991
2.0851689524886656 -1.3056031715456058;0.6298839596268
2.089448041437618 -1.30828222950184;0.6259547871082
2.0937445943433133 -1.3109722225535894;0.6219935262714
2.09805857229998 -1.3136731263489734;0.6180001194718
2.102389934448722 -1.3163849153133202;0.6139745135814
2.106738637960236 -1.3191075626383495;0.609916660076
2.1111046380178804 -1.3218410402714695;0.6058265151271
2.1154878878009895 -1.32458531890543;0.6017040396812
2.1198883384684883 -1.327340367968009;0.597549199555
2.124305939142812 -1.3301061556119964;0.5933619655204
2.128740636894268 -1.332882648705337;0.589142313387
2.1331923767256296 -1.3356698128215534;0.5848902240925
2.1376611015572333 -1.3384676122303003;0.5806056837849
2.1421467522122946 -1.341276009888322;0.5762886839081
2.1466492674027835 -1.3440949674305043;0.5719392212853
2.1511685837155703 -1.3469244451612068;0.5675572982014
2.1557046355990526 -1.3497644020459434;0.563142922485
2.1602573553502324 -1.352614795703205;0.5586961075909
2.1648266731022074 -1.3554755823967244;0.5542168726763
2.169412516812129 -1.3583467170278478;0.5497052426831
2.174014812249597 -1.3612281531283548;0.5451612484142
2.178633482985677 -1.3641198428535088;0.5405849266093
2.183268450382247 -1.3670217369753894;0.5359763200206
2.1879196335819264 -1.3699337848766495;0.5313354774860
2.1925869494986414 -1.3728559345444757;0.5266624540015
2.1972703128084756 -1.37578813256506;0.5219573107912
2.201969635941364 -1.378730324118217;0.5172201153770
2.206684829073133 -1.381682452972447;0.5124509416450
2.2114158001182043 -1.3846444614804554;0.5076498699115
2.216162454722928 -1.3876162905748801;0.502816986986
2.2209246962594684 -1.390597879764431;0.49795238623450
2.2257024258202853 -1.3935891671305551;0.49305616763605
2.2304955422133195 -1.3965900893243495;0.48812843784333
2.2353039419577136 -1.3996005815638752;0.4831693102365
2.2401275192803416 -1.4026205776319394;0.47817890497705
2.244966166112831 -1.4056500098743696;0.47315734905785
2.249819772089366 -1.4086888091985241;0.46810477635247
2.254688224545136 -1.4117369050723505;0.4630213276607
2.2595714085155096 -1.41479422552384;0.45790715075262
2.264469206735976 -1.4178606971410135;0.4527624004084
2.269381499642608 -1.4209362450722032;0.4475872384580
2.274308165373435 -1.4240207930269653;0.4423818338153
2.2792490797705667 -1.427114263277299;0.4371463625118
2.2842041163829627 -1.4302165766594555;0.43188100772564
2.2891731464699405 -1.433327652576145;0.42658595980899
2.294156039005588 -1.4364474089991819;0.4212614163117
2.299152660683895 -1.4395757624728447;0.41590758200199
2.30416287592455 -1.4427126281174294;0.41052466888414
2.3091865468796935 -1.445857919633507;0.40511289621290
2.3142235334414316 -1.4490115493065827;0.3996724905046
2.3192736932500972 -1.452173428012258;0.39420368554513
2.3243368817033128 -1.4553434652219979;0.3887067223941
2.3294129519660607 -1.4585215690092965;0.3831818493862
2.3345017549812135 -1.4617076460563923;0.3776293221287
2.3396031394813095 -1.46490160166156;0.37204940349528
2.3447169520008644 -1.468103339746894;0.36644236361645
2.3498430368896397 -1.47131276286651;0.360808479866
2.3549812363268074 -1.4745297722153947;0.35514803684767
2.3601313903357015 -1.4777542676388684;0.3494613263670
2.365293336799812 -1.480986147642351;0.3437486474150
2.3704669114792933 -1.4842253094017794;0.338010306135
2.3756519480284575 -1.4874716487746313;0.33224661579597
2.3808482780141897 -1.49072506031129;0.32645789674863
2.3860557309350465 -1.4939854372670893;0.32064447639417
2.391274134241329 -1.4972526716149712;0.3148066891366
2.3965033133559377 -1.5005266540584066;0.3089448763365
2.401743091696175 -1.5038072740451103;0.303059386259
2.4069932906963225 -1.5070944197811096;0.29715057402229
2.4122537298309927 -1.510387978245437;0.2912188015312
2.41752422663948 -1.5136878352053675;0.28526443742186
2.422804596750844 -1.516993875232046;0.2792878569908
2.428094653909851 -1.5203059817168;0.2732894421253
2.4333942100037085 -1.5236240368879146;0.2672695812282
2.4387030750897503 -1.5269479218278141;0.2612286691394
2.4440210574237224 -1.5302775164909344;0.2551671070534
2.4493479634891413 -1.5336126997219688;0.24908530243300
2.4546835980271156 -1.5369533492746534;0.24298366891863
2.4600277640673123 -1.5402993418310909;0.2368626262346
2.4653802629595267 -1.543650553021454;0.23072260009122
2.4707408944060174 -1.5470068574443567;0.22456402208265
2.476109456494548 -1.5503681286875366;0.21838732958209
2.48148574573244 -1.5537342393490112;0.2121929656323
2.4868695570811026 -1.5571050610588089;0.20598137883303
2.4922606839913337 -1.560480464501123;0.19975302322460
2.4976589184395204 -1.5638603194368725;0.1935083581680
2.5030640509642472 -1.567244494726658;0.18724784822167
2.5084758707039154 -1.5706328583543006;0.180971963014
2.5138941654347087 -1.5740252774507404;0.17468117711592
2.519318721609556 -1.5774216183181298;0.16837596990218
2.5247493243973955 -1.5808217464547698;0.16205682541990
2.5301857577234323 -1.5842255265800271;0.15572423224610
2.5356278043096134 -1.5876328226598224;0.14937868334544
2.5410752457160064 -1.5910434979325552;0.1430206759242
2.5465278623826446 -1.5944574149352062;0.1366507112817
2.551985433671828 -1.5978744355298862;0.13026929465853
2.5574477379111795 -1.6012944209307407;0.1238769350822
2.562914552437007 -1.6047172317311587;0.11747414521062
2.5683856536382845 -1.6081427279313112;0.11106144117195
2.573860817001138 -1.6115707689658567;0.10463934240335
2.5793398171536133 -1.615001213732157;0.09820837148647
2.5848224279110865 -1.6184339206186484;0.09176905398105
2.590308422321995 -1.6218687475333942;0.08532191825645
2.5957975727138805 -1.6253055519330464;0.07886749532113
2.6012896507400023 -1.6287441908519282;0.07240631865022
2.606784427426122 -1.6321845209313055;0.06593892401143
2.6122816732176104 -1.6356263984490034;0.059465849289238
2.6177811580270367 -1.6390696793490678;0.05298763430755
2.6232826512818783 -1.6425142192716857;0.04650482065098
2.6287859219724927 -1.6459598735832366;0.04001795148491
2.6342907387002565 -1.6494064974064848;0.03352757137441
2.639796869726168 -1.652853945650873;0.027034226102005
2.6453040830193695 -1.6563020730429854;0.020538462484641
2.650812146305914 -1.659750734157049;0.014040828189963
2.656320827117658 -1.6631997834456045;0.007541871551834
2.661829892841231 -1.6666490752700969;0.0010421413854946
2.667339110767233 -1.6700984639316905;-0.005457813197869
2.6728482481392177 -1.6735478037020015;-0.011957442976497
2.67835707220289 -1.676996948853821;-0.018456198803664
2.6838653502554117 -1.6804457536919837;-0.024953531793424
2.689372849694345 -1.683894072584109;-0.03144889350583
2.6948793380668383 -1.6873417599912819;-0.03794173613
2.7003845831187343 -1.690788670498864;-0.04443151267945
2.7058883528433864 -1.694234658846925;-0.050917677154879
2.7113904155304325 -1.6976795799611462;-0.05739968474889
2.716890539814627 -1.7011232889828516;-0.06387699201792
2.7223884947241523 -1.7045656412997414;-0.07034905706601
2.727884049728938 -1.7080064925759215;-0.07681533972
2.733376974788839 -1.7114456987820292;-0.08327530173534
2.7388670404013427 -1.7148831162252023;-0.08972840692125
2.7443540176491505 -1.7183186015788188;-0.0961741213699
2.7498376782474323 -1.7217520119121483;-0.10261191360544
2.7553177945907943 -1.7251832047196773;-0.10904125476163
2.760794139799876 -1.7286120379502623;-0.11546161875410
2.7662664877675036 -1.7320383700361872;-0.1218724824493
2.7717346132046203 -1.73546205992176;-0.12827332583238
2.7771982916857283 -1.7388829670918733;-0.13466363217169
2.7826572996938403 -1.7423009516000456;-0.14104288818247
2.7881114146651247 -1.745715874096405;-0.14741058418710
2.7935604150328985 -1.749127595855293;-0.15376621427322
2.7990040802712586 -1.7525359788025527;-0.16010927644929
2.8044421909382096 -1.7559408855425052;-0.16643927279745
2.8098745287181184 -1.7593421793845;-0.17275570962345
2.815300876463743 -1.7627397243693521;-0.17905809760396
2.8207210182376463 -1.7661333852952172;-0.18534595193075
2.8261347393530887 -1.7695230277430989;-0.1916187924519
2.8315418264141616 -1.7729085181020645;-0.19787614380979
2.8369420673554195 -1.776289723594093;-0.20411753557609
2.842335251480803 -1.7796665122984723;-0.2103425023832
2.8477211695021194 -1.7830387531756366;-0.21655058405279
2.8530996135764077 -1.7864063160908679;-0.22274132572019
2.8584703773430302 -1.7897690718374268;-0.22891427795616
2.863833255959931 -1.7931268921591599;-0.23506899688458
2.869188046139058 -1.7964796497728004;-0.24120504429663
2.8745345461812093 -1.7998272183897794;-0.24732198776150
2.879872556010228 -1.8031694727374181;-0.25341940073333
2.8852018772059767 -1.806506288579964;-0.2594968626542
2.890522313037262 -1.8098375427388367;-0.26555395905415
2.895833668493294 -1.8131631131125447;-0.2715902816458
2.9011357503148587 -1.8164828786961043;-0.27760542841713
2.906428367024383 -1.8197967195999742;-0.2835990037188
2.9117113289553838 -1.8231045170684044;-0.2895706183486
2.916984448281083 -1.8264061534972886;-0.29551988963126
2.922247539042049 -1.8297015124516476;-0.3014464414946
2.927500417173214 -1.8329904786823623;-0.3073499045421
2.9327429005299566 -1.8362729381427554;-0.3132299161212
2.9379748089134186 -1.8395487780041053;-0.3190861203874
2.9431959640948406 -1.8428178866711626;-0.3249181683650
2.9484061898392016 -1.8460801537968272;-0.33072571800332
2.953605311927919 -1.8493354702964309;-0.33650843422919
2.958793158180784 -1.8525837283614148;-0.34226598899594
2.9639695584769807 -1.85582482147249;-0.347998061327
2.9691343447751795 -1.8590586444122363;-0.3537043373603
2.9742873511330186 -1.8622850932773096;-0.35938451037823
2.9794284137253535 -1.8655040654898973;-0.36503828084744
2.9845573708620803 -1.8687154598087603;-0.37066535644478
2.989674063004712 -1.8719191763398442;-0.376265452083
2.9947783327823627 -1.8751151165460287;-0.3818382899336
2.999870025006794 -1.8783031832566395;-0.387383599442
3.0049489866865344 -1.8814832806764428;-0.39290111734587
3.010015067040277 -1.8846553143938543;-0.39839058768046
3.0150681175094056 -1.8878191913887876;-0.4038517617900
3.0201079917696187 -1.8909748200400467;-0.4092843983289
3.0251345457417207 -1.8941221101320052;-0.41468826326193
3.0301476376016954 -1.897260972860917;-0.42006312986020
3.035147127789786 -1.9003913208406358;-0.4254087786946
3.0401328790189193 -1.9035130681078316;-0.4307249976252
3.04510475628216 -1.9066261301268084;-0.4360115817872
3.050062626859545 -1.909730423793596;-0.44126833357429
3.0550063603239157 -1.9128258674397307;-0.44649506261803
3.0599358285461142 -1.9159123808354461;-0.4516915857649
