Point;Valeur
3.833575965535177 2.8955878421231347;-0.9957845486653
3.8243098499031936 2.886411334154446;-0.9968868200910
3.8157481827437785 2.8780066552469754;-0.9977542555002
3.8078607606853745 2.870324729962598;-0.9984263345085
3.8006168867243093 2.863318944615982;-0.9989372600663
3.793985615295939 2.8569450334998074;-0.9993164887266
3.78793597006964 2.8511609749844395;-0.9995892324364
3.7824371360687397 2.8459268957369313;-0.9997769290733
3.7774586277784 2.841204981621696;-0.9998976800148
3.7729704349309654 2.8369593941125544;-0.9999666539234
3.768943147655035 2.8331561912699352;-0.9999964566805
3.7653480626476616 2.829763252523763;-0.9999974680066
3.7621572719833094 2.8267502066573558;-0.9999781457819
3.7593437361131543 2.824088362515252;-0.9999452994470
3.756881342537686 2.821750642062501;-0.9999043341289
3.754744951557688 2.819711515508166;-0.9998594673172
3.7529104304261263 2.8179469382746705;-0.9998139200277
3.7513546771387665 2.8164342896500183;-0.9997700844430
3.7500556350158383 2.815152313004019;-0.9997296700241
3.7489922991428077 2.81408105748449;-0.9996938300555
3.748144715655711 2.8132018211364724;-0.9996632705232
3.7474939747769844 2.8124970954084647;-0.9996383431449
3.7470221984315306 2.8119505110253518;-0.999619124270
3.746712523200446 2.8115467852194183;-0.9996054812629
3.746549079301479 2.811271670319012;-0.9995971278529
3.7465169662213538 2.811111903700049;-0.9995936698471
3.7466022255651756 2.8110551591089874;-0.999594642444
PointOptimal;ValeurOptimale
[3.74660223 2.81105516];-0.999594642444942
Temps;Nb iteration
0.0019941329956054688;26
