Point;Valeur
-0.15426079626275602 4.395921093462158;11.08917074757
-0.16171417779997907 4.382674067551918;11.063142578291
-0.16654579982159642 4.365955609918108;11.015906872882
-0.16865194362719213 4.3454663925109696;10.942483865606
-0.16788519104154825 4.3208211408009225;10.835785831468
-0.1640395691588692 4.291542621318517;10.685882556714
-0.15683999765628556 4.257078058739495;10.479721615892
-0.14594911197303537 4.216879578085061;10.203025426789
-0.13102312573373462 4.170627095652534;9.848537557038
-0.11186949960269196 4.118670592113257;9.43581914441
-0.0887262873003437 4.062556726328823;9.034650576469
-0.06250192944755675 4.005036898786557;8.751632825202
-0.034659102743293035 3.949101951868447;8.6579292497
-0.00675252350095901 3.896841258999762;8.736893423043
0.019970302811232268 3.849109548372086;8.915626736972
0.044692433047524904 3.805841900280365;9.12317596266
0.06696696047449861 3.7664800003742083;9.316372387955
0.08660429728320809 3.7302724724948106;9.476960484091
0.1035719662662893 3.6964374212949562;9.60101843156
0.11792281161765339 3.664234316962894;9.690771544355
0.1297483341039188 3.632986556183272;9.750119657986
0.1391496491269732 3.6020798544567634;9.78262105724
0.14621943817437663 3.5709494418117775;9.790705469960
0.1510300942555543 3.539061786745588;9.775375583837
0.15362478243062108 3.5058926035668847;9.736006938477
0.154009142386153 3.470900808967913;9.670029396354
0.15214199514528576 3.433497280189886;9.572334702970
0.14792403411535193 3.393008261982098;9.43427822426
0.14118491767172456 3.348638950661533;9.242271749360
0.13167364202636858 3.29946156488517;8.976653488626
0.11906984476562882 3.2445024039909365;8.614109921619
0.1030623312359096 3.183096775359047;8.1434636041
0.0835696909908104 3.1156931758149518;7.608147849799
0.061082521562602785 3.0446977916973013;7.146503510933
0.03677447001590786 2.9738911318136187;6.920824267170
0.012076350136449601 2.9063499849235903;6.9634011503185
-0.011844260025426757 2.843303091570242;7.169004756281
-0.03425591346443323 2.784506524778704;7.4138691975208
-0.05478607394155444 2.7289862266472964;7.6240046935254
-0.07328566840848937 2.675547215448998;7.7716697544768
-0.0897159727711174 2.6230185399662194;7.852864324107
-0.10406994547661923 2.5703316280437263;7.871261413521
-0.11631873589711109 2.5165091619394837;7.830096519064
-0.126370719597075 2.460608080884881;7.728176920681
-0.13403165555141544 2.4016428039921096;7.557199851137
-0.13895789324481753 2.338522929397316;7.299579310993
-0.14060611048404725 2.270097373422612;6.929800560306
-0.13822350634011527 2.1955319151612027;6.432010541318
-0.13101384339796035 2.115287647223338;5.854804651448
-0.1186219765965896 2.0320971463094146;5.364327485695
-0.10160288186761629 1.9499173503921754;5.140437042591
-0.08121330800883925 1.871376307031444;5.187433104189
-0.05881511253024131 1.7969331789085692;5.36518142285
-0.03552242921821219 1.7256544010346764;5.54108825487
-0.012141598398784273 1.656082832172312;5.647916291910
0.01075535763445351 1.5867070853612244;5.664521666066
0.03272226872497119 1.5160970807477185;5.586658593890
0.053328219852678854 1.4428496101780048;5.408025066905
0.07204389366282352 1.365472786494648;5.109732770685
0.08812040904766358 1.2824043393802866;4.659781257300
0.1005146434473246 1.1926050977023344;4.046446572669
0.10809024459926302 1.097152872904727;3.3828227412711
0.11030933750347899 1.0000911931993508;2.9488192760396
0.10769321459131932 0.9054656244247894;2.9031070765949
0.10132236358143364 0.8145030749955333;3.089481353624
0.09221701976782401 0.7262511423566491;3.274679021407
0.08111413846849609 0.6390134812841339;3.3373876056391
