Point;Valeur
-0.35416892365032293 3.4420454187098386;9.995500393820
-0.039367486966143894 3.1272439249491684;7.566134380738
0.31776227179249106 2.704112785893457;8.40433747926
-0.08644803864669592 2.7220497218172817;7.705407953240
0.3294119218142773 2.914667085285639;8.29915056339
-0.21378477805026336 2.9217216768971355;7.762830145140
0.4854933131073936 2.9810329697940796;8.672256071698
0.39383272919290957 2.8624588871068557;8.492952269035
0.07802136268601373 2.893184863993311;7.136621766400
-0.419977476813097 3.0991216685798606;8.898480118819
-0.15871602620617487 2.8283340681023725;7.6588594222230
0.46056059236280167 3.0398854803433055;8.77088403983
0.30266510009974057 2.8368140731225746;8.25641070050
-0.1946067756146791 2.924067098307284;7.654988898647
0.5462487816123596 2.9889937310889305;8.684343355678
0.6327812657216634 2.861523064935146;8.517679494309
0.9080305538483147 2.9056859399274204;7.413403734600
1.388530039753944 3.0859897806169863;9.277294168525
0.9826418150938603 2.8328876143632007;7.522273006418
0.9991090669337453 3.133486805258037;7.854153011008
0.9256080941291764 2.657975004634657;8.096517328036
1.0801499517915367 2.7597209993189544;7.968173059433
0.6392533015435983 3.0031526265474615;8.566470449700
0.9989821274011736 2.861685633794227;7.413791167412
0.9165327923801471 3.1359251156812586;7.9773429295349
1.3257932619059365 2.671534070702473;8.973087449075
0.9562727277904757 2.6772013543163227;8.041726209654
1.0246709983539752 2.816705553166236;7.61956058460
0.791229042980937 3.1081945104602258;8.334471606493
1.4314838970784727 2.7484937100513473;9.183209205351
1.1904589697833337 2.7758026115198478;8.369406829820
0.5645388378987191 2.9482607258847824;8.622170036980
0.6959913137092983 2.888760962399679;8.338757966894
1.1539087380238529 2.941023804124872;7.807876244575
0.33516590476853225 2.9947521181972934;8.380810741648
-0.17454345371054358 2.868521962027105;7.63445379153
0.5135696401260409 3.0302810810495364;8.77573445363
0.5079506559052034 2.8537446867736533;8.622291753942
0.4795780765055144 2.8689639137795218;8.607784289225
0.38676738530633176 2.8780517168884954;8.472524720664
0.06745572307615083 2.898827088971804;7.087513999221
-0.3656549350954655 3.084313424437352;8.723428095511
0.02875295096258529 2.8251500676071633;7.252993688482
-0.13880160990835197 3.103853370328758;7.7775604922621
0.5460701023000191 2.7002231765504097;8.64074785136
0.5598209997572794 2.678772589784906;8.630856713454
0.586915902981944 2.6457383677835224;8.604567962715
0.6390887172300741 2.595243559252858;8.533524589721
0.7374015012636468 2.519073920040994;8.335058998966
0.9191980858942983 2.3974426413948513;7.770264280684
1.0439480780455406 2.1232882943017195;6.093285229500
0.6413604666870808 1.6481209882313672;6.602762238773
0.7152264619745083 1.5976892103107172;6.507886042631
0.8465303667538485 1.5291801487280672;6.28501504741
0.9923192501785939 1.42206931864837;6.007954224152
0.8355690605826471 1.1782689455108393;4.807407434968
1.2548480553549517 0.7325246407481351;5.500884211968
0.584060181588703 0.8596950127463567;4.559757597384
0.5899155015196805 0.8701490348176927;4.557835578019
0.6162378973136462 0.8770551783423219;4.545749601283
0.7108974705992868 0.8895964245012355;4.392575675567
1.055804638112425 0.9428434089447947;3.792625589948
0.44059295244614183 1.0356496215347841;4.639007207728
0.1438776779173253 0.8241156249016578;3.2445646230033
-0.49168328339733036 0.9914638360161956;4.615841482043
-0.3172272203450213 0.84645700359987;4.035242640523
0.23150944263608814 0.8803986901833587;3.60723802356
-0.5001289982142263 0.9437139756698373;4.55256606227
-0.3405081415951005 0.864030140232764;4.1189831830819
0.17312847330785336 0.8790059665861293;3.2860668645820
-0.5746662581556357 0.9863982917678558;4.646430476121
-0.6144844946040928 0.8558818783638784;4.552246025090
-0.6863696006265045 0.8799727308051161;4.453240554237
-0.9575728179521459 0.9268830008049015;3.618015955999
-1.0161383636321082 1.0647966941034934;3.8738501708751
-0.6804666600631928 0.7187015057922352;4.596586688501
-0.7362834477872972 0.7533569984335294;4.518419288044
-0.9218174600660854 0.8476272661283725;3.8919653930073
-1.1077171866191948 1.1135232442836565;4.54674741952
-0.32206607095278583 0.6935770581070615;4.092854321531
0.09012142334166512 0.6709763045448176;3.342576591521
-0.23894390685634692 0.7270045846596913;3.8063631218419
0.2853986149629629 0.7693550698239783;3.95806193091
-0.23616117948882198 0.8133100648591808;3.7082142772440
0.40090066759154674 0.9046219266798016;4.32322320522
0.007756567126555258 0.8709160678249332;2.7109117451713
-0.04536245400458169 1.0715981031401551;2.9983476382680
0.27934278920033173 0.6616375131622969;3.9488546902092
-0.15700489080435692 0.6268009754783156;3.5359629507572
0.2661312120734482 0.5966994315904877;3.8528652921549
-0.15158781430967244 0.5083789100773755;3.352834145590
0.23954047583850868 0.33745196979230985;3.0592738530107
-0.3149361069398414 0.03263787281311614;2.2561287999612
0.5618734841976868 -0.04935450831958933;3.238097679168
0.3683461257039202 0.0371429288048673;2.578978440003
-0.3568353990425336 -0.043175580739141683;2.52335431147
0.3988171564448483 0.05201368392477013;2.750292946723
-0.23521468396467227 -0.05105718842972072;1.7041076933737
0.8123465147453437 0.11025330672039226;3.129367775645
1.178954900720871 -0.16717398520156707;4.226742754756
0.2615002336631722 0.16214077064108445;2.316174992535
-0.5745175201688647 -0.17447884329182556;3.542105637834
-0.3892745428887882 0.03994254110408235;2.6892644937683
0.27337796660952157 -0.041927961942139866;1.9792821908255
-0.7058165336520648 0.07615348638176317;3.269622728311
-0.9200962299409045 -0.08458692649213337;2.782825279881
-1.0761266819161277 0.2005754645272025;3.7706258011160
-0.39904094168107274 -0.20844827970922;3.1913797983585
0.11414189989305934 0.042897077637382125;0.6999324381447
-0.8786588399879215 -0.16787673703527412;3.257671347234
-1.089424368005212 0.21580779436244724;3.9267917830376
-0.3860142116356762 -0.1807429744790407;3.0415117019641
0.17833857254716534 0.07050818377651075;1.300469771603
-0.8898831422502607 -0.18790085926365485;3.3546943084108
-1.0443406312926102 0.20850812102745564;3.6748728368311
-0.5055558604011137 -0.21311500824324436;3.530842353673
-0.18681217765394853 0.006816766258641721;1.2406290565355
0.9377834943951288 -0.01979751201249696;2.5953243279358
1.0254513003790826 0.05638449180129007;2.8035673917189
0.5169012175795151 -0.15602250361901904;3.385120078670
0.2120556637690555 0.046798434146265194;1.5071927802665
-0.8723237046544116 -0.11327586558110589;2.9906114075181
-1.1702166797427713 0.207827324072098;4.363104513297
-0.3224606863379069 -0.13032922820491208;2.548844202057
0.43949362279914306 0.12448244385539173;3.0732194094011
-0.04672161091053906 -0.0679756478117339;0.40633588143093
0.47920513200528647 0.32402453996908875;3.8025562898870
0.15923531724085216 0.1233398588523876;1.4076495664677
-0.7879915775271358 -0.2812356361007712;3.9291731306897
-0.8898724762918834 0.0004472733281399299;2.6603043990189
-1.2104615633184377 -0.0013488866115626635;4.000604525843
-0.14569256748066928 0.0022436720436692552;0.8902094492729
0.9537117781181561 -0.008089656962003217;2.581787475376
0.9432087562852244 0.023496070069274223;2.5968137989839
0.9971977426068008 -0.06735209240716239;2.7537209402245
0.6848658825087532 0.18148340170106148;3.615357809223
0.7442072036803399 -0.0687237936864884;3.1779222957759
1.0582844955467405 0.09231583846872349;3.0849770886661
0.3675056684889173 -0.21634563724195482;3.0955510777255
-0.18935183915084453 0.05112406893132859;1.3298781069206
0.9043879248783954 -0.13619095103924964;3.048253524472
1.075443495941209 0.23750970954711562;3.9802524883378
