Point;Valeur
-0.5743782365968819 -3.976988408872326;10.338564183108
-0.874393302158349 -3.676973367248996;9.859396649238
-1.2406527991800747 -4.02503891369366;10.00686401587
-0.7283768545283337 -3.605347218215647;10.200002097213
-0.9192602470901743 -3.5074873058629454;9.802300607749
-1.039437866471142 -3.2002355126853352;8.397521023749
-0.8082832618731475 -2.516726604348893;8.22887311480
-0.9891329929440609 -2.316845042459352;7.3694433557386
-0.9304351357117404 -1.7292264596850395;6.093931194883
-1.0433282086336284 -2.040670553354128;5.629389715045
-0.6988456507675673 -1.6062106403230687;6.5301834795771
-0.7976366693983703 -1.4996368925882706;6.2862082795510
-0.9228553446538746 -1.270404067367563;5.240915146851
-1.0181251091879284 -0.6186171842618128;4.6812584083081
-0.7417768890670537 -0.753441099054033;4.510867211787
-0.9026415751122724 -0.9080331318033557;3.74163095251
-1.181203681688708 -1.1622742450339596;5.294569345029
-0.5985719875270068 -0.5534708807672201;4.481048076946
-0.47868690274787573 -0.4095479476894035;4.023310096254
-0.24839682850290248 -0.14732652603478275;2.1611275705731
0.3660431404397978 0.36396472039430167;3.6101138887689
0.05094294742908567 0.02604225572961949;0.24697441680889
-0.44816346311193456 -0.2642569529922476;3.541551805225
-0.15537253200724382 0.08644713119903397;1.184758559068
0.5458377691716769 -0.41104242068328767;4.155271205337
0.3752533352373033 -0.16548888748794116;2.9412812338157
-0.05914173603655454 0.21898165006744275;1.5942507573085
0.2121035245461636 -0.586794556049932;3.673677105930
-0.09836177684346764 -0.45129476075597175;3.0498620400112
0.12854011035450016 -0.07784813419004455;0.9421063878413
-0.5523362254183962 0.4178649855937135;4.1810602062
-0.38945883701531686 0.18204920509135858;3.060340289757
0.009764540073197103 -0.1963307870792227;1.323121816175
-0.04150090564389359 0.6520306338769797;3.268861893673
0.07272717027534242 0.7105233901241783;3.2544263292013
-0.14359442969259162 0.8906489889527816;3.1071959710833
0.36836681764551205 1.0561412329517665;4.504825102090
0.032376566127848116 0.6824106432699979;3.232186474474
-0.0636636668446982 0.8155342857540956;2.967129512102
0.18918398607984172 1.1419474868876667;4.088886710495
-0.31029242035654414 0.4828363174454463;3.771907509475
-0.026638335578912264 0.23042313783372903;1.6228861925509
0.09462692327994406 -0.5879712941491774;3.345015010366
-0.11805159735675223 -0.48814037196494026;3.211356810882
0.1265835684119872 -0.19527670891185173;1.6861642797163
-0.37811659068860953 0.5428549764465618;4.073915645502
-0.140812314369672 0.35712552096877204;2.7700700044366
0.19405951563668877 -0.1586393411976551;1.8564112869963
-0.43816418214929476 0.44376164398392925;4.012796288002
-0.21354847537157462 0.20404408227552784;2.244860214327
0.3492029913428244 -0.39103201118951036;3.640444168593
0.05232408040069769 -0.07899501476341986;0.49298935025975
-0.3421307211635782 0.5442664890624422;3.986052936785
-0.08672334408583976 0.35638367657146824;2.604334474876
0.15458283041452814 -0.20085401897256555;1.8789170990210
-0.38663499666339307 0.493158135651058;3.9988244353358
-0.147047307776056 0.2729494572442698;2.318289962728
0.2813104504989608 -0.37366500589974894;3.359679068006
-0.0645238494920996 -0.002909001208336981;0.29004346831261
0.5095608880358453 0.02569527659674854;3.116120998215
0.271449644857305 -0.0413244814677393;1.9640446352713
-0.42333151859288704 0.1302340237576674;3.0289907970603
-0.05072633595531939 -0.1689778314218613;1.159758131033
0.22231550112766785 0.6647049790828822;3.760941967220
-0.10959200194377966 0.6492701360878529;3.402056503334
0.1445163456171792 0.6737086772445723;3.4951257478658
-0.16713673135774965 0.7265510732429965;3.527968908778
0.20194393220981105 0.8549593784332163;3.478625989737
-0.3054976841814668 1.0104647869187362;4.103587004440
0.15602718973414392 0.7364092782635415;3.4721656152967
-0.2141231933187796 0.8912221898277537;3.5019615374779
0.32315486726066345 0.980744879220387;4.119795256185
-0.1069330810679574 0.789531535679673;3.177105401573
0.24195449734473223 1.0603557583210659;3.9377135159811
-0.2984153367547941 0.6177557574897927;3.9724893531111
-0.017237314140456705 0.5074757884205727;3.1064899172879
0.024370811404333094 0.2476965898863242;1.759003651466
-0.0789379505080001 -0.5494008886788291;3.263849120516
0.0973605765636402 -0.3753370659207088;2.7289333254642
-0.15296208427508748 0.13390895605128017;1.4270407665667
0.4947622516813721 -0.49689305882454116;4.238416024523
0.31556702355521704 -0.30489699678562326;3.230431386098
-0.060471298549165 0.09870810563368654;0.6532021597350
0.34706204783353445 -0.5879355060161855;4.068367113424
0.09812031835359367 -0.441412229265628;3.0140917820687
-0.12396939245228256 -0.061983216726543944;0.839632121883
0.5794801757187027 0.34644300747240003;4.054601963667
0.436243838117194 0.0786542102413329;2.9536073784196
0.06900370034525083 -0.12297235023962305;0.8612850167868
-0.3470153901802788 0.6227555682101993;4.111596995790
-0.0958293986360389 0.5096523950224365;3.2158954414707
