Point;Valeur
-0.9552397553963443 -3.826368896344662;9.231846746308
-1.0951495608174566 -4.24088011689867;10.397535936805
-0.7789707587578354 -3.599123651115023;10.107772818175
-0.9706506106120782 -3.5681796920101485;9.825563249558
-0.9866601404592101 -3.54141268994879;9.811560625669
-0.9681441472283003 -3.460563204822379;9.681296867196
-0.9853623608930517 -3.2167274369961243;8.465125107035
-0.9867391558525318 -2.480436930336766;8.005107965578
-0.9409115852740824 -2.2593794634183597;7.022534634151
-1.0414683022456783 -1.5826385643199261;6.368853686751
-0.8355942421680451 -1.5653486534179963;6.340057249571
-0.9535352152410992 -1.4726388303945983;6.126470412260
-0.9225533504877204 -1.2318997340234619;4.983637877289
-1.0292597834289507 -0.5288178154919523;4.737707331773
-0.75562784902242 -0.47500851915844766;4.468751567388
-0.7393980268415445 -0.31012721525192877;4.057917572788
-0.758812898888297 0.02579711905810722;3.070584038554
-1.0357853023359764 -0.06932721376766171;2.8872851697029
-0.6086771388088108 0.28991701475758;3.9378037902528
-0.49415655701018135 -0.005938306242708968;3.068352701103
-0.2160396513183782 0.008972249580533111;1.48919237191
0.6287696037728852 -0.03551280732330486;3.269346040809
0.632757082140043 0.06006338430777003;3.3000200076601
0.6402879368625181 -0.09773997086660291;3.3740081616399
0.6507860900939777 0.14168954131862235;3.4931327902434
0.6603777837713709 -0.16595554866738824;3.569234358642
0.6731643051632163 0.16725159869946807;3.5705894053822
0.7075661002204869 -0.1751182524603125;3.5776793384397
0.7940738007982562 0.197755432033385;3.5569260633708
0.9583176776825697 -0.2683225798995794;3.813578519335
0.8449258797064063 0.28104667495953617;3.882774544575
0.9214311911241113 -0.17252265845388332;3.239058109021
0.9704198832033528 0.4238516686836133;4.451263701427
0.8064276286705807 0.17230723436338996;3.4158917337790
1.005347707632649 -0.30230059585828173;4.0750638889094
0.754430993073929 0.1899499134190305;3.5828841492010
0.8930029116219318 -0.23215777481250394;3.601107143182
0.9592765624755417 0.3240631603878183;4.090475509906
0.828702387903566 -0.12258908875692953;3.1375964647870
1.0846159957462875 0.3154839026676823;4.411179228855
0.6480556232294221 -0.11882795763230286;3.427073510089
0.6645220388816542 0.15874125272795941;3.544743589409
0.6892166352238549 -0.1722546813097639;3.580518453894
0.7476563552735671 0.18442077209049307;3.569209268730
0.8837409283892983 -0.229543621717693;3.593725608119
0.9682412271708474 0.320529690541039;4.087216704495
0.8162073094303013 -0.13473366220867178;3.2218191503102
1.060217248739801 0.31169139996625267;4.294553414136
0.6712773330570743 -0.14412364150049684;3.4950372217145
0.7178102149835697 0.1783277895272758;3.580242145035
0.8176585740955788 -0.20491348649268304;3.5525030981854
0.9802414561578887 0.2873230331558671;3.9462426378745
0.8002879224431725 -0.23340120264196879;3.7119571021057
0.927668838502993 0.22603806143920746;3.5553206342124
0.9203283455390876 -0.36291770466713746;4.209966806018
0.8596786921467414 -0.0021932008546245996;2.7421249231695
1.1614905098840511 0.008118118551517561;3.6025755377927
0.34092533630169175 -0.028506544598937644;2.414774536551
-0.26333314119056705 0.06456754063209313;1.9523682033732
0.4838304160158957 -0.1912021215466;3.408496415061
0.21362683444021702 0.1218603206945188;1.7959628295609
-0.5223316953123058 -0.36811619872941487;4.0116925014493
-0.32825434027194955 -0.11607623763533775;2.5326661379925
0.2489327280608622 0.21691757556007024;2.51829161629
-0.3095416518454597 -0.30756159979186487;3.2172573200882
0.08715472045289108 0.08890620452324333;0.7256300215467
-0.49641454737499924 -0.5055646694453388;4.257151874544
-0.31269178721319957 -0.32521688834914375;3.297113609859
0.06571597234327431 0.05374575142416216;0.42311605086483
-0.4756747858491961 -0.3916457595392489;3.9736093435882
-0.25352388007874094 -0.14257554243715467;2.1725755116080
0.4142911255068116 0.32658413455824853;3.6395642673742
0.12206053122572502 0.017195766852796446;0.7075749476705
-0.674867881829786 -0.10293481292502539;3.3716234347623
-0.7538697644595471 0.16309699762161767;3.472774601426
-0.9197295084291879 -0.24695880329867936;3.674235003364
-0.9185375603945856 0.3140445591431016;4.012433467830
-0.8805828146476768 -0.13761363691957934;3.0926836001373
-1.0632990370768836 0.3826079267077018;4.577009611630
-0.6996981828991578 0.06656628646834667;3.2587822473962
-0.8498189989639426 -0.13228201747962937;3.1303142370695
-1.0825195909635665 0.3468290740442823;4.528196945091
-0.6685369557913701 -0.029345940366337864;3.244504094632
-0.7628107444044074 0.05635462013107695;3.1048787806341
-1.0333126403475346 -0.14576119859372927;3.250951546054
-0.6436616764211989 0.4450877680907537;4.355347948550
-0.5474162420279027 0.2504874946759825;3.7314482136164
-0.36645144150166953 -0.055099773333634694;2.5934299763061
0.17228431691766577 0.10845892901358933;1.4215812805655
-0.585053814786991 -0.4122046412687199;4.218658898855
-0.4426201366647531 -0.19283525774773566;3.2915851624005
-0.11435811524694639 0.13552388091480608;1.188120932933
0.48822420034202896 -0.5609867378306435;4.3329214901
0.31047507608850555 -0.41229306881684824;3.583512949034
-0.009127875140175767 -0.10996412778580567;0.6061659766197
0.05781793626802756 0.6598696511928734;3.2864338869084
-0.10260402509053801 0.7276068809011802;3.3019720874849
0.1983495517651379 0.9095304055030793;3.397855908800
-0.39256119157311087 0.9700397193667696;4.363430856892
-0.08070881693853504 0.8072297920306779;3.040125304549
0.22894011165956574 1.1020784417978744;4.06693642236
-0.32210158065239636 0.5607268102389638;3.961004460620
-0.04809797175535646 0.3943966850725742;2.7240728538634
0.08711742903586117 -0.08600019816063759;0.7085003462064
-0.5014947660121605 0.4951133339633271;4.247456914166
-0.3185570194491971 0.30989293349553554;3.26126647343
