Point;Valeur
-1.5606089479670038 -0.3657614834981118;6.323981801147
-1.5688800282202948 -0.3741099162452708;6.350415278313
-1.575498761336805 -0.3808716588580447;6.370977737001
-1.58052754317666 -0.38610131199308984;6.386311147175
-1.5840155654231558 -0.38984364255383797;6.396893282374
-1.585999496164837 -0.392133915764301;6.403058555141
-1.5865039442828515 -0.39299815941643257;6.405011629640
-1.5855417499852025 -0.3924533850000284;6.402835733579
-1.5831141175986512 -0.3905077731523845;6.396496698367
-1.5792105834978791 -0.38716081426062154;6.38584306818
-1.5738087880820628 -0.38240337869926616;6.3706020018686
-1.5668739922598571 -0.3762176746541387;6.350370024859
-1.5583582417024753 -0.3685770344982876;6.324596841421
-1.548199030725384 -0.35944545337540884;6.292559225064
-1.5363172445740738 -0.3487767869831698;6.2533202297
-1.5226140534802777 -0.33651350233247945;6.205666239187
-1.5069662791731155 -0.32258487236982714;6.14801011536
-1.4892195351948918 -0.30690452890265263;6.078242008793
-1.469178137178549 -0.2893673751467045;5.993498956965
-1.4465903902175603 -0.2698460927028136;5.889808817118
-1.4211274833618615 -0.24818804328712663;5.761543774575
-1.3923542707340828 -0.22421466710972318;5.600603888193
-1.3596920826694392 -0.1977283590301345;5.395291470274
-1.3223814937713974 -0.16853782698183936;5.129119743411
-1.279477282238607 -0.13652411523512878;4.780924340199
-1.2299687647416198 -0.10178396610467058;4.33104218228
-1.1732170044405181 -0.06487970608426892;3.78455295187
-1.1098469661079082 -0.02710784447324948;3.217378018544
-1.0424804441364603 0.009577780117573972;2.7917531947062
-0.9748457229337333 0.043273346356682535;2.644075896956
-0.9097418365532698 0.07284578674600489;2.7524703039614
-0.8481937889478348 0.09798267943745334;2.984486685571
-0.7899234328950914 0.11885507636641501;3.2206945671884
-0.7340381024979331 0.1358124475312732;3.4006836564388
-0.679476897084685 0.14920888716671102;3.5072920395709
-0.6252178945737553 0.15932293886657328;3.5423803481878
-0.5703371095064089 0.1663248180336926;3.5120952750341
-0.5139863351723661 0.1702610303535455;3.4199121909198
-0.455327204783136 0.17103866357644112;3.2630306891690
-0.39344523716368895 0.1683983923403368;3.0293822923760
-0.3272844577475359 0.1618717331424748;2.6948006668434
-0.2557286092232094 0.1507375457031126;2.2252724040375
-0.17815080780224626 0.13405361616286313;1.6040426134423
-0.09580215153820697 0.11093416304245148;0.9130494100501
-0.013428995041061514 0.08122224217743226;0.4038113916050
0.06228338955887229 0.04767443963337929;0.37908945233218
0.12874772750557373 0.013643215347709334;0.7571306823173
0.18579163593574777 -0.018869409388542008;1.2403054293738
0.23419377614076056 -0.04873785181784811;1.690876343843
0.27497335641188314 -0.07537954581056386;2.0655289586875
0.30908618120161824 -0.09852812950112809;2.361773727597
0.3373294707184773 -0.11809078539030139;2.590253442550
0.36033307543588816 -0.13406485681511007;2.7632532010377
0.3785786611938516 -0.146491367721357;2.8910857553063
0.3924232134042342 -0.1554300708186341;2.9814741608574
0.40211871075641414 -0.1609467828914446;3.039833149701
0.4078258818693006 -0.16310786615167355;3.0696954851942
0.4096219684442289 -0.1619791935329397;3.0730549194377
0.4075028396339234 -0.15762840261018593;3.050573858690
0.40137968280483904 -0.15013015217635267;3.0016491765955
0.39107030909559776 -0.13957473951439248;2.924328657524
0.376285207747025 -0.12608100880227952;2.815055525179
0.3566094519480337 -0.10981514983952262;2.6682114645056
0.3314848272116 -0.09101796353034114;2.4754812231665
0.3002056468347725 -0.07004471221180292;2.225339037757
0.26196437029772013 -0.047423669330405;1.9039216855537
0.21603017917420075 -0.023939775057301698;1.5010934344676
0.16219994571338808 -0.0007424168967966743;1.0291774829000
0.10158710669344413 0.020521202347295923;0.5560456082978
0.0376838142389805 0.03738087807361192;0.22377343917714
