Point;Valeur
-1.8099554424081896 0.463890769291857;6.624082316040
-1.8212444472176719 0.426422983487023;6.5732627179439
-1.8359011083114853 0.3475669894813326;6.392865608206
-1.8628879506459115 0.1942314607364396;5.728068458321
-1.9354112636049359 -0.08956359694058946;5.095244552151
-2.029326049710322 -0.2626788661273367;6.172740676159
-2.044223446301466 -0.2990540619068805;6.395734329312
-1.9735371441697627 -0.21892249532005073;5.810678383390
-1.8727969474425439 0.01111160929794916;5.038396550575
-1.853298408410684 0.22515255163457296;5.896944888361
-1.8730930219322324 0.3122695725895886;6.256666034058
-1.905739983745327 0.3008050322621314;6.199878128795
-1.9418026087317353 0.18037598591554221;5.567467296536
-1.979553107399315 -0.0898789682262337;5.101331208892
-1.987693244674733 -0.24545698360918333;5.98154362933
-1.951348657276627 -0.2563247817553905;5.998129644705
-1.899026728128357 -0.13091847741791185;5.336523132807
-1.892976246643632 0.12290746159135446;5.308709676855
-1.9385397276935026 0.24995198412730002;5.959043260932
-1.977256866471127 0.2387909845496079;5.928567399013
-1.9803065137512834 0.08266658960671319;5.07206364463
-1.9534319061864702 -0.17704695675843296;5.5493486573746
-1.9188195161922983 -0.2816309981245912;6.114105971153
-1.8851706482930721 -0.2647952252314856;6.0492142110347
-1.8712100806805156 -0.12728136432024842;5.377179418640
-1.9194071967269974 0.12985955931457696;5.301056734079
-1.9976791874401356 0.2508581118647192;6.029789417372
-2.022282435432533 0.22947611842292512;5.970855910494
-1.9719456163916884 0.06037921761805182;4.984479705656
-1.903853322410969 -0.18753133760692753;5.6319179046836
-1.8654100175186217 -0.28956751796429425;6.172392116578
-1.8470302146974291 -0.2843917043848838;6.167103161138
-1.8531385926011468 -0.17522682703899375;5.651340043589
-1.91336595115037 0.06167272346526273;5.025108157568
-2.020039192480033 0.21912994493621524;5.904986869725
-2.052291383051985 0.22413560265094953;6.04190139177
-1.9837936043912816 0.08285150283368542;5.0771289309909
-1.8816267545838758 -0.16247615880707916;5.529982249006
-1.8281755083654063 -0.2698567639684243;6.128369108613
-1.8049219387539146 -0.2714642126549241;6.161030193556
-1.8108331246171767 -0.17496689616415562;5.743072288136
-1.8746963408738764 0.036075787114880575;5.060218045894
-2.015602355716209 0.20134029953805824;5.78815650868
-2.0849147453949923 0.2105450659877632;6.108959205860
-2.0269324406510534 0.07648736663066677;5.155554529313
-1.879349258664761 -0.15466670915803707;5.493932959089
-1.7841650092063366 -0.2503238097304423;6.1054445750512
-1.7221647185032116 -0.2463231169858464;6.152974599571
-1.6784371874551811 -0.1584862929203254;5.904777730275
-1.6551313822869702 0.006304765855744826;5.647478733454
-1.6579745323475414 0.16516609225106804;5.935889318345
-1.6700543948453312 0.24766152261034863;6.174418807487
-1.6813924197764838 0.2561713112232283;6.198160742211
-1.6945034710807005 0.19093721066789393;5.993352365443
-1.72761992769753 0.042962209833118215;5.545206164478
-1.8248897848606283 -0.1378839766638693;5.544843317558
-1.9908311511573196 -0.2047331857541268;5.75287410523
-2.1089549369029954 -0.11663289981509165;5.746641940
-2.0611295988346074 0.09029127680042118;5.355861681961
-1.8847798152483572 0.18631898324926455;5.650651282351
-1.749835888620963 0.14291057537399995;5.750655699281
-1.6705321766244632 0.008064762401231801;5.629780882912
-1.6269247494051402 -0.13111324555607703;5.850250297429
-1.583433434691631 -0.20485797013531523;6.014617281676
-1.5126706594722388 -0.2118297523821517;5.9196553838775
-1.3883616780651302 -0.15623313179373582;5.402934007392
-1.157798756029548 -0.03325514949428146;3.5957492098340
-0.7205726998222425 0.1265629064281395;3.3895954501443
-0.326321500121336 0.19779329603854096;2.8361983809043
0.19118630638836676 0.16006440637349367;1.8455432542742
0.5298280686437598 -0.030882357062388982;3.1650821671572
0.8122128477517714 -0.20024074958494043;3.5387570023835
1.1348995636090395 -0.24259977401589453;4.320619812457
1.306058734843145 -0.15520978019612863;4.998831262656
1.3294879561064785 0.013832349641518277;4.851278103660
1.1989118934087624 0.17133191996045002;4.3821522339483
0.8932583123673479 0.21175503542844143;3.4868792155579
0.6123922177488694 0.10467582503352617;3.385130190115
0.32179151678219975 -0.06340197460994078;2.349843880767
-0.12847811593221925 -0.1758692890043662;1.556120572679
-0.4278413161793503 -0.10055191318935543;2.968483181928
-0.6227429050277486 0.03587163623641411;3.269516425604
-0.8132088039789126 0.1462615808773906;3.280611648896
-1.0611522759009637 0.137240222026334;3.325873996482
-1.1765856646433324 -0.01633438730915418;3.7300503262639
-1.0783495071066977 -0.1503728378570951;3.489945416422
-0.8382991112991228 -0.13653112282182192;3.1771764632595
-0.6615916714798563 -0.000855591773624792;3.238101088159
-0.5075517288043803 0.13406838795902706;3.3027703148969
-0.29229705877926415 0.19859211426325618;2.665456971042
0.05968633713376581 0.1435464888475832;0.981951905213
0.31550032312096205 -0.11653109271879863;2.459816031363
0.4141038537989179 -0.2848954815304289;3.506510075158
0.43078851043680444 -0.36618059383986246;3.7999284095914
0.3799236329543248 -0.3749663270142922;3.68468836451
0.2537513959082204 -0.30757240517488144;2.9868630074036
0.016999575253464627 -0.12396761436262038;0.7224310302808
-0.24772268947257015 0.2640071418786982;2.7526131489130
-0.383259739392514 0.5187353570036193;4.04197607136
-0.4545874259006081 0.7209621930054173;4.424122521519
-0.4774253661096657 0.9114367684011182;4.494641340566
-0.4597493825688082 1.0838771825163553;4.836486510084
-0.3985124636428877 1.1582556962811246;5.0205563170
-0.2750157536367483 1.113227450986005;4.361835708254
-0.028789321173742277 0.9359038123209047;2.6083400827287
0.2549541627449056 0.7788396592830368;3.829528174071
0.42753596771593616 0.6476752933324526;4.324229308161
0.5451127903879384 0.4937549909485839;4.318584270395
0.6209783561063889 0.2956862679204669;3.9678625007606
0.6698586359691612 0.023592466437208137;3.238816396862
0.7435943230203029 -0.26371275019385326;3.8910332599105
0.8312346346463979 -0.4497507042818508;4.426776266154
0.917978543041956 -0.5831625432265857;4.567678356032
0.9909392723961943 -0.7222426167860838;4.39198551578
1.020183806563367 -0.9449958707403336;3.6603936908643
0.977595319755888 -1.197262814247988;4.7149156368982
0.9201277715296654 -1.2521249295350336;5.124026787672
0.888751954979312 -1.133085658385286;4.353302647818
0.9283846153236339 -0.8437877957935075;3.8985366989772
0.9955856841121734 -0.6566172205033087;4.572588663146
1.0130515638114446 -0.5220983485276883;4.692273710037
0.9679671918600535 -0.3715670922867047;4.291063526497
0.8828734822063411 -0.13162536022198978;3.0579277017722
0.8459239428334571 0.23761015065050195;3.674974836127
0.8396913814604764 0.47319610141127366;4.468956022149
0.8327065237031368 0.6640173766413681;4.523632718206
0.846602074365148 0.8829423449520689;3.968453247152
0.9468172023501066 1.1606084960603797;4.443054704771
1.0644414276407237 1.244682012418354;5.243181899670
1.0911337816864115 1.1521605129633057;4.707386097720
0.9872255484683081 0.8823537499918028;3.7516890404484
0.8544265423248791 0.7056462653498103;4.437004571985
0.7509897623496042 0.583538930293407;4.5844299212711
0.6509888373240921 0.44986206173244786;4.37122729484
0.5287376383447002 0.26839399109657536;3.7498032316085
0.3558902076709224 0.011302467925376425;2.491114250880
0.0371954356736347 -0.25248759314181096;1.8134589890741
-0.31922989002818236 -0.31164187193772375;3.27051081172
-0.5729994810069342 -0.2712444399073173;3.8357714465267
-0.7850600494236755 -0.15410236941689487;3.3769593101853
-1.0485835560268082 0.07416311949754467;2.9628061032029
-1.184487492337253 0.20320099281249415;4.4323521524199
-1.1521838539155804 0.21008226801632107;4.260632680589
-0.9581101300663029 0.08620740827728639;2.7748806639774
-0.7549682414473465 -0.1469749318020226;3.4064169791097
-0.6012058007021791 -0.2757624493652341;3.8872423612262
-0.41802390949411977 -0.3255938284384058;3.6472888556804
-0.16211693404673727 -0.2955909495699901;2.5208304359600
0.20342159683535715 -0.11596146092060564;1.6922247307161
0.37230805397105615 0.18830328107728925;3.0108049636011
0.4275446478368345 0.39369591435212214;3.865404890199
0.4169294288898764 0.5293539299993532;4.13961310871
0.34891219605118184 0.6170836695926991;4.110195344757
0.21458022791224846 0.674319266275743;3.7346763348412
-0.00934430932318775 0.7321004887415153;3.128128527510
-0.2227631712274465 0.849436127527901;3.595261584283
-0.30014798969607226 0.9994097205916088;4.050260296430
-0.2488235540082854 1.0875071972969814;4.1001119055328
-0.05842506504882469 1.0478592753281357;2.9060146118877
0.20890627298866962 0.8830511970535794;3.4805140322546
0.32864891123198925 0.747091784429781;4.116849203821
