Point;Valeur
-2.020192867206535 -3.140016499276804;8.664598508690
-0.28299486884668923 -1.4028184319212371;5.783717284185
1.0944600838562952 -0.6314501144706881;4.912561027598
-0.31405878795842423 -0.9338408403240337;4.020567610978
0.8823925988322452 -0.773706216405041;4.218182619840
1.2733221716552179 -1.484018984204928;6.9849356298212
0.5177796412542462 -1.0938311976361121;4.942399733008
0.34880429600073765 -0.346681752394556;3.499985058284
-0.39069881938556467 0.27749162722824894;3.4054127586075
0.31575847415160746 -0.3428210362895131;3.372851848565
-0.379038045922301 0.26835548881674887;3.3325659086918
0.27657901037854676 -0.3179145614509401;3.1271000985208
-0.4175434943639464 0.32479716796917635;3.6434761109713
0.06261866221439133 -0.1396265329065075;0.9618973463846
-0.5381033482332309 0.8512621392900099;4.545101136065
-0.4255732449662457 0.853687713265163;4.375569988704
-0.050232961490238315 0.8474813776616693;2.83680033641
0.30863356535373926 1.239922976466306;5.1625409340458
-0.17678388132901363 0.6201947461415707;3.594069494909
0.3060885812808521 0.5427002713320669;3.8855722700082
-0.11827001765705147 0.3106244689268315;2.4366648041516
0.39801251195897036 -0.40124164086528413;3.8086610717524
0.007550601946571367 -0.0853815812028853;0.4267816698228
-0.0855280925951144 0.6599049920745551;3.3394356707044
0.24352723907059604 0.7223311206794824;3.826198957358
-0.2944379938566821 0.7775813664233033;3.9872806368106
0.229141108448778 0.8449073817597049;3.633619828342
-0.4335893489029329 0.9916211158385451;4.5135429001906
-0.13123748675167418 0.751127928014288;3.3536323320452
0.3431129745625244 0.9789033685143949;4.201696341327
-0.16636369606458473 0.7651633145285544;3.467141724629
0.3452654498283571 0.9753514311647591;4.204206718703
-0.13427130389971748 0.7672878300324879;3.332532823301
0.3212358286670125 1.0254627707771993;4.218571395554
-0.18728486331136662 0.6611433697042196;3.6407206208557
0.1969549130038017 0.6622248271647402;3.6737111709343
-0.18737083319814574 0.6580593046471546;3.6409573845845
0.18963292377835184 0.6525987188090466;3.6480536023286
-0.18238108186677654 0.6336193542504073;3.6188556814677
0.17488922700137333 0.577876839840511;3.5477726118692
-0.15778131528293549 0.40301563105779126;3.033076575740
0.20127396712858675 -0.12746108153644098;1.7342492438725
-0.5337373270638262 0.5145236798363274;4.336182370013
-0.37046480129071246 0.30636735218071276;3.4363503199538
-0.021835613759815797 -0.11935881721999009;0.692646447118
0.13553651428930208 0.7356959057119755;3.3969689857187
-0.23697403252988136 0.919578540942223;3.6181956483214
0.3273593682626028 0.9261037652698915;4.074201928926
-0.09139020052306074 0.8594333812686402;2.929378725241
0.2829609130790962 1.157242918221322;4.631197884267
-0.12519662218786043 0.55839339444781;3.3804941348393
0.12381901051904756 0.3867677784227045;2.8568415966502
-0.16672306076475926 -0.10827659537645623;1.3790369287060
0.516124011577894 0.4422603144668141;4.170205302698
0.3464413266658465 0.2198442913311397;3.0193212102654
-0.056450032782804416 -0.19743888794446546;1.4112241265936
0.20272935399506792 0.5862475678447849;3.6437802807168
-0.08610058213874788 0.46767255723012396;3.078350989970
0.10169708131121055 0.15798116419253883;1.279455120713
-0.3737394421910031 -0.5212738745288492;4.023609035924
-0.14493900286137773 -0.34473820983723447;2.7219469171101
0.1875672190934642 0.11925194493093211;1.5913295582182
-0.4589627127335685 -0.341741004030254;3.8034566229453
-0.24057577556243262 -0.0924830649439064;1.869722403700
0.3854159867208319 0.23516116746695775;3.236004772366
0.06970920275148057 -0.08870809238396593;0.6308726378120
-0.3400221915556661 0.4452190014688836;3.763892034328
-0.10071011125027066 0.22004033421723335;1.7477727992434
0.24960601182417488 -0.40562552735345137;3.35962262039
-0.04106633147795216 -0.12176613453739343;0.7525549665176
0.19167812302470472 0.4878878252307301;3.420709765324
-0.0716908171054102 0.2782460300188764;2.0787032666689
0.155294548636388 -0.26884946575915036;2.329876319300
-0.23692885431383356 0.20392107874879206;2.3814568751164
0.2476608528259717 -0.20012974854956855;2.4236813240451
-0.22539511871001075 0.1879879914056925;2.2255035673094
0.26404212350754463 -0.21977099730552518;2.6150963682670
-0.15811417618104168 0.1446208909783352;1.528704868745
0.3568672652776072 -0.3080407503677989;3.3952030926169
0.08664345647713534 -0.051949014466529275;0.539135539657
-0.3952552510761296 0.23313124881941721;3.2651197841601
-0.11923202516022957 -0.028293428642145846;0.7028671355177
0.4453763223347621 0.11672663121823801;3.0736636874954
0.18725856734427304 -0.07721419102749147;1.3972754518553
-0.3781996530399855 0.21056915118157624;3.1176737072543
-0.09183792323481405 -0.06991794450212122;0.6514505115113
0.348476485725709 0.29840392820113404;3.330507991108
0.09121405668929594 0.021043721346592437;0.482673281481
-0.3884724493994738 -0.10732488220773456;2.817918226454
-0.07070455015207311 0.10200405623836489;0.7213631894235
0.2557997056014583 -0.40516985062328065;3.379484068147
0.01659867109522159 -0.1472368668532532;0.9115718591439
-0.056753921429467516 0.4588729822072708;2.998963463732
0.043934215493266024 0.20812349792280638;1.468470761212
-0.11209428971767137 -0.3738566862757715;2.7618222198162
0.09824276279218778 -0.03196056759676413;0.5544589120266
-0.41034160904159356 0.13847292642859924;3.0019235386467
-0.12053643698966832 -0.07868302949793327;0.8880477432227
0.37890598400052616 0.26819602497290346;3.331521269968
0.12625543567317243 0.009818774585146905;0.7340916561412
-0.41907170519272063 -0.03949028783163677;2.8249889519229
-0.12801421102609534 0.03948170592036483;0.7968887144479
0.3928962729745714 -0.15623487135208602;2.9861435281309
0.11132530589923717 0.09592529862393867;0.9163274685215
-0.3209818339781679 -0.3353358058349034;3.364750688743
-0.08229020730549072 -0.06395067791913334;0.5640013062698
0.31184905770493787 0.2901865101579601;3.157304723417
0.04274388522971401 -0.013667439899890332;0.1797294996920
-0.28119442452043564 0.1062886469935135;2.207313294207
0.15366540348666663 -0.16837622298414484;1.6541044811511
-0.2485448856545004 0.33163053992169406;3.070768293442
0.015549746837000888 0.010355074867046787;0.062112751329937
-0.19322746205716307 -0.15109681848045128;1.8070485869521
0.24857886790714556 0.27987189856444106;2.8344984692270
-0.052811655527989776 -0.0804920658282488;0.5040828412065
0.2122813691178591 0.368053468274264;3.082445417290
-0.03579447877585684 0.06180901623756774;0.33312716916843
0.17709483706004223 -0.3389572793816394;2.8143082891221
-0.08557804160138446 0.018365533549343782;0.439627779178
0.360211754865715 -0.09245598698751267;2.6391620074711
0.01528639317102648 0.0991516278451764;0.5311543075279
-0.06279580146734917 -0.42774654402600865;2.8921634590872
0.04598634369257071 -0.1353227340266554;0.8724329899536
-0.15280278035140496 0.41969755414177234;3.082649410366
0.06290134244256493 0.1520385493834906;1.060985622051
-0.1890850159109921 -0.39172020360274507;3.0943456341668
0.059012438345803886 -0.11717884271106127;0.777640002714
-0.21450239805131177 0.3739459282550334;3.1150399465259
0.050274053585895706 0.10077115067203285;0.6273802269366
-0.2064604608230876 -0.358782230731277;3.0207747424111
0.07023877180032612 -0.07098127830881257;0.5312889609346
-0.3060364819702611 0.28045170694555527;3.093295886747
-0.004034525892394947 0.004308006774452144;0.017621449898339
0.15057996712546928 -0.1509210348945805;1.5191532489768
-0.31240735241004153 0.28142789518422784;3.124010092393
-0.015961951687001152 0.008674269754961494;0.06015054241205
0.22335838598192562 -0.11451364611010109;1.832694023876
-0.2896832556332364 0.19224635247152252;2.6222680021103
0.08967436862143724 -0.11955807504222918;0.937245626655
-0.2804503159425346 0.3424490895442518;3.240747511070
-0.015114668911326956 0.08274656059703672;0.4160206942192
0.07358052834663571 -0.3606917033369701;2.5972842969084
-0.07906964073605495 -0.007144822261006378;0.3840287763769
0.3859790078731193 0.033588194372301115;2.6663240079303
0.03719066253819714 -0.03248077545630284;0.20354482907384
-0.24799680650965278 0.21022762260981248;2.4782532061629
0.1456688801536984 -0.14654480762386074;1.4586124192670
-0.3013788975250005 0.29405549789429963;3.1301412258020
-0.016838575472791495 0.015746982941610144;0.07931111380637
0.18888001690923106 -0.1740939466676039;1.9146079270532
-0.252161853321533 0.2380573079892014;2.644294621165
0.10337065223510938 -0.10535204560039449;0.9223026095124
-0.3117119695310755 0.3116714264787047;3.2417431892766
-0.04825248596509063 0.05129581083747403;0.32701963445121
0.24818679274126976 -0.25985347415182664;2.7341618152604
-0.0871266493912029 0.0765917187307193;0.6564677470983
0.3171500959603972 -0.2793569310753032;3.135219133517
0.03718648507999939 -0.005991424246296506;0.14388322552211
-0.2836271424821702 0.04598657453790581;2.060546678007
0.19114777247350112 -0.07501791511515951;1.4202668258309
-0.3274251428539878 0.1822080944201305;2.777326505295
-0.0017553158226025767 -0.10549428677976466;0.5693724970692
0.006608759064914977 0.40845698807908826;2.7576700778346
-0.005817961362928873 0.09870974702243462;0.5202624818753
0.02443213275983505 -0.3904072738334255;2.680531677823
