Point;Valeur
-3.222869531766422 1.5421556453439758;9.979651840649
-3.115448826127332 1.4347349397048859;9.486118208343
-2.962335259381132 1.3174614262802282;8.749980471386
-2.793769862416276 1.1730452272766347;8.243569706530
-2.69696786592128 0.9933074856291977;7.998779442656
-2.6511915067148646 0.8035456400448944;8.319402420003
-2.61279729551944 0.6530811164317187;8.539029548883
-2.5584533025413836 0.51548257225357;8.509777534506
-2.4770222264467425 0.37134538338361633;8.252199153051
-2.360910523235991 0.20648769376600729;7.583427942272
-2.2027706866133663 0.010202810343481333;6.16532384008
-2.016009821359705 -0.19521220714785675;5.752791767155
-1.8049090654900766 -0.2757816178435265;6.177211748768
-1.6028404337710962 -0.3081202353222462;6.279577383453
-1.3867315090071557 -0.31633155304417465;5.803187887376
-1.1441585844244546 -0.3000736534438966;4.632772406250
-0.8759013103580358 -0.24099943887747932;3.661692764476
-0.6123610204370269 -0.13712103518794475;3.4700936528407
-0.33918052528529424 -0.00785852913564733;2.39202155526
-0.04498309558201857 0.1259356429940276;0.79590745450
0.2708924148047987 0.17222749135520685;2.4214792585697
0.5098565878294623 0.1790284711819138;3.4365284258211
0.7298995643231478 0.1620994754155257;3.5044820771856
0.9631897155919787 0.11591479986330729;2.9195668998604
1.193370866239494 0.03327546662163164;3.8841324704654
1.3297164653294233 -0.060416466747319625;4.8985781639549
1.4180714796252971 -0.14288939539608836;5.485420324629
1.479948174074199 -0.20658830633616843;5.831330653958
1.5241585020645938 -0.2511201865240541;6.035197595043
1.55478933044484 -0.2775092405196292;6.148549060315
1.573972090478512 -0.2864140023919464;6.19688329607
1.5828850826607428 -0.277749725678666;6.18997863300
1.582137859402046 -0.25066571350695427;6.12652417722
1.5719061079674488 -0.20377834256730218;5.998652727402
1.5518234390411887 -0.13606666919056037;5.8082577140385
1.5203214940079504 -0.0493555757409124;5.608961082040
1.4732112326354405 0.0471931433006534;5.4961023631677
1.4034031767843125 0.1362735392986092;5.4136154165
1.3038822484144401 0.20350215583007908;5.145065453163
1.1701008465377154 0.24019355439627307;4.5150997781098
1.0026331473035632 0.2363153118587987;3.7086390624403
0.8169364646381858 0.18643864919377123;3.4636151022152
0.6433369184777337 0.10221138551427096;3.3844384772883
0.46813602179194935 -0.0007384986082026451;2.9894612641691
0.27013741294997495 -0.10516929173693898;2.128353993320
0.042226911544528345 -0.17920553759314473;1.2232866659153
-0.20281301058624598 -0.18680367980297655;2.079000420564
-0.3906715794214797 -0.15586127517792767;2.9754600928748
-0.546529794693084 -0.1034793225665866;3.3088948611455
-0.6921797463442637 -0.03601230259642971;3.222843801825
-0.8494202635051622 0.03972524210349829;2.8096698708441
-1.0271074816533055 0.10370919659733883;2.9991186447593
-1.1765579278600036 0.13274667576874932;4.053691435193
-1.2667067272790393 0.1323628887931281;4.685782800102
-1.3121910172037736 0.1097723867611373;4.900827361871
-1.3211695197285052 0.06942369401631013;4.863648289663
-1.2956674974538012 0.01629770315196228;4.639648697770
-1.2344306152011708 -0.041086080249218254;4.220838380244
-1.1362793700339127 -0.08871140759201046;3.574427098973
-1.005272948974524 -0.10902981848157212;2.955578196477
-0.8594744783973315 -0.09323695029745685;2.9364014574863
-0.7260248615445051 -0.05091832764651407;3.1832184131264
-0.6023661435558615 0.0034126468526560066;3.2465649101826
-0.4739728424244027 0.057944473790673585;3.0500329851762
-0.3279218690602616 0.10267901090523437;2.488303763449
-0.15442723113797385 0.1247119061460345;1.3816352053074
0.04797935984418522 0.10395272382075768;0.6417388389400
0.23256866693401135 0.038839656860370164;1.6584696993590
