Point;Valeur
-3.3579938572982417 2.8896495139874636;10.95600003395
-2.716802238784405 3.088275320458073;10.160080618583
-3.2597496478572854 2.49839686858781;10.941301826736
-2.732611160122106 2.3316953092425043;9.94372706855
-2.9057264322640055 1.7993676536002203;8.620163107138
-3.1797114857605226 2.5402963552337345;10.707412521754
-2.5999907665582302 2.4737271893614468;10.271161347145
-2.5181322395606944 2.2385131258290505;9.668205529725
-2.3331752560855126 1.704147027981512;8.750772855867
-1.7622098813250222 1.8618767487201984;7.364673567282
-2.2965323826500796 2.2037079195150246;8.967968652918
-1.5641798913023255 1.4802156267092306;7.584843555937
-1.3871315631749983 1.2110959956055103;6.531448239521
-0.8392642860151458 0.5672092621297145;4.5607478140189
-0.8680286299472986 0.5150165395687969;4.526562039546
-0.8451476922338887 0.34530446308035945;4.1411977370593
-0.8952473834455024 -0.25536161067687946;3.725044870146
-0.9671277460494512 0.6398870068417387;4.557668325049
-0.756842875258096 0.9025387947134426;4.248886414376
-1.3159496667629558 1.0626812851108616;5.675788131967
-0.38697859092735054 0.5587644002326533;4.121846243857
0.01124106204919978 0.28252301761614884;2.0144460203574
-0.06353034324923518 -0.9569737548978106;2.6885767697550
0.49661658244169454 -0.9045019635510352;4.5174186917612
0.286357964900935 -0.8167355326910206;3.9278097846308
-0.42367330692627003 -0.9491774827074915;4.420769631776
-0.00011122740914421003 -0.7432411324382935;3.0996829134065
0.0002560602258283029 -1.1714958600559209;3.682713027454
-0.0019959894053956373 0.2186386917050589;1.5090443829016
0.014025936586753385 -1.19970165879682;3.9173226432005
-0.08140772438273719 0.1818508980847957;1.3705970850305
0.6068351536999528 -1.169590800290515;5.257384466152
0.7092165318393795 -0.41291941965855816;4.335038035062
0.6362402311065607 -0.03771293435928502;3.2706181947759
0.6703466505886324 0.13494111880280624;3.466640831434
0.7557230961463601 -0.389880768956524;4.291705446617
0.7466311384892121 0.04174454888865059;3.1216668233074
1.1711700727726593 -0.20476434433288035;4.354434776169
0.08516821515912043 0.6132832187838836;3.3422206750901
-0.2623338917057738 0.5444067875566453;3.761649451120
0.24608807566580126 0.23432098409241242;2.59326629349
-0.653498891593779 -0.6468316875863076;4.6008886942740
-0.5974079045294846 -0.5864991403366213;4.5184701863760
-0.4253785595736249 -0.40676292985029594;3.893549627819
-0.003710380645921607 0.023678154199053003;0.08301405896597
0.10269727917951439 -0.6641877041789366;3.378220869709
-0.3347488435863911 -0.7605432778791164;4.133806484633
0.20656036282567503 -0.796534918802899;3.59374436398
-0.5805995197341876 -1.0581009292407737;4.826287393610
-0.6523178978873947 -0.506422765633979;4.46787021819
-0.5129426952787899 -0.2538029738448353;3.6728955530999
-0.1414341464361204 0.2634014384168273;2.2321425869116
0.6212694058671584 -0.8419251942565262;4.554128093669
0.7125574855276593 -0.9177185458201729;4.374236004097
1.1763783613343346 -0.9584887510064641;4.5546184366998
-0.09287314353407261 -0.9928214033364577;2.847678411772
0.681708208715298 -0.6376923144958022;4.60443678950
0.6592662736569165 -0.5884973781138223;4.568627520960
0.5672593682984283 -0.4465977204847258;4.264225803290
0.3127730236268943 -0.10846713921271434;2.4163045572658
-0.7205104649742057 0.45106412113124517;4.417423351651
-0.6563177267921051 0.13336649064516504;3.467097096466
-0.6977222574352683 -0.3740322711172803;4.237745202668
-0.6214977477803475 0.05669467445887394;3.2944505897341
-0.5940151778872805 -0.19085493816309282;3.615794166326
-0.41022467500332904 0.33769347432059416;3.6616208098479
0.07823532665903182 -0.1752626752707096;1.3053511922299
-0.6040537511328326 1.18000702730125;5.3053272335529
-0.6925053630649047 0.4231345958921997;4.348661253770
-0.5955072688593022 0.0662011938815601;3.297451859048
-0.47166263306230305 -0.20845942847945143;3.4293785208029
0.003102303026031372 0.3311183673518405;2.3415806831892
-0.014928392107543764 -0.7296802417285528;3.1359689952906
0.0708703814879697 -1.1136277373625711;3.3466939281583
-0.482627837407884 0.09730115794194827;3.1473158424321
0.010474165040014305 -0.2723178538352409;1.9386456288545
-0.06158911630471098 1.0023198482952358;2.746672195070
0.4915625619396792 0.5651041019264005;4.3447484026590
0.19689817737216797 0.3203292959818418;2.8028488566423
-0.5218489565891048 -0.5271619757499845;4.337725881436
-0.24442514735589216 -0.25319576591929505;2.681814558382
0.6111085417654096 0.6139727100984151;4.5567449068901
0.47159102210266335 0.47646499910928863;4.154467364135
0.1286309891362749 0.13634244716140298;1.2816205000510
-0.9497336141400523 -0.9953910442670741;3.603121088239
-1.116720749504546 -0.7504648483076801;4.731709474080
-0.26783735418333643 -1.3040763685725318;5.350055476653
0.2371903918504673 -0.5107310019357322;3.617131348143
-0.2863315102373972 -0.13065940208274973;2.3333676454530
0.7853840167040774 0.5508446642026491;4.56101426224
0.8035134012985227 0.4263754020059799;4.378585300772
0.8101527632415954 0.048618712870157954;2.9495943330543
1.343947382198968 -0.28857729283682765;5.580176960941
0.6590678131551955 0.1427211920799813;3.4949112095600
0.7004069734524223 -0.3849098515579293;4.266015242682
0.6238894412039344 0.03039876351397841;3.264799270661
0.6135756138949291 -0.10727488851277012;3.3919552111408
0.5340735481848271 0.3059989666849455;3.8692399509823
0.21032260492291366 -0.17196039322609447;2.04046796459
-0.8888375644751476 0.7953613933961273;4.134751008077
-1.165980603062161 1.3896446092219246;6.368045959456
-0.5228386369513003 0.8058512742658404;4.534814773413
-0.34956237699147996 0.8168226995278256;4.164929146652
0.21348147241902504 0.8731379118363587;3.516663499983
-0.7134469785949392 1.0687651826754414;4.636468848098
-1.2214945982108758 0.42083569083263894;5.3536419619052
-0.47255643831469163 0.11095536913192161;3.1486506485702
0.04679340906364482 -0.29919697480369983;2.1707218882194
-0.23919145804711084 0.8612715453492465;3.6660569015741
0.6347423807714195 1.036308459395236;4.707807858696
0.890903201519683 0.5496885893667876;4.55538016464
0.8472825711734858 0.4821973793206875;4.483397383662
0.8377192993954511 0.22679182904223394;3.631115583595
1.0628828049032595 -0.6225854078673981;4.807703248978
0.4863804519065045 -0.8302992418949989;4.489143091274
0.23905889162030888 -0.8299745728271907;3.701203505432
-0.5802174563544978 -1.0373716777766269;4.763158813164
-0.6523899908785266 -0.5523926469659208;4.5284699385791
-0.5312110059079996 -0.357665953247271;4.002217112452
-0.21342632669955586 0.07415903188682843;1.5955424518392
1.137488687328775 -0.4993334327418714;5.101341819264
0.42728631627789193 -0.3351947618734747;3.7021030586091
-0.039549475923189414 0.16694875314097796;1.1145788292727
0.3418018102859634 -1.2542387465621025;5.3257113395253
-0.09960811042297169 -0.46707474653214176;3.1051375532192
0.28160250069149695 0.07347662901270924;2.1070469225196
-0.9070000605849003 -0.38055085998916444;4.262781127148
-0.8314612498505568 0.16492392073008172;3.329607467156
-1.1805232756063986 -0.6755295710525295;5.231974377976
-0.3590129392161797 -0.9483618987632887;4.219563609337
0.2728570393852495 -0.7582445806668054;3.9171183825616
-0.37731224036327526 -0.8640171232783096;4.244681003674
0.15224050826852553 -0.8691921314570912;3.189738731779
-0.7394066071352454 -1.1846946309257695;5.121797612177
-1.1595821237193547 -0.2716049120009606;4.595380895738
-0.21343044753371865 0.4683569760584655;3.435923370967
0.32891319673674124 -0.010765979873178011;2.3295611674220
-0.7394534125797433 0.05082668127879881;3.1533625819567
-1.1361088169451192 -0.23989512359417436;4.314069932264
-0.15939962139270258 0.6082613939562616;3.5323928728812
0.35135356104270576 0.48102074824438246;3.8819578716642
-0.10344221683950522 0.0954457044312913;0.8627143689752
0.9697601785539747 -0.9026664147031843;3.6748940047771
0.9257159625473634 -1.3857987140563572;5.845399344603
0.972255703857178 -0.6931847317491353;4.451878143055
0.7686167756748632 -1.1447807590026222;4.820607407726
1.312504079792737 -0.20892314324488181;5.206954313563
0.4561985873401454 0.33822788458916564;3.786718600844
0.030878079153146054 -0.14170114836769504;0.8871673921289
-0.30028793312339425 1.2471289996903672;5.172582137159
0.23221385818530954 0.3960006755023563;3.2645694121034
-0.37301049845161466 -0.2234083105959791;3.144551746922
0.3080556550330072 0.4125749196874643;3.576687118397
-0.2318766093420465 -0.09786596924630764;1.8252558705219
1.0406484249411874 0.5729205727637413;4.775209923450
0.5446272535614638 0.6217705657303788;4.493478240314
0.32655209708672417 0.45954872524777735;3.7618556680506
-0.1621362697029783 0.032029383512827414;1.0587961935929
1.2633435062191778 -0.28596639355054604;5.208623241682
0.4166789038034634 0.24875118633655463;3.3937365312779
-0.14253822788425363 -0.32906812069757846;2.6302560170003
0.48802073229695087 0.5961618634463044;4.380389514680
0.1987740587875263 0.38468255659342465;3.1007041677542
-0.4169964812984207 -0.3021494745371107;3.5711594890411
0.0919374304420072 0.2392614123334973;1.8579071193932
-0.5332117083970135 -1.0313369122484424;4.7455339233
-0.4564391822395154 -0.5644495117332944;4.279325673435
-0.12721157594909893 -0.30910037045817584;2.4597370185973
0.4997116269468248 0.7033953910707773;4.490701041498
0.25278929275494566 0.6249585117236116;3.840987947964
-0.28273798203670164 0.4826260082212379;3.690118390821
0.22903093707782862 0.06742328140642612;1.697762887627
-1.1086797355702007 -0.4340067690633383;4.884935344822
-0.41610522807253325 -0.08508491322476958;2.886083963611
0.2958416958602381 0.2770480914898236;3.035200220419
-0.4437393951029325 -0.45290162501022097;4.045835732141
-0.06435132416164357 -0.07845796539872013;0.5432703264170
0.7526025686225123 0.9093541244426355;4.257056308292
1.3135584373344553 1.0380888792270675;5.59664824412
0.3575584304059073 0.6331777323830672;4.149531477192
-0.07374042651484042 0.4629765242804844;3.0397679796121
0.22636719226874452 -0.09962855762129474;1.7909944359300
-1.0514080747359549 0.592419839528197;4.798590180868
-0.5190791684256573 0.7034792662964755;4.517265475075
-0.3003815409261483 0.6311648494557069;3.991347201994
0.1961542473935703 0.4768385349114006;3.4049256593186
-0.33656883571317503 0.007800468865787724;2.376111027254
0.7033077688056772 -0.036387687262512014;3.205898799645
0.9888221989527375 0.15631462603781826;3.1849190703840
0.6576860649751433 -0.8744264929325503;4.504070413249
0.8933331304927401 -0.9551838849253975;3.703392735750
1.413644064125213 -1.018680726559645;6.015613813655
0.8136342528839486 -0.7321828615963362;4.437624694046
1.0726525878425315 -1.0662954320461544;4.095105468140
0.21442491655215223 -0.25822236221049677;2.5567145265793
-0.6455004943965954 0.675308715735063;4.605652954931
-0.6029572645950005 0.6508101785955129;4.575431532957
-0.4759576609895739 0.5570890404155544;4.305031701162
-0.16362068622903303 0.2991616877328691;2.5477550437298
0.5647498843377057 -0.6685317152359366;4.551961271063
0.39516581651000626 -0.5741870583153391;4.164893596546
0.007372139720378923 -0.3186223180427211;2.262616498001
-0.036621692298406006 0.7898328208882427;2.992521547710
0.20730065376213733 1.3133255474344803;5.205874350259
-0.3391969627184417 0.4567917866393495;3.7909330717563
0.13957291410058797 0.03284185238758336;0.873781718979
-1.2413970595002106 -0.3213640839105742;5.208199475532
-0.4119269641694906 0.17735041434622845;3.132733665361
0.23136744440713175 -0.3916931722548972;3.2457161228143
-0.37917334739283104 0.23814749872112573;3.2233007423088
0.26860742258528136 -0.3865023578646648;3.359904170680
-0.3309079269019527 0.2088196744545806;2.903970625390
0.46962303295537366 -0.4939867169510498;4.184750931151
0.1311899861484329 -0.16998393716914306;1.529617758426
-0.854517227659452 1.0354347123688608;3.9669464936830
-1.5362371880318144 0.46775754328944386;6.405043613471
-1.2150273741358526 0.3157515685612462;5.059369199727
-0.34978039583250575 -0.2316596355685978;3.0804951238997
0.36975386452660575 0.43763092563839434;3.8272158597547
-0.0908872152677937 0.00768529239618182;0.46511642493083
1.106240962082699 -0.097680631869928;3.396424337378
-0.04018110535106212 0.6237311685393715;3.2739246838737
0.13949316437767356 0.6103605439109211;3.4755717479202
-0.34339366777728714 0.5014954916924447;3.9057187981132
0.1104504454481563 0.13981123724253253;1.195084600037
-0.8707807132925135 -1.0590494986319858;3.995472922112
-1.490541039602173 -0.3181472737117379;6.10294649984
-1.0957464307370608 0.0024695786433777123;3.099645024338
0.06832041624030216 -0.019526377976469167;0.3302749484383
-0.9650231071855537 0.2796987531195678;3.88274500241
-0.7374670555190428 -0.6154476348430299;4.597286244208
-0.7672535336208548 -0.5807276157247904;4.581022632632
-0.7946170796234449 -0.5042494032006678;4.513960344423
-0.7967374328604344 -0.28855327263055897;3.951892698014
-0.919709757210891 0.38828275776349785;4.294160121364
-0.8081871454418583 -0.13863470778499531;3.258166523036
-1.209106376645503 0.6077707604412902;5.432881056134
-0.45706340426895986 0.6868944379790415;4.411764068041
-0.1474901683529546 0.581560366790263;3.4720102781636
0.3339575589549831 0.3822181372190764;3.566116740736
-0.2084618274952938 -0.14827786301506107;1.895841815137
0.9605040502993538 0.7775421909813569;4.155551709351
0.8785596062580274 1.4545981282237004;6.1024611028822
1.01087736740944 0.99757538633451;3.642620910882
0.631429752893458 0.7429189438071755;4.597504699033
0.6338073691281969 0.7955721809296885;4.572824043032
0.7028170440623476 0.8926270160636913;4.409962087217
1.1018456522961677 0.9967301356529741;4.046568628329
0.02743066082331813 0.7618888041407597;3.063672617519
-0.14400238564497636 1.235339864558433;4.517957282566
0.5014589824085696 0.0764829122812567;3.1578084911646
0.0638151810353142 -0.22446186941696356;1.65114235763
-0.42152696072789786 1.1280212267825003;4.939471707974
-0.049246501103179185 0.39772888993791566;2.741353464473
0.1818318602303796 -0.39830439534991824;3.0952186039288
-0.40618534135070183 0.27539138904064175;3.449699025018
0.14617172249878274 -0.2977147027812427;2.4660293335741
-0.5521276250067993 0.7105763530011083;4.5571936652318
-0.38695027439387764 0.6616134556673708;4.246930531327
0.014063860532336603 0.5279117310782405;3.151821876368
-0.045431893348530546 0.17572920115373536;1.201851819156
0.37572408202635676 -1.2430569113994143;5.357217421930
-0.009309039561950616 -0.477647142053677;3.0208161934943
0.030580768959614257 0.04692583508838011;0.24018508860466
-0.49942715232873036 -0.7623451714230006;4.506328654509
-0.2664942614789063 -0.7444516141638152;3.901060547011
0.3741978672273709 -0.837645831485539;4.238060917580
-0.14476347618205887 -0.8679635779585132;3.153262880118
0.7280559183051644 -1.199917530035926;5.229040899642
1.100169654412047 -0.30934733583077223;4.454389760383
0.3136937430447565 0.4225589595557363;3.623756425645
-0.21251193936321988 -0.06785930345419228;1.5677383753726
1.1514439600308228 0.4648414633117777;5.1186725894632
0.42043849775375497 0.21791887802297752;3.301150716605
-0.16114238585451313 -0.3619373608631453;2.8648811904450
0.45093049913625327 0.43772099401035514;4.027918525531
0.0719111707425717 0.05166355711249759;0.4485434896262
-0.9014585902352886 -0.6549644569196648;4.499808508511
-0.9208850561961365 -0.9143621892941315;3.687546714780
-1.2444003415279021 -1.2852206113424463;6.276887474714
-0.4978775402552267 -0.5417188721390791;4.320480640183
-0.20194533964783057 -0.2744222050202798;2.584195652949
0.617746383030498 0.6620722262121245;4.5905520169308
0.520656973629135 0.5945522632825725;4.430728259522
0.265252218236261 0.39144431351562725;3.365333959597
-0.33076127407589195 -0.19847660351562302;2.86058857649
0.48897177023512994 0.5013436850167704;4.235811403412
0.17132969207552207 0.19128949166226727;1.9134294818291
-0.8518504177224833 -0.9103877481453185;3.8940123123479
-1.4578651147132808 -1.2027643552903915;6.694784812353
-1.074011848249507 -0.6036775658158793;4.865798822382
-0.47041430954805663 -0.7457708778459353;4.459285930593
-0.18428479668947717 -0.7090213425061269;3.6105388476840
0.4511425176698276 -0.8450714565060129;4.429756555853
0.12076761292299465 -0.8378806174888003;3.106455311502
-0.6268575573137929 -1.2652888454993065;5.666581330552
-0.7087005449541499 -0.5550711677613056;4.559476895202
-0.6590173040166241 -0.3934902714209092;4.260099073788
-0.5200994796830065 -0.001491621408327537;3.132584813204
-0.14072954393071258 0.004603376729867715;0.8495034933580
1.2650519288239843 -0.04630733139119809;4.45660672333
0.04467751842441259 0.2040839394390655;1.4366179357160
-0.3313406072354701 -1.2062254161885382;5.064150091139
0.1933066439288973 -0.35668978220140735;2.960874983975
-0.4598311002862181 0.40779350407522197;3.977716649747
-0.075895702239132 -0.0032068460188487413;0.3614457091980
1.029175865426884 0.04379124379358462;2.7842017302168
0.35593069832061075 -0.3581582242825836;3.5603284369601
-0.1848883943516404 0.18226424156974685;1.9394946893276
0.88004649724383 -0.8727122821979454;3.8936565062768
1.3389794486894198 -1.3701737336609559;6.920425875666
0.8362232354631567 -0.8960439649576206;3.976129645342
1.4411582474739555 -1.2254209116234809;6.7353941444412
1.0301902194603636 -0.6294843824080236;4.698378508843
0.5673840707208606 -0.8678102307496265;4.557873548340
0.5351593522926075 -0.8705202575801256;4.543855633961
0.41864924712858254 -0.8520243038774571;4.3590295693281
0.0055837859354974095 -0.8479449009904987;2.7787200901673
-0.03882711461446525 -1.380828869126987;5.141149852284
0.11739190137217087 -0.5758150131204335;3.3848381619390
-0.30456818549619624 -0.36945248441504963;3.4266905808598
0.2836247884713977 0.21209815499638263;2.682138115523
-0.6116187581758532 -0.5876353505855296;4.5332680685323
-0.45760840627675003 -0.4166425372528697;3.9939104223949
-0.07552485620596139 -0.013064808951384455;0.36605132071480
1.0194536592058205 0.17973384340372395;3.4081518851004
0.4776402799516126 -0.874459026550483;4.47998515569
0.21273288011567848 -0.8365314991498001;3.5620345363273
-0.6477255652958599 -1.0889087807836977;4.866761207981
-0.9262231823251762 -0.42303562161450303;4.3960078174865
-0.7875353472131815 -0.0004591533184598595;2.9731638158926
-1.3195632079559823 0.002308518485989064;4.788856509638
-0.27484629704179264 -0.008963237144570646;1.956951884628
0.9916967537597237 0.05159248888972418;2.692103225618
