Point;Valeur
-3.4493294106677395 -0.6701671645934804;10.061326337803
-3.3908272739546246 -0.7286693013065955;9.836407364261
-3.310767419016584 -0.8078172691614061;9.375307791706
-3.2175608747057542 -0.8999697829338547;8.591325036428
-3.1153863201233647 -1.00476762852865;7.732999217109
-3.0025547055201693 -1.0917642820590505;7.4819263859830
-2.8873245648738344 -1.100344974295992;7.608951177089
-2.794808330464414 -1.072327070427231;7.820473631468
-2.728723904105388 -1.0260455213760116;7.943334246471
-2.6817562278051588 -0.9729372705244396;8.028361453315
-2.646958621212632 -0.9228912786471495;8.112733960223
-2.6189786267249744 -0.8827778787665886;8.184968550851
-2.593901875953648 -0.8551752704551859;8.22923349043
-2.568889154419239 -0.8399329205600463;8.241262637003
-2.541765991418319 -0.8359424683813477;8.221305416277
-2.510673151506563 -0.8419679514401505;8.167669580570
-2.473792548377266 -0.8568747300942868;8.073434964118
-2.4291360402796283 -0.8796021429167609;7.923242576612
-2.3744344412457226 -0.9090073594011562;7.688070409392
-2.3073109918669497 -0.9435509978809146;7.320136245871
-2.2261063625720032 -0.9806094003056655;6.769674307457
-2.1311962384012006 -1.015035402529469;6.084735293431
-2.0253232015630225 -1.038019844565987;5.559079896974
-1.916255528364133 -1.0422034438184071;5.530638913371
-1.819857663822837 -1.0292243570952724;5.815713281895
-1.7421558675580426 -1.0052958075599971;6.061635437471
-1.6789760974335937 -0.9760936645153517;6.2003256951861
-1.624871324621262 -0.9459059457459533;6.263106984631
-1.5753403474009755 -0.9176880641887876;6.274124666959
-1.526857615002792 -0.8932394804208414;6.241142310728
-1.4766261656108164 -0.8735452352424539;6.1614540410962
-1.4223356967438838 -0.8592153184141849;6.024246745416
-1.361956317086486 -0.8509232887099181;5.808475628451
-1.293617984008252 -0.8498159148366354;5.478787427339
-1.215738599749617 -0.857844232672204;4.991098985323
-1.1276718558215364 -0.8776204359603202;4.350041890222
-1.030956982640869 -0.9107130055535282;3.759891317753
-0.9317120466939905 -0.9541327144530966;3.6110792697160
-0.8419013883942421 -0.99824620345458;3.9247842189043
-0.7682955343896982 -1.0315193769204511;4.315464134473
-0.709086727543568 -1.0484820983068976;4.577361501408
-0.6605072792577578 -1.049231840133072;4.701491901919
-0.6193755686785168 -1.0359706621739566;4.727586376543
-0.5832211514778857 -1.0114718722921516;4.694727397963
-0.5500187208058861 -0.9787197483561099;4.634219980302
-0.5179950196133505 -0.9407825926699354;4.567013923434
-0.485564219381678 -0.9005464476554236;4.500754572429
-0.45134915976411605 -0.8603233116401936;4.431343629227
-0.41421494528098973 -0.8215989236676869;4.349313488728
-0.37326752874173635 -0.7850941432273161;4.245558737197
-0.3278232626423478 -0.7510348633950955;4.11355860893
-0.2773907414607897 -0.719433257267772;3.9500820167320
-0.22172187511653824 -0.690265144765299;3.757822403883
-0.16099736619377378 -0.6634984823396669;3.55238032129
