Point;Valeur
-4.008289080273171 -2.570788174911546;11.47000607345
-2.563289084041471 -4.015788157183053;11.485191628860
-3.0410468670361386 -2.6813007436440413;10.130182124272
-1.8308583011499213 -3.9111785966880985;9.910050068211
-3.0854888117958774 -4.6403443955058385;12.505699463354
-2.477765846741104 -5.2294216513446665;13.245166887230
-2.2811510415358214 -4.337875421395415;12.019987574952
-1.6701120526586921 -3.585019089159305;10.77502296304
-1.8268174315844357 -3.42947190721582;10.370920267835
-2.1364885363494177 -2.8710815807162486;8.703730889078
-1.2146471040660234 -3.48887518462369;10.178960007848
-0.8046566416359471 -3.151627447401076;8.51161281090
-1.405294833013444 -2.264447820095495;8.366880249441
-1.1087982651368529 -1.744996753872234;6.3381180824729
-0.5894363880455404 -2.1279782801280667;7.156050803403
-0.7181533500565882 -1.6016092679827443;6.508680250333
-0.8418807204088112 -1.4887762521033834;6.217404194588
-0.9708415474424996 -1.2226804926030999;4.89987516250
-0.921015251769924 -0.44721262676482887;4.446803134110
-0.8248307103799216 -0.23058264937902714;3.6668263610740
-0.992205502799336 0.24882827752120631;3.758216668510
-0.7281502263409443 -0.28506528941281384;3.974904136480
-0.7589139070201709 0.029056887594014313;3.0735613365922
-1.0907063940492285 -0.0659644714550281;3.174329425564
-0.3986418615833247 0.21506500586142657;3.2133234654919
-0.015713704529059735 -0.09033058866954824;0.4687258494323
0.11224294574945681 0.46480632747853756;3.127589094993
-0.13475488200971947 0.21519976631743926;1.8714747080857
0.3495077127402352 -0.3019245472016055;3.3470786876441
0.014752847964353999 -0.041271803789871386;0.17438179170675
-0.14383034935052297 0.29401018509673654;2.4342654835411
0.22208239334609925 -0.11012915103882792;1.803665217112
-0.37664875038815804 0.1810526252677947;3.0030125365919
-0.03863265685516504 -0.05367135481131208;0.30011058505208
0.23900704493495012 0.2616822593132327;2.6981385933251
-0.12950543886489102 -0.054319718450118404;0.8533844712464
0.4048838864928575 0.15630241304159376;3.0358076780931
0.13109955045106514 -0.03997072967746601;0.8224653409301
-0.37317158861380795 0.11577999990429011;2.7691753888180
-0.07028968705564259 -0.059615061021333654;0.47460748716883
0.2625834483547226 0.21505202939874177;2.5837083364041
-0.05926832351074307 -0.07226449226913087;0.48394333286582
0.20927453060064477 0.24195769636032285;2.4390133088541
-0.09227080614674948 -0.07031720253748333;0.6561360032824
0.2563007355213863 0.19331666824233065;2.4388650895852
-0.057111661581491 -0.07491149043404224;0.48921605371291
0.17875315306618944 0.22407349001927976;2.1662925727332
-0.10797534261288078 -0.09421993998809827;0.8846362983099
0.22117180761078337 0.19015116553406283;2.211669961245
-0.08219979193536353 -0.0829308129901469;0.662677878103
0.19287495786260822 0.1895107642741625;2.0337009974721
-0.10072707486711735 -0.09600805537091847;0.8490373138184
