Point;Valeur
-4.547044041251965 -3.011606749239829;12.449511157814
-4.232248801512128 -2.6968053953915336;11.985288682997
-3.78851561342389 -3.0946147321337523;10.99900602877
-4.239344585345115 -2.5727529505728643;12.139281593180
-3.855441605995079 -2.6061295657250683;11.443645389606
-3.9930659745373767 -2.774158298302927;10.885417538962
-3.873003923269232 -3.3533356488849932;11.979048985348
-4.043166892042116 -2.8828199214351513;10.464080645053
-3.672623275592139 -3.4167458304320664;12.366112502601
-3.725132993035621 -3.1694773549941355;11.524949345921
-4.039621857177648 -2.631844322196887;11.446704677169
-3.7798324244796437 -2.894918682031272;10.888776797248
-4.227636520107804 -3.2060344363693734;12.045053752230
-3.688907844480912 -2.626783095962182;11.592444272962
-3.74868270987573 -2.688990070271507;11.476702748782
-3.9183788898287473 -2.901880064759459;10.357550105915
-4.209562772747483 -3.3499487831072234;12.527367294790
-3.7931052224424113 -2.952062172024554;10.740555048591
-4.293997302570753 -3.067707058512709;11.860360731087
-3.716886069846837 -2.7220255512154767;11.46697550701
-3.876547813522521 -2.952304932692831;10.373740811176
-4.324124550603661 -3.1278526646349336;12.18515850027
-3.8443312332210944 -2.6847303828299482;11.330262293658
-4.035207211323685 -2.9942134527587725;10.206901980191
-3.693043290695723 -2.9228179133482213;11.137338030173
-4.006252402733953 -3.0617542890658256;10.29757899829
-3.8394241170476815 -2.543789500072387;11.484629343204
-3.9471513475125337 -2.526410190204486;11.43001628604
-3.920790004629485 -2.488228656410615;11.404831378065
-3.941516617613455 -2.3507319094195562;11.080814544316
-3.9498326550713023 -1.8559003569112345;9.738684565878
-4.038631769798659 -2.4686383001178225;11.482922211556
-3.8067816632541076 -2.283565822383949;10.970461619038
-4.024442660363607 -1.7523963389853199;10.316113937794
-3.769768661675922 -2.344062661167145;11.237633244914
-3.9139477352179117 -1.9597359739316484;9.457692732306
-4.223051962381356 -2.131798434176704;10.948373659341
-3.5690038276447753 -1.5873720774630649;10.792326049731
-3.4595517336216597 -1.5897725531172584;10.641178145023
-3.248886974495327 -1.58825762315979;10.06947166536
-2.841732653022766 -1.633994256696268;9.19647528018
-2.950680453963144 -1.8108673032221363;8.52076545556
-2.995276741367098 -2.4222123710138366;10.058740405668
-2.8587437023154183 -2.078156049750146;8.454553855689
-3.2892949266231546 -1.5368091066644225;10.205705850824
-2.92530094140059 -1.4932324993838542;9.201262055678
-2.8979037052401257 -1.368060945339567;8.94163215290
-2.9416820855686128 -0.9426942047601603;7.250431183789
-3.072524148720658 -1.243088894268018;8.601335846594
-2.6369636910143712 -0.5212591329638133;8.603206897862
-2.5383812961516807 -0.49574489859017046;8.471635904744
-2.3482389521730913 -0.44141647874479445;7.983472318766
-1.9851157046477013 -0.32110120041388907;6.3432560752202
-1.7876162607453896 0.2103925710481654;5.941468810616
-1.9845086802403298 -0.32494946064734215;6.35782443100
-1.7883832721802693 0.19649521338615744;5.882320889231
-2.004472052720784 -0.3454073701243306;6.474628561571
-1.7514747952839698 0.12230337056605672;5.676494922147
-2.018066617255324 -0.3088499747825648;6.362107605340
-1.7220160311636101 0.25288759485769485;6.1740761638663
-1.7939056550829295 -0.1622958320586762;5.726984292926
-2.060153186471521 0.380001534696994;6.7410495133993
-1.6790942214737483 0.018182219945850397;5.621105054705
-1.8551251880695319 -0.04799526207588917;5.144208337161
-2.226467784576363 0.22835020868964656;6.99273938038
-1.6059212252168091 -0.26555869456843767;6.18803380469
