Point;Valeur
-4.727568485463279 2.2147505371984764;12.11946258309
-6.249568483582156 0.6927505377362253;13.659132524251
-4.904853349327851 1.4971209775087315;12.117145748873
-5.015218465437107 1.3430007558825325;11.872530848196
-4.460719629310914 0.38287274490822276;11.674966609452
-3.902446386475481 0.11546942724230302;9.015696328841
-4.548183188947631 -0.8285082516230111;11.530681171069
-4.352488568423112 -1.2076406213413569;11.314865064008
-3.5287030568844426 -0.660029190628567;10.212783744681
-3.209805234943512 -0.8305631721951523;8.760376212413
-2.1871694818661256 -1.4267003868796575;8.11949408603
-1.589094180848801 -1.072941327462572;6.443384147040
-1.5770204170896052 -0.6566363920251237;6.523576912335
-1.3726331137908316 -0.7230501717731217;6.009476565529
-0.872128440442715 -0.8725894571040441;3.916010097630
-1.2691413269916991 -1.3013122331041829;6.448137286700
-0.7424805703426136 -0.7446967597554013;4.521509445408
-0.9101979952977741 -0.9245753836946989;3.6902645506259
-1.2091198449480935 -1.163960403183538;5.475337680650
-0.5204857715988693 -0.48530465376274434;4.262929838528
-0.3267562495966116 -0.2594666250502323;3.0944791033763
0.12765060260687966 0.21271474202690877;1.8178650326364
-0.3784171929822886 -0.5192055486817533;4.0311124011747
-0.13413673471473261 -0.3248997098747684;2.576379293738
0.219199709628256 0.2046056088949036;2.2814205098617
-0.316720827103961 -0.30095090998078305;3.219556266024
0.031322499466490406 0.03891489994603481;0.20664692310701
-0.2637325315290145 -0.3167271783049417;3.0692764969712
0.0875371853777474 0.03618391158404338;0.4916412809911
-0.44171375740604474 -0.19415528448079866;3.2929341754320
-0.18710238937076423 0.06676573089747223;1.3584551616021
0.3999690093261646 -0.19927908002394495;3.162571004690
0.1290173050703768 0.07310593451374225;0.9240092492269
-0.36993273899397405 -0.26308117267808334;3.2801771417020
-0.12352031756452034 0.010113143315882422;0.7124711175497
0.37353969049564106 -0.04191398808194506;2.6120373812459
0.054138148400760366 0.04947947704437364;0.3457059938406
-0.23246994471079913 -0.26777258247449454;2.6972783764728
0.055529104183300315 0.09539023055199597;0.6105696886766
-0.17758234923621846 -0.3552684715704338;2.89437932203
0.04047944752933855 -0.04768007139340519;0.2784125633308
-0.18123959059920555 0.24729010724657863;2.3235022202264
0.10717591021128878 -0.13412675274040037;1.1362804555052
-0.20873463047861293 0.286641053634867;2.68228491477
0.043295122447547824 -0.024237355513647862;0.20477042041811
-0.20692320479821882 0.13003379825053246;1.7882803678754
0.16456820232671746 -0.1656051697142732;1.7049380318107
-0.15966304450977806 0.1945971093838023;1.865992728282
0.12999375619307155 -0.16851369850869896;1.5122511499862
-0.15249366457916955 0.20490937862494096;1.8947475596941
0.11462637268003537 -0.14388384531220694;1.248027126106
-0.16040416383787706 0.20741991658213366;1.9559702376731
0.10110301980058731 -0.11726251651873043;0.9856703385281
-0.16639154757646293 0.2000252841378103;1.9412475435242
0.09586958713171842 -0.10659139158183029;0.885244908205
-0.16318642449610446 0.18695475427211122;1.836029552153
0.10002982254846196 -0.10979290911150758;0.9303293740803
-0.15600098788613045 0.17458951849777588;1.7100601379800
0.10538577007065034 -0.11450587393713924;0.9929747370375
-0.14798500204589246 0.16241220169792797;1.5786865181914
0.11027317713232801 -0.11852774291791507;1.0490115363813
-0.13985254488318458 0.1507128129221602;1.4489018537530
0.1140661075789137 -0.12116641513718679;1.089718640403
-0.1322106120037126 0.14009607502908827;1.329360407113
0.11626218814096306 -0.12199196023803838;1.1088236263978
-0.12562385959838218 0.13114312600135114;1.228063816583
0.11668354599196021 -0.12099261191122052;1.1049594281912
-0.12034797297598779 0.12406498128962873;1.1481197941795
0.11559126173008455 -0.11860819667983191;1.0826393791667
-0.11620865642187803 0.11859250907259586;1.0864378890059
0.11351092724392792 -0.1154738872696115;1.0493973589936
-0.11280248307673116 0.1142211264567762;1.0369405703211
0.11094390495795706 -0.11211505986148879;1.01187564966
-0.10977686600765305 0.11051484906665743;0.9944423606300
0.10821509262537077 -0.10882817554603272;0.9740613752457
-0.10693814003125462 0.10721427688191451;0.9559922936690
0.10548494924685087 -0.1057274082810688;0.937690482057
-0.10421381273823868 0.1041934037593607;0.9202977710641
0.10281942920745171 -0.10283280557577978;0.9032858794750
-0.10158785696633357 0.10139219898821339;0.8868537035535
0.10024390055099569 -0.10013051899056735;0.8708965587299
-0.09906173349839001 0.09877667802224907;0.8554324961074
0.09776876054097394 -0.09759955212616428;0.8404326435462
-0.09663928157999391 0.09632298939268599;0.825886050463
0.09539848806183224 -0.09522020951405158;0.8117761754539
-0.0943227127990035 0.09401236705185995;0.798088651786
0.09313442805285219 -0.0929757979461163;0.7848092992536
-0.09211215123611821 0.09182951886130333;0.7719241374703
0.09097580695216631 -0.09085249947246876;0.7594199083773
-0.0900059848730421 0.08976186975141201;0.7472835305857
0.08892031467131797 -0.08883890126275981;0.7355024720862
-0.0880013080650367 0.08779902025772668;0.724064563186
0.08696454670923359 -0.08692552858159319;0.7129579965480
-0.08609431008095245 0.0859323028104631;0.702171434913
0.08510435948652362 -0.08510444447645404;0.6916938235917
-0.08428059137781233 0.08415441635967566;0.6815145664379
0.0833351527371459 -0.08336892126936007;0.6716233800746
-0.08255541289046192 0.08245913091483337;0.662010329896
0.08165208906873467 -0.08171317701957434;0.652665902134
-0.08091388769635569 0.08084105271006517;0.6435807628983
0.08005026059683451 -0.0801321676443838;0.6347461452751
-0.07935112462520766 0.07929544033614394;0.6261532733634
0.0785248120163797 -0.07862142519338833;0.6177940874246
-0.07786233269123269 0.07781806265023952;0.6096603410134
0.07707102843084215 -0.07717693362433672;0.601744630264
-0.07644289408260427 0.07640509027797149;0.5940392195442
0.07568439522588394 -0.07579503448862138;0.5865373031086
-0.07508841237319411 0.07505301372180867;0.5792316430067
0.07436063602935769 -0.07447235614377481;0.5721159721044
-0.07379474153113028 0.07375858225010903;0.565183539073
0.07309573387656679 -0.07320576123214359;0.5584285574759
-0.07255800029889609 0.07251875882226363;0.551844751241
0.07188593972740315 -0.0719923081664606;0.5454267606895
-0.07137457569935879 0.07133068721067004;0.5391687716089
0.0707277716751801 -0.07082922319731397;0.5330658027917
-0.07024111867337882 0.07019166830158755;0.5271124855577
0.06961800754513292 -0.06971388038025289;0.5213041751129
-0.06915453420219109 0.06909914317352814;0.5156359289663
0.06855367300007284 -0.0686437873302446;0.5101034030170
-0.0681119678331484 0.06805068107668291;0.5047020586674
