Point;Valeur
0.08429074104677348 -0.026831892545542857;0.4465350813296
0.0836582855147398 -0.026199437013509182;0.4409643600375
0.08283245364642448 -0.025374047639279706;0.43374810052947
0.08189526006035648 -0.024438455108960946;0.42563975481777
0.08088899908023109 -0.023435849643617168;0.41703198555118
0.07983929542891757 -0.022392857380165335;0.40816339203691
0.07876280219276281 -0.021327188100056026;0.399188563666
0.07767073264271797 -0.020251134791510056;0.39021070958321
0.07657077064460521 -0.019173465077652264;0.38129954794905
0.07546821251506046 -0.018100553877787227;0.3725021135405
0.07436669565378629 -0.017037110069803962;0.363849706051
0.07326868486234162 -0.01598666619615668;0.3553625468908
0.07217580742428628 -0.014951920938863638;0.3470529901757
0.07108908933271117 -0.01393498578566493;0.33892778020908
0.07000912461632175 -0.01293756715872066;0.3309896590476
0.06893619816496975 -0.01196110393139198;0.3232385198534
0.06787037556160226 -0.011006873503777131;0.3156722366120
0.06681156912622824 -0.01007607538735867;0.3082872597499
0.0657595865939077 -0.009169898490270913;0.30107904040895
0.0647141669920472 -0.008289576402842051;0.29404232819210
0.0636750070122634 -0.007436433607935654;0.28717137494450
0.06264178028481218 -0.006611924463800711;0.2804600686826
0.06161415133276383 -0.005817665881914119;0.2739020159672
0.06059178552792873 -0.005055463744916064;0.2674905870925
0.05957435603808083 -0.004327332206607906;0.26121893596584
0.05856154850984142 -0.0036355040411106348;0.25508000514550
0.05755306404940849 -0.0029824291558408003;0.24906652594600
0.056548620927385086 -0.002370757305908011;0.24317102355582
0.05554795533244592 -0.0018033000897935613;0.2373858374182
0.05455082142307403 -0.0012829667332206218;0.23170316724385
0.05355699087111599 -0.0008126683822395205;0.22611515431160
0.05256625205075757 -0.00039518712883543816;0.22061400538001
0.051578408998235015 -3.300925168115435e-05;0.21519216179551
0.05059328024789843 0.0002718726430797445;0.20984250882536
0.04961069763606968 0.0005181771814600384;0.20455861029020
0.04863050515233039 0.0007055531534353682;0.1993349429301
0.04765255790536279 0.0008347764298138234;0.1941670966030
0.046676721254697004 0.0009079005184805492;0.18905190389038
0.04570287013935732 0.0009283408323565249;0.1839874685067
0.04473088860979734 0.0009008818463029543;0.17897307608232
0.043760669542954884 0.0008316072646033174;0.17400899040151
0.04279211449524139 0.0007277621219405419;0.1690961580750
0.04182513362883538 0.0005975590463807199;0.16423586024084
0.04085964563596868 0.000449937550606482;0.15942935870981
0.03989557758617817 0.0002942768111516323;0.15467758598628
0.03893286463351915 0.0001400530181502171;0.14998092490059
0.03797144954446743 -3.5723396260847144e-06;0.14533911447772
0.03701128204131174 -0.00012824117253606225;0.14075130247011
0.036052317996998214 -0.00022695271624276534;0.1362162393276
0.03509451855874584 -0.00029463950305683867;0.13173257388129
0.03413784930840935 -0.00032868940393276073;0.12729917565184
0.03318227957423555 -0.00032931955087070795;0.12291538823552
