Point;Valeur
0.28113383473333275 -1.8663193927176893;6.136628828415
-0.0012144153445968198 -1.92419060161804;4.911964402270
0.1701903734573512 -1.9139501240712669;5.524903109050
0.015365540638023006 -1.9190559836884633;4.926459336392
0.16974025536427456 -2.0049084101711716;5.5724702891502
-0.020301852120019448 -1.821094338297361;5.221613603680
0.038981145955674645 -1.758210782745846;5.455428907166
-0.058062554449447384 -1.8407777919113384;5.214462799126
0.18014787742982405 -2.0120786349015933;5.652270441704
0.15667955765591143 -1.8507005968894181;5.565893883375
-0.07150061658019682 -1.8588035491435135;5.192943851608
0.07309654999290136 -1.9477798175927479;5.023644983761
-0.1991330004075225 -1.851723416572613;5.7726046668
-0.2657680129967074 -1.7962453635005966;6.1493821737520
-0.13478280436794685 -1.787937801062359;5.630673375267
0.0541131336028117 -1.9893637868257326;4.985764611364
-0.13436702246763998 -1.7546297096287933;5.71025930726
-0.12137434479972367 -1.5166887088970904;5.717251544861
0.03890892998347331 -1.0304776576975014;2.7784818751553
-0.060925508158685776 -0.7361046506534776;3.1797248393904
0.032291978016168676 -0.401994041178112;2.742031424139
-0.20725480114404843 0.3105425848355823;2.798473390448
-0.1923309256915724 0.8227119236648226;3.4822060408613
0.11194623819247362 0.7629876086279046;3.2595718871704
0.13277457314532745 0.7175877105519924;3.4148515946666
-0.06077282117411362 0.7297726302236319;3.193151041328
0.05548330478135474 0.8077775545996209;2.971439362251
-0.17344449774485884 0.9945562943328972;3.3020353744047
-0.10322401969383108 0.8273869938251925;3.0612886513456
0.050723823240885035 0.8204270764550282;2.92161327384
-0.1361139404500814 0.9498447620531906;3.0230801460262
0.07144109903778445 0.8169040429637027;2.9840061425011
-0.025245462304573224 0.7694245856482712;3.040134102200
0.08454217922684022 0.8626684476196765;2.895428371656
-0.20609349886332906 0.9506700814702999;3.443986022835
-0.23887625992402717 0.855189046041955;3.6708923215245
0.0006447236306004467 0.8461592389226881;2.7836220317708
-0.1485422782135601 0.9633699017191378;3.1026199865520
0.09726341215381631 0.8088520060431678;3.090395577227
0.0548719670713165 0.703099976040292;3.232222410068
-0.01733374120685488 0.6325896132585064;3.25605078254
0.034078032940789565 0.5216833502202398;3.1503914423810
-0.03832139439579485 0.21317421272926346;1.4990543518641
0.34849804280682906 0.012336235575601345;2.4489240440754
0.5929210533059418 0.04368681168497088;3.264904495731
0.9298749937815732 -0.07840599865232338;2.749017571586
0.7349405201565246 0.13736853296945173;3.4048244921332
0.5203311663262271 0.10599638400298056;3.2628859546717
0.04935562312869601 -0.061600943303792705;0.3824606745982
0.07910983476322025 0.11167774754503243;0.8280436068777
-0.15002845096488113 -0.23280272680168015;2.070627112866
-0.12856395191964665 -0.3215152767118632;2.537115616505
0.06331765476450613 -0.0911854415287291;0.616251318336
-0.3078385420514886 -0.14253502802630402;2.5108206543923
-0.47695015575485755 0.009904685119377504;3.0188063735702
-0.5425337274028514 -0.040902697774724286;3.1981116401710
-0.5327694820322283 0.037074797461354184;3.1761311941063
-0.3937383761491522 -0.036051836719011646;2.7067002718693
0.11646921133230592 0.09666086150328106;0.9547391345611
0.2978479205627864 -0.005725717561002527;2.1220191664366
0.17222443778033966 0.0440076843668441;1.1690970665226
-0.2802787519721479 -0.2639632703831781;2.9073551932011
-0.5193263830221484 -0.370304168998438;4.011342060902
-0.6479470439481518 -0.3246898834096173;4.0751947933293
-0.7564449101617197 -0.07435209168955231;3.1619577170774
-1.0036760748201197 -0.14154047667923722;3.130389481859
