Point;Valeur
0.9353074069227327 -1.1638943607500196;4.477612573948
1.5296291413034908 -0.5695726223552569;6.45189603425
0.9912820006542553 -0.5422326808675334;4.654950183459
0.5377669099970419 -0.5009509344295507;4.319566872005
0.16996353136784476 -0.2465269246021965;2.2610871766155
-0.3816712090663565 0.2826641284330238;3.392476295897
-0.011577139311191809 -0.032581168484354495;0.12934632175943
0.18583320763687705 0.3483445829177835;2.8936429113255
-0.24486415554139906 -0.04138804255106221;1.7608930924178
0.27779832273872174 0.1368759415327025;2.304917683937
-0.11884891185161067 -0.2594887719444256;2.1085109125520
0.16566340987286826 0.2202020226175948;2.069583554948
-0.20587130618176408 -0.19337440015812463;2.1365891974640
0.1868246708548414 0.17486958277704778;1.906158489338
-0.2042813886261165 -0.20030605043154165;2.1678736156838
0.15999089881416878 0.1619866254395585;1.6521072645703
-0.219719692127127 -0.2211637618521634;2.378097700255
0.12221612982661034 0.1214967763426597;1.143468172307
-0.25800408892278237 -0.25730712862789973;2.769746174873
0.05232345441867181 0.05311262498985225;0.3535972014620
-0.25942537495695045 -0.26222422621164954;2.8005518990020
0.08009574374602257 0.07736638083333064;0.619675648954
-0.30371411784014324 -0.2983375977586353;3.157181441561
-0.0036993760353253857 0.00372690577514595;0.01558681561490
0.18781320615681946 -0.19319500734577702;2.0253424548783
-0.2585170238287389 0.2577045482793887;2.7741941026317
0.10117876732517833 -0.09995298917826517;0.8755480861993
-0.3107587631658404 0.3085165131529109;3.225764909732
-0.022308841056500717 0.019537415935944658;0.10715646971054
0.2502858314213209 -0.22652363577306933;2.575363969110
-0.15749866337006557 0.17775222612446784;1.7403649836112
0.25933329357578877 -0.26401645077662045;2.808764199931
-0.07932711362214273 0.0693117002799436;0.5728054266894
0.30906962512541414 -0.28530458220290095;3.1260303338929
0.0060004728487564885 0.02342560318902487;0.08389651051254
-0.08754332438230347 -0.29549024820111136;2.241111626178
0.2068211306168614 0.1484369172400477;1.8854273023566
-0.28296866356325445 -0.2173583405685171;2.7034677951845
0.08438882559439842 0.11256316955507661;0.8611628331781
-0.28258196892076115 -0.31030602537609053;3.120001020631
0.026768247688990776 -0.02470585017669019;0.13805570719723
-0.26241029830830276 0.22668833501235885;2.640812569704
0.14228410195684704 -0.15221658507415187;1.4743829280529
-0.28452957324679284 0.2840044012758083;3.0159967945603
0.02993673340403008 -0.023318508407253635;0.1453053847763
-0.26819672861584853 0.21645147481195262;2.620987887963
0.1279992928804416 -0.1675086496356946;1.493569556877
-0.27030882474218165 0.28612744013721114;2.9626954998076
0.054249259242415526 -0.023072781530393938;0.2569448101940
-0.32443378966268865 0.16438870903191408;2.6897440198652
0.045494979410030056 -0.17494872615056242;1.1954960450139
-0.1606694856665044 0.3198280521921635;2.650225902282
0.18151172023538803 -0.014296336208729554;1.1996701946781
-0.3173336259585178 0.04658853721460539;2.2907000048748
0.05354377811083516 -0.10348320229434994;0.6583426589298
-0.1943579230094682 0.380953880706062;3.0694412760437
0.07534826639779713 0.07314414423284027;0.570352653696
-0.31353082587825803 -0.31067236077726307;3.244916498301
-0.015376511166402262 -0.009275268284932414;0.05935867876659
0.26242355559359265 0.17277337453858557;2.3731396585351
-0.17832298025266302 -0.24010485005721785;2.264198433229
0.19539245467816185 0.20259721096150643;2.1285824709643
-0.20177318916740644 -0.19980197119635498;2.149851735068
0.18324691890086198 0.18196295571582952;1.9273393879033
-0.20251156916924112 -0.2021583451347124;2.1682966740331
0.16251034782658053 0.1627270431154754;1.6731293689641
-0.21938502553420625 -0.2195351370360966;2.367024376799
0.12441529695355336 0.12434093112778485;1.175942020456
-0.2562086608132575 -0.25613888988828004;2.755208438913
0.055372069688930825 0.055449832473422944;0.37871307508773
-0.26297412478587273 -0.2632344203893208;2.822441243753
0.0725109616916178 0.07225166363119617;0.550161341013
-0.29867839213923686 -0.2980930901464289;3.135613128121
0.007887426959710064 0.008667728569645539;0.036800916480984
-0.19800948173280378 -0.21484957310246053;2.217912188397
0.23705592879903045 0.22726472889824798;2.5075987511734
-0.15479609916903894 -0.15343233527099018;1.562947844511
0.26436781878543636 0.262287252059071;2.824581251029
-0.0602352137688425 -0.061417238169869215;0.4310671139433
0.28191450622552605 0.28498325510229183;3.0088444635584
-0.04198005717993081 -0.03795303312405285;0.2435688972996
0.2870380773504498 0.26721431837100973;2.953030074095
-0.06896054765685822 -0.09039963554990454;0.6377447002639
0.3043118766253678 0.3430510234941807;3.332239429971
-0.0004904626656833666 0.06157088697764618;0.2720148640492
0.00400831638651086 -0.3507572711730461;2.4598987481683
-0.013116353990533864 0.03627793541786695;0.1482923401800
0.2359308898563506 -0.28562409569355407;2.8037974143029
-0.2576123072367318 0.0681239675050328;1.9191679827679
0.2535174799665658 -0.15795205827577694;2.2456471871280
-0.15065133129811492 0.22971412619835305;2.0530626192108
0.18656578089223236 -0.2169537174607287;2.165468001236
-0.1820079073721328 0.17406155706303414;1.870341762130
0.21126016144490745 -0.2057107231626952;2.2409939333128
-0.15075698961277928 0.15186352506803705;1.526453548257
0.2332821056042772 -0.23407908858130835;2.5237193029733
-0.09868584604656216 0.09804431628806179;0.8486996308748
0.272370873330602 -0.2715461999908604;2.9055551046877
-0.03175567089272585 0.03273507054161101;0.18362858928365
0.23643461497544682 -0.24266909773877443;2.5861881871427
-0.1412565285136579 0.13622286678759482;1.362713293527
0.28207412146705846 -0.27927884739152636;2.984390190426
-0.024797744015945034 0.0294869960696435;0.14811292638737
0.22185726508330095 -0.25611001590517174;2.5828859532213
-0.16408041251195027 0.1371960233057789;1.5237470721272
0.2787808754189254 -0.2679683906558016;2.918689656004
-0.035741550398268096 0.05553484896731836;0.2995184717964
0.22306123250184134 -0.30922302354436565;2.8611031091084
-0.12439488531138221 0.0394958126064035;0.768656382555
0.34782454372775257 -0.18263731297834535;2.878774731237
0.03833740965260274 0.15661834685742748;1.025798421486
-0.1400185780654532 -0.3416873703692006;2.6885327402835
0.1631766888639657 -0.011386586896363737;1.0412920734333
-0.3349876755102251 0.04151162661131238;2.39374662671
0.02355343322403336 -0.089931721364082;0.47819805069532
-0.11190177064226858 0.39656903743362976;2.8669611940638
0.11744370910702084 0.06814187516798381;0.8172327655323
-0.3524614032861825 -0.26820707983103736;3.232936390398
-0.07230064987730367 0.0446675116769199;0.42340371198477
0.3254299927105068 -0.27696738113123454;3.1595651701986
0.02511632711176598 0.07677243177151005;0.3938163988302
-0.16304658996491503 -0.3796838926938098;2.95232113035
0.16070855445678153 -0.049837400734636494;1.0890342439708
-0.3456277226518424 0.19558569067475068;2.919239225828
-0.037673844040592486 -0.1527196919357789;0.9920312486365
0.1423102167359211 0.3460123320777734;2.719129264199
-0.16342461896073052 0.01894087855759602;1.0501348844687
0.3359355456397234 -0.0694338752105556;2.4487005332779
-0.01771454961126001 0.1334228230085483;0.7991543735389
0.06902323183681547 -0.37209837501976967;2.6479903202914
-0.10690005284558662 -0.03756214336856828;0.6312564398793
0.37623008682638615 0.16864210291361104;2.956748515635
0.06440094978532973 -0.1283519541796031;0.8822020392841
-0.242407568609244 0.3483725271860507;3.1168654407308
0.07683084889382358 0.05972824906275759;0.5121295717125
-0.34424847176185724 -0.2726676852784833;3.2179599480309
-0.03781785335971727 0.03039679499830905;0.19894496391217
0.2990786826685712 -0.2601177041956934;2.9762056532275
-0.06543699214729087 0.11213960696822323;0.7674902668240
0.2874901869725009 -0.3570952516216801;3.322205065234
-0.03129932686415682 -0.08568944667117184;0.4662987578788
0.2178696331526229 0.3439431008876899;3.000410983114
-0.16673464024577786 0.035391314579029776;1.103911133199
0.34626293645032513 -0.13461962608529923;2.6935763952151
0.013493939637620467 0.17573620181173735;1.1497541996922
-0.04757580548446197 -0.33124619699651947;2.3797074998173
0.10387931273058723 0.032264746573428704;0.5957867016712
-0.3917799872759301 -0.13715488630175812;2.9198393693686
-0.07483689478032457 0.11738951291452956;0.847241689113
0.27362531711104193 -0.34408506201901834;3.220997093394
-0.0332095619307351 -0.0623101058319781;0.32786549954078
0.2361858445663168 0.3228770685010531;2.981156142302
-0.1351730522865522 -0.005277785842353777;0.8040066660276
0.3628308872381666 0.026182213377884324;2.538548639757
0.018730484908270006 -0.06538584863611621;0.31123288653637
-0.11463180409411039 0.4226767550010002;2.983570160971
0.12001685750594979 0.08675643332417055;0.9250162752468
-0.35395283218387896 -0.3214323338377272;3.431865056077
-0.09052481913903926 -0.02568187783696252;0.48643328245242
0.3532071888075574 0.17861434104873647;2.8886586185356
0.03333919399625751 -0.19759334694488367;1.3601236823950
-0.10971817494056554 0.319374110259065;2.460076049873
0.1872790831855816 -0.04461436463281365;1.296401521190
-0.3183184202240704 0.12820986674709406;2.517464760519
0.035713749920413373 -0.16452885960113667;1.0860775104545
-0.11786360130830625 0.32375156657931115;2.5127459660908
0.1619915102955437 -0.021943309868992733;1.041627584921
-0.331132383016659 0.07399859269947098;2.4303137166034
0.023118792548911415 -0.12998938044193356;0.7787498326195
-0.08958141958393719 0.3644716931885503;2.654199174107
0.1240003997515053 0.030310587890494123;0.7440932590780
-0.36348914535997273 -0.12967826066272448;2.764542406608
-0.03932211619826992 0.15007285825381766;0.974047141447
0.14712294363917286 -0.3457861861358457;2.735169330967
-0.15903100460503192 -0.020565892201797442;1.0149193161009
0.3373495508311761 0.07632964516847798;2.4725206282691
-0.01313763202999263 -0.1409118808115216;0.8558731475383
0.049972903902531424 0.3655338694980734;2.580558456755
-0.0870544559738892 0.02494755546038535;0.46118782530916
0.38776080235507215 -0.1298139648257592;2.8793777379603
0.05810997495507536 0.13568853408213066;0.9146380313138
-0.2312861994154733 -0.3523976193858978;3.0900666814621
0.09991344332511232 -0.06255817949547299;0.6702774815139
-0.3584760019429423 0.2557809696389555;3.209202265709
-0.06659594487694198 -0.04656942782801271;0.3980432837453
0.32533012588963284 0.28112756869141536;3.1757137267164
0.01763915176254771 -0.06148412762361938;0.2864686766926
-0.13872987064677925 0.3708027126863691;2.8293822681596
0.18422415484221452 0.014057524191339321;1.2226359437095
-0.33382032819876717 -0.05855513703998462;2.4141434796376
0.030488597767891645 0.14932031874267143;0.9490907845401
-0.10815959584016915 -0.3798743164880876;2.7797941003104
0.12817864228972997 -0.05652901731319038;0.8509591934617
-0.35466939373399625 0.215376666995456;3.0375423661691
-0.05724472761223515 -0.10064023238430936;0.653013107331
0.24340266609960082 0.3524241655383046;3.1374462001629
-0.06880757556188782 0.056709531837216;0.4530984538112
0.3362104859362117 -0.2827137260917833;3.225150036116
0.02478775508320291 0.027617947342696902;0.14130335702308
