Point;Valeur
1.4589177878968567 -2.538086421917635;9.119038498782
1.4478032560490666 -2.5466311221110516;9.116033779874
1.4355064528574193 -2.553803698944821;9.108267721465
1.4219489028850483 -2.559679099875214;9.095565633531
1.4070405851178227 -2.5643252792516367;9.07760039110
1.3906791018763343 -2.5678044252400567;9.053884030778
1.372748960921229 -2.5701741623264334;9.023756494925
1.3531212742195124 -2.5714886893518885;8.98637549179
1.3316544774312735 -2.5717997744211196;8.940716668475
1.3081971803571368 -2.571157463828769;8.885603548211
1.2825950451961123 -2.569610257019302;8.819804838808
1.2547046469146634 -2.5672043394395483;8.74226410710
1.22441826579709 -2.5639812567588396;8.652555141575
1.1917033623877533 -2.5599732354902867;8.55164843146
1.1566566498488426 -2.5551954429582246;8.442940186808
1.1195622310915931 -2.549635272963834;8.333125058821
1.0809273548515967 -2.5432406079303425;8.23198096514
1.0414608667393022 -2.5359113563722224;8.150123977644
1.0019789618866892 -2.5274991756268044;8.095100489334
0.9632686031929449 -2.5178170962620543;8.068112116327
0.9259694608459106 -2.5066554597091613;8.063738931673
0.8905176587842446 -2.4937978026962186;8.072594796925
0.857151929144061 -2.479031888353229;8.084735964754
0.8259561528435398 -2.4621544527778902;8.091908203751
0.7969115118963328 -2.4429706156215936;8.088210754486
0.7699425558681979 -2.4212897133462596;8.069727221964
0.7449518092227608 -2.3969193075273627;8.033784636
0.7218432754020173 -2.3696591510677707;7.9782424919357
0.7005371915254397 -2.339297596125552;7.900985633753
0.6809783150965659 -2.3056148585064236;7.799724345177
0.6631389467620344 -2.2684011795092958;7.67228870734
0.6470162616779829 -2.2275026820952206;7.5177937564656
0.6326216947479206 -2.1829089212184583;7.339142609332
0.619959353744207 -2.1348801437737808;7.146676600854
0.608993807749093 -2.084061958822406;6.960493173547
0.599617588100822 -2.031473398830768;6.806444110067
0.5916382029444841 -1.9782880019847344;6.704215120224
0.5847966748036887 -1.9255052366518728;6.65617364456
0.5788064975054023 -1.8737233695746762;6.647711295579
0.5733908598462514 -1.8231108285333089;6.657285011786
0.5683055482219481 -1.7735116327700549;6.666067817924
0.5633475706283221 -1.7245829429005743;6.661848262240
0.5583545745067653 -1.6759056287745624;6.638447942229
0.5531997498243584 -1.627051983502383;6.593555248488
0.5477851355939661 -1.5776157258132941;6.526657770612
0.5420347545845482 -1.5272150939334697;6.4375310125165
0.5358879852679688 -1.4754792154408374;6.325206600358
0.5292928331518577 -1.4220266348102593;6.187264107607
0.5221980683276617 -1.3664467455146863;6.019459540105
0.5145424765106891 -1.3083037650491454;5.816153072353
0.5062391388715433 -1.2472006565842677;5.572877920187
0.49715448612898533 -1.1829525777325194;5.293200668842
0.48708945178156426 -1.1158643584102372;4.999431245873
0.47578282396348404 -1.0469111843959615;4.735796702735
0.4629548525271163 -0.977488305772136;4.5464437857958
0.4483715223324343 -0.9087927023876408;4.44101921805
0.4318818767170027 -0.8413935897106583;4.389603931099
0.41341010700637065 -0.7752544431703279;4.349601864032
0.3929204391337614 -0.7099806512197959;4.289391574659
0.37037588390661197 -0.6450404012787523;4.192913179661
0.3456993010401313 -0.5798727040378345;4.053266974840
0.31873432927598694 -0.5138937314815823;3.8646416519444
0.28919813197676786 -0.4464320924306123;3.6153814803110
0.25661910889236733 -0.3766214550538845;3.281360686740
0.22027178453010393 -0.3033142874942763;2.81995626062
0.17919529840441506 -0.22524082535694667;2.1760671993942
0.1325539385530093 -0.14195434620621245;1.343955680613
0.08053092110617002 -0.05583109681392753;0.5169067089304
0.02592755758762459 0.025188015187989285;0.1367374316576
-0.0256112676141236 0.09730530782129139;0.5339510989742
-0.07215078258198092 0.16009064619411356;1.1602086550340
-0.113177781569928 0.21438639509687296;1.7604085343607
-0.14883188245932477 0.2613732207706778;2.2527409763366
-0.17948158518451046 0.3021457374964419;2.633078234803
-0.20553049335339835 0.33759712237484396;2.921800326905
-0.2273447184577287 0.36842458227743874;3.1409163430276
-0.24523353331322317 0.3951671154380857;3.3078222447821
-0.2594501902119757 0.41824371126845383;3.434989179324
-0.2701988084823652 0.437983565376307;3.531071234630
-0.2776419779990431 0.454647897818516;3.6020250239896
-0.28190739497258704 0.468445051320144;3.651941599124
-0.28309328114487775 0.4795406669127663;3.6836064743186
-0.2812728611968142 0.4880643330977717;3.6988633451888
-0.2764983637258399 0.4941136480753044;3.6988494421064
-0.2688051176891271 0.497756242792541;3.6841523078153
-0.2582164504546127 0.4990299960396308;3.6549236186115
-0.2447503058933263 0.4979414173785127;3.610977647201
-0.22842879402644972 0.49446197326785474;3.551898749161
-0.20929218021097287 0.4885220083631878;3.477180211836
-0.18741888866876075 0.48000193763950283;3.386408041343
-0.16295245971469566 0.46872068589372295;3.2794729801896
-0.13613440618076714 0.4544220860871339;3.1567235127590
-0.10733824278310287 0.4367611549970811;3.0188611594111
-0.07709583402183778 0.4152935133299333;2.8662920351400
-0.04610636306497694 0.38947201089472083;2.697741200696
-0.015224980221407156 0.3586549029573172;2.508345009741
0.014558531892592555 0.3221331941180716;2.2880834491839
0.04213105648682393 0.2792005639450596;2.0221930973592
0.06624456536523508 0.22933042461902653;1.6966746593172
0.08550163109248655 0.1725818315774486;1.3144905533826
0.09842148413319639 0.11031085496339493;0.924193536905
0.10378410471200365 0.04583556418206028;0.6333870538616
0.10148087971617537 -0.01614858683823804;0.5492237557817
0.09273857713437052 -0.07184216927096831;0.6666098969241
0.0791622504575141 -0.1192737297905532;0.8813894097042
0.06225438664073119 -0.15772383456741984;1.1042821708194
0.043340737977775975 -0.18711180821876444;1.2920602118557
0.023583280096238984 -0.20762148725221302;1.430371152790
0.004001802199790325 -0.2195042255630995;1.5165525598060
-0.014507197616936474 -0.22298539383919053;1.5501254643793
-0.031151067686892468 -0.21823155451635712;1.5289133140117
-0.04521781288310993 -0.20536355883231064;1.4484240333252
-0.0560512396733753 -0.1845235121570226;1.3035813052440
-0.06303337910881271 -0.1560224331301883;1.0933597037174
-0.06558812153717739 -0.12059753817930993;0.8292833426172
-0.06321136146000357 -0.0797605933351947;0.5454659347838
-0.05551034204815176 -0.03617205027726575;0.3008370088246
-0.04269820488515973 0.005855123292030709;0.17061829656971
-0.027062764352130883 0.04230253712849136;0.20803831102236
-0.010721435792521841 0.07150244078097615;0.33797007994402
0.0048992052109157955 0.0927956444858917;0.4772291221047
0.01877839005388559 0.10601263152733242;0.5862305123542
0.030165202576563938 0.11126644377264229;0.6458183423314
0.0385048506083304 0.1088638821958708;0.6482487998219
0.043395927285270405 0.09930153888419165;0.5938420480903
0.04457061163073073 0.08332639605599498;0.490638644890
0.041886443643845465 0.06203546326294725;0.35534563914496
0.03529313029644468 0.03700009746431809;0.21305937359930
0.024713081264449346 0.010657789435825873;0.09530694848123
0.011627189983669108 -0.012329173930186735;0.05556645658792
-0.0010550081839814825 -0.030234614338603888;0.10975661462939
-0.012032267995257247 -0.0426334267215379;0.17675816169814
-0.020550057491214642 -0.049424924037064555;0.2260896852676
-0.026142466854761695 -0.050763311619701976;0.2463229454935
-0.028551393393713022 -0.047035830923735075;0.23457290237141
-0.027686544051425788 -0.03886068702111213;0.19465524690088
-0.02358676009942752 -0.027105871618299623;0.13571492369755
-0.016323882019138477 -0.012995943405660727;0.07057548517160
-0.0058960149163821245 0.0005240630456328273;0.017674922122193
0.0032437403642330345 0.010353589571895859;0.033819746151323
0.01008274059873977 0.01652176726305279;0.06469510948044
0.014212148085622222 0.019110270460149445;0.08240658756965
0.015471030475602894 0.01834269828292852;0.0831450694767
