Point;Valeur
1.635609999949212 -1.9392306007973001;7.603315819328
1.901182113008389 -1.673661685379441;7.547348952576
2.0653830854006974 -2.046616075746107;6.9086729228421
1.6814959886784013 -1.5858721243015186;7.766268121097
1.684482007334492 -1.4942103426188504;7.675884663265
1.6718253379209636 -1.2668773516227945;7.10296460879
1.7184282536444864 -0.8001337044118311;6.363282386943
1.864569749563004 -1.1208566034763359;6.016813931291
2.157103963470854 -0.5097595245725604;7.300346151519
1.7844636581160336 -0.4657669033427389;6.626685987711
1.7831735964089777 -0.3289928757233652;6.3681400530
1.8393971599471255 0.03333989613742422;5.171489847381
2.1665541616478046 -0.1584872649258621;6.322677822114
1.6483195424926493 0.38999214485036016;6.47363550820
1.5653267256558188 0.19076677451106577;5.957799815341
1.4453988893791825 -0.12878400281912794;5.547142335072
1.1586940122759886 0.15618801386607595;4.034208658072
0.6204865313988862 -0.4200053887170203;4.280512004732
0.5199232139795944 -0.15141821026669122;3.3787739426377
0.32816566952091475 0.20286948118519144;2.866257465140
-0.07001578742813086 -0.3034306016155718;2.2466340275856
0.1371163438280986 0.442403929505513;3.1186860509435
-0.10847743447767635 0.01720315553486973;0.6026556844870
0.4722870776843865 -0.1403271786215205;3.2245279508712
0.2213610227071745 0.20245787217999883;2.2820389912921
-0.25225068697288805 -0.45359339274510685;3.5185960937491
0.015533661436515467 -0.10518997489267418;0.5759660172075
-0.08258332596838937 0.7277554541910349;3.246379384034
0.12985498265323347 0.9637264031626624;2.9954238125711
-0.31962049768882067 0.8640449358373515;4.037749494380
0.014904174266667791 0.9046527430773822;2.6342649638547
-0.050419784986169364 1.1367474531476858;3.4618638229
0.14116843912792296 0.28282307834919906;2.3546623222931
-0.20604800069545035 -0.4257069462695293;3.2789146916405
0.07352427120734764 -0.02295296148142273;0.36882759772052
-0.42683319766616257 0.21367871750443568;3.3084579813781
-0.14874481820202407 -0.18380607409966387;1.7287994001043
0.3238757543940403 0.5898894915759578;4.00987496821
