Point;Valeur
1.9886071433540273 4.164095107105428;10.175397618048
1.9629952531895931 3.295628147969321;9.680036275880
1.968791541529349 2.057982411443943;6.743605832734
2.007242750746565 0.7567431523725014;6.268633635955
1.7634868173740101 0.49300025604985886;6.648101212038
1.5954522179203654 0.24479846651413664;6.127382848676
1.3639086488680394 -0.21064811106235345;5.450357199341
0.7023489639448203 -0.15125676461752266;3.496565887088
0.404204704573881 0.31153605612595003;3.5624116648751
-0.15657272029863545 0.21199683557326054;1.9653061176567
0.1619043199917622 -0.6709030448526998;3.5533581637187
-0.045351947166356904 -1.2671430281749216;4.470193548993
-0.0005982323717548532 -0.7703394262496656;3.025443174693
0.0300920109158105 -0.8163167394951893;2.8996691980056
-0.10629598492110616 -1.2391936618375736;4.412236294444
0.1961499939045106 -0.6309741517565739;3.6622916610673
-0.010701179119544518 -0.1842945217940528;1.2209683428250
-0.0698261503970238 1.1388892654982516;3.530159070977
0.2637859620752462 1.0413008056956004;3.984323091063
-0.19195405145456557 0.5396809820071737;3.538286159301
-0.10837096726845169 -0.005940061273319808;0.5922877068441
0.8697827549554022 -0.29622458356966924;3.935706489204
1.539349057905469 0.06686583954310604;5.6620808076743
1.7745634709657394 0.13112982628573283;5.651169405596
2.2294124599569147 -0.2748759650194273;7.1747268720512
1.891252790021498 -0.12586214913485905;5.326320152792
1.9219137706029148 0.5560227799513907;6.674994801553
1.8668725667368233 1.0412283553494983;5.6692207896030
2.2542939317521 0.9993813047578797;6.979972620549
1.652286223051215 0.8766073737110176;6.295271900
1.3754419887438303 0.962627219060091;5.804318199035
0.670157530881274 0.9622895751946305;4.4962410073274
0.48918710069685534 0.8370456744037102;4.493224839641
0.2031451706976095 0.7563199700033041;3.635735289325
-0.4894505808777896 0.8589349444611653;4.494844599222
-0.755307655800254 0.9100963379853324;4.2475071911998
-1.3302064942589729 1.0357593473887932;5.681991865600
-1.0479497238964681 0.8384166218921313;4.077328926409
-0.4091194872386269 1.219253477388761;5.321443049390
0.23402180417741547 0.9142248526922877;3.602180432016
-0.052072515551040754 0.7473482401437346;3.1365938224980
-0.014519723317723221 0.9430377673258196;2.587621149260
0.10518505698930654 1.1167625300988209;3.5007517979359
-0.3534327427507744 0.3806473559930197;3.622269753945
-0.26730658618640557 -0.4511701977109527;3.5598078627291
0.17426496416276593 -0.6305931746927151;3.5915314701616
0.06355620908919468 -0.6908369649158216;3.265462191342
-0.23187841223227973 -0.8891300996768968;3.6022554159167
0.2502628036744936 -1.1027095502283604;4.18414511007
-0.08246759788212549 -0.6069451893567647;3.3338356610379
-0.05108850505210749 -0.230525444952213;1.666815545475
0.24718658295887758 0.981993555306051;3.7287399619132
-0.27349795168646623 1.5262350095566553;6.088999726362
-0.3370067583259923 1.631537375440038;6.366883645925
-0.1418232609677806 1.585763272274094;5.858962992098
0.2711939433980315 1.4580144182408294;5.924757717805
0.26048143753808706 1.0449540198673954;3.979630162598
-0.41599854450125984 0.3303664550081893;3.6560071979853
-0.49239336421327007 -0.4891286789166117;4.2195543207399
-0.311740366034747 -0.7744649945677586;4.052004783528
0.23348302627823425 -1.0078738708795516;3.7051690597446
-0.15229988141424805 -0.8315939714692449;3.2675911081236
0.19414896555764932 -0.9888633525634304;3.419288561506
-0.3494002778759901 -0.8467931358542793;4.155101207997
-0.26672197988272056 -0.7896932962357889;3.8686309033665
0.2926821424753439 -0.8619118544202374;3.9237821021334
0.09980973044969899 -0.9739434751871906;2.849166608576
-0.6045254965653525 -0.8991801637953208;4.552614868616
-1.1179194150946623 -0.8350213640927131;4.4344713025
-0.7314269928539816 -1.2405492217573815;5.431690743395
-0.7152501347721805 -0.8812668747981827;4.388644544886
-1.0045074599329034 -0.7641706490759967;4.2643566682745
-0.9382188084464427 -1.1735600954374255;4.5454985720765
-1.0128453992058293 -0.5328779104261814;4.697908252083
-0.7689799604986408 -0.07244375508671286;3.124904433708
-0.9403433629303978 0.5262002952572458;4.572780225089
-0.9261245132230435 0.8192452627801015;3.9962430100166
-1.0316415993714017 1.4826284794364077;6.233614625369
-0.8702921954377978 1.6391546414018205;6.312687574974
-0.9295683375459376 1.8039179255222697;5.852709603575
-1.1529066147897988 2.348008758639101;7.9049509484979
-0.8749581417498107 2.164251298230913;6.501346122625
-1.106184283735828 1.2132099764393998;5.201446735364
-0.6735391519026848 -0.2067381561672088;3.707288606874
-0.4112376112622261 -0.673105119492368;4.310721005060
0.019918070334234317 -0.8790545997908878;2.697150439789
0.17102428579510276 -1.3271095505196269;5.161234535901
-0.10924630106254107 -0.9846744921700548;2.9113615693854
0.33559102890091075 -0.5606803103994429;3.997015244425
0.29366084720222585 -0.09338872155909361;2.2468115709611
-0.536021303475155 0.5815380876244859;4.4373851520431
-0.8829038464158788 0.8538746611937955;3.9446376706337
-1.3975887717325497 1.4211038360241275;7.199196845108
-1.4394625327215613 1.5136271308172153;7.451673432207
-1.234429809370962 1.3982931665662142;6.652527369621
-0.6618851631435545 0.9664347145669872;4.517910643065
-0.5451127534816931 0.5539938643935403;4.413920496497
-0.2961875672166726 0.12349624148493588;2.367263900843
0.6196451584568026 -0.6067387342706816;4.557638603256
1.1004378783545201 -0.9641966281725933;4.01865586542
0.640366102052923 -1.212842878023798;5.427520011322
0.46008262917217313 -0.8132426540344724;4.446283479603
0.1267662335866409 -0.5629495304235947;3.39136005401
-0.39785392744438036 -0.22720256914479908;3.2535117659071
-0.281817052638028 0.4173306199528498;3.506426668134
0.19140080228687756 0.4448808328928068;3.294249244175
0.09421272401056036 0.0689882274111846;0.6620775424454
-0.7508047588606813 -0.7520492996611651;4.500029091111
-1.4592089750557413 -1.444996209601885;7.374197235727
-1.683939223278578 -1.649204092412472;7.779617975737
-1.861842027547901 -1.7924292814233083;7.265221496941
-2.262251616553508 -2.2991181212962215;9.217237892118
-2.0447692030944986 -2.1599990789767824;7.47235412624
-1.5275898397972023 -1.2241030375576585;6.892081923088
-1.0418523611110273 -0.22117958310651908;3.741526686037
-0.26949618074275694 1.1399087362032565;4.47732364205
0.7759611856865656 1.3294372641761178;5.777099528622
1.6165368076177633 0.9217234363193983;6.274646501758
2.1894823067088174 0.7276995885403965;7.163709511430
1.9140141696188675 0.9532933897567941;5.459504398204
2.0007520909843555 1.255945759763678;6.780116153361
1.8429288578140257 0.6952731264185992;6.467811150681
1.8551861208098253 0.652138869687047;6.555213741103
1.9245700076326149 0.8573770486866601;5.739374817467
2.107020315254998 1.5203567912277134;7.967798834715
1.812946054200012 1.8416792486758244;7.248930278624
2.023079921250793 2.384829200001926;8.739241060119
1.9492303866288156 2.2713723647657846;8.116922908437
1.9361726713103307 1.4575429512647111;7.543432852425
1.8785374138835749 0.699606844560635;6.426969267503
1.9240789122964037 0.5796485483474536;6.660229532653
1.8809090502506176 0.6143108364825847;6.610013051834
1.8639057604314022 0.8049356150601213;6.065747446622
2.0909690747128287 1.4151985123474158;7.733919122471
1.8285110517693957 1.4711117841799866;7.5920868825741
1.7320843342777823 1.2975455750977956;7.175467857683
1.778913383872236 0.7371993732342865;6.434676366618
1.9619825664139368 0.685885315853788;6.475605474917
1.9553690079914536 1.0399749380720842;5.47213950943
2.0065498508030606 0.8939571156583801;5.617422138867
1.7689176696989986 1.277386922423073;7.054337558727
1.7846963662618816 1.0024537305035524;5.908385994490
2.256816517472842 0.6919275664476534;7.5758391543385
2.0039948585950613 0.7174304732939134;6.42785300303
1.5900378075021955 1.2063756403803785;6.886052435365
1.2766766219802346 1.0796783539617223;5.503393703819
0.3326075249061493 0.5615241239053951;3.990506102163
-0.5849644919017748 0.03590389057681764;3.2505360858358
-1.0514127632889663 -0.40506908949980547;4.601906346507
-0.9411008920801123 -0.347829199418036;4.169380215380
-0.7565862051576436 0.16614403638519465;3.4807538958733
-0.8410899063516618 -0.011837476713989825;2.802908184667
-1.2834132748922866 -0.058277784295116195;4.603935853406
-0.7353488675964637 0.12261746855022233;3.3522230889925
-0.6060423153191036 -0.17974763416387085;3.5929183760301
-0.4200524491714229 0.00937932691406429;2.8092564386066
0.2182654257104465 0.0969237445828154;1.7186036567053
-0.31017012813799794 -0.348396273369706;3.3727731574011
-0.2060489762564291 -0.19281496610751797;2.134386554317
