Point;Valeur
2.158967171566837 -2.8736978889897715;8.826794019448
1.2476968084167552 -3.3085909015341475;9.747135947064
0.08449098477938688 -3.008054594778187;7.1144643106674
-1.3913729940969475 -2.4453329487602606;8.859802557412
-2.2038108356159833 -1.7126706583582716;8.213607204862
-2.100421707618477 -1.4745091866025652;7.8915464773
-1.5216956765816967 -1.0578039993468615;6.3570064538941
-0.8879752650086905 -0.3978293442083263;4.3085463080543
-0.38408567307184627 0.5209314685114732;4.048170491219
0.3524270941735306 0.9054735635289217;4.164899041957
0.3282318259809597 1.1379466051376514;4.710975444772
-0.25046850266493714 0.5608384343756048;3.754366143023
-0.21404873302331423 -0.11104382375656652;1.7480900910547
0.9466312222394062 0.09120572589454395;2.794443053499
1.807703148765163 -0.42946780574390825;6.579752819904
2.4574888210843575 -0.5791902966988394;8.325853831109
2.5910902916485234 -0.7107316866144715;8.459323088185
2.5558713600165195 -0.9988939195018396;8.120156300775
2.42770394390673 -1.107690036798073;8.062871469029
1.867539761080119 -0.7829854192995142;6.146880256908
1.7068605810812116 -1.1457616301322309;6.577784761755
1.8682341707952912 -0.7829082359651915;6.146045421210
2.2357330639107666 -1.1188153407683696;7.165104636296
1.5163747345030367 -0.7400576743275402;6.374619308624
0.7126581291568537 -0.5945742767836183;4.5901151605813
0.10648011967933735 -0.4033426625014819;2.882274127701
-0.7333349336716861 0.3974418675973902;4.307308675513
-1.3159506191778005 0.6202150955356306;5.869173500028
-1.177848303120454 0.8206417712246773;4.850028225485
-0.12493721139556668 1.4331428738977499;5.4977170478022
0.983271564586 1.3569958547824148;5.734080089855
1.6576310251404265 0.5757106886515189;6.62618019352
2.03028278203802 -0.0011547731859273824;5.016101304409
1.736771607117745 -0.4154572740258854;6.558503531975
1.4931924775435117 -0.4906809841809956;6.33607541971
0.9794705418915602 -0.4279350156736918;4.476787855378
0.3275219452132102 -0.014485521615023478;2.322387630470
-1.1115709059153542 0.36347261383613566;4.7104356831897
-1.4952975042356378 0.14547760438494545;5.723283098371
-1.4187474563491613 -0.36003598881950155;5.9879144319629
-0.9134383272075126 -0.47181685735137524;4.486965683313
-0.44393389383839066 -0.3039290178001703;3.653869098238
0.3173267816396812 0.2835735697986905;3.1529908823675
0.2541216070757749 0.1018170532764634;2.003499541891
-0.8812910086983984 -0.6066561552214085;4.550941670254
-1.7265457835954878 -1.206480486908382;6.806895690877
-2.587915846080454 -0.9740261042345831;8.12129955619
-3.215981790302326 -0.784135632600739;8.958131709863
-2.8371543586854315 -1.1586549027375104;8.050319914786
-2.9955687348852265 -0.6446822001090019;8.53908778997
-2.8553077742431783 -0.6658730945560971;8.450068998039
-2.8740621137484146 -1.0529736115813964;7.465783790828
-3.4010777894234234 -0.8852136119177667;9.581855620127
-3.2643936201750186 -1.0022848451416841;8.802918898165
-2.1596144109939757 -0.9996815551036043;6.276213434968
-0.2000812432463679 -0.8710047846111136;3.4460054799315
2.0721701033477733 -0.9775018159653406;5.682064790974
2.919468161569212 -1.0964540435440924;7.515176287413
3.8231323046453536 -0.4504735446248731;10.33912477000
4.570721106236578 0.16655299468611018;11.426378341943
5.062371489316102 0.2727187091657725;11.475247124208
4.943191195778805 -0.3602333201557795;11.63485926525
4.836505276360738 -0.3819495376721247;11.75193750117
4.908678344800697 -0.09134212307628864;10.413987545374
5.34755859303899 0.7269403166401994;12.697187007953
5.198042401661468 1.6307432545480616;12.627018771068
4.520010243548836 2.5269618602099273;12.73063327279
3.86403959237489 3.1138312877192207;10.77893113399
3.9466528327177266 2.77538287318737;10.873546892220
4.102126269139196 3.2214162735222973;11.52127749189
3.5870808364840094 2.653890481644801;11.586279050624
3.147175690010266 2.2944952295150127;10.011496865066
2.1743064129466556 1.3436499693941804;7.832670145283
0.8001698033450331 0.10932992863156721;3.158141168879
0.19244141787446267 -1.3700041631372453;5.424704125214
-0.6819276925634281 -1.8097431506990802;6.527876404165
-1.632854785822057 -2.2603297595115928;8.543780002042
-2.4060422692628403 -2.025558942966646;8.817777673004
-2.474507082826578 -1.5930187102971374;9.124962356608
-2.25528638727333 -1.2279146921220643;7.754752931897
-1.327673062597865 -0.3176047268926482;5.585901877914
-0.02969261643813015 0.713640440082499;3.1803347980732
1.0684036951906442 1.7616647584486045;6.139386474897
1.381803158327969 3.0352573137260954;9.111838427154
1.1363332892268494 3.6070531218707984;10.06449848943
0.5412916897204845 4.065933687890813;10.546481760629
0.19244019048270516 3.97612048127175;9.371169635387
-0.9505533444828096 3.8048845472848787;9.326423755643
-2.0084842880783564 4.297149663272777;11.068637967401
-2.6557471401297454 3.808105222095393;11.441498858770
-3.3617693383982545 3.66992999879009;12.255785067977
-3.5284111533003784 3.649870831626062;12.507535155090
-3.5433937289678776 3.660357667505019;12.514733591672
-3.4695593517986683 3.7088966925869045;12.427423607088
-3.222918435877679 3.8403323074840277;11.451750233538
-2.234578927015836 4.348612329711964;11.916026235764
-1.0369260782268965 4.224420894147478;10.1448746439
0.09112518715966744 3.0755769249246767;7.39998513878
0.2953971192702932 1.4343829787937168;5.910194534809
0.12267936166766558 -0.21820880933653175;1.833212755533
-0.7344996477167438 -0.32817106489725;4.1165943613173
-1.3709009341782123 0.0651630788907559;5.125529163681
-1.0950202867863899 0.12347928146981418;3.4436991839737
0.05411906568323466 -0.5986795036517965;3.2816845263231
0.69172483063207 -1.0311098260579934;4.573694933528
1.5682762584379781 -0.9219851153428112;6.2686633584329
2.1210980334718705 -0.8954000943655074;6.142495367265
1.5367517549911809 -1.3785352066593866;7.354029069135
0.9154581670305695 -1.3768837882462952;5.812239213175
0.5313102396742931 -0.7322635759665852;4.54096758408
0.08110984420636175 -0.22774670238955075;1.7316360285796
-0.7761376223430008 1.3200100231507377;5.735460354194
-1.643339841809329 1.7778903423266192;7.717015390561
-2.371987811287184 2.2661074828398386;9.47001337926
-2.4794860742648153 2.1177963452295243;9.226075862183
-2.2977050654547617 1.5484743856030998;8.666674794889
-1.6783471683151145 1.0448634454460746;6.296017545870
-1.5070987973077483 0.3300420039898626;6.161899601706
-1.0534074332839423 -0.46840987881537954;4.74501871025
-0.23171624487517473 -0.8131479070252535;3.6876102335844
1.0863736076727122 -1.2653952803865007;5.458322219496
1.4711375138221352 -0.6433860929347888;6.332767021370
1.4006650493103483 -0.21736464838167419;5.61319755272
0.794726989265829 0.4948216964084155;4.5014724398094
0.35002731551186167 0.8074980778492507;4.1695117179976
-0.47144917003429704 1.0860677411245385;4.86309361700
-0.8492152345524069 0.7253794325644988;4.400676554943
-1.3283036598878701 0.8076747865144318;5.722757397123
-0.9872871494054547 1.1100740436999172;4.088754025986
-0.5977761912203896 0.3333034302089267;4.045742408799
-0.11316750327601688 -0.6414698179385572;3.4125698140513
0.6432079440922258 -1.3658057079425525;6.037775318340
1.2470900267733729 -1.3951769525592295;6.6890761415204
1.1453140867835276 -0.9714360485763351;4.324963803209
-0.035111860289890995 -0.6250774040089464;3.2689621926678
-0.7599451832256497 -0.36425914103075974;4.222796618621
-1.301696255025424 0.2598468750464189;5.3147812563805
-0.9747866985270446 0.253685185137253;3.754048027894
-0.4959411435235911 -0.6189459363074509;4.419963908862
0.10132779168024864 -1.095729324920995;3.3430327739969
-0.1361875696120886 -0.468198917391647;3.200688130044
0.10857389773379006 0.4590424066731087;3.099969568641
-0.0786115751723758 0.6372629648572778;3.332564314871
0.0862648018513063 0.7854361990561243;3.1189917158005
-0.2576960861542814 1.310842583593973;5.3513568843025
-0.05450467461164832 0.98755178247337;2.6924581406323
0.5382223749805423 0.4746381271090756;4.2728268652240
0.7243293417483001 -0.1875456677468369;3.609140137871
1.0134435045189722 -0.08290709181362677;2.8577619115251
0.7512538923910362 0.6282653606550326;4.594856086574
0.6108802816397562 1.1548868381685797;5.189427224311
0.6176649321493245 0.8681681593724219;4.546749746294
0.7203296080580845 0.6973551706261536;4.58729370513
0.891433687853043 0.6626333931651545;4.489934625697
1.0640031894750785 0.8810434290004612;3.981499771047
0.48982379130406495 1.5583730222145207;6.463062471668
-0.04566386543296275 1.7949038433432958;5.346566610244
-0.17925571652716354 2.487378469672438;7.909051577764
0.06957225101783518 2.6654754184694296;7.780008696750
-0.0028253580619997942 3.004654785388631;6.92438676141
-0.03304782602892506 2.933748744307315;6.933599561554
0.20160424661160883 3.0953175726441016;8.065048787511
-0.44499810095487513 2.4635433133404314;8.297387504504
-0.8036644244574873 1.6608747709736957;6.406998226945
-1.3306902864661476 1.1398324370521853;6.028447983904
-1.01103838703121 0.14143953990475233;3.1500704815282
-0.3329427198704309 -1.4808286438891647;6.107200563183
0.4378197015994195 -2.3053641237032028;7.835336088964
0.8492830583557393 -2.3682759030226883;7.751342405195
1.4200049519307076 -1.7942440916626985;7.507318462140
1.4752480833963393 -1.46894583098078;7.445377696686
1.2609257250418024 -0.9692046498530887;5.168229397920
0.07827402179901433 -0.5382386436223625;3.242892493362
-1.0631841852466153 0.06391885866615943;3.0023104414715
-1.067180526627247 0.013707019608497628;2.923452819789
-0.1916089342716707 -0.13510946675856372;1.7056670258382
1.5344804881250393 0.5929899409183567;6.465248509327
2.5248575569429095 1.111156897542056;8.28377974061
3.05175162061034 1.0988654841824195;7.664452118974
2.81373432553436 0.32623967212333227;8.354675949435
2.777508297751644 -0.6834797786421813;8.482677183991
2.891055486382784 -1.7446243998726432;8.863627351672
3.1835514016970388 -3.0775917850860894;10.1209189005
2.400138005637679 -3.469557432276851;11.296675194335
1.5756811608138355 -3.52512708556363;10.742489244706
0.954484931373398 -3.367628646017072;9.373439200523
0.5824119293863793 -2.5917193572984614;8.555798036313
0.34532631366382827 -1.8446120302761766;6.382145525152
-0.2835014585185175 -1.3671515078140057;5.658055762135
-0.3721615569968495 -0.4424313700142809;3.845742399896
-0.029509421316563922 0.6148485405345913;3.262644662959
0.33971514679736886 1.3516519517942238;5.727840968710
0.2949666414016007 1.3315910725080093;5.545972335744
-0.12715617576514093 0.6867531216442077;3.431383356637
0.03409582234576819 0.345029141281296;2.4447320883852
-0.013176541973486541 -0.8001076251492947;2.936741364930
0.03412411160453427 -2.1298373742631105;5.624259279954
-0.17018815573123222 -1.987985940611202;5.541698631348
0.5853445342697418 -1.6362100014809196;6.607244361138
1.141075676027801 -1.230184239968076;5.483439593428
0.777233652624373 0.009388544648832875;3.0065815968138
0.9697403163481673 0.8637199029863234;3.806413537619
1.048061110392416 2.071351051396217;5.785934187446
0.6055439430988097 2.1566113093021366;7.259124646855
0.45788542696991924 1.563099202173691;6.443947964421
0.2047690925947196 0.8712434710007615;3.4713618299666
-0.8134529663434515 0.5561887820416919;4.560446721797
-1.5863791282454618 0.23924096900226005;6.1039280460820
-1.980810766832143 -0.36611588665514233;6.498951662455
