Point;Valeur
2.264750870309679 3.6817134653561787;11.089860369154
1.316948356603368 4.629515954825351;12.014544115285
0.7731399299792567 4.565178546446757;11.647808616322
1.2467325947423724 3.9732159349615004;9.965645824359
0.43322332669988706 3.4169945959736543;10.019633546768
0.3162489161855219 2.54013369639593;8.289262754505
0.03608047545905768 2.0110550401598184;4.989257307411
-0.2954445407057208 1.31776905259379;5.4888676314906
0.14669431036939556 0.5711232457431971;3.456596308630
-0.30794066631590256 0.32170742454796664;3.2658675990917
0.24570836549347708 -0.28040423733817077;2.8237025878555
-0.34108476496631135 0.3504524738680943;3.4868450208198
0.07567864259165619 -0.07570094831819246;0.5859909847903
-0.5139847558967388 0.5228085584905979;4.317578872404
-0.31780333262256033 0.32753180362079987;3.3247258481954
0.10591590845167692 -0.10165525919268448;0.9153711263879
-0.5045974851535193 0.49987921911385846;4.261696837265
-0.3173775559598495 0.3068105361578993;3.244881122443
0.08773083597276121 -0.10455093117679654;0.8258368170257
-0.4419740075054882 0.4898846851924636;4.119486745481
-0.22065353170605292 0.2931715009661615;2.77106344805
0.23470854269884858 -0.18313628159057566;2.256366900511
-0.31601467869394173 0.2978078855032458;3.204433174569
0.045468079357071534 -0.06308513340990168;0.3745638710768
-0.3178346184241562 0.4083057589995555;3.5948023257153
-0.012396145283600446 0.13157496957281195;0.7788704695120
0.07530644911291666 -0.4919593309068984;3.1304129067925
-0.12677443327704457 -0.26465180407147193;2.1765338512624
0.33930769689812623 0.24731921865450068;3.098437671394
-0.11236354341062821 -0.07089955582225643;0.7933792621626
0.5130621479534583 0.3000504326225214;3.810175585249
0.3106024254314895 0.05303499283296775;2.257955970905
-0.24913070270580984 -0.11769237969634658;2.031779021546
0.2935186689104051 0.27902491178000144;3.033594481537
-0.05206403410332189 -0.12405228167746934;0.8038664663143
0.23114624573180237 0.48147279657116;3.527624046699
-0.04691549372038917 0.25976028050065414;1.8862690083428
0.1357846008408657 -0.3106626139211909;2.501100630067
-0.2344113006964751 0.12048752416999992;1.9396992042128
0.36144199635019747 -0.2220887625918797;3.0922688683999
0.005882669639330929 0.08301279983389093;0.40972055875491
