Point;Valeur
2.3734522951091837 2.674381712900157;10.09581263336
2.0734371676067735 2.9743952671746845;8.178284415046
1.698272583020017 2.833517619864557;9.08786733858
1.9337989958698019 3.26785010625303;9.534370510520
2.04632897302226 2.666208333850441;9.028741992727
1.8231270688876773 2.9314270057665595;8.477624528262
2.218686973125609 3.0812659233096307;9.322255606624
1.7366088025695465 2.614398667166594;9.22911539286
1.8332104165757148 2.594564136904961;9.108279597246
1.9487592812532573 2.5970303793669163;9.015722452755
1.9475333932414565 2.661983989171169;8.939624636745
1.966526234795401 2.90282343628959;8.081022235060
2.0254770637256967 3.2731683352499457;9.59037434725
1.8778703909584291 2.626660409073742;9.039965852746
1.9838105487389532 2.726091724943471;8.777087488911
1.9335281066461054 3.1145617639153174;8.509136447569
2.11712394253545 2.4584252128026574;9.18411684742
1.8493357531111196 2.2152017522425083;7.927193519677
2.080078342770488 1.5729837919900718;7.897387516099
1.8114516550455488 1.5960065786732727;7.703417029671
1.8859306707569294 1.6073249888014203;7.644131283702
1.9332067887045157 1.6822655594818108;7.514180963584
1.9475999488231504 1.9558000172483945;6.585721599301
2.0638337643241247 2.0577809896857926;6.945180354222
1.690243372318309 1.5958683332756256;7.7704063152096
1.702118927734474 1.5476017207944415;7.7378912458655
1.7105455613408935 1.4457377314494948;7.595671467910
1.720320550696905 1.2259977709444956;6.900810893104
1.8391869812051342 0.7517222078797199;6.306034585847
1.9745958079131456 1.1256555191875335;5.886477627889
1.9186447957655572 0.46265441063522206;6.63818888651
1.86283981973231 0.32623002875376095;6.312007609735
1.9070209113310217 -0.058531168044714754;5.028253302053
2.0876164431320263 0.2567320033495531;6.364920240847
1.706129602078751 -0.2862541613273449;6.279217999680
1.72162211220528 0.023499390860357794;5.540020548294
1.9342614401133522 -0.05908599989561783;4.98760736016
2.0255376099966487 0.27050764421194406;6.201774104536
1.7754228005796664 -0.2832420123108801;6.232302320039
1.8522273103611868 0.09045244009099246;5.2756758858
2.1127257286668506 -0.30890001818601187;6.710890745409
1.7292167142006423 0.12166751695704525;5.722419587852
1.9029573949408534 -0.2229224952979718;5.825557610987
1.9743606317751976 0.35846995623886946;6.464199382697
1.842650631126808 -0.009196063559290923;5.137818583267
2.1440545223981062 0.036279815361102474;5.7337703696621
1.555534457292816 -0.14532536271151075;5.834494040076
1.4398320025539435 0.11529866700604163;5.499821582933
1.1565050188699624 -0.11941958036887218;3.8487484246395
0.5799079991190528 0.3576053394588431;4.0835628750392
0.45520899134170617 0.07682258004609582;3.019065051122
0.16740589064906475 -0.13097149377145234;1.5100880142137
-0.3905514682647103 0.5019195858908301;4.026379428547
-0.18930254766734958 0.27486786090602244;2.5259613636739
0.20090729443728264 -0.34217449218761264;2.9244105853156
-0.1287846160216988 0.16701738437160552;1.4946130476005
0.33833443990747136 -0.5918158060530886;4.0510748185185
0.12029707830959802 -0.4394275686433663;3.0617714691677
-0.09989128430073682 -0.04012201750745664;0.5879845579083
0.46042690445700785 0.2861712506022243;3.6440015738235
0.24118076362722 -0.053859166086724586;1.7575492738342
-0.37299068048529227 0.20341667408812353;3.0697477360263
-0.03294611691556759 -0.20796860069503986;1.4464284240807
0.10148993293678016 0.6697187705864591;3.371641058496
-0.1109431613799022 0.7461320456075553;3.2925119058094
0.15932097215833582 0.9719047703283177;3.176206603182
