Point;Valeur
2.3734522951091837 2.674381712900157;10.09581263336
2.1234522951091694 2.9243817129001712;8.492461196738
1.802597163460262 3.2085565285287245;9.495661536556
1.640351594682083 3.057291749309202;9.312001862990
1.559738914651096 2.819203082433748;9.26227316312
1.4840155920617213 2.618700613839877;9.230530954765
1.3777831096969437 2.4022196800323306;8.735457904904
1.2165049766322074 2.1208886191073013;6.9696286703047
0.942896599697713 1.7572994573766652;5.999231160897
0.7041719732284262 1.5209947317439072;6.410476491631
0.4946648394446702 1.2529451300617451;5.586298234430
0.27300131667404265 0.9203625062196017;3.8143611038197
-0.030085997557152966 0.5997518891246403;3.2567023983324
-0.29996274026108793 0.2814693594886101;3.071775879031
-0.4496952853891333 -0.09301315377206909;3.0324105013272
-0.5152618743689361 -0.3944526671233609;4.062036456161
-0.5384820872214501 -0.6239545194623135;4.4875634183
-0.5342777989940116 -0.8207581069692871;4.544213069868
-0.5138302064433269 -1.0097416080472572;4.6782863971420
-0.4782629870087524 -1.1365190800005658;5.073606238915
-0.4194647067770043 -1.166741506701552;5.105885697344
-0.3243196224556288 -1.10983209593872;4.5611589515637
-0.16446938759160992 -0.9765916905100331;3.2139104677270
0.07708330308141309 -0.8252312623941783;2.975869881066
0.250660549963952 -0.7354125910376493;3.8461315910901
0.3495703457543726 -0.6601728908615234;4.15231130869
0.40048371133267324 -0.5761855341150603;4.179922932708
0.4132474874016183 -0.471447955130002;4.0164513888768
0.38883165971152495 -0.3363455910535079;3.594089233552
0.31965966904512977 -0.15891057358811145;2.6422681576448
0.1789691977170088 0.06795553934829421;1.2964339971236
-0.04812843780664966 0.2232671530031295;1.6017090974895
-0.2337080941985097 0.24217803940335153;2.5693138307686
-0.33814546367631193 0.18835402469254736;2.855079334160
-0.37589158012705487 0.08609512373606797;2.7039690286941
-0.3517185994647824 -0.04064386817322045;2.491184319739
-0.26433280790968305 -0.14447246544057551;2.2518575246366
-0.11403816797186914 -0.1836374103590765;1.5352174523103
0.0801099923922246 -0.1305753108483063;0.967749652885
