Point;Valeur
2.7242816448643046 4.813678368835729;12.449368341079
3.1676951186588598 5.151081601816681;12.501127801577
3.411089827126862 5.132218307722632;13.434935760445
3.77770494049993 4.609359606868454;13.367518008376
3.566489118523353 3.1227706729892826;11.581992515763
2.840259816387586 1.899400218000407;8.424177433891
1.211304458501357 1.008922308515488;4.856916715765
0.16287985306225705 -0.7362421849864447;3.498837725765
-1.0012158545089132 -1.4698851670398234;6.156900250251
-2.4798132218651743 -1.543905031558141;9.1101219510
-3.515499377259072 -1.632571135880412;10.723725132702
-3.7167912024475434 -1.973727103911632;10.212243594318
-4.223087080227741 -1.3200848539649646;11.141908924452
-4.6538125851574135 -1.1836871926467163;11.65536885136
-4.897778610872358 -0.37882423628476314;11.694821290310
-4.417460349361127 -0.6275757872293012;11.61957930360
-3.460933326144472 -1.726830801608557;10.571908518751
-2.8376192027747655 -2.5047785839676306;10.22008357901
-1.7469405556174435 -2.5383726799727073;9.17357978865
-1.0726117159499764 -2.457967068030791;8.064237102960
-0.5582338508185192 -1.9296562761677092;6.6790583508678
0.23863491662456315 -1.2076912748636401;4.732160519071
0.9608398749692124 -0.8492289325421158;3.8607697305795
1.173271888986597 -0.5334776252113104;5.2775551744470
0.637413990166094 0.1429794642576463;3.4965761351235
-0.34890634539250276 0.6200356193201205;4.113503878134
-0.021085561559586408 0.8480490821602875;2.7879507587814
-0.7872053029555444 0.48623486318848896;4.489050958909
-0.6774228913683535 -0.26333471027617794;3.90239114701
-0.6055690557173792 -0.8878475174696798;4.551258696303
-0.47902616814701143 -0.8252552155771274;4.478066429857
0.07676513929421008 -0.7918265448379914;3.073126442045
0.27473955775789793 -0.7519769572658727;3.9279410240016
0.0693097938682107 -0.661092695652638;3.3054940165651
0.2586875716136317 -0.4467664723807872;3.5196510847989
-0.14566266770971698 0.28747800093292203;2.402338048200
-0.13325684386315734 0.838531918295391;3.161347136243
0.43380929627642123 0.12274454552572389;3.0477711343262
0.8450257692207035 -0.022265362820950763;2.7985708673279
-0.06896173923340987 0.6385931836123759;3.3141765873866
-1.3122294806459456 0.20989047159446805;5.208684847469
-1.1767930145395922 0.40029583786296;5.109681754342
-0.48212390011227746 0.5096224551081544;4.237903624485
-0.1602982835691975 0.46642364380726314;3.26464395746
-0.2689954792407459 -0.2206693703433828;2.6459407852984
0.14399489577071323 -0.750508752021805;3.402893230931
0.20262011256268636 -0.4201845627605308;3.248187234761
-0.8237824936936149 0.6898496260115448;4.497883499978
-1.4964905377411042 1.3506990437947515;7.228044850756
-1.6879414438734057 2.5759062648582676;9.249557338286
-2.0678255925920936 3.304566383661964;9.861485704487
-1.8077225813087705 4.056271704143244;10.13668254450
-1.692772144968495 4.593996932695912;12.157080172325
-1.8976900478032335 4.767498375632353;11.46206229109
-1.5368806612842159 5.443093426817226;13.345689790550
-0.38291094572287276 5.969633155780931;13.007680667305
0.484540279286382 6.014034724000714;13.197467010354
0.17970471989023284 5.505164209176248;12.789388019142
0.35876544592638004 4.054916701344239;10.304527342273
0.4297311470460893 2.8088337994721186;8.574365094029
0.34732711302621944 1.8489210488537706;6.386180464865
-0.49934590918699173 0.25765289656002954;3.6539378708569
0.08603043688545797 -1.0039658701540652;2.8437154620559
0.5526445081677568 -1.7247167142795659;6.661613784953
1.1868539208598752 -1.2200319894151843;5.664746207309
1.820834306670657 -1.1383103822689964;6.243744794717
1.3432617930811475 -0.612573169890557;5.968287087557
0.7066231575920543 0.838090617530244;4.453665433807
-0.7468111574961063 1.888899246013694;6.259698040975
-2.1631486528667465 3.018580356908017;8.759413669639
-2.3142265381774236 4.227409097808295;11.719839692339
-2.1444609860997965 4.5874206576948655;12.057520693145
-1.8161626734711316 5.575262504095212;13.206562026771
-1.6241533504864383 5.914357345620564;13.240567516647
-1.3731826221475705 5.6193801670303865;13.403712824308
-0.73029036919835 4.9033547222494835;11.379935856
0.18167320643993345 3.7759957217237994;9.664830685683
1.5988678430062504 3.2227627976876287;9.968538217749
2.9540642411758666 3.0820162226109358;9.28782286323
3.882987440589056 3.0630725138008237;10.482773752263
4.725024529230375 2.7559154927245917;12.548890590167
5.0115902472988285 2.463054636658843;12.626660688185
4.450380339699123 1.5688014295869674;12.062240972254
3.5901686969038535 1.671655080591835;10.777074729407
3.025901481748266 2.441249290426503;10.149906010495
2.7382118478678157 2.714070026186395;10.262516640249
2.393899577628361 2.947433252745909;9.944912409800
1.191289054054347 2.1337421150685083;6.8905943363877
-0.09773604819563197 1.151936793667058;3.7259277866327
-0.42536784475769407 -0.060476565448506214;2.8788432468966
-1.074704951659808 -0.7062205934560456;4.680418174372
-1.4547118929575427 -0.6018086728983847;6.295820638752
-1.7100020690068058 -0.45944635657083854;6.604280844856
-1.8829826951285518 0.20115713104188648;5.732011381530
-1.60633351669003 1.3282404128348317;7.2908725325816
-0.9501810080909172 1.5072821181409788;6.196598040359
-0.2706975861706681 1.4721067113926707;5.960953102731
-0.15174180703285672 0.9472896112657467;3.112602945070
0.18415696059236114 0.2530734228516486;2.373352990765
-0.047668167172817966 0.26243165362078535;1.9079154774146
0.6046166891043655 -0.6205908666515356;4.5565928477582
0.4408259251337142 -0.34775266424451545;3.7744844176832
-0.6557714582121933 0.5075777610327875;4.472361000911
-1.1899701243019067 0.5775887981773548;5.357558249714
-1.3948344432511979 0.6785041368987876;6.115298935355
-1.3205188847949867 0.9290511785010407;5.534020182061
-0.247427391144188 0.36343175070650047;3.1969875675228
0.37304347769509494 0.21015795826240558;3.0951234102941
1.307685447841553 -0.5496376239553248;5.833192220126
1.54499501409615 -0.05984164608486786;5.661336792361
1.7601922615325833 -0.1260775252229242;5.668615170763
2.033895149375169 0.7892813576522701;6.185821840627
1.638709768249694 1.2861176142710424;7.173992916290
0.8393367374383703 1.6663741884432484;6.341292804006
-0.7322895307217286 1.8414841545808478;6.3650595943663
-2.260491935245111 1.9554050014508575;8.048180710260
-2.9587115918540614 1.7570260564764337;8.76702367952
-3.229290363689183 1.6229090788430198;9.976000206955
-3.0977741925278064 1.4321401383800194;9.420868681921
-2.732829455102683 0.40049553012799;8.553631757571
-2.054563390534274 -0.19047549789406926;5.857597698125
-1.2384572230930684 -0.683199642478654;5.498348405398
-0.7945420782032784 -0.49530041631671795;4.502132210510
-0.03559949871687251 0.11659118819978698;0.6986777992587
0.3121417848567921 0.3795655494045411;3.4863195902203
0.3807905118223679 0.3851766795483177;3.716688559383
0.010312571794153236 -0.05390812042323889;0.2335463449255
0.3194146677924696 0.19427296466491106;2.787166797727
0.27549789975036343 -0.01725795096499863;1.9661317782059
-0.8070744380893089 0.7082503343582803;4.489123401946
-1.6276596683816038 0.6768664536270602;6.565403965828
-1.5299580856049904 0.8801014363548625;6.2550439891130
-1.001355674174369 0.6996014171343223;4.480371999320
-0.412656999475449 0.3522755958064352;3.711774308979
-0.4648760465198964 -1.0380772648611287;4.692081582618
-0.43662277192118054 -1.4687391228883762;6.228517607823
-0.12641329612768104 -1.8220633684396905;5.504241163420
-0.6722585255703004 -1.0828714872137333;4.796784079737
-0.4585435288357082 -0.3974316589017255;3.949405228015
0.7595640687676175 -0.5261120304548383;4.5389036799760
1.6339474186482947 -0.7160701603008778;6.533177837186
1.3929730156880271 -1.2214371267905895;6.588690850582
0.5935736327752179 -1.577123387051234;6.535350311698
0.11764985546926598 -2.43333321680978;7.630751330563
0.6042298329011861 -2.343944793781995;8.006639248380
0.9617396780438934 -1.1660407700036048;4.477051884440
0.3106081910522802 0.35090143604241253;3.3832487677477
0.2230574563040731 1.1547861324910522;4.341230265978
-0.5003657426219588 2.1419592508602805;7.2348611010245
-0.5248433320203125 3.3730597371417668;9.946399442078
-0.5841773548733686 3.808479125088367;10.343090448269
-0.9669182687432705 3.4754029224688674;9.715129173377
-0.585417823138618 2.387871699484003;8.147454825826
0.05863402427243436 1.2786957478718206;4.572394761350
0.2749969841131638 0.07250073321845707;2.0578066845436
0.083106004862366 -0.8411864305132928;2.9490494587306
0.1553316977429149 -1.283879361536922;4.870414212183
-0.24726178446729397 -1.5375641462125982;6.051417645469
-0.5488149029070998 -1.6904981452303949;6.646138836023
-1.3221529881238587 -2.126957946886993;7.544213894895
-1.9842273186841306 -2.09355048660377;6.924341961716
-2.22670950810099 -1.6620616974363296;8.389739123633
-1.9841296502791648 -0.9371591120978671;5.4448854416033
-1.844785370642059 -0.01706937442276435;5.134905707207
-1.817764315751216 0.9423850531011054;5.78419790517
-2.021521651347131 1.887151973382295;6.793306357758
-1.5804811816274156 2.670097875882706;9.31449245127
-0.6251221927613119 2.484600563151289;8.370165796357
-0.2806917898412267 1.495896435783286;6.0401852246353
0.08422724844391488 1.1545014961882514;3.696419203540
-0.2258454735129644 0.8586353262362489;3.5997749150396
-0.15477893549056462 0.4582857458494902;3.223033086486
0.787217159958637 -1.1105627278796044;4.57191004899
1.3433097549525894 -1.788372786041669;7.287191892542
2.0469816141390096 -1.6084402475138497;7.784012920832
2.4194452273240565 -1.2758233975010325;8.538337312288
3.1356553557405675 -0.8068497796193415;8.410770063934
3.6494388436449996 -0.3266318857216669;10.215659747800
3.4005017061944813 -0.31765693944775236;9.837190736953
2.420654234408085 0.1843829243312783;7.7425317843647
1.551530108616984 0.5592886443147629;6.488280918234
1.2708097962913165 1.4195039053960208;6.837208182047
0.4407522229939935 1.1469337548780474;5.059761324964
0.8371248830185001 0.9071339314020139;3.9528801563371
0.28311684837992623 1.1776921646053171;4.743687675537
0.2891376087677112 0.6576391156907929;3.9772995467409
-0.4821193308417392 -0.49283546778877774;4.207031965388
-0.5823828557486248 -0.6536085448446497;4.560056332710
-0.7621712559532461 -0.8958790185702807;4.238264246126
-1.3770596198157015 -0.1741715226720697;5.403761393771
-1.8931045811220155 -0.040385708910375906;5.0170490823403
-1.2073308056469942 -0.23380165251405977;4.709790598123
-0.5814172313381448 0.03201347049101261;3.243870022382
0.5835338447837789 -1.0199815153077991;4.715074258946
1.1933024261596432 -1.9208862656253332;6.344916394472
1.7275996212892355 -2.525193171883914;9.174109443538
1.0480520988125401 -2.8510011592684052;7.53451368882
0.5627736681093024 -2.5084660074053464;8.43191743024
-0.4413700457906432 -1.2518570531045259;5.5177858619642
-0.3006269815154945 0.3204317545172424;3.232816245431
0.21910236051991305 1.1958929340363995;4.576616710936
0.8461712704950375 1.9035941715882951;5.817855344290
0.9356070207196996 2.0699730680296926;5.723977969942
0.8354900462598195 0.9069580047793051;3.959180389960
1.2286772753555795 -0.09054322041830054;4.2871380768521
1.2832923275081005 -1.0226080736427765;5.38163659781
0.7485606706758857 -1.8600427153063397;6.286918899650
0.08435376004788564 -2.168210165414921;6.0349181754
-0.25995615180506004 -1.9397529929663488;6.011372531385
-0.46780116971754565 -1.749449466119497;6.625332807227
-0.6705220162429484 -1.4064343635655072;6.1543018987429
-1.4081417991305052 -0.10579964673288678;5.36394933704
-1.8711572585992533 1.5660494742251438;7.661427700726
