Point;Valeur
2.755391310547731 4.2967753582966495;12.121442715573
3.04849541531779 3.7454893506580866;11.027419356811
2.700424035574015 4.308267430288275;12.256908599691
2.9054184893091115 3.8339388634541827;10.642714896155
3.2761866403469373 4.434477002233699;12.964894454678
2.902650770144769 4.177092536313225;11.098457702110
3.2798565770791352 3.245559738932684;11.38020098496
2.714725775698371 2.6747712244182864;10.337723925301
2.861453698908326 2.7963351188951258;9.767168459593
3.2497463373643374 3.328795818575241;11.57035998595
2.7419195760869517 2.860566337379904;9.955642745529
3.1908466506651276 3.1613406081087803;10.560013384564
2.3735684463962823 2.404428248106143;9.84915884272
2.0434055131932336 2.103465108902718;7.098138821840
1.5586478136963375 1.2445389737111334;6.9958241379
1.4217198236660042 0.7610741950600897;6.130387704111
0.9906269967154078 0.9098209163003901;3.6708901795228
0.8078744935210356 1.294377819828867;5.559008830009
1.0760923255846908 0.5581862121734104;4.8919869006024
0.5644623312856342 0.5583722194766593;4.446474459956
0.37499316725929954 0.3653195216405435;3.6414288658751
-0.060142163220019806 -0.07234378700779603;0.4884499802910
0.6173361163132416 0.7373322732972909;4.597675835863
0.5908616533008146 0.7642899497627909;4.585567401980
0.5411775225101199 0.7928393540452205;4.552736398313
0.4215011440341119 0.8064482966379671;4.367451303573
0.08938314984258428 0.8140321488869162;3.048423652071
-0.40119731947617343 1.229342989368547;5.350557323919
-0.10691035061570459 0.5837921819909652;3.368530642816
0.2330395708860653 0.4327190321552975;3.392744253724
-0.2511279420846915 -0.028957441215311686;1.7912695892322
0.8843232567891468 0.15037181630049176;3.153504858158
1.117562976067058 -0.6292455715150427;5.009862368974
0.504707329176549 -0.8004635682833341;4.5144306165510
0.32300674780080574 -0.8038634154597448;4.078364291626
-0.19860570435875324 -0.8737168932216834;3.4343490044127
0.600415843252181 -1.06186462248143;4.826619715575
0.7157145471133807 -0.5784329008581681;4.5803851668757
0.6931324662620729 -0.4766942201015214;4.449607611261
0.6116478356187703 -0.23627303498489757;3.7769030634168
0.47254273286944415 0.22183455898108648;3.474325011437
0.07562540102809306 -0.2392612959632958;1.8022098617881
-0.380145450938171 0.8715152708204599;4.253510400812
0.06895950840550041 0.8657017959900415;2.834938919816
-0.3798961126368763 1.2510520754024412;5.402162843137
-0.06469581044695433 0.6095124190196798;3.303156956440
0.1685974799205657 0.5469020575264593;3.4816306673424
-0.25731784307646244 0.29029694029770053;2.923708766323
0.392601169697807 -0.3804108985211843;3.736595667170
-0.013628960427899572 0.02984306850731122;0.1212316386563
0.2598476051240671 -0.5703603665629234;3.7977156737584
-0.17627141974732824 -0.34896840133111373;2.859658096970
0.3794401161237337 0.34350241975438656;3.5877270434694
