Point;Valeur
2.8334254230291833 3.482620774317823;11.337534572355
3.85842541934167 2.4576207768258356;11.39971224528
4.441069650970517 1.7170145864051687;11.952432796937
3.6094999775950645 2.2380563632560744;11.043326831211
3.647017556526678 1.4349682157949943;10.760721832817
3.5063744491235855 1.1360418720468561;10.000284428334
2.9776399461390284 0.5943586532976161;8.616682892507
2.549236088556757 0.9105170021241319;8.131440853237
2.2677516070528982 1.099508801335518;7.295927418180
1.3631168753627134 0.521707756854438;6.008553172243
0.9393042021760702 0.41676126145291337;4.392074193228
0.8038203414487828 0.018840730828830365;2.9285227153
1.1955195345689227 -0.09942489603675646;4.064884686292
0.5080478326707797 0.36685046019872436;3.980296192946
0.32803029903246644 0.043322314783365845;2.353492124993
-0.15780448659635476 -0.1375121919489661;1.4824141606269
0.31664828136942624 0.4805325283598114;3.7847174432882
0.12220293715530348 0.24877358626845442;2.0486163715979
-0.16126258520035666 -0.31865645973352225;2.646273653810
0.09384107696321684 0.08695088159175007;0.7540250321123
-0.26723117422210707 -0.30597975546677564;3.0374487048492
-0.0229379203145679 -0.01646727807521048;0.10098277862807
0.17464208234587586 0.14803234731614082;1.6618320454487
-0.18587989007921396 -0.22080233638073113;2.1854489500886
0.09836289159541445 0.13421512725547038;1.0874776789325
-0.1687147063183601 -0.24616631333466535;2.2524802340769
0.07293259816450828 0.0723292786411188;0.5528446411437
-0.17615448765227024 -0.18933002092406018;1.9300327098260
0.09511179637063014 0.10959368682039985;0.9003010671694
-0.15338584703146896 -0.18338107573635967;1.7533862870625
0.09638545856365396 0.10786010807799265;0.8964174198838
-0.141352838161489 -0.1599509401036965;1.5207687905085
0.10352229475965291 0.112409102890668;0.968118985130
-0.12861653076738996 -0.13881100415766387;1.2980236287970
0.10763173693654679 0.11326730924377457;0.9986549340045
-0.11744387727391847 -0.12206091769896432;1.1166984315842
0.10751969469114914 0.11000281820743704;0.9771368684617
-0.10900123155818572 -0.11028018561879993;0.9881094972263
0.10420665332916576 0.1044199526156859;0.9216560697858
-0.10266244774799546 -0.10214210827601905;0.8980693519172
0.09951634475467772 0.09850392252379395;0.8565524950952
-0.0973141174451794 -0.09600427621818836;0.8280583881208
0.09461995619091951 0.09317476505101807;0.7948875554762
-0.09243162349747347 -0.09096822652111924;0.7687441465425
0.08995258087906796 0.08856143262265917;0.7399525755318
-0.08791832888611387 -0.08665827773706736;0.7169684401444
0.08563440091670571 0.0845457680775546;0.6915478889317
-0.08378211588798584 -0.08288421454714118;0.6714211087445
0.08169406703996138 0.0809948830329856;0.6488535177327
-0.08002689248123732 -0.07952175538648906;0.6312000744449
0.0781288127053234 0.07780691470712958;0.6110764321051
-0.07663974686751332 -0.07648381325202583;0.5955538736796
0.07491939846208812 0.07490946304596155;0.5775292117417
-0.07359566707675141 -0.0737095751871289;0.5638429646715
0.07203707559345485 0.07225211237286908;0.5476252694721
-0.07086285586343255 -0.07115685827272034;0.5355238198484
0.06944840490706428 0.06979985323810312;0.5208658778954
-0.06840675135842791 -0.0687962545029186;0.5101350289816
0.06711867619819425 0.06752807030476007;0.4968273690817
-0.06619283731558098 -0.066606825572262;0.4872848227970
0.06501422082608896 0.06541892746661052;0.475149709437
-0.0641884840163722 -0.06457306324164638;0.46664027048152
0.06310386420066488 0.06345885723560149;0.45552665805263
-0.062364044697836435 -0.0626828137746652;0.44791810046989
0.06135973024304807 0.06163687236392405;0.4376974084721
-0.06069339945634264 -0.06092590487480293;0.43087694874174
0.05975757442778322 0.05994346803600016;0.42143951799505
-0.05915410502248951 -0.05929327051704908;0.41531081439507
0.0582767887893358 0.05836993879672156;0.4065629261137
-0.05772727779876061 -0.05777642230360705;0.40104352859608
0.056900192405520425 0.05690798201240395;0.39290489273749
-0.05639730963359525 -0.05636715823983671;0.38792407887471
0.055613694521355186 0.055549495911329544;0.38032571857813
-0.05515149154175837 -0.055057430909050104;0.3758226622413
0.054405894930495746 0.05428650634324987;0.36870513562604
-0.05397960001206305 -0.053839319075120004;0.3646273633896
0.053267667386630566 0.0531111748212167;0.3579392732198
-0.05287348347444132 -0.052705062220464616;0.3542413682794
