Point;Valeur
3.2520550044120693 -3.7793926701520464;11.748181466631
2.515591329222067 -4.171039249362427;11.903858947240
2.4313141145390187 -3.6019963236520214;11.475657263011
2.1908724716605104 -3.5221758134142833;10.863324461248
1.6859584797069953 -3.3491627364720644;10.335249423916
1.86060377442171 -2.8299853593247137;8.577435921461
2.415753441738067 -3.4013450858854855;11.199401169366
2.144890004309053 -3.0498313493064844;8.727547141301
1.0592132581015772 -2.458316102642475;8.038306306332
0.7379170137916784 -2.019798649490565;6.381424428294
1.4583916522923683 -1.582067296609222;7.566133868802
1.1629363426881039 -1.4263786284993119;6.472251397171
0.5505010422968919 -0.9413639732291346;4.585197228924
0.5078250758803531 -0.7764588560516517;4.518323921766
0.29440070534011475 -0.7707321028271297;3.991022698126
-0.33558876310447694 -0.8633598640064166;4.100654069658
0.30963764492643087 -0.9041133550280778;3.9893129648995
-0.45120248120223927 -0.887383526340888;4.436962926424
-0.1154195291348632 -0.8302928396550202;3.1028801528234
0.5989878293743427 -1.272838798052054;5.706240123426
0.6242294957122478 -0.5884210928859135;4.544857790131
0.48664354909501206 -0.4253378730010171;4.076321573
0.13886815441107636 -0.04258081878000031;0.891228463024
-1.225386022076302 0.4103871288800987;5.351197550011
-0.4721299682227116 0.08156532936204558;3.0835751947667
0.058728845229117255 -0.24256533677239117;1.7800576412080
-0.3651602238718628 1.0792327640209676;4.580236445665
0.21220288330038345 0.40720805366546653;3.234785095596
-0.38067555205675246 -0.2101517870152536;3.1261000605409
0.300983425458801 0.4145446574681655;3.5600608750591
-0.24354241420955175 -0.09914746829949639;1.9166904650068
1.002998082114848 0.5525637751072976;4.681246564393
0.6343059896480323 0.5333208600475059;4.490281904194
0.48255775661129086 0.30698336286497874;3.761670320192
0.07863453030697615 -0.1864020330821648;1.3958825858091
-0.5811149109859688 1.1722772222710587;5.2796061244235
-0.6164409767933083 0.4288078060692113;4.294130581727
-0.4181201413821274 0.0804951048080893;2.8849501710677
0.2899763426100659 -0.2645657843761784;2.9545848991102
-0.4824237529181037 0.490772192461999;4.203714930765
