Point;Valeur
3.6321201232884484 -4.021101302317306;12.252358754595
5.07712012114523 -2.5761013057031015;12.779358620693
3.8983517285755336 -3.315732140623715;11.79741289597
4.425460235167385 -1.9676128309009744;11.59124722279
3.5116754413102287 -1.993564855806274;10.418955607112
3.143961926828771 -1.793417499584511;9.172354864735
2.045717456975776 -2.7044951811693423;8.934426399922
1.5937091242705828 -3.309023650581622;10.270447955213
1.6389246810311553 -2.7026631633292597;9.301052075632
1.7503108114943253 -2.767373773526306;9.074363862196
2.191098739488661 -3.1055384077865935;9.257206560082
1.2935618235157365 -2.3409983005847455;8.350564092569
0.88105025387913 -1.82504865154089;5.89110388923
1.2765210311693604 -2.2728533068139383;8.028159504337
0.8164067694869952 -1.7030116083913165;6.347346975064
1.0800252083376978 -1.8622719571119877;5.824526727417
0.5761284835386123 -2.274888554323131;7.773259043617
0.6184233205965519 -1.8252426279452378;6.620254238292
0.7538280216300915 -1.871417345958785;6.253058820456
1.1675792241523433 -2.0210386915908343;6.238493719868
0.4975548814820979 -1.7193454507825914;6.6397205995565
0.4344930168804464 -1.6723126375088095;6.553845996387
0.3174477887041123 -1.5856983593281762;6.276946984808
0.12570324895488333 -1.4316774270257497;5.494328730307
-0.08877390468605359 -1.049613235962306;3.026450317282
0.31064348069528125 -0.5548970583568352;3.9197910511142
0.05653113191771442 -0.3802979649281194;2.667481692814
-0.0898672295263227 0.10494788661709853;0.8403062001594
0.39191427609628265 -0.4677591280733975;3.9566599045885
0.18074552957813902 -0.27026352921257224;2.4583957316325
-0.21195792636413782 0.21377161489154717;2.2917513754841
0.23545485850721984 -0.2398826514033336;2.5662871389792
-0.15867941366391256 0.16065607412876898;1.6350192705967
0.29837460819894157 -0.3035840625748568;3.1568030274047
0.016220291972836143 -0.019095731406432725;0.08751195528541
-0.16970099900943697 0.19948400282483478;1.9570296414059
0.21970102868967434 -0.23107476786521006;2.433682300687
-0.13230913933884847 0.12714649684967724;1.2454532509336
0.2754412930873787 -0.26571633689683216;2.89291952428
-0.006840335116704732 0.0127713097825628;0.04655857123612
0.09531214246206977 -0.1774734129194117;1.3967087309139
-0.18010151522553924 0.26368781920261347;2.416483501022
0.1048145509554469 -0.06620762731405505;0.7196894936170
-0.2802647788435728 0.17790846058850981;2.503151760537
0.03581107441107695 -0.07250062005982297;0.39488788628619
-0.12902294665974082 0.2446405536581613;2.0502141501686
0.11419727763763446 -0.10787265239310864;1.006126569887
-0.22251170546950147 0.19801021323981496;2.263882144735
0.08257596516989643 -0.07651376391931011;0.6292390464663
-0.20661516769566732 0.182672658411876;2.0785358678526
0.10026009948060252 -0.09269307337982555;0.8266488373422
-0.19807068107674294 0.17711994079698815;1.9916958695335
0.1003688807496754 -0.09388886986076048;0.8343069361543
-0.18500404910064908 0.16884222543001895;1.8575314445784
0.1067807558222004 -0.10034955291119765;0.9129595960591
-0.17258789297948793 0.1596603828071411;1.719441891390
0.11212037533601563 -0.10605972891531176;0.9816480893591
-0.1600917484477826 0.1501710569012523;1.576939549404
0.11648829365533545 -0.11105983780219206;1.040599297235
-0.1480543226968873 0.14075722675825134;1.4368871902450
0.11927746904744793 -0.11472751926870942;1.081536665287
-0.1372025650926437 0.13206964212243683;1.3092483032991
0.12004262226836779 -0.116530183066297;1.0978312929978
-0.12818524378111673 0.12473354403441761;1.202957448672
0.1188264191520638 -0.11635942074508074;1.0888980444893
-0.1211761354663698 0.11896621166149227;1.1205949276362
0.11618329665392019 -0.11462663437755191;1.0609739150674
-0.11579914357648546 0.11447478359301116;1.057558720868
0.11283691846934463 -0.1119839954539493;1.0229899169092
-0.11147410910506309 0.11076183418521726;1.0066771337039
0.10933257793195361 -0.10897602197686887;0.9819864241331
-0.1077562127173961 0.10744910515802733;0.9625643450376
0.10594541771391994 -0.10591233497774447;0.9417009385928
-0.10440853963742444 0.10435246886685581;0.9224874725078
