Point;Valeur
4.363975643980675 -0.7817399193550063;11.239078859960
4.347423630027013 -0.7959139297929668;11.148476858344
4.323761421636681 -0.8144833148939876;11.009413752212
4.29209287454147 -0.8377616110391489;10.80243422436
4.251121047877942 -0.8661166351620793;10.499144770203
4.199190614015209 -0.8998360330014489;10.06963372970
4.134778088997808 -0.9387532550332504;9.524378911392
4.058139170786621 -0.9814683490998475;9.015588611590
3.9740220963659043 -1.024553516475387;8.840379052049
3.891173031960352 -1.0634432123942137;9.077264989240
3.8160827656018528 -1.0950581324163091;9.460826843393
3.749953531573547 -1.1186481436111675;9.7749149949
3.691036580231276 -1.1347083266349038;9.972010051310
3.6369159457672877 -1.1440328121230903;10.07092239667
3.5853594890232 -1.147334185234649;10.095286836786
3.5344421936579593 -1.145148692057196;10.058828554615
3.4824362788385277 -1.1378337545298074;9.964296203430
3.427635277719332 -1.1255861318391682;9.803272307835
3.3681461600422113 -1.1084652862142947;9.553771799539
3.3016660615768005 -1.0864375641513686;9.176697870905
3.2253745468414787 -1.0595011768892908;8.623720706970
3.1365285289391522 -1.0280396807806766;7.9091464978
3.035214857474003 -0.9935769942534423;7.302582602290
2.9286974735836844 -0.95933461064965;7.23804301743
2.827651944113979 -0.9286513864414736;7.605487268682
2.736007743665752 -0.9027980304987316;7.969851140869
2.651554731543443 -0.881452628723475;8.166119424101
2.5706250119999083 -0.8639150807228564;8.205305043408
2.489964842295571 -0.8496739634767183;8.11830726969
2.406826265030529 -0.8385878753617185;7.912478417230
2.318563239785717 -0.83099462895391;7.565374396096
2.222308666064809 -0.827880074967723;7.03767867063
2.1155577052088352 -0.8310622508431597;6.361588948070
1.9992784296882786 -0.8428586175645;5.831345565031
1.8814307982780925 -0.8642020551790635;5.788520851711
1.7705312172584586 -0.8928774566387727;6.032473872610
1.667747912560674 -0.9252610289723362;6.226477777006
1.5698066253181249 -0.9584044882633833;6.268115290458
1.472756452797807 -0.9903211352809398;6.151243302685
1.372822770646202 -1.0195618380780007;5.855544216152
1.2660049451051707 -1.0447082257784057;5.323824921084
1.1481471068908924 -1.0638468258283562;4.553823656857
1.01843726519559 -1.0743036767713678;3.9279993354584
0.8861651021594276 -1.0739736779587137;4.012450117240
0.7628439801469271 -1.0636473099395054;4.447884465036
0.6494618355725432 -1.0456632630244598;4.711328012924
0.5418251066668087 -1.0218475540360128;4.72358925510
0.4356378952816903 -0.9933721172583219;4.521836910352
0.3269484371559542 -0.9612681677308912;4.105787531023
0.21158481279052047 -0.9270869397290208;3.4702342136010
0.08654710019624107 -0.8936405639799395;2.831869147286
-0.04398205282416465 -0.8647156968486343;2.773042086808
-0.16792375297017448 -0.8419656156731952;3.323503316054
-0.2793402181375042 -0.8235849136979387;3.892434769378
-0.37998792321416036 -0.8072293979643488;4.260888384032
-0.47303586088994676 -0.7915439202917539;4.4684995525675
-0.5610312786800419 -0.7761131409879696;4.569048225645
-0.6460637439631849 -0.7612019621767305;4.587497623264
-0.7301155268844177 -0.7476196761506869;4.533336472330
-0.8149739272004493 -0.7366625168651771;4.426580339263
-0.9013721441237845 -0.7299877653801251;4.332981053226
-0.9875488292307604 -0.7292124411578533;4.363354504401
-1.0690232160357567 -0.7352340940054382;4.568143652042
-1.1411043946636779 -0.7478738021149983;4.86523325211
-1.201281762956586 -0.7662756983715272;5.144826028262
-1.249086489680662 -0.789487463275695;5.356065448745
-1.284977496353196 -0.8167117164993858;5.493547918685
-1.3095960066473402 -0.847280253160633;5.567658035665
-1.3234466124266975 -0.8805138958274485;5.59113470351
-1.3267801353854838 -0.915559728661161;5.574826607271
-1.3195478046205702 -0.9512641995394118;5.524766804605
-1.3013838584732909 -0.9861336177729966;5.437926472541
-1.271616946798172 -1.018399051544572;5.298263264897
-1.2293469965721053 -1.046133064964206;5.077710297222
-1.1737176567056158 -1.0673319231097809;4.750948668464
-1.1047250384922807 -1.0799653995067968;4.341462480214
-1.0249493446296714 -1.082218534888841;3.9884539538447
-0.9410610249240874 -1.0732512971613382;3.8797013266424
-0.8613955924774122 -1.0540209313271762;4.009288744357
-0.7909197265634231 -1.02692093220861;4.209135987815
-0.7302047469913256 -0.9946421277785361;4.37162223444
-0.6774882021729297 -0.9594775204592195;4.477211325474
-0.6303537704462797 -0.9231301305343159;4.536050846806
-0.5864687385659907 -0.8867158718881482;4.558298919880
-0.5438224014874814 -0.8508411906095952;4.5488436031520
-0.5007633323155753 -0.8157242937345544;4.509010618381
-0.45595861152906575 -0.7813303042606221;4.438393881587
-0.40832508418715063 -0.7474908572224017;4.335613837477
-0.35695891433444144 -0.7139908788147122;4.198515876587
-0.3010886726165231 -0.6806161659520178;4.024818870874
-0.24009641615233124 -0.6471564556382168;3.814969503057
-0.1736907557821206 -0.6133502519050908;3.579837316680
-0.10233013576234709 -0.5787529703261065;3.3525032897625
-0.027800645283539704 -0.5425520713898436;3.187112399841
0.046681541974162896 -0.5034821957310947;3.119525323321
0.11748164011217767 -0.46004328168403236;3.1253053722500
0.18185553231290563 -0.4109108601521735;3.1440424038774
0.23825226687116347 -0.3551681326223121;3.1287016187835
0.2858278926254481 -0.2922743856568679;3.057388376353
0.3239633177758833 -0.22200205766888964;2.926473348513
0.352061462130166 -0.14464344158881642;2.7581027120808
0.36959269281764545 -0.061721746226356386;2.621308941346
0.3763168223536544 0.02318863148923246;2.608507238494
0.3725032837638909 0.10510548728135762;2.7355676997431
0.35888113496239615 0.17997029372179157;2.920091619123
0.3363491712010386 0.24588808224750386;3.0801667721937
0.30573047683785076 0.30249127400987086;3.1820457546721
0.2676820463567815 0.3500170278201436;3.2214363136582
0.22272503156410653 0.3888348575543421;3.203827391692
0.17138588665567564 0.4193090025001708;3.140644710941
0.11448498167363866 0.44179660364068624;3.0551803710686
0.05355287945740364 0.45667318186117495;2.9869974301331
-0.008895830384404238 0.4643312050468997;2.9778499434816
-0.06970395787301406 0.46513661612862933;3.039929137561
-0.12600203160785883 0.4593761826620396;3.145285362180
-0.17591683126352675 0.4472373925175689;3.252347621700
-0.21856925248644804 0.4288170711147564;3.3315500921985
-0.2536816346052937 0.4041299927363357;3.368637776754
-0.28120277693638207 0.3731038319585819;3.357303879851
-0.30107093252864736 0.3355636618896208;3.292451903973
-0.31307431472375435 0.29121897601260893;3.1664385102819
-0.31674536861060315 0.23968511016946764;2.96814835179
-0.31124533919766584 0.18062032873162726;2.6869395469616
-0.29523668023648547 0.11414818258210882;2.32688777576
-0.2668440919957722 0.04175395168892239;1.930438531310
-0.2240041945031326 -0.032615532581736606;1.5786434826529
-0.16558392608140485 -0.10252430951506467;1.3408238935823
-0.09318511944265712 -0.16096339623559952;1.2595155478658
-0.01253715049137831 -0.20299121467274472;1.381257378222
0.0678536925578757 -0.22728827499873322;1.6853117071908
0.14075014643748712 -0.23535321063416645;2.0416631195774
0.20248097208672938 -0.22960048163338928;2.330771108000
0.2520399601004404 -0.2121981346863535;2.511135206094
0.28950588745064043 -0.18482361438077985;2.587328554841
0.3151461847188451 -0.14884979554386962;2.5774175434551
0.3290755539176587 -0.10568500717429744;2.5042066756639
0.33116093688059184 -0.057171720039566144;2.39547386444
0.3210324781590062 -0.0059019828095361465;2.2779261558058
0.2981659255815216 0.04479893837050628;2.160378586275
