Point;Valeur
4.976454702585563 4.953110228927253;12.662849841369
5.291255550947409 5.2679116979636635;14.929157701058
4.8519724431806495 4.871616673118884;13.248814884640
5.338165330388027 5.28520206320065;15.116571593697
4.990633464474909 4.937745569913306;12.692638611461
4.951035398984863 5.242743867129436;13.857319889499
5.079382229347411 4.6575165305427255;13.992500348939
4.728939392187667 4.933072369159404;13.631733883731
5.214649990031474 5.066207757174084;13.801373373686
4.546081205298388 4.730493916271248;14.227586041904
4.513393521760152 4.850609496932474;14.065860568880
4.443586945745286 4.999652002600708;13.920578204191
4.207464258859151 4.902591084939262;12.97894589191
3.5526064381416207 5.162930449350717;13.666480198005
3.5730709536053253 4.8078863585898715;13.382417473791
3.6154650012212928 4.957406564078329;13.206005760275
3.815869378813235 4.9532459559283515;12.48465891551
4.381336402047149 5.0560347713536995;13.84622694924
4.014046680376659 4.81947830955563;12.447736910732
3.8538602968286635 5.342704414564902;13.811079543121
4.086656055793849 4.942413799268092;12.19509948650
3.5444394471914564 5.153812362527492;13.639011648342
3.550591936133184 4.806720216826639;13.387709488807
3.551321867767801 4.945652043831337;13.267114174913
3.587443615329239 4.9545614818754835;13.24305577065
3.7131045974826202 4.9508217978623925;12.947214572710
4.145702480118953 5.000347302544139;12.500611852465
3.451088106351219 4.89773883673929;13.220517207438
3.262966736781706 4.984940216929061;12.526827888195
2.633453684433393 4.920968329565033;12.524104174261
2.86854671691817 4.9823697385216645;11.541409201629
3.405032112388027 4.948926917786711;13.103301269985
3.104745994242658 4.955402060037242;11.569560286315
2.508518414318661 5.07517976042328;12.78993135823
2.4609371874356376 4.792170196158694;12.680462263509
2.3266855386937038 4.902409274096395;12.240265484527
1.8786821945102128 5.01470967262038;10.977874340736
2.4102997570099456 4.793882389168773;12.603115527884
2.192858768997968 4.919381242231632;11.535021664686
1.5251060242324108 5.103916080498424;12.394547539066
1.5330515291004445 4.7655750094101;12.221623859300
1.531984077674318 4.844945955979416;12.158392170141
1.5430093431721084 4.936686684525642;12.114853484990
1.59184631303884 4.92418176122481;12.072464075181
1.7487453660867207 4.945277204076992;11.59835881429
2.2685525120746584 4.993604760579762;11.955334419018
1.660996457819698 4.879264772308152;11.967116553841
1.9506236636036562 5.005011267513066;10.708376862719
2.1903751132515086 4.832915228691565;11.734634685988
1.6181320414634914 5.167753620765752;12.533588652834
1.7913996726349823 4.760722667229409;11.800791346811
2.147414033289084 5.032381915235948;11.2892518085
1.4711568201395306 4.73856984378709;12.213366148117
1.3840349477313083 4.79724208977269;12.049924397470
1.1462281018014107 4.918165169519808;10.83304669143
0.5227661113726915 5.132927442648997;12.224159145152
0.5511667787141239 4.759911349348034;11.920175919696
0.6060481314598317 4.827255999978985;11.814696534116
0.7773944996316604 4.937112813190565;11.125784835767
1.3569786452807282 5.018684255082314;11.926953905509
0.9772216172146553 4.8188645757220385;10.71748072489
1.0495715811914759 5.2980716206471925;12.01354039681
0.8653257333049911 4.716456740980347;11.312480719601
1.1751667129951033 4.9902316648758225;10.966138097949
0.4936958175310504 4.884033962122452;11.84795360237
0.4646712753845426 4.93364333851287;11.824722173745
0.37198429000898814 4.91501410200559;11.670294687788
0.0770105746415794 4.952803619602255;10.280468704075
-0.34474527349656137 5.054727620103379;11.739500609456
0.02648184191374997 4.757464942746211;10.836691071926
-0.0754502534852629 5.177227897306926;11.156097334090
0.24697974555483498 4.469030768740488;11.480031719402
0.013766547867371498 4.260744479104372;10.179087893200
-0.03693591225232735 3.5801783748474527;9.614422519951
0.052684277741455114 3.5678371540702027;9.625877857323
-0.0704087407597101 3.5252092865208704;9.612162278622
0.0823973431174701 3.387888475882525;9.278533821200
-0.11180310590738282 2.9659773396528446;7.186581355579
0.4433457836888929 2.9362211361433004;8.584937163363
0.28616763656560673 2.867228063582952;8.16197543674
-0.17044233400042702 2.9818594565031105;7.520242147405
0.48577516838925733 2.859464126795125;8.612931601140
0.4226210494972362 2.8789436386969602;8.542022879329
0.23543279045136942 2.894974606144059;7.901558965484
-0.32984744114293985 3.0190585728816473;8.409889226685
0.09809244211001727 2.7646609528763144;7.619173514103
-0.23688074139482912 3.0938829299896935;8.243557123480
0.33611734297947377 2.602871473534714;8.401011985105
0.1470020575596976 2.497559410224136;7.858273896466
-0.10214788467932506 2.275464251623224;6.847809136110
0.20498571200348065 1.615310675584535;6.041250122302
-0.10043387057063746 1.5513586173060299;5.7336300866364
0.11466703818082372 1.4047680145568666;5.36930287393
-0.13602787002380726 0.9728768542974213;3.0396629420766
0.5057152295860535 0.8380561458086443;4.514687382687
0.369818214901373 0.8380835535543254;4.224457152374
0.013675899911778144 0.8596325022207896;2.746596493256
-0.06128610108847406 1.1831833035093975;3.8548811526142
0.21593096765528225 0.3734362097568733;3.1183044945835
-0.20913035822790182 -0.05996883095473243;1.5168168115090
0.6791835602962786 0.24631793974589844;3.845054186510
0.6692431713773946 -0.12195264253022858;3.4282478553306
0.7334833618043333 0.1913261853868315;3.614388868538
0.8587433863788263 -0.23316640286927826;3.6377069791557
0.9862478794913834 0.3129661161185614;4.083617967542
0.7621878054933764 -0.1830131077846096;3.542402553725
0.9372068056608647 0.26926607425248494;3.8009886614604
0.8724211743222023 -0.29389495903784635;3.924059880145
0.9222720071831996 0.18731388240580354;3.3265283696201
0.9622704605948676 -0.437728821776658;4.471493167116
0.7950725859119793 -0.19714935140997142;3.5524957853812
0.9822724254845457 0.2937339117399118;3.98260979749
0.7716258215002447 -0.23927597106355958;3.7708787631973
0.8900971814458277 0.20936845034220597;3.476172439466
0.9951411352854146 -0.38429608927306946;4.384496238893
0.748555407186417 -0.0371834780462893;3.110537344687
1.0386323677160552 0.10298977934459896;3.0416585789682
0.5580506859659932 -0.408388353050529;4.169521620934
0.37435816080490425 -0.17010151169397136;2.9536708376083
-0.12423050899103993 0.2106080809256986;1.785615520788
0.4317141336480489 -0.5430932578874743;4.195376736776
0.19143480084762277 -0.3630680904213528;2.9821754319205
-0.23597913365705575 0.10559602344564595;1.88682540080
0.5705761200834516 -0.33136377719858245;4.001657012526
0.39339998379032437 -0.04692213742632695;2.7177596471177
-0.14323758702128275 0.09374654102032412;1.1287265147867
0.6695717765703123 -0.44710160311528857;4.38131401826
0.5838574476961667 -0.24313636427137758;3.7662471837360
0.4316375440711806 0.08517700525304994;2.948952909019
-0.005813877388038291 -0.1374716949075432;0.8230515744901
0.03692179290499383 0.7076903013249165;3.19895810980
-0.09553540506128425 0.8968403013892101;2.86271505831
0.38285199756666477 1.0882874351539213;4.673083879228
0.04095996017691805 0.6627167661285309;3.2611756542335
-0.09082198016692486 0.746331397441288;3.2299605047154
0.23289323095314343 0.9817261004029294;3.6439757375292
-0.4316817300061667 0.7932579446480819;4.390414660290
-0.18920548071083643 0.7943543575161869;3.51699189870
0.3281397853569977 0.978666707345599;4.138091127599
-0.16232233799389922 0.7890724164478291;3.4048067597678
0.33545647843561455 1.0025433713815475;4.21906499720
-0.13849071549288017 0.7491627919446182;3.384366831204
0.28573833271633853 0.9445307549170124;3.892053025411
-0.28400678546396807 0.8567452707671389;3.8877703634874
0.22652699570999757 0.9270584504586791;3.5581303074584
-0.42166909435090427 0.9206631872605919;4.388305474197
-0.13859680660046086 0.8425836533592712;3.177013267907
0.39574142152175745 1.0873244024680655;4.706746818379
0.08030848343250102 0.6692378737356159;3.3217436337862
-0.1632631842062497 0.7531483060726847;3.474630065226
0.29227936635691876 0.9276329502842457;3.9140981774002
-0.2568022929425745 0.8788236856830564;3.7415082694465
0.3144850760383914 0.9495806876780506;4.036027273994
-0.19935695272750475 0.8383547178341479;3.4910588880296
0.3731043838090323 1.0122242294658013;4.387305960644
-0.01527345427605653 0.7394656567900793;3.1131374790914
0.04477765122942008 0.9998867746012202;2.692630095919
-0.2305813489347347 0.7387537135010873;3.765794553150
0.2139093282457395 0.8238770433169693;3.586856623175
-0.3360632763017256 0.9847335839146765;4.183326632386
0.13710369504129455 0.7787274671670641;3.3192002576643
-0.31799003029445566 1.0125994660043127;4.167682566678
0.19278412756918167 0.7296498099699135;3.6242245280081
-0.249963210923341 0.8397083317139002;3.7425892894448
0.2894406852755334 0.9546146998110281;3.9204734010763
-0.2769762454979345 0.8381381150597834;3.8698764727534
0.22605843091059669 0.9263235954122071;3.555367204251
-0.4225305262311489 0.9223338115607684;4.391695369115
-0.14146721198534523 0.8414175438362042;3.1934145526593
0.396028476384715 1.0835450771357213;4.692747023951
0.08002590527512293 0.6719142170152939;3.3189618424914
-0.16376412295068474 0.7619967959658183;3.461788618739
0.30198379213399495 0.9471742930974197;3.974895293565
-0.23667658799368618 0.8462161969744466;3.66996054837
0.32372788781139683 0.9718936784517241;4.107211400608
-0.17513826732314564 0.8008572864482016;3.439949537548
0.3455552949971862 1.0055079199182366;4.267758698145
-0.10488741876542412 0.7457258105736615;3.273755126854
0.25223350827105884 0.9680601112735415;3.7359016902325
-0.3843242555339973 0.8223975088543096;4.2705613426756
-0.0639025175088978 0.8401343272317645;2.8929166329793
0.24408144028065798 1.1578970013962113;4.461031979779
-0.2819602533798507 0.5468770194857429;3.8240989840510
0.046439450779465985 0.3556618587057352;2.5212638306885
-0.11416506857853498 -0.22912779482748047;1.8733149063692
