Point;Valeur
-1.1291803150787216 1.679267235595601;3.112843766560
-0.523653106771779 1.0737400272886584;13.096245735511
-0.16053474950196756 0.9482392030607316;14.426009279044
0.21908580684511314 0.9293184264902284;13.798168051595
0.6374107834548568 0.8053101856105395;11.382298195278
1.192938159733941 0.4864176586235633;5.043984008113
1.8864228959016325 0.08228044410165236;0.7421442888533
2.5428027391046255 -0.23797653795522322;2.7401111669514
2.833047352610848 -0.3370137256521061;5.402564855777
2.718788826758042 -0.18045282227066928;3.078698167520
2.4203894617267117 0.10075173013750366;0.5218423830609
2.129125958242344 0.393374754815536;0.6374706226716
1.9886769275339666 0.5629954145738272;2.1756238943078
2.024577844178453 0.5055284175431374;1.5437014409093
2.188099534648064 0.31694787777965927;0.3359999311195
2.3877872458303777 0.13445879344175335;0.389190863021
2.5204767845900173 0.03866423417231696;0.9340633881835
2.53144504310282 0.05408099721471282;0.8841315210022
2.444714606232449 0.15940149334375414;0.36180415072269
2.334870820437704 0.3032266160908954;0.15913470867409
2.2815064510404452 0.4164094397005598;0.41926759333520
2.324595402010317 0.4374277697388359;0.4190025161981
2.446381162589884 0.3742906884858892;0.11654510535248
2.5871066064101864 0.3000046366545722;0.11917760710712
2.6805498527647678 0.279466994541498;0.23506279394946
2.7015866905574084 0.33124471881086914;0.11860652923537
2.683119096797866 0.42482811877417237;0.026271447042043
2.6853615322861244 0.49119316110242817;0.1295429772792
2.740164315304361 0.47520009848821426;0.05237531504374
2.8197378552468653 0.41983676931551606;0.02395360131040
2.8696763375027614 0.4020499893101236;0.07428421403392
2.87136229953775 0.4434800527546395;0.012822764247600
2.8604067513804754 0.5000890734971415;0.030887554421045
2.880376506924437 0.5040712160010545;0.028309092814232
2.9249984488713245 0.4647134859111204;0.006236290003278
2.9512697613104044 0.4511137195831683;0.027576179755485
2.9450540155501788 0.48289326792550896;0.0007276586518707
2.938787425299102 0.5130209312293557;0.018804303149823
2.9585747607119277 0.49695104350933167;0.0014956455933876
2.982185645147905 0.47315691590314163;0.010931521103629
2.982071284130203 0.48493675029320776;0.0025301213390859
2.972797209708267 0.5101724308472408;0.006722111322299
2.981611304497088 0.5035697823374108;0.0015747444417013
2.997131775213754 0.4847902917518341;0.004715557250008
2.995550016209649 0.49265384398928513;0.0008867744578942
2.9880304112994955 0.5095224079100646;0.0036456503331101
2.9951048948044625 0.5009006590648722;0.00010688267928994
3.003300489015009 0.4899113633503615;0.0027078663684769
2.9978961021925064 0.500576519198973;2.8519243869369762e
2.9947457009037555 0.5071452809521391;0.001662895732963
3.0020203660700613 0.49571691051958416;0.0005256767816987
3.0022300359250007 0.49572619919630206;0.0005353289108830
2.996432076015617 0.5054532842374477;0.0009341133688473
2.99965405854255 0.4998310758577499;1.7843983660686064e
3.0021870629205285 0.4952879975983028;0.0006337191277612
2.997258170636279 0.502978520674962;0.0003107243103442
2.9982108013319073 0.5008105480803168;3.679770333196048e
3.000773104884492 0.49598566845454334;0.00040567057907907
2.9968585724938257 0.5018790839329198;0.00016467201341767
2.9976096101716956 0.5000490928546285;1.0414052327707884e
2.9992621907409607 0.49680576053595066;0.0002079567182948
2.9960204743920658 0.5017317420817239;0.0001730348555849
2.997771454865405 0.4984205850775677;2.497348090579972e
2.9976360124807324 0.4983436221792692;2.7150441065308455e
2.995846306812588 0.5011091504525939;0.00010825667372604
2.9981712389456483 0.49710851510597315;0.00013668665526917
2.995906936758173 0.5007783852973089;7.681227594642044e
2.9974238226195427 0.49823683901037163;3.0028772263756014e
2.9967213969367994 0.49944930220256145;3.3203392373525907e
2.996785956596618 0.49945419839784133;3.120861672867802e
PointOptimal;ValeurOptimale
[2.99678596 0.4994542 ];3.120861672867802e-06
Temps;Nb iteration
0.006159782409667969;69
