Point;Valeur
-1.1291803150787216 1.679267235595601;3.112843766560
-0.4739300962469949 -0.10339510561742471;21.09108815864
1.050222972431909 -1.3157406275758312;10.644531102884
1.2530954511748207 -0.4148500937507036;3.189455335340
1.6609008861755847 0.34688119234499915;1.862825195272
2.2144319296880814 0.617538967000284;2.0697391274366
2.8165976472232224 0.008124876297237904;2.0312249966354
2.9932154991622553 0.037871312660979595;2.5854789200987
2.806479381195638 0.6189991538840269;0.689134482704
2.7803598958915403 0.4507561039278176;0.011784785438468
2.774545983038736 0.3038102276246125;0.26350196085643
2.6904583975904752 0.41757016970959576;0.02232368512175
2.6424508206584703 0.4921694931942132;0.17486485588228
2.6761065709699645 0.3344647760287629;0.09745122548905
2.6679814491137734 0.34018374069764473;0.08357784109929
2.6348620465921004 0.45292235087030636;0.0828527404607
2.658492396647597 0.41768779988597043;0.031046097011936
2.6974348705087996 0.36338574367502263;0.05876090418097
2.704787206090548 0.41495783536203773;0.019788446720030
2.7187794687777957 0.4578855943979758;0.03889442429474
2.7609323079450783 0.410104399387759;0.021694033137280
2.783552405241063 0.4249602434578189;0.01411644715015
2.795940599366393 0.4708813323615338;0.020536948481090
2.828012845197689 0.44238615078197496;0.008272264773046
2.848364479392145 0.44860348061436206;0.006754907866918
2.859616280414794 0.4799873511767505;0.009249234788896
2.8830996156755657 0.45954182631168244;0.0044452572742828
2.8962959038347047 0.4694276528364849;0.0022128741813070
2.9059224231358085 0.48617562115470514;0.003814953103623
2.9226077357902702 0.47016972455449413;0.0030930120422491
2.9295339054765535 0.48464493942858744;0.0010061559319377
2.9381396131326056 0.4879185284021269;0.0009411964401457
2.948497236000302 0.48002633067117323;0.001469660517023
2.952243871334464 0.4931274588958428;0.0009753849557100
2.959825054399156 0.4877947016059553;0.00036401010248940
2.9647624415765836 0.4896020624022325;0.0002581764122065
2.9680361428718394 0.49514711840212516;0.0003936678596757
2.9734507154482688 0.48987805580911464;0.00038185521301069
2.9754502182935783 0.49580373945135364;0.00018451310914189
2.9788720080166673 0.49431632463994335;7.671112047215907e
2.9815356030504567 0.49423923103173933;8.523920891536204e
2.9830319681726882 0.4973812373381772;0.00010614058881918
2.985674874689343 0.49477987410545754;9.454380013415927e
2.9866942873640157 0.4975467199705201;4.570249212179549e
2.988353115378809 0.49687963823653875;2.307746320952705e
2.9896461275925574 0.49688661326322076;2.3859067549686808e
2.9904085225403594 0.49832351996402846;2.641466003517449e
2.991686636767175 0.4971210289947944;2.6121141511267554e
2.9921899101799547 0.4984882714102069;1.4093825430964403e
2.9930328376083257 0.4980627616569004;8.78616881988567e
2.993636343717339 0.4982094471403563;7.5206130669136845e
2.99404842034326 0.498787761726519;7.341131051386401e
2.994663666926843 0.4982681922041992;8.349936356832617e
2.9949162474889173 0.49894442413794354;5.1483374410685056e
2.995352009365103 0.49867305706382153;4.154985156284891e
2.9956313479718353 0.49883773567181705;3.2056318322439744e
2.9958605352841214 0.49903913062714184;2.859326053301201e
2.9961551595823344 0.4988370214527254;3.3691195580932495e
2.996287271814943 0.49915990328480175;2.369593093114098e
2.996512502062093 0.49900314787993827;2.347038136812787e
2.9966434531814716 0.49912918614019947;1.8420611376146885e
2.996771813952347 0.4991839172395219;1.678864154315781e
2.9969125048622156 0.4991181924295807;1.8359257754928403e
2.996984540602986 0.49926466081105075;1.4643986160245391e
2.997100094162495 0.49918304135053143;1.5665312442864026e
2.9971632528980034 0.4992635051998052;1.3159869548169191e
PointOptimal;ValeurOptimale
[2.99716325 0.49926351];1.3159869548169191e-06
Temps;Nb iteration
0.0054209232330322266;65
