Point;Valeur
0.5099723672938907 0.22023671093513553;8.82596424943
0.5523447378837386 0.17786434041319657;8.344362772230
0.5945326463996882 0.13695641337160802;7.880577900891
0.6363848384050963 0.09823100020311362;7.4383115736615
0.6777739680319159 0.06209727878015731;7.019479592161
0.7185959110807173 0.028784934342730224;6.624810841683
0.758767847753283 -0.0015896952921126417;6.254239881171
0.798225607316074 -0.02898087654961968;5.907183400222
0.8369209317214278 -0.05338364722339724;5.582730179537
0.8748190179057392 -0.07481301661197767;5.279766008885
0.9118964796198255 -0.09329020873233082;4.997052411607
0.9481397418572912 -0.10883470608804786;4.733275027631
0.9835438134107742 -0.1214614202042107;4.487074170584
1.0181113493630234 -0.13118310752405668;4.2570670432583
1.0518518963118788 -0.13801959731317937;4.041868777385
1.0847811929453237 -0.1420182525045625;3.8401181225059
1.1169203579863938 -0.1432949168580825;3.6505135225940
1.1482947105696932 -0.1421055308661744;3.471865699396
1.1789318530556918 -0.1389182626073412;3.3031644468901
1.2088588647883785 -0.1343398359420003;3.1436171482811
1.2380998383017048 -0.12886186149266995;2.9925994641979
1.2666757299700853 -0.1227576183723004;2.8495727063052
1.294605632113126 -0.11616524112674469;2.7140440308101
1.321907706934473 -0.10916553407656898;2.5855565858856
1.3485995824565826 -0.10181685083467544;2.463687007697
1.3746984815812477 -0.09416814829779173;2.3480436769449
1.400221247490854 -0.08626377335860602;2.2382647557210
1.4251843319429176 -0.07814524656147055;2.1340160184410
1.4496037719663186 -0.06985191817580486;2.0349885870410
1.473495164948023 -0.0614211777781109;1.9408966593690
1.4968736461423449 -0.05288847821082571;1.8514752956574
1.5197538702267448 -0.04428728088278033;1.7664783107187
1.5421499974963826 -0.035648970016817716;1.6856763066144
1.5640756848262214 -0.027002759264337012;1.6088548699256
1.5855440813140822 -0.01837560365445637;1.5358129484725
1.606567828416777 -0.009792124984840264;1.4663614140622
1.6271590643392582 -0.001274556243568127;1.4003218105779
1.6473294324050074 0.007157290883944102;1.337525280541
1.6670900931090953 0.015486032518390822;1.2778116582647
1.6864517395241532 0.023696691217695635;1.2210287139468
1.7054246156945683 0.03177664586687734;1.1670315305681
1.7240185376130825 0.0397155529924079;1.1156819941455
1.7422429163318185 0.04750524071824364;1.0668483777468
1.7601067827205417 0.055139577612997;1.0204050004499
1.7776188133519712 0.0626143196382618;0.9762319439897
1.794787356974792 0.0699269392420992;0.9342148119357
1.811620461030957 0.07707644128953725;0.8942445186627
1.8281258976895596 0.08406317093677942;0.8562170979072
1.8443111889050696 0.0908886187053588;0.8200335231538
1.8601836300622479 0.09755522788606037;0.7855995343349
1.8757503118410828 0.10406620901192548;0.7528254672465
1.8910181400186685 0.1104253655238119;0.7216260836416
