Point;Valeur
1.8540496181577035 0.06052969416700549;0.8156799602015
1.9040496180877355 0.11052969363254185;0.697279910931
1.938825997084447 0.1319805434897705;0.629425959250
1.9663874293336907 0.14568064440000847;0.5800372186577
1.9896188177017227 0.15609747702971727;0.5408351615237
2.009911012739535 0.16472825523104767;0.5082507357490
2.0280507881321395 0.17221294753889568;0.48036741500383
2.0445306589690606 0.17888239090635466;0.45602006711900
2.059681785865089 0.18493283886274087;0.4344406322848
2.073739008456728 0.19049218739390378;0.4150928449790
2.0868758264408394 0.19564940017972005;0.3975857917143
2.0992246418715483 0.2004693640134002;0.38162478743454
2.1108891760026234 0.20500114651909335;0.3669816307102
2.121952456025805 0.20928292889500572;0.35347566441632
2.132482157788202 0.21334511992886385;0.3409612131667
2.1425342993130636 0.21721241014166914;0.32931896266
2.152155866575833 0.2209051763764454;0.3184498720489
2.1613867256075925 0.2244404715399389;0.3082707681334
2.170261044272701 0.227832740082012;0.29871108851578
2.178808368983888 0.23109434673883045;0.2897104287488
2.1870544533982366 0.234235974855864;0.281216664614
2.195021905475473 0.23726693157504453;0.2731844935743
2.202730699270646 0.24019538519539813;0.2655742869711
2.210198584470782 0.24302855227094214;0.2583511761457
2.217441417574207 0.245772846873602;0.25148431703699
2.2244734322825024 0.2484340009778018;0.244946292686
2.2313074622032283 0.2510171625154514;0.23871262349809
2.2379551257532624 0.2535269759693326;0.23276136257685
2.2444269808174164 0.2559676491628275;0.22707275887162
2.2507326549957867 0.258343009032964;0.22162897484362
2.256880955988956 0.2606565485321413;0.2164138483272
2.2628799657012904 0.2629114663263804;0.211412690482
2.268737120904365 0.2651107005994887;0.20661211343041
2.2744592827341665 0.26725695800090904;0.20199988245146
2.280052796855013 0.2693527385647736;0.1975647886500
2.28552354577773 0.27140035726604755;0.19329653874894
2.290876994547391 0.2734019627543493;0.18918565931263
2.2961182307995616 0.27535955370428167;0.1852234131795
2.301252000010847 0.27727499314474136;0.18140172627350
2.3062827366301755 0.2791500210642831;0.17771312327988
2.3112145916642617 0.28098626554089573;0.17415067092371
2.316051457198724 0.2827852526020827;0.17070792779349
2.3207969882608737 0.28454841498873495;0.1673788998220
2.325454622368134 0.2862770999685381;0.16415800067458
2.3300275970546864 0.28797257632274026;0.16104001640671
2.3345189656261174 0.2896360406104227;0.15802007385226
2.338931611356224 0.29126862280050747;0.1550936122764
2.3432682603102295 0.2928713913480073;0.15225635789815
2.3475314929533577 0.29444535777981945;0.1495043009396
2.3517237546825105 0.2959914808481134;0.14683367490817
2.3558473654006407 0.29751067029893014;0.14424093785498
2.3599045282380673 0.2990037903003769;0.14172275538839
2.3638973375117813 0.3004716625660245;0.13927598524899
2.3678277860025547 0.3019150692072634;0.13689766327712
2.3716977716199805 0.303334755342279;0.13458499062514
2.375509103517131 0.3047314314869712;0.13233532208448
2.379263507709416 0.30610577574973996;0.13014615541317
2.3829626322458455 0.30745843584944865;0.128015121562
2.3866080519755033 0.3087900309739629;0.1259399757167
2.3902012729472744 0.310101153494238;0.12391858905768
2.393743736476719 0.31139237054774127;0.12194894119929
2.3972368229103105 0.3126642255030742;0.12002911321416
2.4006818551141156 0.3139172393166222;0.1181572812060
2.404080101711166 0.31515191179078206;0.11633171037506
2.4074327800892314 0.3163687227428284;0.1145507495319
2.4107410591986254 0.3175681330911652;0.11281282602092
2.414006062157608 0.3187505858671798;0.11111644101610
2.4172288686813372 0.31991650715787123;0.10946016515844
2.4204105173487047 0.3210663069857026;0.10784263450475
2.4235520077201094 0.3222003801301595;0.10626254676243
2.4266543023179032 0.3233191068963389;0.10471865778610
2.4297183284802832 0.32442285383391817;0.10320977831501
2.432744980098309 0.32551197441112145;0.1017347709315
2.4357351192449395 0.3265868096466068;0.10029254722327
2.4386895777041517 0.32764768870276195;0.09888206513305
2.4416091584075255 0.32869492944293105;0.09750232648152
2.4444946367850307 0.32972883895569116;0.09615237464988
2.4473467620361866 0.3307497140480233;0.09483129241021
2.450166258327225 0.3317578417099638;0.09353819989247
2.452953825919481 0.3327534995528101;0.09227225267805
2.455710142233726 0.33373695622205723;0.09103264001067
2.458435862854837 0.33470847178798024;0.08981858311614
2.461131622480849 0.3356682981140046;0.08862933362317
2.4637980358200675 0.3366166792054823;0.08746417207823
2.466435698439664 0.33755385153944645;0.08632240654774
2.469045187568955 0.33848004437704343;0.0852033713017
2.4716270628602164 0.3393954800592859;0.08410642557310
2.4741818671097846 0.3403003742878953;0.08303095238815
2.4767101269419305 0.3411949363911424;0.08197635746237
2.479212353457797 0.34207936957688034;0.08094206815840
2.4816890428515865 0.3429538711722889;0.07992753250138
2.4841406769959566 0.34381863285216807;0.078932218248
2.4865677239984945 0.3446738408557976;0.07795561200750
2.4889706387309802 0.345519676193358;0.07699721840589
2.4913498633330593 0.3463563148425517;0.07605655929988
2.493705827691796 0.34718392793564057;0.07513317302820
2.496038949898497 0.34800268193802486;0.07422661370355
2.4983496366841305 0.3488127388181833;0.07333645054082
2.500638283834504 0.3496142562101376;0.0724622672197
2.5029052765863815 0.3504073875682386;0.07160366127961
2.5051509900055615 0.3511922823151804;0.07076024354500
2.5073757893479103 0.3519690859832168;0.06993163757931
2.509580030404286 0.352737940349419;0.06911747916585
2.511764059830221 0.3534989835646792;0.0683174158140
2.513928215461151 0.35425235027736174;0.06753110628971
2.516072826613977 0.3549981717516151;0.06675822016774
2.5181982143756727 0.35573657598062597;0.06599843740635
2.5203046918795886 0.3564676877949164;0.06525144794125
2.5223925645700946 0.3571916289665631;0.06451695129893
2.5244621304561776 0.3579085183087747;0.06379465622790
2.5265136803545003 0.35861847177125555;0.06308428034691
2.528547498122493 0.35932160253225576;0.06238554980929
2.530563860881946 0.36001802108625935;0.06169819898253
2.532563039233571 0.3607078353286184;0.06102197014220
2.5345452974629903 0.3613911506367514;0.060356613179623
2.5365108937385323 0.3620680699479967;0.05970188532243
2.538460080301262 0.3627386938346293;0.05905755086749
2.5403931036475824 0.3634031205758957;0.05842338092533
2.54231020470478 0.36406144622722714;0.05779915317581
2.54421161899982 0.36471376468709976;0.05718465163414
2.5460975768217375 0.365360167761003;0.05657966642693
2.547968303377874 0.36600074522328163;0.05598399357776
2.549824018944274 0.36663558487668546;0.05539743480167
2.551664939010486 0.36726477260950546;0.054819797308299
2.553491274419035 0.3678883924510407;0.054250893613110
2.5553032314997823 0.36850652662450717;0.05369054135644
2.5571010121994098 0.3691192555986364;0.053138563129883
2.5588848142062517 0.3697266581369724;0.0525947863097
2.560654831070644 0.3703288113457151;0.052059042897077
2.5624112523210196 0.3709257907197213;0.05153116936443
2.564154263575914 0.371517670187018;0.05101100650824
2.5658840466520427 0.37210452215169165;0.05049839930737
2.567600779668657 0.372686417535452;0.049993196787
2.569304637148273 0.37326342581747474;0.049495251888176
2.570995790113976 0.3738356150732949;0.04900442134152
2.5726744061834204 0.37440305201215485;0.0485205655469
2.5743406496596615 0.37496580201307683;0.04804354845724
2.57599468161894 0.37552392915994737;0.04757323746592
2.5776366599955582 0.3760774962752497;0.04710950329994
2.5792667396639555 0.3766265649527354;0.046652219915896
2.580885072518085 0.37717119558921974;0.0462012644002
2.5824918075482244 0.37771144741509166;0.045756516873260
2.5840870909152844 0.37824737852393403;0.045317860396404
2.585671066022747 0.37877904590146594;0.04488518088316
2.5872438735863006 0.37930650545299455;0.04445836701308
2.5888056517012776 0.37982981203073923;0.04403731014885
2.5903565359079646 0.38034901945962446;0.04362190425644
2.5918966592548713 0.3808641805627559;0.04321204582800
2.5934261523600437 0.381375347185862;0.04280763380752
2.5949451434704702 0.3818825702210932;0.04240856951912
2.5964537585196803 0.3823858996300476;0.04201475659778
2.597952121183586 0.3828853844661393;0.04162610092255
2.5994403529346286 0.3833810728963516;0.041242510552000
2.6009185730943063 0.3838730122221237;0.04086389566194
2.6023868988841214 0.3843612488999478;0.04049016848523
2.6038454454750255 0.3848458285610111;0.04012124325362
2.605294326035397 0.3853267960306915;0.03975703614162
2.6067336517776254 0.3858041953469223;0.039397465212121
2.608163532003308 0.38627806977854634;0.03904245036398
2.6095840741471727 0.386748461842973;0.03869191328127
2.6109953838197177 0.3872154133231066;0.03834577738414
2.612397564848634 0.3876789652841791;0.03800396778143
2.6137907193190415 0.3881391580898295;0.03766641122469
2.615174947612604 0.388596031417737;0.03733303606379
2.616550348445523 0.3890496242751163;0.037003772203906
2.6179170189054966 0.38949997501336725;0.03667855106388
2.619275054487619 0.3899471213426487;0.03635730553600
2.6206245491293223 0.3903911003457864;0.03603996994689
2.6219655952443213 0.39083194849214425;0.03572648001982
2.623298283755668 0.3912697016507899;0.03541677283802
2.624622704127882 0.3917043951033595;0.035110786809332
2.6259389443982224 0.3921360635569114;0.034808461631745
2.627247091207125 0.39256474115586293;0.03450973826019
2.628547229827818 0.392990461494209;0.03421455887424
2.629839444195153 0.3934132576269198;0.03392286684684
2.6311238169336795 0.39383316208149577;0.03363460671395
2.6324004293849748 0.394250206868643;0.033349724145179
2.6336693616342637 0.3946644234933678;0.03306816591520
2.634930692536355 0.39507584296527576;0.03278987987617
2.6361844997408905 0.3954844958086288;0.032514814930792
2.637430859716951 0.3958904120725841;0.03224292100631
2.6386698477770483 0.3962936213405555;0.03197414902924
2.6399015381004807 0.3966941527399138;0.031708450900821
2.6411260037561233 0.39709203495094586;0.03144577947317
2.642343316724621 0.39748729621599793;0.031186088526212
2.6435535479200505 0.3978799643481518;0.030929332745161
2.644756767211018 0.39827006673970683;0.030675467698758
2.645953043441256 0.39865763037069885;0.030424449818060
2.647142444449699 0.3990426818166128;0.030176236375872
2.648325037090066 0.39942524725679485;0.02993078546674
2.649500887249977 0.3998053524817523;0.02968805598754
2.650670059869592 0.4001830229010063;0.029448007618580
2.651832618959812 0.40055828355015394;0.02921060080523
2.652988627620027 0.4009311590983819;0.028975796740126
2.654138148055458 0.4013016738551334;0.028743557345769
2.655281241594067 0.4016698517772361;0.028513845257691
2.656417968703089 0.4020357164754319;0.02828662380803
2.65754838900515 0.4023992912208671;0.028061857009614
2.6586725612940194 0.40276059895167465;0.02783950954036
2.6597905435500064 0.4031196622789105;0.027619546728265
2.6609023929549735 0.40347650349292463;0.027401934536642
2.6620081659070234 0.4038311445690015;0.027186639549868
2.663107918034831 0.4041836071735245;0.02697362895944
