Point;Valeur
-1.0123012574806012 -49.11722045567717;4826.298101083
-0.9826590941151098 -43.92553423282284;3860.000639578
-0.8770791415634518 -35.275435917479506;2489.86805780
-0.6769781593422393 -24.63365370897381;1213.8238939393
-0.5464575534192976 -13.504021024347017;364.60894233115
-0.4661119417858274 -3.137899643941914;20.0494741603
-0.4141895550895809 5.37302593651917;58.134339870676
-0.3723931176380501 11.656976576726198;272.2982918371
-0.31902143766888397 15.45542355530452;477.90207719086
-0.21693026306449686 16.957852051705014;575.0797759827
-0.05133164964297887 16.441407490049404;540.1693545929
0.03320796829039244 14.340378917384067;411.1266219588
0.04006633961583461 11.206657731868567;251.14058221393
0.012746521269622745 7.620834051048698;115.84189638835
-0.0030045557931723983 4.039636161297498;32.09146988757
-0.004430818837172789 0.8515433775761863;1.2318775140188
-0.001493518115759561 -1.7955626217161078;6.383467387129
0.00024871978142790253 -3.633256486698372;26.130105328392
0.0004219237240167318 -4.742214431184772;44.95585896819
0.0001097479917076962 -5.109646226946588;51.863280324391
-8.013072098623212e-05 -4.93666039827028;48.24534189125
-0.00010080701347842181 -4.3218008148867435;37.22947593168
-6.765892036698123e-05 -3.409775979868173;22.83464001624
-4.697824369173549e-05 -2.2416024964273245;10.028005974448
-4.4532676939543456e-05 -1.024921860685276;1.5345490122102
-4.8049635631071974e-05 -0.009011878526759665;-0.5780439859669
-5.030101227370979e-05 0.8905995895961286;1.2317976975116
-5.058806234583956e-05 1.4538346382208933;3.693080915798
-5.021523169773267e-05 1.8006368012386562;6.409786321394
-4.997025228954687e-05 1.8002016373870386;6.407558917224
-4.99367779101534e-05 1.6662746614915387;5.391746325492
-4.9976267093125656e-05 1.3351096881330458;3.399588487349
-5.000291189239259e-05 0.8876711580176346;1.2315238376037
-5.000679364668047e-05 0.4505777138721145;-0.12167300170769
-5.000261493414366e-05 -0.00880796448422827;-0.5781314167774
-4.9999718281022056e-05 -0.45290790070701675;-0.12213506660335
-4.999927032475709e-05 -0.8462622997447293;1.2312522669739
-4.999971221573768e-05 -1.0147763907182268;1.4843555085893
-5.00000269837381e-05 -0.9632939918510669;1.305132952265
-5.000007845240165e-05 -0.9008499589897163;1.2336972850983
-5.000003171576177e-05 -0.8425250790919295;1.2308174721477
-4.999999750979672e-05 -0.7530384443747498;1.11392975456
-4.9999991602416674e-05 -0.5282539678620053;-0.004431621745776
-4.9999996512826006e-05 -0.37014737164000977;-0.008918011352636
-5.000000021917694e-05 -0.18213889140757977;-0.049438477816736
-5.0000000919907395e-05 0.003596494161749314;-0.5796881825344
-5.0000000410574904e-05 0.07344883356333269;-0.4581743682932
-4.9999999971701885e-05 0.030845559769665826;-0.5573245731495
-4.9999999898628685e-05 0.0017202265197549874;-0.5799286270984
-4.999999994905673e-05 0.005650781655532643;-0.5792304629408
-4.999999999393769e-05 -0.002359428705706478;-0.5798657667681
-5.000000003388175e-05 0.0023182927557788193;-0.5798704050610
-5.000000004056616e-05 -0.0016980266181084343;-0.5799304563957
-5.0000000017649486e-05 0.00127018969448944;-0.579961069676
-4.9999999997253644e-05 -0.0010529023630850825;-0.5799732384326
-4.999999997910135e-05 0.0007278265701493435;-0.5799871935499
-4.99999999629458e-05 -0.0006488024656859973;-0.5799898161445
-5.0000000006298966e-05 0.00041240425597693616;-0.5799958639903
-5.0000000016017484e-05 -0.00040671617054208284;-0.5799959763141
-5.0000000024666964e-05 0.0002253156793628349;-0.5799987403006
-5.0000000003499204e-05 -0.000262463967759912;-0.5799983034615
-5.0000000013525696e-05 0.00011397390086812827;-0.5799996510271
-5.000000002244927e-05 -0.00017654926556829378;-0.5799992127552
-5.0000000001525455e-05 4.7667813953854014e-05;-0.5799999094115
-4.999999998290326e-05 -0.00012537785657468803;-0.5799995852232
-4.999999996632951e-05 8.175184614478431e-06;-0.5799999625788
-5.0000000009310467e-05 -9.489854072376089e-05;-0.5799997470806
-5.000000001869772e-05 -1.5348091380877572e-05;-0.5799999585111
PointOptimal;ValeurOptimale
[-5.00000000e-05 -1.53480914e-05];-0.5799999585111313
Temps;Nb iteration
0.004556417465209961;67
