Point;Valeur
-1.7658588340746348 -65.52429242406323;8589.895176450
-1.465843768207188 -65.22427727293262;8510.731973433
-1.0528544654764334 -64.92490804339815;8431.695095018
-0.9756069482776899 -64.6294979456691;8355.203743127
-0.7317449979974773 -64.32964347411706;8277.047281432
-0.4500426787188189 -64.03682690647285;8201.518480440
-0.6073975520590241 -63.74079433894679;8126.170386615
-0.63578093042029 -63.447066191657534;8050.9569500820
-0.5901507774877133 -63.15712097402901;7977.876798580
-0.6583684275394868 -62.86283472637965;7903.648983693
-0.5505716136726801 -62.57672139661218;7831.69797375
-0.6885718592872972 -62.28514211380049;7759.311496404
-0.5006425510403363 -61.99942548409804;7687.826354218
-0.6768984793860163 -61.713356251777995;7617.48710021
-0.519193760668063 -61.426806977378284;7546.55113871
-0.6878728885675203 -61.14619166004534;7477.966336520
-0.5015888408988006 -60.86009337159959;7408.201173606
-0.6776704739487517 -60.58267683543101;7340.540318552
-0.5180201658102422 -60.299398441175214;7272.4803057970
-0.6873776539227067 -60.022907399926126;7205.408531859
-0.5022849888158294 -59.74429276706733;7139.286146728
-0.6782220160079786 -59.46771953351427;7072.723818383
-0.5171711162992795 -59.19418047840476;7008.335026694
-0.6870059809749856 -58.917803696393456;6942.6492068052
-0.5028217163117047 -58.64851626501941;6879.6233174578
-0.6786376434486172 -58.37333533219772;6815.060868864
-0.5165246607219683 -58.10703032667181;6753.011518946
-0.6867154679595826 -57.834177365092046;6689.898481093
-0.5032498225981341 -57.56978131435462;6628.624443404
-0.6789631108778432 -57.300124684096595;6566.997847508
-0.5160141093546903 -57.037012027731926;6506.4123889273
-0.6864814119673928 -56.77099411820572;6446.338331448
-0.5036002140441551 -56.50896145315327;6386.490658350
-0.6792254832183728 -56.24663643517234;6327.811416770
-0.5155995971629457 -55.985762307448724;6268.7575267381
-0.6862883651955609 -55.7269381711526;6211.427706868
-0.503892885390361 -55.467437956636054;6153.259366063
-0.6794418533089808 -55.21182227641545;6097.102841508
-0.5152557038640491 -54.95394523593901;6039.8602939
-0.6861261384451567 -54.70124174745348;5984.856563001
-0.5041413875779099 -54.4452167320308;5928.589473009
-0.6796235790881322 -54.19516730382455;5874.612558923
-0.5149653895094538 -53.94118645095138;5819.31926118
-0.6859877151017888 -53.69357425351361;5766.387883073
-0.5043552634409791 -53.44180076915367;5712.085806386
-0.6797785140618486 -53.196432275090125;5660.104121114
-0.5147167770359171 -52.94702033537913;5606.777175773
-0.6858680955954857 -52.703699348136844;5555.769092253
-0.5045414406420626 -52.45681654706307;5503.437155111
-0.6799122751136708 -52.21532009584999;5453.297749802
-0.5145013106601486 -51.97116380619495;5401.965755402
-0.6857636111140509 -51.73122963082773;5352.687602860
-0.5047050829274841 -51.49002803096332;5302.409597069
-0.6800289933632836 -51.25136568616724;5253.8497434690
-0.5143126605222571 -51.01335339728225;5204.672554598
-0.6856715073702611 -50.7756923854943;5156.782352341
-0.5048501233075705 -50.54105205876907;5108.793490291
-0.6801317757725535 -50.30423492924014;5061.414545015
-0.5141460362312893 -50.07300222692665;5014.665357331
-0.685589668536637 -49.83711194279868;4967.778577619
-0.5049796157360218 -49.60905454954654;4922.301785937
-0.680223007747685 -49.37453283280262;4875.855777287
-0.5139977421114817 -49.1490396074373;4831.564224071
-0.685516444849914 -48.91671762025005;4785.725024793
-0.5050959664879349 -48.692780579789016;4742.425162819
-0.6803045519858455 -48.46373162350256;4697.380435504
-0.5138648768962798 -48.24015601086384;4654.7281308540
-0.6854505281150537 -48.015330102900236;4610.843560660
-0.5052010998325087 -47.79126416099896;4568.493580622
-0.6803778863626336 -47.57098737218623;4525.987306419
-0.5137451302571463 -47.34659101798484;4483.72239088
-0.6853908646573359 -47.13013357356116;4442.691451556
-0.5052965822513743 -46.9068693016379;4400.639969194
-0.6804441993255719 -46.69236626245069;4360.729383902
-0.5136366363507806 -46.47245691268358;4319.340479752
-0.6853365988851671 -46.257601304704444;4279.984399078
-0.5053836934829932 -46.04274232363679;4239.867865911
-0.6805044584409883 -45.82642404598277;4200.448415775
-0.5135378722980497 -45.61646939062478;4161.920148609
-0.6852870253678658 -45.40015705886459;4122.435697890
-0.5054634915543742 -45.192692893530335;4085.2095137686
-0.6805594566428056 -44.97967433133051;4046.237019017
-0.513447583574385 -44.77132362719656;4009.438554249
-0.6852415590217928 -44.56397444729481;3971.875490788
-0.5055368633101298 -44.3536017212262;3934.798278367
-0.6806098546281893 -44.15100361191438;3898.8779325197
-0.513364723207365 -43.941608058110425;3861.7477502756
-0.6851997097907696 -43.739716749607325;3826.777371566
-0.5056045564135649 -43.535518537706245;3790.6699761599
-0.6806562069422227 -43.331039263405444;3755.470755299
-0.5132884095796011 -43.132690130238835;3721.1109230565
-0.6851610615293973 -42.9277805863665;3685.5902906599
-0.5056672051275464 -42.731035121860394;3652.3944945515
-0.6806989798563828 -42.53104401548746;3617.686418179
-0.5132178994119906 -42.331394341920465;3584.265876654
-0.6851252626661406 -42.13765924831267;3551.382933771
-0.5057253509238204 -41.93735949909701;3517.5261814278
-0.6807385712275326 -41.74485473733256;3485.7112485360
-0.5131525570653374 -41.550099526039034;3452.82145523
-0.6850920096400778 -41.354121965996434;3420.573291504
-0.5057794610011752 -41.165347730761;3389.5471494066
-0.6807753199285611 -40.969982816710555;3356.984772170
-0.5130918391513993 -40.78055950077037;3326.5940134572
-0.6850610424397598 -40.59203067851648;3295.486999770
-0.5058299388004381 -40.39914271822521;3264.337202182
-0.680809520567043 -40.214729223748435;3234.868000250
-0.5130352739993733 -40.02555038176591;3204.0501171648
-0.6850321347448972 -39.83770825551089;3174.38621397
-0.5058771351641758 -39.65563203465503;3145.482746400
-0.6808414258161983 -39.46701292137662;3115.2001501988
-0.5129824552237531 -39.28466392786842;3087.0500281428
-0.6850050892193887 -39.103230115748566;3058.2232653316
-0.5059213585013507 -38.917014772696156;3029.1662411000
-0.6808712580665665 -38.73907759371728;3001.8759023503
-0.5129330226930684 -38.55789318211904;2973.4397631432
-0.6849797332838236 -38.375404706055456;2945.515603311
-0.505962878333076 -38.20052214264128;2919.026531362
-0.6808992100954305 -38.02001494339866;2890.938201051
-0.5128866674044567 -37.841701110709465;2864.3291674901
-0.6849559150670474 -37.66893355860418;2838.217571187
