Point;Valeur
-16.973668163474144 29.445462824694914;2022.250003692
-16.84366816347414 29.315462824694908;2002.7215361519
-16.664353450299235 29.136225504517878;1975.2793875235
-16.45055103584393 28.922020428400007;1943.5659829505
-16.210663141225382 28.68096895586408;1908.2835151531
-15.948499172435206 28.417924357310756;1869.1023118626
-15.668916483758304 28.1370579462504;1829.245200805
-15.374406985525551 27.840832174184957;1786.4350236128
-15.067051976673932 27.53214071831272;1743.0381927433
-14.749826272273431 27.21251857238819;1698.6367415717
-14.423083706968495 26.88361484724852;1653.651507679
-14.089905460723463 26.54732406040738;1607.6157414837
-13.749825413618769 26.204303431485158;1562.8363058632
-13.405738877109673 25.85565351717338;1516.5780588282
-13.056946858980842 25.50288766249881;1471.2564222918
-12.70584958362475 25.146417578761138;1425.9179256382
-12.352059136377399 24.786650292117084;1381.8755952111
-11.997076515339193 24.42483916917651;1336.6113739499
-11.641355327114402 24.061719994784408;1293.5454752665
-11.285140820435531 23.697177248952052;1250.4177848239
-10.930045207426048 23.331766300801135;1208.5903980744
-10.574961900355438 22.966597138628;1166.3085418358
-10.222608113301595 22.601837656189545;1126.2584386675
-9.870761217246056 22.23723372002936;1086.593814873
-9.522899717838952 21.873516863345447;1047.656563153
-9.176102152496341 21.511547500171247;1009.390502163
-8.834218366378886 21.1510171433079;972.8668902186
-8.493985770154692 20.791809041325717;937.0056726618
-8.159388758403981 20.434892987599127;901.5333675353
-7.826984041058917 20.080577742298317;867.5905144120
-7.500842343709884 19.728242326682338;834.9417073418
-7.17734936177545 19.37838476475266;802.5158764503
-6.860662379372766 19.03183305546886;771.3085524355
-6.547078062470385 18.687972507030928;741.4152406948
-6.24058387585283 18.346790628100745;712.4440273686
-5.93791691878489 18.00930473217523;683.4007892190
-5.641993546361352 17.67502241774341;657.1014951397
-5.351293311535681 17.34367957264854;630.0544501415
-5.06611752426433 17.01633834183319;604.7465831895
-4.78821720323321 16.69242336283065;580.2871186168
-4.514494527519156 16.371764476239708;556.4205313313
-4.249253113382226 16.055378223833976;533.6022324022
-3.988758974774883 15.7423623834031;511.53453839498
-3.734947327342175 15.433097296145462;490.36407207784
-3.488991183786483 15.128111506404126;469.87244941055
-3.2473545340448364 14.826420002284413;450.14450577451
-3.0140476412388812 14.52913779077752;431.3121086945
-2.787667612199557 14.23557737383316;413.22466352423
-2.5658874092110753 13.945878140786533;395.1665640494
-2.352781816728116 13.660540345917656;379.17221749760
-2.1467871612975062 13.378654924914708;362.5167749749
-1.945209201417415 13.101391148886892;346.7340004238
-1.7515803782927817 12.827554116085496;332.52649782171
-1.5663626560440524 12.558247494526151;317.8400091558
-1.3858424726676875 12.292540025923781;304.11056926556
-1.2108654527424407 12.03116303133773;290.5837735660
-1.0447706081047292 11.773549892180204;278.86601522932
-0.8861733438431545 11.520115506907507;266.0836260927
-0.7318977924177711 11.270505348377966;254.6099430441
-0.5826998502162654 11.02502487200324;242.96475546390
-0.44168501460273835 10.783300053545782;233.16675140960
-0.30903396744723466 10.545767028325667;222.57911875016
