Point;Valeur
-2.2574810079328813 11.447030495550464;267.1715571372
-1.0314810080839834 10.221030495553686;210.5514239983
-0.7976565030245887 9.369227799719402;176.12242343529
-0.12436106601305852 8.770113953213919;153.99989450690
0.298600173149294 8.22888482707334;136.07252302520
0.07912008356384773 7.7381574684342915;119.82094104470
-0.21499492193536765 7.310398671211452;107.26519754186
0.18266092686708232 6.961005330122385;96.74255668747
-0.21739712306712575 6.632293675400778;88.18556191274
0.1393251383421555 6.271995981589143;78.88819666364
-0.21040887500597524 5.990308107299801;71.65413289326
0.12576716232891996 5.722158689001052;65.6522568368
-0.18438772312070204 5.454298556884364;59.34753662943
0.14406935628322423 5.236487935745285;55.074930621617
-0.16332883560904185 5.005071290550334;49.839285995729
0.14404804845156513 4.790879588811402;46.106194877836
-0.1451208431025385 4.608509603831813;42.37967156191
0.13696310147764 4.383522915429711;38.33648176270
-0.13217168815984967 4.240169988216897;36.15759565896
0.1266239046441545 4.0643760489241485;32.75052149750
-0.12157397610194551 3.8765442715273895;29.94084478445
0.11650256119350877 3.757366788777131;28.39137387556
-0.11181305642168507 3.61224003420758;25.91607549810
0.1071016165530789 3.4371347167870216;23.282473549642
-0.10276401133619356 3.3276539547184623;22.144103198916
0.09839577398603089 3.2268384167586635;20.922892711138
-0.09439226528623243 3.0927008572141372;18.83904388651
0.09034872471811439 2.943397210750317;16.925578880797
-0.08666031392614088 2.8529547882874082;16.15741440304
0.08292215385633914 2.7765114209185575;15.476559437308
-0.07952935632537877 2.6820033859587014;14.356862870548
0.07607705079714161 2.5556322532409252;12.627848954678
-0.07296040686221861 2.4382260780410205;11.463603251929
0.0697746530179578 2.369804712670119;11.01764784063
-0.06691509220483094 2.3138437440584676;10.664550380814
0.06397711450818294 2.25087562837963;10.16986182959
-0.06135620741518544 2.1671426662303928;9.287004132177
0.05864796393788564 2.058230264968834;8.012414078879
-0.056248088915224884 1.9600422341467645;7.182434492171
0.053752403719350667 1.9030703139728513;6.887191203813
-0.051556849605164615 1.8631453012298902;6.721561738745
0.049257489914020625 1.826371204821605;6.566093713099
-0.04725051127311673 1.7854566727423669;6.359865777126
0.04513222396032933 1.7334778766353194;6.012647708632
-0.043299061564371355 1.6628203251862888;5.384573371807
0.04134758004606319 1.572826811805239;4.501066201342
-0.03967445630559338 1.489442730557502;3.88164333033
0.03787648634763756 1.4390364207899455;3.6602236801557
-0.03635058310095697 1.4086040200695735;3.572330534761
0.03469377398283066 1.3863592440368386;3.5212498240305
-0.033303198239808346 1.3674439443383153;3.482118394038
0.03177610412748029 1.3494118561079373;3.444678193323
-0.030509845966225108 1.3305398002741013;3.402344974491
0.02910188110942124 1.3091162135101266;3.3458585061774
-0.027949766848869545 1.2829567316798833;3.2594144636685
0.02665115729448008 1.2489391512062789;3.1097975604226
-0.02560380023828089 1.202804273100595;2.835006716301
0.02440553402636904 1.1408640657480897;2.3670885418942
-0.023454284455582966 1.0677566495738913;1.8035694135248
0.02234806170415752 1.00470245821303;1.4464721291952
-0.02148495730909459 0.9661844083278021;1.318517769120
0.020463141197759098 0.9441796474873178;1.2750387950918
-0.019680858783220984 0.930448265059062;1.2573101812154
0.01873642812309082 0.9211151250168661;1.2485929666394
-0.01802823715336363 0.9143611072389124;1.2438408304201
0.017154740994392396 0.9092453864810661;1.240850734937
-0.01651445933556129 0.9052359604364897;1.2389571314743
0.015705973896887118 0.9020096929875706;1.2375487441972
-0.015127925970292586 0.8993588597974377;1.2365891745996
0.014379014042040571 0.8971437072555491;1.2357781534402
-0.013857991491894303 0.8952666503084183;1.2352104146587
0.013163664372641139 0.8936574136849208;1.2346783863469
-0.012694889267380206 0.892264056760821;1.2343065391939
0.012050571223768996 0.8910473293888694;1.2339267180826
-0.01162966176296091 0.8899769982417278;1.2336663481132
