Point;Valeur
-22.54472635760456 15.418833249184203;983.4762260589
-22.511978776281477 15.350499906913685;978.1159361061
-22.437374521961107 15.223131906366172;967.3544229153
-22.319581608538073 15.033344889289944;950.2083479444
-22.155896772431575 14.78935338146423;928.5497636138
-21.950026342613643 14.487619798674888;901.0419571777
-21.704648024932247 14.129705581484462;870.6864362982
-21.41615517358995 13.721373794319895;835.2528258123
-21.090950993148674 13.266486436606238;797.2979196813
-20.72513830059248 12.767484065081389;755.5663376852
-20.323036465003145 12.225402584110908;712.512066418
-19.88694401865939 11.639539454306636;666.3539611483
-19.413723460908415 11.01290139018163;618.9663903790
-18.905948149072575 10.354392462001503;572.123121042
-18.368174346586294 9.66168149239137;524.4945228184
-17.80293353860175 8.941041218304488;476.7070593703
-17.21098011037581 8.193721746951464;430.5831550609
-16.59278099045275 7.425985061724816;385.2133626382
-15.949313544331574 6.636199497819057;342.23175128316
-15.28221495071153 5.834295255854328;301.4953032062
-14.593705680960637 5.018535328334087;262.8433766479
-13.886342142991175 4.192432193830618;228.04962540275
-13.162460850806779 3.36461007786299;195.9399201854
-12.42339291273803 2.532996031570516;167.1148232692
-11.66899234769505 1.701154291919773;142.4820503149
-10.898396994305232 0.8776368326849057;120.4789224558
-10.112530677909806 0.05961990169280662;101.91885068833
-9.315823708796872 -0.7472235703960798;87.88516279080
-8.51276589655306 -1.537894182735685;76.91256344303
-7.703611118772242 -2.314103831006981;70.5317341668
-6.886495206736881 -3.0671927534124483;66.19728322839
-6.063509029144671 -3.7999942674577003;65.62474661857
-5.240278899789883 -4.506261240445003;67.60233579462
-4.41858460065037 -5.182774069170664;73.64033662577
-3.596346079830287 -5.832490407629222;81.34864434318
-2.774258990575888 -6.450866472845695;90.53703399279
-1.9575044361289549 -7.032302871894682;102.20488647406
-1.1494074349512693 -7.574055984670117;115.93511452340
-0.3491176864276744 -8.074491142194528;130.64735906955
0.44471486684128547 -8.532934957688548;145.71270699584
1.2304763743227163 -8.951430761097173;161.37111308435
2.0041389933184206 -9.331773379303907;178.0255163997
2.7621845200783346 -9.667717520348445;194.51594940889
3.5028169876933783 -9.96029005900676;210.44659096207
4.225327499079487 -10.208932322755837;226.69906319747
4.929231509598274 -10.415151937578024;241.34845231964
5.613790463533114 -10.573322886748002;255.19915230574
6.2778359309808955 -10.686111738421939;268.25158787413
6.919750922137671 -10.756567684547152;279.7877043497
7.537684099954357 -10.785893207846296;289.8439869834
8.130348514301891 -10.77422713881197;298.43693774276
8.698357246335359 -10.720183224744105;305.4799315652
9.243951540100479 -10.620965232259547;310.84655308634
9.767050557426519 -10.479658968501983;314.94633469855
10.263103997023714 -10.301585242574891;318.0364706712
10.730610709757874 -10.081272717655304;318.0167444875
11.173792917995895 -9.827190267640162;318.1391349508
11.587938743457533 -9.534484176014386;316.0601192355
11.974000600703226 -9.207490375211083;312.8824005406
12.332095328406803 -8.851729143195353;309.1674908488
12.660706180285436 -8.465550811398568;303.07088461388
12.959688910161569 -8.047857644117022;297.5372970201
13.231058778183352 -7.600309616048931;290.33374834991
13.469887991285072 -7.125373653499721;282.89709522
13.679949868643552 -6.625297241747104;275.22885350
13.862596101725329 -6.102189751881893;266.4841513918
14.01420279103192 -5.558908748957269;257.6967761474
14.133137971101828 -5.000058270628054;249.3735241251
14.220400307242993 -4.431192111830399;241.45453835155
14.27747766123271 -3.856047597685562;233.91001380276
14.305334850820445 -3.2750701351613527;226.65060904836
14.304237685463152 -2.6870295913567444;219.53707888642
14.27375288684221 -2.0930441284793586;212.6461792218
14.212969912778172 -1.4987600642362549;206.34791447808
14.121685602265975 -0.9099540968124236;200.83555961660
14.002427736013017 -0.32862556609672544;196.13814269779
13.859099699926583 0.2457666393425294;192.4029121201
13.69106801011709 0.813705746570233;189.25664618836
13.494916347793884 1.3739796979451029;185.87762938530
13.27497867959691 1.9236834723590324;183.20960470120
13.03257936929182 2.4593979615697625;181.9870318381
12.764396580416442 2.9782456194688702;180.21862413110
12.476725021871317 3.4782921010366437;179.66133462455
12.164798869784118 3.958599422213308;179.07511563028
11.835042818299158 4.41895746352502;178.97085388548
11.482748982075051 4.858731444519912;179.07634956662
11.114404740246687 5.274784855446196;179.58509620621
10.726248942233736 5.66141877940039;179.02552828742
10.321522000868825 6.0181526622417385;178.9955359168
9.902918653348255 6.349348651248369;178.60201166280
9.466713246777765 6.647737444193888;177.98982557212
9.017713889550029 6.917673410086993;177.1803470474
8.558237929655466 7.15360402934749;175.53351050613
8.084810301964966 7.361103584054483;173.57533846257
7.599589138081341 7.533649634176946;171.2521911090
7.107531642563372 7.671748914615991;168.54233724253
6.608346961519885 7.779593560794573;164.7194497951
6.0994369249018465 7.858296600078461;160.58950231428
5.582670709979104 7.906993957891002;156.30855721893
5.062686397473824 7.925259171217439;151.33409036808
