Point;Valeur
-3.9212765269773513 80.85671273485065;13090.835033160
-3.1879307788723885 80.12336698650138;12849.605310460
-2.7571257467742334 79.55820910104055;12666.213222276
-2.1485178436080337 79.064424073671;12506.73822702
-1.6523905342670258 78.606393697871;12360.8930704
-1.3681722237078016 78.16874815607831;12222.440593043
-1.062770912588681 77.74503379336534;12090.23851051
-1.007940516644024 77.33254039907429;11962.101122751
-0.8015212696291608 76.92805405943606;11836.231683933
-0.3429525992740042 76.52586312951631;11712.56649819
-0.2882378626673027 76.12193355268532;11589.44313957
-0.03963055511938959 75.71817811795364;11466.46515934
0.14337177044413585 75.31870845590934;11345.952862072
-0.32107355465253756 74.92403657949305;11227.461777154
-0.14948157948947685 74.52917455410649;11108.908294076
0.3382489247984716 74.13010146481976;10990.975914453
0.23659221764620728 73.72984424700128;10872.690613471
-0.22963156134886067 73.33335529535591;10755.922423875
0.22364720322879048 72.94081048410766;10640.721109089
-0.21906874792907946 72.5466664562234;10525.99461378
0.21489843131061817 72.14785141008701;10410.882135430
-0.21233300612851033 71.74855068996871;10296.159260064
0.20889559856500653 71.35350407569977;10182.879716033
-0.20869648050586145 70.96166417968723;10071.026740545
0.2039518053127041 70.56695673510642;9959.349030144
-0.2084319011073512 70.1677510102999;9847.328361098
0.19732834177579986 69.76919689548176;9735.877993813
-0.21398126256004482 69.3753678936095;9626.05722328
0.18258766593506806 68.98374995629231;9517.319518794
-0.2319264053656848 68.5881291593025;9408.764673984
0.1418723345185122 68.18860855177333;9299.524060872
-0.26466029366128374 67.79097993056524;9191.786978668
0.05677761272063836 67.39830246195369;9084.726685509
-0.1944183249308264 67.00654303171376;8979.589936917
0.27061344560890493 66.60989220109478;8874.02496535
-0.06441898070430369 66.21030891538462;8767.613664960
0.2359097596831924 65.81383490708643;8663.3542011
-0.20915618419576903 65.42219006124257;8560.130121955
0.2511176372941293 65.02992269986693;8457.79867006
-0.13303815540442548 64.63225470898556;8354.606389156
0.3050582815662609 64.23293490649851;8252.395911050
0.07704710041238894 63.837818858428484;8150.441965598
-0.280130863031939 63.44698324640552;8051.160785161
0.073091217296609 63.0538502106165;7951.131505481
-0.2960421129577176 62.655301759945544;7851.847040702
0.023626129504684956 62.25661473656672;7751.759155017
-0.13644703418079046 61.86299586726119;7654.036917189
0.4183020292147612 61.47262484898596;7557.887430531
0.6675033685894092 61.07832412434499;7461.113949130
0.3600313138822098 60.67915764668481;7364.516705930
0.3560015215332369 60.28149205572861;7268.394844682
0.32010769410503864 59.88940704104825;7173.831876903
-0.01829470996526744 59.499039648884164;7079.696241810
0.185632017569717 59.103383425256595;6986.432534279
-0.4711442393188292 58.70397973861805;6892.851505813
-0.8503397164914375 58.307714170640025;6800.559552030
-0.23321943128453881 57.91705412458003;6708.859604181
0.151735590168186 57.52614655546959;6618.230999728
-0.2711673324367748 57.12911642131467;6527.8098597024
0.03946343584329931 56.72995607495847;6436.569066845
-0.14906810352485195 56.33541906454528;6347.46516976
0.3276529279363429 55.94588715014016;6260.073784664
0.18203687162715357 55.55388246122885;6172.325928051
-0.3176861703696069 55.155667137572145;6084.79815680
-0.12599492592723174 54.757301163462074;5996.906557386
0.3498514311385508 54.36471649998112;5911.499650928
0.29853768702191175 53.97580004109438;5826.879964903
-0.021007847046348116 53.58223279976263;5741.674305989
0.12705446039948193 53.18323812449856;5657.007467965
-0.4297545264625166 52.78624741707233;5573.396393463
-0.7195855911288843 52.395662117956235;5490.793279249
-0.2113038440925038 52.00664284125434;5409.269942165
0.27660892645424934 51.611261104975576;5327.731095999
-0.06537188782805803 51.2120900078859;5245.364584233
0.25883562062823984 50.81702879529743;5165.223276341
-0.16231878980761943 50.42822708707805;5085.85260353
0.3348123956659786 50.03825880814331;5007.818500914
0.21775551404611576 49.64112949288347;4928.726190317
-0.27022497075219104 49.242536913484464;4850.255155579
0.0950675634538165 48.849851559188615;4772.524630224
-0.31369684311335927 48.46227302088039;4697.327977210
-0.0909183907118718 48.07054616421851;4621.18965104
0.3422433579641112 47.672107099884414;4545.831902086
0.2435759252526423 47.27493485504073;4470.363534446
-0.2580315809289786 46.88484733149169;4396.637405359
0.17838024462628493 46.497553289744445;4323.829927840
-0.3278420402694681 46.10352869150125;4251.403159073
-0.177747709607847 45.70456950631069;4178.113812482
0.3312344272736697 45.30965705220507;4106.544637281
0.1959587365361705 44.92200909656453;4035.9380239485
-0.31081301269956185 44.53376937365469;3966.6479370059
-0.08531102898373547 44.137408267752086;3896.0642365747
0.32071960766592333 43.7389909338474;3826.8767242626
0.11486478282337334 43.3470441279556;3757.9013007192
-0.3866659942677231 42.961126495142295;3691.4819322403
-0.5137832207951696 42.570695406401995;3624.5767397431
-0.9027859374106237 42.172583200840535;3558.208842230
-0.2998599270357216 41.77592391394037;3491.096021349
-0.052404462831368015 41.387313381039625;3425.514863895
0.21623537536793241 41.001769936816366;3362.192212387
-0.27308828940943414 40.608335258369614;3298.3430799354
0.08394990774804562 40.20964177859994;3233.67149193
-0.29932179523997976 39.81595293222306;3171.1837431992
-0.011404499431117321 39.430423038395155;3109.0387602225
0.06311223698682565 39.043405811897685;3048.291213142
-0.3321167582227288 38.647031558213726;2987.6729117039
-0.14596939960379857 38.249342297535314;2926.267520167
0.44044088039060575 37.85959097872733;2867.1048202232
0.7531843469652331 37.475932405730845;2808.985343682
0.18977385881694697 37.08568205586035;2750.6636769609
-0.2711353641058769 36.687481700244646;2692.464000074
0.05882225415422937 36.29256592461658;2634.289965410
-0.21929394078119258 35.9070742105112;2578.71699519
0.24723915876384783 35.52300430612996;2523.766956392
-0.1570358871871601 35.128757066866335;2468.06982802
0.3045165676852292 34.73070372789749;2413.097105212
0.07584245080834473 34.34020142610159;2358.396628938
-0.27599219006911535 33.9580555332716;2306.390492621
0.08884189290422717 33.570778300778564;2253.6250062608
-0.3212274050256661 33.17343886521154;2201.515433346
-0.12155877572008261 32.77797703388572;2148.9454744516
0.38329162469641825 32.39286174857992;2098.946930809
0.49270012059032936 32.01138257694631;2049.443465516
0.8846636852949644 31.6190805119836;2000.4338635323
0.27627342308059644 31.22112028507572;1950.112448212
-0.03231610597689011 30.83069577112009;1900.9264139580
0.1313791989497255 30.450332869103843;1854.1376491251
-0.34647341849299795 30.06550153994172;1808.096128951
-0.27969996197484653 29.668889906765397;1760.9734900361
0.10147222845938464 29.273671954860312;1714.000787643
-0.3597161673936282 28.889955234357643;1669.6268840558
-0.3542830844394764 28.510974720695863;1625.8937053013
-0.31375220262783987 28.119811244863826;1581.8226710013
0.008040230705653795 27.72222796124514;1537.007892675
-0.0690840820621652 27.333217660793476;1494.116075426
0.4504694335976508 26.9555592442078;1453.30482389
0.88775205623904 26.57221266550608;1412.9278716474
0.2419765929528721 26.17575077149467;1370.7606191534
-0.15857684430272245 25.781921519137263;1329.6750226411
0.29194007498770214 25.401416188099695;1290.7353266005
0.026721151256061004 25.024774253331323;1251.922290073
-0.11560472448085246 24.6331992245091;1213.4923055673
0.354554740817076 24.236520121563732;1175.513536254
0.32458993162497135 23.851176271980027;1138.2441389417
0.11770236814305643 23.477480069502274;1101.9955505166
-0.4154807423070537 23.09353843334473;1066.9023100106
-0.6634169540642112 22.696725662370167;1030.6425373856
-0.36982380459249736 22.306562094038128;995.7968260079
-0.4297834741406822 21.93196741656013;962.2077013092
-0.8205072799682324 21.55601937985611;929.7475588763
-0.16045362269330254 21.16203686446702;895.7974601684
0.28319399669334205 20.76825857771432;863.2611124483
-0.004089395100447202 20.39049193637618;831.1903963143
0.01733367352945522 20.02059775332453;801.0822910471
-0.09114213829787579 19.632101092915107;770.6760864142
0.37630463352279075 19.236386881375427;740.7704100008
0.4628632482265138 18.854852018375365;711.3981399629
0.8722810178010243 18.488308471682977;684.2266565688
0.24125936803796777 18.106953387658066;655.9127297046
-0.1445861846001512 17.71096790346966;627.5626802364
0.2868688104147634 17.326170880460715;600.9076086031
0.010144101350729295 16.960995821716764;574.805196837
-0.04411189555887819 16.587119147556905;549.8642344782
0.2117844897339609 16.192173539617787;524.7508480974
-0.3111372058188905 15.805172049098148;500.2125503025
-0.07268985913295381 15.440731631426027;476.3994962131
0.31380783335988116 15.073717822538612;454.6591397760
0.05786922512471554 14.680477377891224;430.9594754162
-0.3087207954018312 14.292567490657165;409.1831310528
0.007686508268414438 13.92959967010237;387.5909487661
-0.05801532997837637 13.568481770879357;367.7719381361
0.3878660964392699 13.17672525560689;347.8333104099
0.5868827303378132 12.789421997783487;327.51029224136
0.8583299868955109 12.429970974885151;309.63671163327
0.17353102259022002 12.073530951472385;291.4210738863
-0.28154425049338383 11.682151036679013;273.4737849195
0.014987872818252035 11.297577781964518;255.2051688065
-0.06500624093726029 10.945107387578318;239.1335581307
0.279590267204188 10.590740065585628;224.5511960024
-0.10558521704322793 10.198521308088683;208.0909282521
0.3658841098050662 9.820450193678443;193.47960346338
0.3927496174095248 9.47979761538006;179.87053148299
0.573712352154818 9.120456375761322;166.4865647339
0.8580267695773511 8.728679677581077;153.45510892400
0.20077366270010077 8.364634544502263;140.1056838991
-0.23506435331528913 8.038915817797964;129.2366810136
0.15520806997410624 7.662317380793761;117.54051383349
-0.27585518421175287 7.279088171387254;106.56489378343
0.026299572449338393 6.94353209620521;95.92272134438
-0.10570799601351147 6.615596294022217;87.34736199576
0.33168504384529574 6.225650534142219;78.19442216213
0.191574010493608 5.872055147920209;69.07890210768
-0.3301929950645083 5.5749982184109035;62.40552135480
