Point;Valeur
-38.2927473312004 -44.72048175613574;5466.716750577
-35.89074733120239 -42.31848175613611;4869.881575005
-34.290540785697644 -40.68763370647851;4487.282512985
-32.95435947969424 -39.34601910049655;4182.580650101
-31.820433405407712 -38.236360586356895;3936.890805029
-30.875183411215374 -37.23196432018377;3726.1034082626
-29.95195434946101 -36.32508598585869;3536.0378829897
-29.15775507863796 -35.51303505482513;3372.2749141665
-28.440696110279603 -34.742928475097;3223.4533312574
-27.765143584933984 -34.025202574176134;3086.245745266
-27.128317816363747 -33.34701769068889;2960.1953303483
-26.53068622816728 -32.7258485139191;2846.021278117
-25.964111470202205 -32.11636454142142;2736.7435002654
-25.406059593860853 -31.52557638108041;2632.69388996
-24.846218689456467 -30.971423234471267;2535.566901337
-24.30199072598785 -30.449899544200015;2445.040206914
-23.8008712616376 -29.95186041783044;2360.5694067563
-23.353564746435655 -29.471705105874022;2281.9947411199
-22.891771060673822 -29.005266659556945;2206.521784442
-22.429479938511136 -28.54892610291193;2133.1202402806
-22.02631832188505 -28.10070919799094;2064.083447241
-21.609607536288497 -27.661802952472065;1997.7084062034
-21.19971434701971 -27.237128889103747;1933.334677469
-20.839466237467015 -26.834217318377505;1874.5884197196
-20.441308925566734 -26.455405875345804;1817.5445478035
-20.100532399685687 -26.08234617656434;1764.2908541729
-19.728702618168178 -25.70193315884016;1710.8810662719
-19.40022017629966 -25.334901343517416;1659.9758515189
-19.0531594381393 -24.99427961639989;1612.4347632999
-18.74065350079115 -24.652112487622436;1566.5289846451
-18.409680118531725 -24.30603429956415;1520.9219650191
-18.11743961959408 -23.986512899694038;1478.5369861153
-17.796291297876646 -23.668462542233904;1437.348277755
-17.525160691789075 -23.34559273820129;1397.3362660817
-17.216578007583422 -23.050039065305366;1358.6567424310
-16.957572434984222 -22.743351436196424;1322.6346887506
-16.67533582375579 -22.448662786968864;1285.429020156
-16.406383309301308 -22.1675179931079;1252.3413711633
-16.159274796368248 -21.875654329257376;1218.1874812057
-15.881211717733194 -21.60998706125063;1186.0126303368
-15.651071485799516 -21.327591815362968;1155.1422652958
-15.402578659286945 -21.07023589744519;1124.7329242028
-15.149211582304707 -20.800240726692234;1095.0737967777
-14.935738373598628 -20.549838973722547;1067.6878265341
-14.69268962400869 -20.291275068549027;1039.298967087
-14.461615535454559 -20.0487999017043;1012.9242756559
-14.26038550138525 -19.799149102813846;987.8313238404
-14.029320181602273 -19.565962139384293;961.9977637751
-13.810505066282435 -19.32286186123975;937.7106859377
-13.622400373482217 -19.099831393538956;915.3640898034
-13.408418717983139 -18.86228499965172;891.1738670789
-13.193329053400394 -18.648724893176066;869.6214634007
-13.016300747242335 -18.418477118465866;848.055670386
-12.825255129577178 -18.210550937340837;827.9589753698
-12.613630501165057 -17.992200121010484;806.0002529836
-12.436672183380171 -17.78313037114393;787.5749610658
-12.270016102774512 -17.58036431938381;768.7909165276
-12.077399640905881 -17.36799663442698;748.9591489684
-11.886069798482893 -17.177475269576448;731.4384687750
-11.729988849443956 -16.971755826834663;713.6592238459
-11.5699681310785 -16.780543511099495;697.4808718710
-11.38486838405815 -16.592365340136165;679.8514635720
-11.209624076082624 -16.394032476342712;662.9997747149
-11.065693334307316 -16.217376822793412;648.9573023214
-10.917169251621521 -16.029597452963863;633.0328524513
-10.744928316806153 -15.844857150256933;617.4539971145
-10.576247735713656 -15.675466804772645;603.2659375879
-10.43928324997237 -15.49132822185113;588.8252512336
-10.306274758229648 -15.318755046503245;576.019941087
-10.153270661599175 -15.154914649632943;562.4968010287
-9.987859985220426 -14.976768752470939;547.798360100
-9.847451497519065 -14.812949053330641;535.9762893299
-9.726910143413377 -14.655424685396644;524.533117954
-9.599113215021243 -14.484082668450352;511.6870815202
-9.450609504566097 -14.325964067449751;499.8076770733
-9.298521686302768 -14.17587841204212;488.2566356679
-9.173169119927403 -14.012127268644983;476.53132427828
-9.063246309242977 -13.856811122577078;466.4765683153
-8.946267444710918 -13.71431816966908;456.7154140740
-8.810235782161078 -13.560130852991783;445.10596406687
-8.666583345011901 -13.405534231951636;434.12154277977
-8.544595196851011 -13.268335448824397;425.2577483746
-8.442566449670814 -13.126173488972094;416.02849282923
-8.34094314582089 -12.974115656231165;406.2605975821
-8.22527429512775 -12.836541759087996;397.4962684210
-8.0931186738189 -12.706039275380657;388.4320945481
-7.964636437292862 -12.563771109930629;378.6538293764
-7.859748349712916 -12.421460175220414;370.1327283559
-7.7690757570358056 -12.295586581482702;363.12751632315
-7.6768265590427 -12.168469350797986;355.5210411238
-7.571621577498863 -12.029741128845552;346.685598504
-7.45076050247602 -11.897334843318296;338.395147751
-7.329511722656844 -11.778992717102682;331.17289675929
-7.228342319618907 -11.656376414017355;323.933988984
-7.144343186319869 -11.523242626013975;316.4063927900
-7.064340964218777 -11.397677460084735;309.88681092370
-6.977491341393989 -11.285272460733959;303.94635117904
-6.876624669832485 -11.169220274939152;297.0576732310
-6.763424142825844 -11.042617388129974;289.19823727573
-6.654403837873101 -10.920695215421905;282.35416867847
-6.564676415496663 -10.812773105383284;276.9526579028
-6.489991515420363 -10.704883713666176;271.57350921967
-6.4197936450345905 -10.586668101898082;265.4449040932
-6.345364374635681 -10.466612410837536;259.40595821
-6.260021224740802 -10.359952007737066;254.12890179270
-6.161305001597891 -10.259833410807923;248.752754230
-6.057011746400222 -10.152905959642599;242.68885490460
-5.96371180131253 -10.037399117751395;236.5323528559
-5.888215852558026 -9.927729353646624;231.47010627139
-5.824156548675618 -9.830764631295288;227.38233340178
-5.76346228537566 -9.73545058309283;223.2344106105
-5.69962948825707 -9.631712510587064;218.3347775488
-5.627278536101721 -9.521670867573556;213.00057956743
-5.542994816258016 -9.419581173758942;208.1512906935
-5.449150923725067 -9.328893648395958;203.7647310734
-5.35728326956214 -9.239115717140558;199.4079977332
-5.279575954101114 -9.1414106251683;194.79972014612
-5.216684547764047 -9.037092473901048;190.1655067032
-5.162517429643 -8.938807627555382;186.2666620986
-5.111195116095823 -8.852096265841155;183.07280703542
-5.058014267725124 -8.768745859959592;179.89384548080
-4.998873303917578 -8.679678672468407;176.13996721780
-4.930308062250675 -8.582411800209456;171.71830293687
-4.851127272510469 -8.485445227259262;167.31374323277
-4.76583619109291 -8.39906187466443;163.54006602748
-4.685268100459427 -8.320666169046673;160.29997306383
-4.617986145913135 -8.241489970351019;157.17953539817
-4.56354246936503 -8.155141174563777;153.77299783494
-4.517234733815113 -8.062266360068271;150.15860096098
-4.474663181367514 -7.972462305347608;146.95047862269
-4.432381809564269 -7.8931328473465205;144.36435455556
-4.387445098346614 -7.820427037149389;142.00697559974
-4.337048602257132 -7.746682383164753;139.41173927741
-4.278624020804923 -7.6663322549348;136.25189944369
-4.2108520014676065 -7.579367150942465;132.5943319173
-4.135929060567222 -7.49361459078365;129.0496313802
-4.0612256213064075 -7.417132317927386;126.1284159846
-3.9955081548250915 -7.348559729018818;123.75834439695
-3.942002582900078 -7.281459861206753;121.58081554965
-3.8984089086318674 -7.2100056006955215;119.23865254906
-3.8611362837353083 -7.131481960822767;116.56951096650
-3.8272174266124477 -7.049159320210435;113.81791946309
-3.794383826486324 -6.97150372521705;111.44650881818
-3.760748838486445 -6.903076916772248;109.541010680
