Point;Valeur
-51.99839795211183 -18.803254530678174;3410.877791961
-51.34004707605097 -18.144903654617845;3294.0453961789
-50.82634755002749 -17.62131248648021;3204.3062050163
-50.3609850073422 -17.161346612419973;3125.665803989
-49.933716989430906 -16.733575460060507;3053.4319038073
-49.52128348896862 -16.331278939516245;2985.9848496577
-49.104184219563926 -15.950229946940246;2919.9802090097
-48.70846491477596 -15.564525427845192;2856.553549646
-48.303951067816115 -15.161103719087652;2793.401111774
-47.90363176198226 -14.76250506455673;2730.713059386
-47.51313367008756 -14.384996465220718;2671.3560766152
-47.10761641153635 -14.01931173904234;2612.096406183
-46.71983216565769 -13.628526316106433;2553.9654599765
-46.31922452366101 -13.229169407372575;2496.0602202752
-45.923263402338634 -12.84821551443949;2438.9669768741
-45.53385954705928 -12.488810320568948;2385.090014214
-45.12988706232728 -12.108318074073615;2329.9730933982
-44.74418225975578 -11.708537510830258;2276.2409541020
-44.34235488022407 -11.324864319644357;2223.213422136
-43.949061895524906 -10.969148662108003;2171.6391790705
-43.558322238165246 -10.597962254657341;2122.024452225
-43.15544704520578 -10.198354581000732;2070.66021920
-42.77089881677932 -9.814144555961366;2022.0119914672
-42.36753217467709 -9.463414910102628;1974.1538505618
-41.976973650073354 -9.099287078210965;1927.2784973807
-41.58414047440868 -8.699757855621254;1881.0520749985
-41.182913089667096 -8.318554275115124;1834.5656331898
-40.79891792034943 -7.977388853281267;1791.4647864500
-40.39435709473737 -7.614689079371547;1747.8866218372
-40.00666605679153 -7.215456885307406;1704.6135888537
-39.611219005601164 -6.843981077789486;1663.0951848498
-39.21234042542475 -6.519877049118767;1622.2287365253
-38.828138365811114 -6.144728833816141;1583.1937399005
-38.42300581067617 -5.7509663383870535;1542.9536697859
-38.03815450918426 -5.4045833247261275;1504.937718443
-37.63975276337221 -5.096367986363203;1468.8887372040
-37.24395647800307 -4.6973011978383346;1431.2626734543
-36.85857917266985 -4.3284529353307235;1396.2511765050
-36.45374699060386 -4.04124145311945;1361.4223774414
-36.071444393571674 -3.669231506267089;1327.9888402533
-35.67003583920087 -3.2906201652254454;1294.5519748752
-35.27801674310202 -3.01070139662164;1262.1294943173
-34.89032474871651 -2.677812157860197;1232.0020995446
-34.486903026321215 -2.3049915148746916;1200.2251517074
-34.106489576335036 -2.076778164421596;1171.557998236
-33.702442953503706 -1.6987707789596465;1142.133367999
-33.31475564770283 -1.37018958155888;1113.3492851686
-32.92356423829534 -1.2795130303587874;1087.7218171784
-32.52286432002376 -1.0680468996630363;1059.7702842553
-32.14320306548824 -0.6800245541757691;1034.2231129993
-31.73742064885328 -0.3485138357111279;1007.8340097822
-31.35432443695112 -0.4934596219249262;983.007462630
-30.958651400783022 -0.33866904443867774;959.0684354711
-30.56210886485182 -0.5379705536373927;934.2068466845
-30.18150592413592 -0.1275461943693716;911.0066137482
-29.77548319505756 0.2960698493126274;887.1446707531
-29.39671704405694 0.3934719225744919;864.164156293
-28.99615650973814 0.6709162559881247;842.1298963227
-28.605189225765514 0.11090565472219271;817.9810819611
-28.22142711620106 -0.2821530014386933;797.0136717400
-27.81723494958166 -0.3141838623780696;774.2350823274
-27.441718384462977 -0.5097134915237679;753.1329820440
-27.03686829112881 -0.125039326643818;731.3057256458
-26.6526212468984 0.38091112541157246;710.334250866
-26.26327304541655 0.6651329346352606;691.0165574143
-25.863446357292016 0.10942279889470208;668.80333968
-25.488940027197717 -0.2756771137467147;650.0723946811
-25.081728928849124 -0.2770666135869332;629.7259324687
-24.704629537735812 -0.28708862492313447;610.452694228
-24.307861733689624 -0.3719123848120747;591.4510378309
-23.91516304182875 -0.7717524736424879;573.1867266069
-23.538026014889592 -0.3581272209331536;554.4593325247
-23.131782780795014 -0.7508600901005968;536.58380457
-22.760832005347602 -0.2613170597820123;518.279811315
-22.356671458685472 -0.14888904643747125;500.2406654641
-21.973619282168602 0.40467121536394424;482.77468860354
-21.589108420747067 0.6718108973529704;467.3709925501
-21.188321622879627 0.1015758467701321;448.8235699653
-20.82013840832206 -0.2880938339406265;433.85547406903
-20.411619515181584 -0.34857824208791505;417.190472272
-20.039505038624345 -0.633239125932605;402.13323897447
-19.643596194524797 -0.06554997337478485;385.982143334
-19.253363189737776 0.23457951512507413;370.8580602059
-18.88129388014913 0.030287160986546102;356.3761638351
-18.474655688452422 -0.18542029612501948;341.6453925820
-18.11168119422871 0.2684343595236608;328.30102847411
-17.7047957434248 0.2227034698189425;314.1035110809
-17.329657522250418 -0.15031060536072766;300.1499599023
-16.944464520229403 0.38003095039602103;287.6458708909
-16.54824589355012 0.6804362629468867;274.8183282709
-16.186828082480094 0.12557133929155495;262.1036126198
-15.77672949006897 -0.28205559325348584;249.47445192139
-15.417676683814793 -0.31388273755865576;237.88621585585
-15.014123178520464 -0.5096913219714051;225.96288542321
-14.637436867707695 -0.12317287913031166;213.98978479236
-14.262275142856671 0.38342100454205114;203.9121417935
-13.862827827858268 0.6660731770579313;193.12116613546
-13.511195877084976 0.11008459893996936;182.55607381040
-13.09884234142393 -0.27640782655668955;172.1761698624
-12.74655014345729 -0.2812596138338807;162.67251183427
-12.34381933966775 -0.31589323200508657;153.05735917519
-11.971209513692106 -0.560425052097665;143.4459017193
-11.601845443908498 0.002179158664669778;134.56866740057
-11.204301582580909 -0.014167594207496748;125.15700828164
-10.863144984085562 0.11329733108549483;118.07574875459
-10.449265866586234 -0.4246983505009824;109.52221786103
-10.11207477130586 -0.615631401808319;102.83153792479
-9.701854086914663 -0.034231975585171326;94.15747952967
-9.346896082135201 0.15465377130140215;87.2166907485
-8.96909270655977 -0.2801437325458598;81.14909770143
-8.58720104028326 -0.3052847151182225;73.92180088524
-8.250664027298162 -0.48127383265225887;68.47787821324
-7.845265857062934 -0.25784828803447585;61.92613985710
-7.532041984203852 -0.08822694645512522;56.711617225463
-7.1123810541751995 0.47532214132564055;50.9180623398
-6.803132496774194 0.3121615294416329;46.592089148280
-6.385104308059852 0.5888761481010674;41.60531460552
-6.062769183341839 -0.017985671609752618;36.235921074508
-5.6715011781833 0.09908932830415;32.39568517100
-5.327264693396606 -0.36048826867151423;28.39092147125
-4.98167872616585 -0.643489057980805;26.005289498660
-4.619307676352047 -0.08413903754959084;20.94401554538
-4.309917215345858 0.2575733651848336;19.279531297499
-3.938620606005569 0.17041243707192313;15.470880611953
-3.6502887216309805 -0.26340520358335473;14.035842067779
-3.2819943027038985 -0.19385029176854932;10.794223255874
-2.997867265592034 0.23966606436478602;9.679669590976
-2.6478241775281752 0.003996080798374324;6.43607588574
-2.339078099216497 -0.03695439579287052;5.523230488163
-2.018186511096526 0.33780562826193616;4.131856426095
-1.6739818545654486 0.7316738778051028;4.4448037526266
-1.398684356006984 0.1763594015309956;1.9420756539871
-1.0069319168865574 -0.2898270966527458;1.726929746526
