Point;Valeur
-59.262345486034484 -74.84064930468313;14714.152991896
-54.9806215341665 -70.55892535281514;12980.080967623
-49.54829671070667 -65.12089602622338;10936.613360427
-43.584583756080264 -59.14389933689102;8895.898091470
-37.444478770166654 -52.96106214685105;7011.440137477
-31.35216463951695 -46.800828091169805;5363.522760041
-25.494594238913205 -40.80471719873141;3980.2253255451
-19.96026219376445 -35.07253661645893;2858.1269991171
-14.898460263603816 -29.651547230654263;1980.6571053324
-10.317351323647816 -24.59461601140173;1316.4302851055
-6.29486727638012 -19.9408284135092;834.9730345367
-2.84204767139611 -15.746319971102665;504.27473240492
0.06888674923262927 -12.00184653635308;287.57449869343
2.3663312292896928 -8.706910489374375;157.74565792408
4.13717478519614 -5.8409694425790075;85.38386951823
5.360429303530957 -3.4201167651601514;51.68795075726
6.138116213775737 -1.41469979110824;41.465503350270
6.496971215145786 0.20673741769969967;42.54430907222
6.606152324622802 1.4877131755532758;47.538644271
6.48920690872257 2.478558865033823;54.15688070721
6.21810084576996 3.2144362582039703;59.72227737506
5.740920476689229 3.7118179109436333;60.99122177599
5.190807178278909 4.004982806715546;58.67713411398
4.617678719695715 4.136167954265369;55.30930509186
4.020063999023622 4.113618134223504;49.67005900774
3.392523350041163 3.968644348137248;42.49642870247
2.7460912701669145 3.7601300234811084;35.87610620335
2.0995744586096423 3.500326284506213;28.45547590090
1.469252399895585 3.2031054723636068;22.825520164055
0.8663381239329232 2.8711567525374733;17.342962659914
0.3066396316338066 2.554664845505065;13.220715251758
-0.16431211431394882 2.221967649141061;10.157428373009
-0.4861197883400901 1.8912625972823733;7.372370559875
-0.7756832370925657 1.6002681898553055;5.482675043092
-0.9380044838599816 1.3051026499172613;4.752182091173
-1.007812359619455 1.0498615051281202;3.2924804319177
-1.0320363001082884 0.8055300304108803;2.863835207298
-1.029990702337116 0.603828952192064;2.0045786290583
-1.0060661346141098 0.4052129208772999;1.536302853233
-0.9544704510525611 0.2567790473518875;1.5946708691154
-0.8590738222781342 0.13332441497992026;0.8748631144981
-0.7044719554992231 0.008672540797102349;-0.06306515487304
-0.5387392659038424 -0.0937901668885327;0.09369708462103
-0.43354272347174894 -0.15254516794904974;0.5053517484457
-0.37433168378553144 -0.17441205843091678;0.6417465876886
-0.3324863113088158 -0.1690539594352445;0.6149065034884
-0.2868865040075886 -0.1411896023652125;0.4504573883461
-0.21920215891440706 -0.0931099811092782;0.0987053357863
-0.11353942554320587 -0.03140852610603044;-0.3876233032872
0.018667989202689778 0.027474643403519912;-0.5569872638721
0.11508918169354497 0.06621832540964476;-0.3066667160651
0.14415017587969603 0.07876003517987146;-0.18369842563329
0.11360560348027851 0.06781159802352633;-0.3060914602125
0.04139019533111998 0.04021878745595164;-0.5175078927299
-0.03686207239303707 0.006096378651707146;-0.5598221992476
-0.08122653907892854 -0.023125547253978234;-0.4768945767146
-0.07928891632028037 -0.03942448401151005;-0.4570016620935
-0.041007315601069474 -0.04066206311134955;-0.5171186571730
0.009896075649874804 -0.029496862083934733;-0.5578419479383
0.045607307554977286 -0.011572131432584645;-0.5474066822709
0.0517070918699888 0.006356691506362526;-0.5414288959986
0.031300390642993794 0.01870987111796675;-0.5576573815216
-0.0007240783007471524 0.022790526595749153;-0.5675489181309
-0.026014315238922513 0.019012252570140553;-0.5616751670269
-0.03319265603826764 0.010083444508986237;-0.5618896782194
-0.022351917734444594 -0.0002235163980008302;-0.5728670060241
-0.0024153013478154205 -0.008418934569250046;-0.578209171131
0.014744883402755177 -0.012363835206369262;-0.5732120132248
0.02097404361162712 -0.011679767623691687;-0.5704344799934
0.015321283582941568 -0.007500832436798011;-0.5752875478198
0.002992663469557292 -0.0018238301963839866;-0.5797915336764
-0.008425573426214082 0.0032762504219109763;-0.5787248980614
-0.013298354866894799 0.006315047016402085;-0.576508986704
-0.010456467165779929 0.006751265144694349;-0.5773368047480
-0.002878436421763982 0.004966812815319556;-0.5792867804037
0.0046311751577281825 0.0019631404223381045;-0.5795999223899
0.008250999915983603 -0.0010738116919649758;-0.5789974979834
0.006909268899970721 -0.003182579060085309;-0.5790722726702
0.0022787053349653807 -0.00388489151552429;-0.5795618459097
-0.0026190208569820995 -0.003240060366851561;-0.5796487000805
-0.005224152793387002 -0.001719311765041752;-0.5795378857913
-0.004660209051563868 2.3958549075353032e-05;-0.5796889512525
-0.0018471075513968819 0.0013959522942413503;-0.5799041529781
0.0013258123847298296 0.0020379589584615253;-0.5798747001266
0.003159722755453207 0.0018928639795274213;-0.5797706282027
0.0029805885273005493 0.001163248948147824;-0.5798401339431
0.0012813296158924487 0.00019595498091488873;-0.5799755573947
-0.0007626634505332002 -0.0006560151387364606;-0.5799812934910
-0.002032390412259796 -0.001146273085300538;-0.5799091590565
-0.002029334655195811 -0.001191800341571165;-0.5799067707224
PointOptimal;ValeurOptimale
[-0.00202933 -0.0011918 ];-0.5799067707224732
Temps;Nb iteration
0.006407022476196289;89
